Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,fill_per_m_0_0_1_1,fill_ratio_1,distance_from_78_0_0,fill_per_m_1_78_0_0,distance_from_91_1_0,fill_per_m_1_91_1_0,fill_per_m_1_91_1_1,fill_ratio_2,distance_from_37_0_0,fill_per_m_2_37_0_0,distance_from_222_1_0,fill_per_m_2_222_1_0,fill_per_m_2_222_1_1,fill_ratio_3,distance_from_289_0_0,fill_per_m_3_289_0_0,distance_from_25_1_0,fill_per_m_3_25_1_0,fill_per_m_3_25_1_1,fill_ratio_4,distance_from_277_1_0,fill_per_m_4_277_1_0,fill_per_m_4_277_1_1
1,76.700597,30.661634,0.7952673118598902,1.0,79.52673118598902,1.0,79.52673118598902,,0.7952673118598902,0.4078255216029316,195.00184999068816,0.24089288177000215,330.13317206242294,,0.8144472789460458,0.34159491958416244,238.42488053906249,0.10996841158198212,740.6192989692048,,0.8233646936585425,0.27453684549257573,299.91045179427783,0.07478114677121711,1101.0324516385344,,0.0,0.1102048321742157,755.7979823811763,0.0
1,76.708249,30.663889,0.8098744458546349,1.0,80.98744458546349,1.0,80.98744458546349,,0.8231195582481768,0.4064339033927091,202.5223662143296,0.23910896954856037,344.2445341143969,,0.8283750602795256,0.3403504614452914,243.38884594480862,0.0884974393406796,936.044100768401,,0.8283750602795256,0.237002514580618,349.5216334499051,0.09213107416038022,899.1266712439543,,0.0,0.1588925313006043,530.7505996113802,0.0
1,76.690413,30.677268,0.3838912213732114,1.0,38.38912213732114,1.0,38.38912213732114,,0.4090736924670395,0.29445247895576077,138.92689710671436,0.29733872263630856,137.57834460310107,,0.4604901239413259,0.29290738062570304,157.21356114606462,0.1816355792882659,253.52418603543643,,0.4604901239413259,0.3050703946799174,150.94552994054905,0.22832845082261036,201.67881938597446,,0.4703155653534533,0.10307659979481093,456.27772577838743,
1,76.685268,30.686947,0.8772005408131083,1.0,87.72005408131082,1.0,87.72005408131082,,0.8821229745323957,0.25254443745273386,349.2941612295434,0.35030971995312354,251.81230330989285,,0.8821229745323957,0.28127651959058086,313.6141530108493,0.24286893621443129,363.2094693878681,,0.8821229745323957,0.31471357398929695,280.2939076794939,0.2864779674519833,307.9200059879819,,0.8915735066990069,0.19946195900035216,446.9892460533955,
1,76.698191,30.688447,0.5744731131799119,1.0,57.44731131799119,1.0,57.44731131799119,,0.5922995174136495,0.21713634995222453,272.77768901612757,0.2582429089385987,229.35751453856105,,0.5922995174136495,0.18521184832262202,319.79569491791807,0.18381130643071245,322.2323636750367,,0.5922995174136495,0.2358080603149256,251.17865632863592,0.22686160813623216,261.08406895271986,,0.6287812356638677,0.19271849107972616,326.26928124076363,
1,76.691224,30.694111,0.6459172413316012,1.0,64.59172413316013,1.0,64.59172413316013,,0.6478562565459319,0.22437929051284247,288.7326433135555,0.31774574466783323,203.89140292758015,,0.6678560925023006,0.2721882992131765,245.36546737420156,0.21293792293290587,313.6388686916675,,0.6956569802533371,0.29925600518838485,232.46216222642337,0.28407630841521764,244.88384270205887,,0.7152438181731079,0.22126503591488111,323.25207424468834,
1,76.680626,30.706793,0.9398321236134751,1.0,93.98321236134751,1.0,93.98321236134751,,0.9407341449371658,0.28200555442062314,333.58709791014303,0.37863370086739506,248.4549428067496,,0.9463658078658492,0.3126100807765146,302.7304191583021,0.29049730284843495,325.7743870894421,,0.9463658078658492,0.3601042420093089,262.80329345339544,0.33220514915772675,284.87391308210186,,0.9507360565364904,0.3035165114263156,313.2403084328741,
1,76.711141,30.68668,0.5334610919763215,1.0,53.34610919763215,1.0,53.34610919763215,,0.5528049205687096,0.17740789309811794,311.6010854505628,0.167034190726672,330.95315286275564,,0.5740936603111819,0.16183268741895546,354.7451812531282,0.19124682232104265,300.18467932892554,,0.6030612869685377,0.14223547425255864,423.9879609060954,0.294580912680679,204.71838500352754,,0.6417971568422342,0.208521674151459,307.7843871405267,
1,76.681708,30.687691,0.4811401018548175,1.0,48.114010185481746,1.0,48.114010185481746,,0.49103412298692617,0.2587860156513874,189.74523092020627,0.3557398915737831,138.03178519412182,,0.502890965324575,0.2872836771028332,175.05030929570188,0.25246592359787273,199.19162085635716,,0.502890965324575,0.3381192001419731,148.73185702362235,0.3044349414074799,165.18832003960603,,0.5460535760244523,0.17906355012852002,304.94959785647666,
1,76.699339,30.676933,0.11203890216805235,1.0,11.203890216805235,1.0,11.203890216805235,,0.11301528897676798,0.3096566282201444,36.49697073379677,0.2440460828883198,46.30899526811334,,0.11301528897676798,0.24292114161687148,46.52344716665813,0.05909912056061779,191.2300689159131,,0.13605946940406743,0.22704623508625651,59.92588661616761,0.08105532725865047,167.85999638234358,,0.0,0.0500201827698701,284.47913362273005,0.0
1,76.67732,30.699459,0.7602278598896866,1.0,76.02278598896865,1.0,76.02278598896865,,0.7602278598896866,0.3007834133594292,252.74926279968497,0.39488442367768756,192.5190800916978,,0.7823923052972128,0.33058753313510525,236.66721424049072,0.29547104274092517,264.7949179856619,,0.8015607308212501,0.36428452368790365,220.03699819758953,0.32964119990751745,243.16157417402079,,0.816078339824846,0.30278899457471464,269.52047612267984,
1,76.69194,30.709532,0.8306194077877291,1.0,83.06194077877291,1.0,83.06194077877291,,0.8405490033996796,0.21583540626472675,389.4398133959209,0.3202335999809111,262.4799532122126,,0.851626007860926,0.24890089896621867,342.1546532768893,0.36713851953924254,231.96313177100387,,0.854011266616181,0.3029343164098618,281.9130155794985,0.42408895410917635,201.3755034978644,,0.8636276579977256,0.3752572522772419,230.14282942083508,
1,76.681942,30.714258,0.9899602323899452,1.0,98.99602323899452,1.0,98.99602323899452,,0.9899602323899452,0.29396140120261377,336.7653808765227,0.389018951759651,254.4760937512309,,0.9900521786632899,0.3240647694990195,305.51058672432623,0.45004046735723713,219.99181195352315,,0.9900521786632899,0.3707081515923497,267.07051744359904,0.48358763491382345,204.73066455467162,,0.9900521786632899,0.45743322886055865,216.4364362268688,
1,76.696883,30.70069,0.741120649290059,1.0,74.11206492900591,1.0,74.11206492900591,,0.741120649290059,0.19532569752547846,379.4281339726877,0.3036192739175902,244.09538950785372,,0.7459133585313362,0.22961876651382676,324.8486044307795,0.3501519117364965,213.02564216546853,,0.7460756150010742,0.2597845390360566,287.1901529511436,0.34225002629836576,217.99139742086172,,0.747608101582145,0.35857357663962575,208.49503429347985,
1,76.717864,30.65906,0.6277080530714179,1.0,62.770805307141785,1.0,62.770805307141785,,0.6401239586642145,0.5336305801750856,119.95638601786804,0.3361892851317026,190.40581808353738,,0.6401239586642145,0.45565765863737695,140.48352892355092,0.2729207609312008,234.54571813449544,,0.6521840833289908,0.3443687517962979,189.38538410557436,0.25342364665946854,257.34934049202843,,0.6806110006342584,0.3363834794969589,202.33187481503873,
