id,Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,distance_from_0_3_0,fill_per_m_0_0_3_0,distance_from_0_4_0,fill_per_m_0_0_4_0,distance_from_0_5_0,fill_per_m_0_0_5_0,distance_from_0_6_0,fill_per_m_0_0_6_0,fill_ratio_1,fill_ratio_1_1,distance_from_226_0_0,fill_per_m_1_226_0_0,distance_from_291_1_0,fill_per_m_1_291_1_0,distance_from_197_2_0,fill_per_m_1_197_2_0,distance_from_260_3_0,fill_per_m_1_260_3_0,distance_from_124_4_0,fill_per_m_1_124_4_0,distance_from_142_5_0,fill_per_m_1_142_5_0,distance_from_143_6_0,fill_per_m_1_143_6_0,fill_ratio_2,fill_ratio_2_2,distance_from_69_0_0,fill_per_m_2_69_0_0,distance_from_216_1_0,fill_per_m_2_216_1_0,distance_from_5_2_0,fill_per_m_2_5_2_0,distance_from_300_3_0,fill_per_m_2_300_3_0,distance_from_30_4_0,fill_per_m_2_30_4_0,distance_from_212_5_0,fill_per_m_2_212_5_0,distance_from_86_6_0,fill_per_m_2_86_6_0,fill_ratio_3,fill_ratio_3_3,distance_from_50_0_0,fill_per_m_3_50_0_0,distance_from_94_1_0,fill_per_m_3_94_1_0,distance_from_37_2_0,fill_per_m_3_37_2_0,distance_from_205_3_0,fill_per_m_3_205_3_0,distance_from_204_4_0,fill_per_m_3_204_4_0,distance_from_219_5_0,fill_per_m_3_219_5_0,distance_from_263_6_0,fill_per_m_3_263_6_0,fill_ratio_4,fill_ratio_4_4,distance_from_112_0_0,fill_per_m_4_112_0_0,distance_from_34_1_0,fill_per_m_4_34_1_0,distance_from_54_2_0,fill_per_m_4_54_2_0,distance_from_101_3_0,fill_per_m_4_101_3_0,distance_from_42_4_0,fill_per_m_4_42_4_0,distance_from_252_5_0,fill_per_m_4_252_5_0,distance_from_148_6_0,fill_per_m_4_148_6_0,fill_ratio_5,fill_ratio_5_5,distance_from_284_4_0,fill_per_m_5_284_4_0,distance_from_25_5_0,fill_per_m_5_25_5_0,distance_from_191_6_0,fill_per_m_5_191_6_0,fill_ratio_6,fill_ratio_6_6,distance_from_253_5_0,fill_per_m_6_253_5_0,distance_from_18_6_0,fill_per_m_6_18_6_0,fill_ratio_7,fill_ratio_7_7,distance_from_8_5_0,fill_per_m_7_8_5_0,distance_from_196_6_0,fill_per_m_7_196_6_0,fill_ratio_8,fill_ratio_8_8,distance_from_274_5_0,fill_per_m_8_274_5_0,distance_from_289_6_0,fill_per_m_8_289_6_0,fill_ratio_9,fill_ratio_9_9,distance_from_125_5_0,fill_per_m_9_125_5_0
77,1,76.6847,30.693087,0.16426579793099294,0.16426579793099294,1.0,16.426579793099293,1.0,16.426579793099293,1.0,16.426579793099293,1.0,16.426579793099293,1.0,16.426579793099293,1.0,16.426579793099293,1.0,16.426579793099293,0.21414599614100788,0.21414599614100788,0.2130627405091663,100.50842096053626,0.21753963125323833,98.43999224753676,0.16434089572745111,130.30596869579884,0.400038423249559,53.53135691353717,0.21989159986260778,97.3870744834319,0.19249465858614087,111.24776017885092,0.38399380570643477,55.76808608853539,0.21414599614100788,0.21414599614100788,0.2659762125155003,80.51321361248728,0.11825046137007994,181.09527325293945,0.15753532319192415,135.93522506702536,0.4696310785871888,45.59877016342965,0.07319629040990622,292.56400145659,0.18024579236308808,118.80776429423165,0.4711330783426772,45.45339862238445,0.0,0.28207193528151087,0.2035966490269021,138.5444881483484,0.05234876667190621,0.0,0.275209435818619,102.49355529634336,0.3663889713630357,76.98701580239994,0.24286986743978906,116.14118221209166,0.3566201512478824,79.0959047867842,0.3293629308789027,85.64167635040283,0.0,0.0,0.25853025248732325,0.0,0.06315385018425695,0.0,0.16273992699582585,0.0,0.27433035844234477,0.0,0.39435061797393045,0.0,0.5653166133980707,0.0,0.5090207310896485,0.0,0.0,0.0,0.3496690361003895,0.0,0.28045479155387115,0.0,0.18219606336343155,0.0,0.0,0.0,0.5192902177899645,0.0,0.3941585017261354,0.0,0.0,0.0,0.2782541872609463,0.0,0.146543945136257,0.0,0.0,0.0,0.4673839006584348,0.0,0.35228880311577626,0.0,0.0,0.0,0.5182306675748527,0.0
279,1,76.680626,30.706793,0.9255685129067763,0.9255685129067763,1.0,92.55685129067763,1.0,92.55685129067763,1.0,92.55685129067763,1.0,92.55685129067763,1.0,92.55685129067763,1.0,92.55685129067763,1.0,92.55685129067763,0.0,0.9268813874777314,0.22704108394021547,408.24390519638206,0.2917064659860753,317.7445465065476,0.21362434227598734,0.0,0.4046721180231563,229.04503329895664,0.2469950363577135,375.26316364324197,0.17505259031454803,529.4873876543268,0.4029826024061794,230.005310885232,0.0,0.0,0.18866809852194988,0.0,0.13076077894399754,0.0,0.21562857158632265,0.0,0.47139694230801077,0.0,0.06890573496689985,0.0,0.07763489898794701,0.0,0.5444270830457659,0.0,0.0,0.0,0.24156760547049697,0.0,0.1309043325585119,0.0,0.3126100807765146,0.0,0.36956773798152576,0.0,0.27575545089638187,0.0,0.36404644511558826,0.0,0.3476095562536924,0.0,0.0,0.0,0.27016790251605316,0.0,0.14115185211769188,0.0,0.22056460740847078,0.0,0.2842968909599872,0.0,0.4402237227869278,0.0,0.5616700806660887,0.0,0.5075227615298398,0.0,0.0,0.0,0.35761966021963704,0.0,0.33220514915772675,0.0,0.109608705974591,0.0,0.0,0.0,0.51562249816417,0.0,0.31056720241611774,0.0,0.0,0.0,0.20031250517621205,0.0,0.07579630846358983,0.0,0.0,0.0,0.48536029196596675,0.0,0.3601042420093089,0.0,0.0,0.0,0.5071197071506264,0.0
204,1,76.707739,30.67142,0.7222525683930663,0.7222525683930663,1.0,72.22525683930662,1.0,72.22525683930662,1.0,72.22525683930662,1.0,72.22525683930662,1.0,72.22525683930662,1.0,72.22525683930662,1.0,72.22525683930662,0.7251441575185118,0.7251441575185118,0.39401771726025026,184.03846470679164,0.1691947815665408,428.58541546290394,0.22836061194579413,317.54344645504756,0.24543531467269275,295.45224919468023,0.07863748926062566,922.1354398983799,0.4256257716105091,170.37129936344468,0.18050090607830538,401.7398988589718,0.0,0.7407544640012004,0.5182840104253154,142.92442928990243,0.22140077540087647,334.5762735744547,0.28288414471261797,261.85789406957855,0.2992440924416464,247.5418839373245,0.282205488452014,0.0,0.41525099452021175,178.387161927711,0.38226396840638516,193.7808753174727,0.0,0.0,0.35446072096398074,0.0,0.3035037434390545,0.0,0.2633980463363392,0.0,0.39340403872672536,0.0,0.0,,0.2510594979387621,0.0,0.40439249435054764,0.0,0.0,0.0,0.3539553386422543,0.0,0.31690359471225693,0.0,0.19470214931881685,0.0,0.4689586958248201,0.0,0.2291981026503693,0.0,0.4038582330390083,0.0,0.33400717642896854,0.0,0.0,0.0,0.28798850616205446,0.0,0.07044307590120498,0.0,0.4182616292082103,0.0,0.0,0.0,0.34677168992628643,0.0,0.6747864759690706,0.0,0.0,0.0,0.533510457804186,0.0,0.37404789580460474,0.0,0.0,0.0,0.2824004216332513,0.0,0.17909305532492473,0.0,0.0,0.0,0.3334801348648824,0.0
284,1,76.726352,30.694305,0.11323804584075525,0.11323804584075525,1.0,11.323804584075525,1.0,11.323804584075525,1.0,11.323804584075525,1.0,11.323804584075525,1.0,11.323804584075525,1.0,11.323804584075525,1.0,11.323804584075525,0.12965492961637112,0.12965492961637112,0.20845483535410378,62.19809168548445,0.21803857369417298,59.464216546485375,0.2803925581078085,46.24050313293976,0.0762862161286472,169.9585274982367,0.2939752050613052,44.10403577721225,0.2755068979041967,47.06050215173075,0.5242066131205129,24.73355474181399,0.1528956034758735,0.1528956034758735,0.39420371412492966,38.78593681322302,0.3211831312562882,47.60387099964798,0.22144063027574562,69.04586718592815,0.17821149025425895,85.7944699624774,0.45900479186917004,33.310241240238135,0.5159871079961119,29.631671238775525,0.2965757746286728,51.55363875127906,0.17612449382620463,0.17612449382620463,0.23246533994986443,75.76376498285259,0.5148530891355877,34.2086893412466,0.08828294196892959,199.50002786290253,0.08482972664176941,207.62119695371322,0.3401118671236848,51.78428359930038,0.1736583618969663,101.42010548890327,0.07530567350488566,233.87944842532755,0.0,0.17708188164608454,0.1282890810184001,138.03347895265247,0.530678194437339,33.368976434737206,0.2290632833682918,77.30696907953133,0.20453266485905766,86.57877790235153,0.5817175696185263,0.0,0.35884449446632904,49.34780507345931,0.4655190054739857,38.039667460146326,0.0,0.0,0.0,,0.41491447963029277,0.0,0.42916219027642777,0.0,0.0,0.0,0.4780187923125458,0.0,0.4482614552957828,0.0,0.0,0.0,0.5174280793301614,0.0,0.4632083354649477,0.0,0.0,0.0,0.3394809092614382,0.0,0.14808751556078512,0.0,0.0,0.0,0.23397452294469737,0.0
69,1,76.696064,30.715001,0.7952673118598902,0.7952673118598902,1.0,79.52673118598902,1.0,79.52673118598902,1.0,79.52673118598902,1.0,79.52673118598902,1.0,79.52673118598902,1.0,79.52673118598902,1.0,79.52673118598902,0.0,0.8067249788019255,0.13644131936814863,0.0,0.2846627114919798,283.3967872271372,0.23439292951488072,344.17632838652224,0.33500573744476186,240.80930223917258,0.40327522644595815,200.04327712156964,0.08127639834956907,992.5697929332554,0.5750445567518737,140.28912530860103,0.0,0.0,0.0,,0.27992016406650555,0.0,0.27520203129959225,0.0,0.4079689445543104,0.0,0.2098561976610757,0.0,0.18167557801704143,0.0,0.48488122268610073,0.0,0.0,0.0,0.1494116067286799,0.0,0.280811299103982,0.0,0.31009057838326126,0.0,0.29806025537732855,0.0,0.43816377352962715,0.0,0.36481603554774283,0.0,0.2620730486584145,0.0,0.0,0.0,0.18411704387314143,0.0,0.2887155448131058,0.0,0.28066481115261604,0.0,0.20438121047877145,0.0,0.6087550965599746,0.0,0.5368112014453478,0.0,0.5246038721648477,0.0,0.0,0.0,0.2821907273126785,0.0,0.4893430015381235,0.0,0.11952196098537562,0.0,0.0,0.0,0.5353646329256085,0.0,0.16772870431407017,0.0,0.0,0.0,0.06600502941966357,0.0,0.14389999755853414,0.0,0.0,0.0,0.4809504626577797,0.0,0.3602810127200371,0.0,0.0,0.0,0.45685319465807267,0.0
176,1,76.67732,30.699459,0.7624586857406905,0.7624586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,0.0,0.7688899902894132,0.23569074260273898,326.22833709909054,0.25264946419257883,304.33074249598906,0.20351003597141645,0.0,0.40838580285082887,188.27539667686872,0.24665960501341536,311.7210822775763,0.18407256655249732,417.71025671559073,0.39856759561460586,192.91332229449225,0.0,0.0,0.19733198552540315,0.0,0.16094654830332134,0.0,0.21611347395701713,0.0,0.47266118582005695,0.0,0.08070179211854976,0.0,0.11853361364870606,0.0,0.5563417768481727,0.0,0.0,0.0,0.2614084234411042,0.0,0.05000510804867164,0.0,0.33058753313510525,0.0,0.377301982460574,0.0,0.27603895021534464,0.0,0.3682795554384588,0.0,0.3431049408272889,0.0,0.0,0.0,0.2892553540415419,0.0,0.06514643969007587,0.0,0.22092041660169587,0.0,0.30302020098827304,0.0,0.4348347411832392,0.0,0.5610358047327416,0.0,0.5204079986665305,0.0,0.0,0.0,0.36185954479220994,0.0,0.32964119990751745,0.0,0.12033487291712595,0.0,0.0,0.0,0.5185207091046935,0.0,0.31603765976094333,0.0,0.0,0.0,0.20867185357644064,0.0,0.08741215500508118,0.0,0.0,0.0,0.47058570499137015,0.0,0.36428452368790365,0.0,0.0,0.0,0.5200154854528151,0.0
124,1,76.704665,30.674897,0.0,0.5435528611139886,1.0,54.35528611139886,1.0,54.35528611139886,1.0,54.35528611139886,1.0,54.35528611139886,1.0,0.0,1.0,54.35528611139886,1.0,54.35528611139886,0.0,0.0,0.32608799210588996,0.0,0.12403280138827452,0.0,0.17957058763482933,0.0,0.25560583891932354,0.0,0.0,,0.3556704889584538,0.0,0.2390894552383545,0.0,0.0,0.0,0.4496308142502297,0.0,0.1732416890673381,0.0,0.22774507468780836,0.0,0.336956003947055,0.0,0.23914389737656946,0.0,0.35596311545135934,0.0,0.41755078430705367,0.0,0.0,0.0,0.29521249447072034,0.0,0.2592194358433427,0.0,0.2214161761203171,0.0,0.3255095443873558,0.0,0.07412297117969309,0.0,0.20119772704072952,0.0,0.33586716118275545,0.0,0.0,0.0,0.2947361257613393,0.0,0.2718500119092177,0.0,0.15645989996257104,0.0,0.4031304229473613,0.0,0.2703528531083058,0.0,0.44515975364932453,0.0,0.37935281908196944,0.0,0.0,0.0,0.23463200517200314,0.0,0.13721460410357617,0.0,0.3582428799891116,0.0,0.0,0.0,0.3913505052910953,0.0,0.5971417877437137,0.0,0.0,0.0,0.4639831229371534,0.0,0.31656742318554565,0.0,0.0,0.0,0.3306747422505019,0.0,0.19613460818673653,0.0,0.0,0.0,0.39011194664670457,0.0
226,1,76.711345,30.704868,0.0,0.9472833396118153,1.0,0.0,1.0,94.72833396118153,1.0,94.72833396118153,1.0,94.72833396118153,1.0,94.72833396118153,1.0,94.72833396118153,1.0,94.72833396118153,0.0,0.0,0.0,,0.2151391312985115,0.0,0.14382813276006415,0.0,0.2348488073446568,0.0,0.3399670795907652,0.0,0.0641309437656975,0.0,0.5403913555546096,0.0,0.0,0.0,0.1585997474209981,0.0,0.2054120017595391,0.0,0.2005236047848112,0.0,0.3196614306188185,0.0,0.21545840250876222,0.0,0.2628737246888879,0.0,0.4153363699572886,0.0,0.0,0.0,0.03498502972769713,0.0,0.2619301008897024,0.0,0.16656733784569974,0.0,0.1869226512281299,0.0,0.38720502887630726,0.0,0.30718147375590654,0.0,0.15007165864941183,0.0,0.0,0.0,0.07042413406552864,0.0,0.2750982645835994,0.0,0.20687355441090916,0.0,0.14042966809983964,0.0,0.588246562513303,0.0,0.4694280078895463,0.0,0.49154995530203055,0.0,0.0,0.0,0.1734565010713323,0.0,0.4494416301278504,0.0,0.19062619726703844,0.0,0.0,0.0,0.5028379663133399,0.0,0.29970343252025594,0.0,0.0,0.0,0.264072765456274,0.0,0.21895619598995358,0.0,0.0,0.0,0.4395867921047777,0.0,0.2945950931562442,0.0,0.0,0.0,0.36324549827593544,0.0
184,1,76.698487,30.722642,0.8212573046720129,0.8212573046720129,1.0,82.12573046720128,1.0,82.12573046720128,1.0,82.12573046720128,1.0,82.12573046720128,1.0,82.12573046720128,1.0,82.12573046720128,1.0,82.12573046720128,0.8296951564864339,0.8296951564864339,0.19466073414905452,426.2262546750309,0.31506943568455215,263.3372401495414,0.2678462896918684,309.7654096463009,0.3815293051844547,217.46564293018287,0.41887320390353544,198.07787864069454,0.1428391225072532,580.8598806285044,0.5808458424595484,142.8425747136541,0.0,0.8345869756388982,0.09742210703760192,0.0,0.3106085799800466,268.69411517624906,0.306182126761694,272.57860687879713,0.45007052509661366,185.43471058446738,0.24479662396935886,340.9307539075225,0.21832391087462588,382.2700739902767,0.579693359173423,143.9704220225887,0.0,0.0,0.20684494799490846,0.0,0.3082290746877975,0.0,0.33895622857011803,0.0,0.34681719665607835,0.0,0.45926745639484884,0.0,0.39036501037808335,0.0,0.3130167540107565,0.0,0.0,0.0,0.23834615781567148,0.0,0.3188709104044586,0.0,0.3113080971984909,0.0,0.25878123459055313,0.0,0.6195199706432118,0.0,0.5711042051305575,0.0,0.5413747233466739,0.0,0.0,0.0,0.33191518640413753,0.0,0.5073449307936654,0.0,0.15993715812529388,0.0,0.0,0.0,0.5505773883926012,0.0,0.19107140809375828,0.0,0.0,0.0,0.0614600415123333,0.0,0.1828320126601149,0.0,0.0,0.0,0.49946102771693635,0.0,0.38609910209511145,0.0,0.0,0.0,0.5409561597651458,0.0
191,1,76.69194,30.709532,0.12748866233198242,0.12748866233198242,1.0,12.748866233198243,1.0,12.748866233198243,1.0,12.748866233198243,1.0,12.748866233198243,1.0,12.748866233198243,1.0,12.748866233198243,1.0,12.748866233198243,0.17898695720024574,0.17898695720024574,0.16027487965067377,111.67499085967543,0.2290365492104965,78.14777065810026,0.17990658386871633,99.48883100957457,0.3518614625649469,50.86858785144968,0.31402375370592406,56.99790384897534,0.10210156469037264,175.3028543127927,0.5005517874932145,35.75792988306372,0.2003130816386272,0.2003130816386272,0.11681192099596151,171.4834238926287,0.17034425574306386,117.59309450432328,0.2148034145206607,93.2541422051558,0.4231703024988516,47.33628056027651,0.12161396350447694,164.7122385179504,0.060881547629699884,329.02100790372873,0.4993587334538318,40.114063942199415,0.2619626930627139,0.2619626930627139,0.1721517326127287,152.1696523682531,0.18859798254561938,138.90005053439452,0.24890089896621867,105.24778904003396,0.3173822008267864,82.53855836284968,0.3455859983177938,75.80246142432495,0.3073724774363655,85.2264637509542,0.2788047984633464,93.95917663775552,0.0,0.27175761083292305,0.20304586696254406,133.84050357599952,0.19966952403109098,136.10370042781645,0.22013636607670145,123.44966698425254,0.2183169586666428,124.47847042788874,0.5407935002415935,50.25164146971411,0.5212154834553231,52.139205272902686,0.4594928327278584,0.0,0.0,0.0,0.30024994482125067,0.0,0.42408895410917635,0.0,0.0,,0.0,0.0,0.4740540572785244,0.0,0.24851315640341928,0.0,0.0,0.0,0.12939267584125222,0.0,0.05521454094263199,0.0,0.0,0.0,0.420867708202843,0.0,0.3029343164098618,0.0,0.0,0.0,0.4590573680034837,0.0
