Ward,x,y,fill_ratio,distance_from_0,fill_p_m,fill_ratio_0,distance_from_0_0.7319939418114051,fill_per_m_0,fill_ratio_1,distance_from_201,fill_per_m_1,fill_ratio_2,distance_from_33,fill_per_m_2,fill_ratio_3,distance_from_194,fill_per_m_3,fill_ratio_4,distance_from_24,fill_per_m_4,fill_ratio_5,distance_from_163,fill_per_m_5
2,76.752876,30.717853,1.0,0.5205653509159235,192.09883989407317,1.0,1.0,1.0,1.0,0.4128789663654098,2.4220173015909245,1.0,0.48814920225047354,2.04855399822387,1.0,0.2102609531528305,4.755994800770921,1.0,0.49458585820508716,2.021893637697452,0.0,0.49910942315122847,0.0
2,76.744586,30.725718,1.0,0.5702763959614988,175.35356663569732,1.0,1.0,1.0,1.0,0.3157754378720622,3.1668074209278885,1.0,0.5309091221912529,1.8835615328526292,1.0,0.20285778190702317,4.929561935456511,1.0,0.5093252124840852,1.9633820896530756,0.0,0.4068425036991157,0.0
2,76.740917,30.734954,1.0,0.6417400092230104,155.82634487925327,1.0,1.0,1.0,1.0,0.15556795682320293,6.428058968058968,1.0,0.5784452377858131,1.7287721199466082,1.0,0.23877196871822706,4.188096305308318,1.0,0.5900191879887777,1.6948601339707958,1.0,0.13163266086185413,7.596898774609443
2,76.727572,30.739281,1.0,0.654171449876863,152.8651243016236,1.0,1.0,1.0,1.0,0.1981851587986051,5.045786506224695,1.0,0.5926806404439612,1.6872493072338701,1.0,0.3799992500656193,2.63158414083006,1.0,0.5978026922644268,1.6727927340241364,1.0,0.05665754246503431,17.649900727994705
2,76.713972,30.720256,1.0,0.7011695562162109,142.6188560433794,1.0,1.0,1.0,1.0,0.08518453734476124,11.739219712525667,1.0,0.43913241210425047,2.2772174688909073,1.0,0.439608186111597,2.274752908596075,1.0,0.6247612384117543,1.60061146325621,1.0,0.27079937029910794,3.692770773046713
2,76.736806,30.748459,1.0,0.7314828442194292,136.70860607361303,1.0,1.0,1.0,1.0,0.24873242837214293,4.020384501307736,1.0,0.6357307651035519,1.572992931743855,1.0,0.28683335121794185,3.4863449307893752,1.0,0.6403114604571306,1.5617399683680202,1.0,0.07623537933254641,13.117269288290666
2,76.739675,30.751624,1.0,0.5640950166308539,177.27509914422876,1.0,1.0,1.0,1.0,0.37130383357684543,2.6932121609593858,1.0,0.8804007514088917,1.1358463726884778,1.0,0.42070201071453417,2.3769793690825654,1.0,0.8863407082724554,1.1282343129078152,1.0,0.21281221735197942,4.698978340825501
2,76.744077,30.754541,1.0,0.5366810898851049,186.33039599254084,1.0,0.9364091589985021,1.067909247138835,1.0,0.4380398031243312,2.282897565169813,1.0,0.9376417718810186,1.0665053861603067,1.0,0.44965546757971325,2.2239249205231197,1.0,0.9434881232612882,1.0598967547608031,1.0,0.2820543548041943,3.5454159206093903
2,76.764698,30.740955,1.0,0.44322942729029924,225.61678860393812,1.0,0.926028043130663,1.0798809036271264,1.0,0.5284223689065639,1.8924255649306565,1.0,0.925341314419253,1.0806823216659283,1.0,0.3330121766225247,3.0028931979070483,1.0,0.9323418474027305,1.072567967195453,1.0,0.5378623262678858,1.8592118301699823
2,76.739919,30.725365,1.0,0.5626183537907554,177.74038000401106,1.0,1.0,1.0,1.0,0.23886713811114116,4.186427684894502,1.0,0.5263988559769103,1.899700177243287,1.0,0.2398088644350078,4.169987637262745,1.0,0.5323544030065485,1.8784478804953155,1.0,0.2803990129312976,3.5663463631557666
2,76.736815,30.711349,1.0,0.520388740077905,192.16403488098044,1.0,1.0,1.0,1.0,0.41554560452510014,2.406474738537626,1.0,0.39947207164741927,2.503303912776703,1.0,0.3593400895592741,2.7828790303539104,1.0,0.49440490219184535,2.0226336663870033,1.0,0.5153523450388876,1.9404200051220135
2,76.74777,30.729357,1.0,0.49000186422551245,204.08085621890046,1.0,1.0,1.0,1.0,0.37518647190156285,2.6653413033036237,1.0,0.7268349335709494,1.3758282022673114,1.0,0.21056056707481902,4.749227331082688,1.0,0.7336730709544358,1.3630049126637553,1.0,0.38440744485938266,2.6014064331293136
2,76.742851,30.7107,1.0,0.5087471423385238,196.56130064993923,1.0,1.0,1.0,1.0,0.3525872210757748,2.8361776610874085,1.0,0.38795780216389264,2.5775999204613247,1.0,0.2950955622842375,3.3887327625645387,1.0,0.4828354322963877,2.071099039364103,1.0,0.4546778268500125,2.1993595045704226
2,76.746865,30.707631,1.0,0.4666352691843523,214.30013246704095,1.0,1.0,1.0,1.0,0.4294139910427049,2.3287550495776714,1.0,0.3784246935385521,2.6425336852340604,1.0,0.36672343825564035,2.7268505246258816,1.0,0.4361635021762443,2.292718200882204,1.0,0.5407178452028008,1.8493933737750816
2,76.760178,30.737124,1.0,0.4409040512563899,226.80671614389195,1.0,0.8916237586436103,1.1215492973418046,1.0,0.5760389694137722,1.7359936620567316,1.0,0.9277359445221582,1.077892913284784,1.0,0.2600970266972231,3.8447190754090856,1.0,0.9345119398394793,1.0700772856596883,1.0,0.5576455648481601,1.7932537493995626
2,76.761424,30.727588,1.0,0.38376553930081736,260.57576764758517,1.0,0.924111045481394,1.0821210339273386,1.0,0.6012285883047843,1.6632608951939327,1.0,0.8467572356763142,1.180976031697313,1.0,0.1398346131128175,7.151305229365548,1.0,0.8548257531010042,1.1698290515609238,1.0,0.5812522150029533,1.720423551409467
