W1,Garbage Region 1 Truck 1,Distance Region 1 Truck 1,Garbage Region 1 Truck 2,Distance Region 1 Truck 2,Garbage Region 1 Truck 3,Distance Region 1 Truck 3,Garbage Region 2 Truck 1,Distance Region 2 Truck 1,Garbage Region 2 Truck 2,Distance Region 2 Truck 2,Garbage Region 2 Truck 3,Distance Region 2 Truck 3,Garbage Region 3 Truck 1,Distance Region 3 Truck 1,Garbage Region 3 Truck 2,Distance Region 3 Truck 2,Garbage Region 3 Truck 3,Distance Region 3 Truck 3
0.0,989.5026151779554,51.655300000000004,994.5279786605839,55.581799999999994,999.5717390019769,46.2563,991.422288835534,65.38770000000001,998.2003659908967,60.424200000000006,976.8396185129928,75.35430000000002,988.7102255876396,66.8227,997.9498416366134,52.849,993.8489819885037,72.3705
0.1,996.9150707441813,31.661299999999997,981.2119924195756,32.2042,973.121548831349,35.805800000000005,997.2807082191853,41.49079999999999,997.6210521336773,53.7141,997.3761715706621,46.2266,999.2028424871772,35.479699999999994,959.2799156696262,35.923100000000005,988.8519003099756,45.1252
0.2,999.5286294283131,30.377200000000002,997.1203432432446,36.34,975.2480287466553,34.903,999.4408107289262,47.6263,973.1876158096128,48.14489999999999,965.6114319488731,55.099399999999996,984.1659355231459,33.9575,995.4790395415823,39.4748,995.3589818633548,42.3273
0.3,990.3320343684239,22.1051,988.301247364544,32.79729999999999,979.6462288970408,39.3483,999.3010683917754,40.3632,986.9379099536708,47.8136,986.4217778312003,50.5473,996.6720235642043,33.289199999999994,997.8872183343317,33.058699999999995,970.3207697777689,43.9863
0.4,990.7067690642672,28.004299999999997,981.8247830471216,38.3805,971.5734411112775,36.8565,999.3604589687211,48.6094,993.355229404705,48.0267,989.2920739922314,51.13729999999999,964.268299283584,34.89450000000001,999.9550165863311,38.721599999999995,982.890720310003,40.95940000000001
0.5,995.2350307730242,34.347199999999994,999.0059481652568,29.813900000000004,982.0297755997602,40.3719,973.8020769719317,44.9389,981.299940943928,45.4687,986.687431626265,55.13400000000001,979.8871134444363,35.3875,982.0648363755682,43.652699999999996,956.443858930953,45.346399999999996
0.6,990.6568841280896,26.7196,990.5792141477258,44.463200000000015,998.1922641251524,38.396899999999995,976.2163052347419,42.47189999999999,988.1773116445152,39.635799999999996,985.2894478088205,49.453599999999994,990.122647902117,38.3917,996.2992611096194,40.1871,986.5880760221036,34.929300000000005
0.7,988.7310926458746,34.7054,990.3726439623483,36.0133,992.8945000355621,45.741699999999994,997.7529083378976,44.10889999999999,990.6945899403944,56.6515,984.1057692909242,57.72240000000001,983.5974466861987,40.1747,997.5680498457737,39.1439,994.3999435751076,34.03660000000001
0.8,993.4613345827495,30.481799999999996,989.5075993873032,39.416199999999996,980.8726211239346,36.643600000000006,985.6823967936929,44.7051,963.657755851514,41.6092,975.8767374679112,48.2962,999.4531066299146,42.264399999999995,997.1821469801345,35.1626,972.2945233138461,51.1258
0.9,998.7219098117537,24.695300000000003,984.9462408762631,33.357000000000006,998.9251544520948,40.4856,986.012906061357,40.055899999999994,969.3686256089683,45.388400000000004,964.2483218254907,45.353300000000004,985.239500233416,34.357800000000005,994.192105311513,39.65,997.8305276640782,35.137699999999995
1.0,998.1613704053061,27.288300000000003,995.4996309225133,27.043500000000005,988.9510476155726,37.5042,987.951131329884,40.98640000000001,996.7315778804574,49.174099999999996,999.2295750297548,50.441399999999994,991.9979733042544,35.1445,973.9231108156758,41.6523,999.7163121958301,46.134
