Ward,x,y,fill_ratio,distance_from_0,fill_p_m,fill_ratio_0,distance_from_0_0.6511683891270839,fill_per_m_0,fill_ratio_1,distance_from_248,fill_per_m_1,fill_ratio_2,distance_from_242,fill_per_m_2,fill_ratio_3,distance_from_181,fill_per_m_3
1,76.728325,30.672599,0.9367299887367345,0.5398110264033202,173.52924318312387,0.9367299887367345,1.0,0.9367299887367345,0.9367299887367345,0.4041478088590799,2.3177905909749907,0.9419532595711518,0.42868567897195414,2.1973051720087367,0.0,0.7071268880527837,0.0
1,76.733428,30.670581,0.9132405525564713,0.5077954061558688,179.84419344592303,0.9132405525564713,0.960961072479645,0.9503408397178498,0.9132405525564713,0.3472932700788206,2.6295947294032076,0.9186780281582066,0.41070251501675753,2.2368453919029996,0.9202510357390034,0.6890904533343236,1.33545753142589
1,76.708514,30.719551,0.9148643902204485,0.7271804079710359,125.80982383354973,0.9148643902204485,1.0,0.9148643902204485,0.917525561314756,0.32881323915346056,2.790415506616926,0.9191454754707478,0.4581419039716111,2.0062462470747993,0.9191454754707478,0.08003265262064266,11.484630902183472
1,76.707739,30.67142,0.8985541885270792,0.6795052934192839,132.2365251940183,0.8985541885270792,1.0,0.8985541885270792,0.8985541885270792,0.34475016063938085,2.6063923708131185,0.9057889869150495,0.12830213199142293,7.059812435350661,0.9146227182210851,0.48527532506912907,1.8847501015857215
1,76.705889,30.715948,0.8971102599525771,0.7375268595649487,121.63763913381585,0.8971102599525771,1.0,0.8971102599525771,0.9000961253070074,0.30681939123031077,2.9336350668636837,0.9000961253070074,0.39754948914431676,2.2641108840169037,0.9074562599838542,0.022043954874414642,41.16576472568881
1,76.70779,30.689305,0.8948273504276488,0.7031515222873066,127.25953397879779,0.8948273504276488,1.0,0.8948273504276488,0.9034404474665781,0.2867458783637645,3.1506658530605898,0.9046397489154101,0.08897013165514307,10.167903903097303,0.9070809295804071,0.2913297378757963,3.1135885275368844
1,76.733171,30.68394,0.8960912999234932,0.5289543657217988,169.40805445488817,0.8960912999234932,1.0,0.8960912999234932,0.8974676412190216,0.29313399059552403,3.061629391377464,0.8997516327009801,0.32566939649975424,2.7627761231831287,0.900380146244493,0.48966342363732485,1.8387735386814812
1,76.698487,30.722642,0.877339353380981,0.8556108282067131,102.53953368259833,0.877339353380981,1.0,0.877339353380981,0.8893215993229602,0.4087072692453242,2.1759378074314357,0.8893215993229602,0.39581780443333375,2.246795342104793,0.8893215993229602,0.16289577193445182,5.459451701919049
1,76.734448,30.696438,0.8607305832563434,0.523082055357686,164.54982051865107,0.8607305832563434,1.0,0.8607305832563434,0.8607305832563434,0.11496473589435774,7.486909586321127,0.868928086771391,0.3787515006002401,2.294190479494671,0.8732678030025468,0.47781925270108044,1.8276111690058991
1,76.68913,30.720583,0.8661761457749352,0.8442292408677479,102.59963808936882,0.8661761457749352,1.0,0.8661761457749352,0.8661761457749352,0.4353579024441268,1.9895725813455263,0.8661761457749352,0.36510814360261734,2.3723824323066287,0.8700603994728827,0.1789570331113513,4.861839651373247
1,76.724498,30.659777,0.8511366715168569,0.5884673122773968,144.6361851812834,0.8511366715168569,1.0,0.8511366715168569,0.8547998131041532,0.4458616780045351,1.9171861033893534,0.8648164716465899,0.4431272509003601,1.9516210521682613,0.8693727201117918,0.693110577564359,1.2543059480737269
1,76.708249,30.663889,0.835302495589238,0.7452683012980896,112.08077602848921,0.835302495589238,1.0,0.835302495589238,0.8422187011106257,0.38804191845386204,2.170432267901399,0.8555366850181985,0.2002448753900233,4.272452332934076,0.866711171664071,0.5158839869926406,1.6800505414339117
1,76.697373,30.717857,0.8287375091519293,0.8021173677135766,103.31873395463722,0.8287375091519293,1.0,0.8287375091519293,0.8359934968744014,0.376325671857225,2.2214628429377274,0.836236282635476,0.36877836356741817,2.267584992096749,0.8410584181715781,0.10079387408105099,8.344340624265131
1,76.71782,30.664171,0.8074401551640625,0.7499681119320245,107.66326491988863,0.8074401551640625,1.0,0.8074401551640625,0.8197772962720637,0.4080014652781412,2.0092508631389556,0.8232204958384312,0.22138128630488252,3.718564064645943,0.8380722044366762,0.5350423884033702,1.5663659975382191
1,76.691224,30.694111,0.8083973481164611,0.8018230163168791,100.81992305855483,0.8083973481164611,1.0,0.8083973481164611,0.8087383029281044,0.3835856144687412,2.1083645278204495,0.8198022359723395,0.1488907379988008,5.506066038701094,0.8313189476815489,0.2212956278068061,3.756599061267044
1,76.748676,30.682277,0.8101133946791808,0.42779560239013337,189.36926657333612,0.8101133946791808,0.7154366821183903,1.1323341602788035,0.8114599434649019,0.2594248677031628,3.127918887072093,0.8160107468384207,0.47923042211921074,1.7027523904470203,0.8297219962935156,0.5201214259342823,1.5952467153282617
1,76.717864,30.65906,0.795792669436101,0.6315652626105045,126.00323617337358,0.795792669436101,1.0,0.795792669436101,0.8078400983115644,0.44989396987657004,1.7956233077167008,0.8078400983115644,0.2826304791940157,2.8582907994045867,0.8255820158129917,0.6802706292674212,1.2136082028148936
1,76.698059,30.669402,0.7982951789667752,0.7646611524838353,104.39855305499529,0.7982951789667752,1.0,0.7982951789667752,0.8177544006471297,0.2720075448940443,3.0063666100352893,0.8214668034949402,0.12307287623422533,6.674637244453206,0.8228646696302184,0.4517954409849423,1.821321321517371
1,76.739442,30.680772,0.770967179954561,0.48486052649653155,159.00803175819595,0.770967179954561,0.8345760536382291,0.9237830112589821,0.770967179954561,0.28527397549462524,2.7025499911718605,0.7928781895671411,0.4192513278670528,1.8911763347320099,0.8084407893825021,0.46420881078844484,1.741545551471523
