Ward,x,y,fill_ratio,distance_from_0,fill_p_m,fill_ratio_0,distance_from_0_0.5406351216101065,fill_per_m_0,fill_ratio_1,distance_from_257,fill_per_m_1,fill_ratio_2,distance_from_227,fill_per_m_2,fill_ratio_3,distance_from_130,fill_per_m_3
2,76.752629,30.749529,0.9856504541106007,0.5293566459639517,186.1978047551937,0.9856504541106007,0.9355778484908915,1.0535205121631273,0.9858810245845167,0.15443975271604832,6.383596238962837,0.9858810245845167,0.7181725958745545,1.3727633583455803,0.0,0.40228728984765855,0.0
2,76.761229,30.756097,0.9082658859666537,0.5575309804845024,162.90859481518993,0.9082658859666537,0.9469237435008665,0.9591753213502799,0.9119155790558204,0.2518247566991068,3.621230855175308,0.912513117862804,0.793560858552193,1.1498968327742785,0.9174763555921704,0.46605452606319153,1.968603037378874
2,76.730468,30.707526,0.9004180571633305,0.5675438338288249,158.65172053563404,0.9004180571633305,1.0,0.9004180571633305,0.9004180571633305,0.5308634505173442,1.6961387269849582,0.9062154237119776,0.2681113694710728,3.379996251183788,0.9152461926110282,0.2903091963660567,3.152660005496264
2,76.721468,30.736991,0.8972157579533268,0.6642431735005249,135.0733878415414,0.8972157579533268,1.0,0.8972157579533268,0.8972157579533268,0.2848786540421572,3.149466431488244,0.9061737829569418,0.4761813320728519,1.9030014868753917,0.0,0.08981668857737928,0.0
2,76.743991,30.750429,0.8872127425763265,0.5480823006505166,161.87582440142612,0.8872127425763265,1.0,0.8872127425763265,0.8936598053317145,0.21613856068743284,4.134661591570761,0.8936598053317145,0.7941192266380236,1.1253471460640805,0.9037770469935459,0.4099266022198353,2.204728949278751
2,76.744236,30.729776,0.8773730719279554,0.4987735358470943,175.90609943606268,0.8773730719279554,1.0,0.8773730719279554,0.8868091273850028,0.36098515771769174,2.456635981910734,0.8882815848885619,0.4082562039559748,2.17579445524936,0.8974334329937727,0.34412652824361406,2.6078589104251257
2,76.752546,30.683652,0.8920465551771133,0.39530901990796613,225.6580321351623,0.8920465551771133,0.6980586140878259,1.2778963502123346,0.8938913455507362,0.8109812618575277,1.1022342778960212,0.8938913455507362,0.24498193757417724,3.648805109479053,0.8943519900954822,0.7266466261814213,1.2307935630216358
2,76.745047,30.737274,0.8172222002012158,0.5352142387582296,152.6906687118944,0.8172222002012158,1.0,0.8172222002012158,0.8224977259488118,0.11269787436868108,7.298254120198253,0.8361726328094905,0.6239676618055492,1.3400896937349167,0.8429064040143681,0.34463825769727857,2.445771428994269
2,76.747891,30.715129,0.8226005606596583,0.5292683405449425,155.4222116918417,0.8226005606596583,1.0,0.8226005606596583,0.8316055403178544,0.4109839180608981,2.023450319519875,0.8370549571179852,0.25470640033368863,3.2863522707767325,0.8405101226711608,0.4745052602308013,1.7713399473429088
2,76.760024,30.686268,0.8324426408004217,0.3472757778235658,239.7065081870887,0.8324426408004217,0.6206805846609791,1.3411771873855356,0.8378661246083848,0.8104849669878736,1.0337836711793333,0.8382647618133243,0.2914536734210734,2.8761509572818236,0.8382647618133243,0.7150084612754167,1.1723843943301673
2,76.7473,30.693785,0.8036720768991145,0.45480724889372937,176.70608347909186,0.8036720768991145,0.900461366616483,0.8925114465698202,0.8141282946149476,0.7900636200281677,1.0304591604735858,0.8326620177475008,0.1583701617211403,5.25769506514529,0.8326620177475008,0.6842989655674809,1.21681028270587
2,76.742851,30.7107,0.8021969807540397,0.5087471423385238,157.6808819144683,0.8021969807540397,1.0,0.8021969807540397,0.8088551150058262,0.509141578754508,1.5886644280447395,0.8240474929846339,0.2675647528495111,3.0798058571194185,0.828215289853603,0.40413878227999456,2.0493338579908937
2,76.712239,30.733528,0.8180147659224931,0.7368792864922145,111.01068803501181,0.8180147659224931,1.0,0.8180147659224931,0.8201046265655813,0.3562821229794147,2.301840518147371,0.8281262099534875,0.5287275971345636,1.5662625034923712,0.8281262099534875,0.11596894889616789,7.140930549391677
2,76.729602,30.744926,0.808120379564417,0.7099117926981231,113.83391399839097,0.808120379564417,1.0,0.808120379564417,0.811082285486039,0.21201462265128845,3.825595967595445,0.819609785985801,0.4980892424001603,1.645507905443447,0.8245670179422933,0.20147608616031012,4.09262971927201
2,76.739592,30.718233,0.7699935530986108,0.516900676027041,148.9635415099224,0.7699935530986108,1.0,0.7699935530986108,0.7886211874713365,0.39922554193083026,1.9753775864570629,0.7932877893307065,0.23686458372878783,3.349119470891556,0.807086860872167,0.30862533692722377,2.615102405096715
2,76.743005,30.717842,0.7798755458576239,0.5360286109557589,145.4914028687903,0.7798755458576239,1.0,0.7798755458576239,0.7812705839357846,0.3825997821769492,2.0420047797477667,0.7961551054332754,0.3019503400053083,2.636708756212293,0.7961551054332754,0.31407704346393567,2.5349038460516935
2,76.761424,30.727588,0.7751328233611146,0.38376553930081736,201.98083047616248,0.7751328233611146,0.924111045481394,0.8387875322465465,0.7751328233611146,0.4642882457176609,1.669507747634175,0.781277533193691,0.6878795038393384,1.135776729547922,0.7949227382370287,0.6643827525103366,1.1964831044054853
2,76.745708,30.691201,0.7555511385430487,0.44851303486101707,168.4568964148779,0.7555511385430487,0.8729244841644945,0.8655400922408679,0.7722103949957939,0.7936371535237223,0.9730018202489711,0.7722103949957939,0.17265809248278957,4.472483066918901,0.7855727260076805,0.6896680129472087,1.1390592448251082
2,76.753596,30.742354,0.7282163486118596,0.45782925656648904,159.0585001214537,0.7282163486118596,0.9237065851075411,0.7883632750405023,0.7444048357949229,0.1308905187516703,5.687232680368788,0.7554551042413282,0.7744256713286021,0.9755036954615308,0.7734749755557959,0.43669764725678256,1.7711910755978608
