Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_100_0_0,fill_per_m_1_100_0_0,distance_from_252_1_0,fill_per_m_1_252_1_0,distance_from_95_2_0,fill_per_m_1_95_2_0,fill_per_m_1_252_1_1,fill_per_m_1_95_2_2,fill_ratio_2,distance_from_202_0_0,fill_per_m_2_202_0_0,distance_from_299_1_0,fill_per_m_2_299_1_0,distance_from_214_2_0,fill_per_m_2_214_2_0,fill_per_m_2_299_1_1,fill_per_m_2_214_2_2,fill_ratio_3,distance_from_120_0_0,fill_per_m_3_120_0_0,distance_from_298_1_0,fill_per_m_3_298_1_0,distance_from_42_2_0,fill_per_m_3_42_2_0,fill_per_m_3_298_1_1,fill_per_m_3_42_2_2,fill_ratio_4,distance_from_134_0_0,fill_per_m_4_134_0_0,distance_from_287_1_0,fill_per_m_4_287_1_0,distance_from_280_2_0,fill_per_m_4_280_2_0,fill_per_m_4_287_1_1,fill_per_m_4_280_2_2,fill_ratio_5,distance_from_121_0_0,fill_per_m_5_121_0_0,distance_from_291_1_0,fill_per_m_5_291_1_0,distance_from_216_2_0,fill_per_m_5_216_2_0,fill_per_m_5_291_1_1,fill_per_m_5_216_2_2,fill_ratio_6,distance_from_47_0_0,fill_per_m_6_47_0_0,distance_from_38_1_0,fill_per_m_6_38_1_0,distance_from_36_2_0,fill_per_m_6_36_2_0,fill_per_m_6_38_1_1,fill_per_m_6_36_2_2,fill_ratio_7,distance_from_92_0_0,fill_per_m_7_92_0_0,distance_from_54_1_0,fill_per_m_7_54_1_0,distance_from_34_2_0,fill_per_m_7_34_2_0,fill_per_m_7_54_1_1,fill_per_m_7_34_2_2,fill_ratio_8,distance_from_158_0_0,fill_per_m_8_158_0_0,distance_from_5_1_0,fill_per_m_8_5_1_0,distance_from_94_2_0,fill_per_m_8_94_2_0,fill_per_m_8_5_1_1,fill_per_m_8_94_2_2,fill_ratio_9,distance_from_143_0_0,fill_per_m_9_143_0_0,distance_from_209_1_0,fill_per_m_9_209_1_0,distance_from_238_2_0,fill_per_m_9_238_2_0,fill_per_m_9_209_1_1,fill_per_m_9_238_2_2,fill_ratio_10,distance_from_242_0_0,fill_per_m_10_242_0_0,distance_from_154_1_0,fill_per_m_10_154_1_0,distance_from_77_2_0,fill_per_m_10_77_2_0,fill_per_m_10_154_1_1,fill_per_m_10_77_2_2,fill_ratio_11,distance_from_277_0_0,fill_per_m_11_277_0_0,distance_from_188_1_0,fill_per_m_11_188_1_0,distance_from_30_2_0,fill_per_m_11_30_2_0,fill_per_m_11_188_1_1,fill_per_m_11_30_2_2,fill_ratio_12,distance_from_80_0_0,fill_per_m_12_80_0_0,distance_from_144_1_0,fill_per_m_12_144_1_0,distance_from_196_2_0,fill_per_m_12_196_2_0,fill_per_m_12_144_1_1,fill_per_m_12_196_2_2,fill_ratio_13,distance_from_222_0_0,fill_per_m_13_222_0_0,distance_from_207_1_0,fill_per_m_13_207_1_0,distance_from_212_2_0,fill_per_m_13_212_2_0,fill_per_m_13_207_1_1,fill_per_m_13_212_2_2,fill_ratio_14,distance_from_25_0_0,fill_per_m_14_25_0_0,distance_from_191_1_0,fill_per_m_14_191_1_0,distance_from_279_2_0,fill_per_m_14_279_2_0,fill_per_m_14_191_1_1,fill_per_m_14_279_2_2,fill_ratio_15,distance_from_53_1_0,fill_per_m_15_53_1_0,distance_from_76_2_0,fill_per_m_15_76_2_0
1,76.664354,30.708365,0.8939897100078704,20383.8,0.004385785329565,20383.8,0.004385785329565,20383.8,0.004385785329565,,,0.8991594827442856,12740.4,0.007057545153561,12453.5,0.007220134763273663,11842.3,0.007592777439722737,,,0.9085011728682215,11803.2,0.007697075139523362,9775.3,0.009293844412634105,8832.6,0.010285772851348657,,,0.9112031467530319,8705.3,0.010467222803958875,8651.4,0.010532435753207942,10245.4,0.008893778151687898,,,0.9143742702704113,8582.0,0.010654559196812062,7974.6,0.01146608319251638,9492.4,0.009632698477417842,,,0.9224611801789389,8892.6,0.010373357400298438,7555.4,0.012209296399647126,4661.5,0.01978893446699429,,,0.9224611801789389,8567.8,0.010766604964856078,6418.0,0.01437303178839107,4442.3,0.02076539585752738,,,0.9293553731681647,7160.9,0.012978192310577789,6267.0,0.014829350138314422,4761.8,0.01951689220816004,,,0.933543470500456,7710.8,0.012106959984702704,6177.5,0.015111994666134457,4464.7,0.020909433343795913,,,0.933543470500456,9698.9,0.009625251013006177,5303.0,0.017604063181226776,5288.8,0.01765132866624671,,,0.9373180305649129,6589.3,0.01422484984087707,5542.5,0.016911466496435053,4611.0,0.020327868804270503,,,0.9432009200850711,7772.2,0.012135571911235828,6373.5,0.014798790618734934,3520.2,0.02679395830024064,,,0.9432009200850711,7294.6,0.012930125299331985,5311.7,0.017757044262384378,3645.0,0.025876568452265325,,,0.9478588280435606,7636.1,0.012412865573310467,4596.0,0.02062356022723152,3678.2,0.02576963808502965,,,0.9503682676848971,8289.0,0.011465415221195527,4257.3,0.02232326281175621,2272.2,0.04182590738864964,,,0.9503682676848971,4330.3,0.02194693826489844,1206.2,0.07879027256548642
1,76.681942,30.714258,0.5407937549855444,18409.9,0.002937515983169623,18409.9,0.002937515983169623,18409.9,0.002937515983169623,,,0.578622723887272,10039.9,0.00576323194341848,10483.9,0.0055191553132638805,9337.0,0.006197094611623348,,,0.6206686273088463,9833.6,0.006311713180410493,7805.7,0.007951479397220573,9477.0,0.006549209953665151,,,0.635766216720324,6748.9,0.00942029392523706,7354.1,0.008645058086242014,10859.2,0.005854632171065308,,,0.6636500156421093,7247.7,0.009156698202769282,6005.0,0.011051623907445617,10136.9,0.006546873458770525,,,0.668857675784649,9487.6,0.007049808969440628,5585.8,0.011974250345244174,5508.1,0.012143165080239085,,,0.6830618381377553,9181.6,0.007439464125400315,5711.1,0.011960250006789503,4883.4,0.013987423478268325,,,0.7115203237992758,7287.5,0.009763572196216477,5483.8,0.012974950286284615,5615.8,0.01266997264502432,,,0.7250531134339188,8350.4,0.008682854874424205,5394.4,0.013440848165392238,5430.1,0.013352481785490485,,,0.7463002230203352,10184.7,0.0073276603436560235,6034.1,0.012368045326069091,6156.3,0.01212254475935765,,,0.7583660878000973,6994.2,0.010842785276373243,5973.4,0.012695719151573599,5398.1,0.014048759522796859,,,0.7649262552706354,8421.3,0.009083232461385243,7104.6,0.010766633663691627,4323.8,0.017691064694727678,,,0.7858568529258113,7908.8,0.009936486608914264,6065.2,0.012956816806136836,3279.6,0.023961972585858377,,,0.7858568529258113,8285.2,0.00948506798780731,4015.3,0.019571560105740824,3898.6,0.020157411709993623,,,0.7977350954387512,8902.8,0.008960496646434283,2880.2,0.02769721184080103,3277.1,0.024342714456035863,,,0.8138992565142382,3075.6,0.02646310497185064,2211.2,0.03680803439373364
1,76.67732,30.699459,0.4592651971732139,18598.1,0.002469419979316242,18598.1,0.002469419979316242,18598.1,0.002469419979316242,,,0.4919145186930436,10222.1,0.0048122647860326506,10434.2,0.004714444027266523,9519.2,0.005167603566403096,,,0.49917253439085196,9783.8,0.005102031259744189,7756.0,0.006435953254136822,6691.6,0.007459688779826229,,,0.513862235208709,6931.1,0.007413862665503441,6510.5,0.007892822904672591,8087.1,0.006354097701385033,,,0.5475816284166278,6509.4,0.008412167456549418,5955.3,0.00919486219697795,7351.5,0.007448570066199113,,,0.5906257628427837,6715.6,0.00879483237302376,4698.8,0.012569714881305517,2993.3,0.01973159265168154,,,0.5906257628427837,6409.5,0.009214849252559228,4259.8,0.01386510547074472,3114.7,0.01896252489301646,,,0.6017174588864417,5624.7,0.01069776981681586,4108.7,0.014644959692516895,1211.6,0.04966304546768255,,,0.6216459020573323,5578.4,0.011143802919427296,4019.3,0.01546652158478671,930.0,0.06684364538250885,,,0.6567240102741841,7412.6,0.00885956358462866,3162.1,0.020768603468397085,2494.8,0.026323713735537282,,,0.6670203013604958,4448.4,0.014994611576308244,3100.2,0.021515395824801494,1829.2,0.03646513783951978,,,0.6861014432874797,5631.3,0.012183713232956504,4232.6,0.01620992872672777,1500.9,0.04571266861799451,,,0.7128008549595175,5136.3,0.013877710705362176,2496.3,0.028554294554321093,1625.7,0.04384578058433398,,,0.7329223572365194,5495.2,0.013337501041572998,2576.7,0.028444225452575755,2204.5,0.03324664809419457,,,0.7437502944825871,6130.7,0.012131572161133104,2238.0,0.033232810298596385,1188.7,0.06256837675465526,,,0.7437502944825871,2311.0,0.03218305038868832,2254.7,0.032986663169494265
1,76.683038,30.698,0.1748814371759594,18561.9,0.0009421526738963112,18561.9,0.0009421526738963112,18561.9,0.0009421526738963112,,,0.19760364904900216,10186.0,0.0019399533580306513,10631.6,0.0018586445036401118,9483.1,0.002083745284231972,,,0.2703096652157689,9982.5,0.0027078353640447674,7953.5,0.0033986253248980813,7289.6,0.003708154977169788,,,0.2986337416213254,6895.0,0.004331163765356423,6829.5,0.0043727028570367575,8423.5,0.003545245344824899,,,0.3246502923184079,7393.8,0.004390844928432037,6152.8,0.005276464249096475,7670.5,0.004232452803838185,,,0.34212237550875807,7051.9,0.004851492158265972,5733.5,0.005967077274069209,2818.6,0.012138025101424752,,,0.3879389342165389,6745.9,0.005750736509828769,4596.1,0.00844061126208174,2620.4,0.014804569310660163,,,0.38984544890987,5961.0,0.006539933717662641,4445.1,0.0087702289916958,1816.8,0.021457807623836967,,,0.40674749415251615,5914.7,0.006876891374922079,4355.7,0.00933828073908938,1535.3,0.026493030297174244,,,0.4584001527783933,7749.0,0.005915603984751494,4125.8,0.011110576198031734,3078.7,0.014889406333140395,,,0.4896846797687221,4767.4,0.010271524935367751,3436.5,0.014249517816636756,2434.5,0.020114384052935804,,,0.5214647400086678,5950.3,0.008763671411671139,4332.7,0.012035560735999904,1698.3,0.030705101572670777,,,0.5640502329014245,5472.7,0.010306617079347023,3101.5,0.0181863689473295,1823.1,0.030939072618146265,,,0.5909529521763064,5711.6,0.010346539536667594,3790.2,0.015591603402889198,2402.0,0.02460253755937995,,,0.6311426947603376,6467.1,0.009759284606088317,2435.4,0.025915360711190667,1386.2,0.045530420917640854,,,0.6633921594824452,2508.4,0.02644682504713942,2452.1,0.02705404182058013
1,76.702706,30.711971,0.83704112524294,15711.6,0.005327535866766848,15711.6,0.005327535866766848,15711.6,0.005327535866766848,,,0.83704112524294,6770.0,0.012363975262081833,8122.9,0.010304707989054895,6184.4,0.013534718408300565,,,0.8393094590250589,8271.4,0.010147126955836484,6034.9,0.013907595138694245,8160.2,0.010285403041899207,,,0.8497806935882464,5183.8,0.01639300693676929,5583.3,0.01522004358691538,9294.2,0.009143128979237011,,,0.8497806935882464,5682.7,0.014953819374386232,3140.9,0.02705532470273636,8366.0,0.010157550724220015,,,0.8607872479070686,7922.6,0.010864959077917206,3815.0,0.022563230613553566,3898.3,0.022081092986867827,,,0.8699081014968568,7616.6,0.011421212896789339,4146.1,0.020981358421091067,3318.4,0.026214684832957354,,,0.8699081014968568,5722.5,0.015201539563073078,3918.8,0.022198328608167214,4050.7,0.0214755005677255,,,0.8719074974515099,6785.4,0.012849758267036724,3829.4,0.02276877572077897,3865.1,0.02255847190115417,,,0.878134464493139,8619.6,0.010187647506765268,4751.7,0.018480427310081423,4888.7,0.01796253532622454,,,0.8861619622722674,5359.5,0.016534414819894903,4408.4,0.02010166868415451,3833.1,0.02311867580476031,,,0.8861619622722674,6650.4,0.013324942293279613,5304.6,0.016705537877922318,2789.5,0.03176777064966006,,,0.8954782444394365,6343.7,0.014116024472144594,4500.2,0.01989863215944706,1676.4,0.05341674089951303,,,0.9015247496933128,6582.7,0.013695364359507693,1980.0,0.04553155301481378,2295.4,0.03927527880514563,,,0.908635313334356,7337.8,0.012382939209767995,1277.0,0.07115390080926828,2735.9,0.0332115688926626,,,0.9122838029408845,1541.3,0.059189243037752845,3801.9,0.0239954707630628
1,76.696064,30.715001,0.9061432547657664,16383.6,0.005530794543114861,16383.6,0.005530794543114861,16383.6,0.005530794543114861,,,0.9116132900298866,8488.6,0.010739265485826714,8794.9,0.010365249065138735,7682.6,0.011865947596254998,,,0.9201340238416107,8911.6,0.010325127068557954,6883.7,0.01336685247529106,8555.0,0.010755511675530224,,,0.925384041595074,6316.2,0.014650961679412844,6432.1,0.014386966023461607,9973.6,0.009278335220934006,,,0.9322369684409687,6362.6,0.014651824229732635,5083.0,0.018340290545759762,9214.9,0.010116625990959952,,,0.9327001504479452,8615.1,0.010826341545053977,4663.8,0.01999871672129905,4586.1,0.020337544982620203,,,0.9371703369158768,8296.0,0.011296653048648467,4825.6,0.019420804395637366,3997.9,0.023441565244650363,,,0.9422155718795732,6401.8,0.014717978879058595,4598.3,0.020490519798177002,4730.2,0.019919148701525797,,,0.9422155718795732,7433.2,0.012675773178167857,4508.8,0.02089725807043056,4600.7,0.020479830718794383,,,0.9438997621001428,9421.3,0.010018784691073875,5112.1,0.01846403165235701,5234.3,0.018032970255815347,,,0.9480448217364869,6072.2,0.015612872134259194,5351.6,0.017715165964131974,4568.7,0.020750866148718166,,,0.9531901108748583,7499.3,0.012710387781191022,6182.6,0.015417301958316214,3438.2,0.027723521344740223,,,0.95437452437128,7024.5,0.013586369483540181,5257.2,0.018153665912867687,2357.6,0.04048076537034612,,,0.9577063210312574,7363.2,0.013006659075283264,3093.3,0.030960667281907907,2976.5,0.03217558612569318,,,0.960162083309193,8017.2,0.011976277045716622,1958.2,0.04903289159989751,3417.1,0.028098741134564193,,,0.9640591106589916,2190.1,0.044018953959133904,4483.1,0.021504296372130704
1,76.702839,30.705454,0.6863271966860974,15772.1,0.004351527042601159,15772.1,0.004351527042601159,15772.1,0.004351527042601159,,,0.7062173155975435,7396.1,0.009548509560410805,7769.9,0.00908914291815266,6693.2,0.010551265696491119,,,0.7062173155975435,7192.6,0.009818665233678274,5091.8,0.013869698644831759,7081.5,0.009972707979913063,,,0.715489900429705,4105.1,0.017429292841336506,4640.1,0.015419708636229929,8215.4,0.00870913041884394,,,0.7226311432841288,4603.9,0.015696065146595904,3291.1,0.02195713115019686,7422.9,0.00973515934855823,,,0.724200653159322,6843.8,0.010581850041779743,2871.9,0.02521677820116724,2819.5,0.025685428379475867,,,0.7364060295526399,6537.8,0.011263820085543146,3067.3,0.02400828186198415,2281.4,0.03227868981996317,,,0.7486430770179067,4643.7,0.016121693412966098,2840.1,0.02635974356599791,3013.7,0.024841327173172733,,,0.7697106825674346,5706.6,0.013488078410392082,2750.6,0.027983373902691584,2828.1,0.02721652991646104,,,0.7757729877419912,7540.9,0.01028753846015716,3673.0,0.021120963456084704,3476.5,0.02231477025002132,,,0.7757729877419912,4280.2,0.01812469014863771,3329.7,0.023298585090007845,2796.1,0.027744822708128867,,,0.7757729877419912,5707.3,0.013592644293133201,4225.8,0.018358014760329198,2173.2,0.03569726613942533,,,0.7932518578385448,5265.0,0.015066512019725448,3463.2,0.022905170300258283,2222.4,0.035693478124484555,,,0.7971106039191744,5503.9,0.014482650555409336,943.0,0.08452922629047449,2841.4,0.02805344562255136,,,0.7971106039191744,6259.0,0.012735430642581473,1823.1,0.04372281300637236,3286.5,0.024254088054744393,,,0.8119391882259653,2087.4,0.03889715379064699,4332.9,0.018738932083038274
1,76.707906,30.702046,0.9150900684070432,14376.2,0.006365312588911138,14376.2,0.006365312588911138,14376.2,0.006365312588911138,,,0.9219245263430746,6591.7,0.013986142062640514,6898.0,0.013365098961192734,5785.7,0.01593453733071322,,,0.9262476549919353,6642.5,0.013944262777447276,4614.6,0.020072111450438503,6285.9,0.01473532278578939,,,0.9274789731720798,4047.1,0.022917125180303918,4163.0,0.0222791009649791,7705.9,0.01203595911148704,,,0.932124780263332,4093.5,0.02277085086755422,2062.3,0.04519831160662037,6945.8,0.013419977256231565,,,0.9348163970935773,6346.0,0.014730797306863809,2394.7,0.039036889676935624,2317.0,0.04034598174767274,,,0.9348163970935773,6028.4,0.015506874080909984,2557.9,0.0365462448529488,2740.1,0.03411614164058164,,,0.9371012162253229,4132.7,0.022675278056121254,2344.0,0.03997872082872538,4082.7,0.022952977593879615,,,0.9401737943426779,5164.1,0.01820595639787529,2241.1,0.04195144323513801,3931.6,0.023913261632482398,,,0.9422750066725146,7152.2,0.013174617693472144,2843.0,0.03314368648162204,3642.2,0.025871039664832098,,,0.9429479823925971,3803.1,0.024794193747011577,3082.5,0.03059036439229837,3497.2,0.0269629412785256,,,0.9471034850732476,5230.2,0.018108360771543108,3913.5,0.024200932287549447,3242.1,0.02921265491728348,,,0.9471034850732476,4755.4,0.019916378960197833,3788.2,0.02500141188620579,3285.2,0.02882940110414123,,,0.9496345360764719,5094.1,0.01864185108412618,2424.2,0.03917311014258196,3904.2,0.0243234090486264,,,0.9537362328715777,5749.6,0.01658787103227316,2885.9,0.033048138635142506,4375.2,0.021798688811290403,,,0.9537362328715777,3150.2,0.030275418477289623,5441.2,0.017528049563911963
1,76.698487,30.722642,0.8282492524372184,17440.6,0.004748972239700575,17440.6,0.004748972239700575,17440.6,0.004748972239700575,,,0.8435784066639122,9985.5,0.008448033715526635,9960.4,0.008469322584072047,9282.6,0.009087738420958698,,,0.8525496379050178,9742.7,0.008750650619489646,7714.9,0.011050689417944728,9386.2,0.009083011633089192,,,0.8564953016127683,6694.5,0.012794014513597256,7263.2,0.011792258255490257,10804.8,0.007926988945771957,,,0.8696724639308409,7193.3,0.012090034670190883,5914.2,0.014704819991390904,10046.0,0.008656902886032658,,,0.8696724639308409,9433.2,0.009219273034928133,5495.0,0.01582661444824096,5417.2,0.016053910949029773,,,0.8808652113029625,9127.2,0.009650990569977237,5656.7,0.015572068720330979,4829.0,0.018241151611160956,,,0.8831039967889925,7233.1,0.012209204860834117,5429.4,0.016265222617397736,5561.3,0.01587945258822564,,,0.8930096230142965,8296.0,0.010764339718108685,5340.0,0.0167230266482078,5375.7,0.01661196910196433,,,0.8983727900335223,10130.3,0.008868175572623935,5943.3,0.015115723420213053,6065.5,0.01481119099882157,,,0.9067423215387462,6903.3,0.013134911151749834,5919.0,0.015319180968723539,5343.7,0.016968436131121624,,,0.9089010056444536,8330.4,0.010910652617454789,7013.7,0.012958937588497563,4269.4,0.02128872922763043,,,0.9110266441938031,7854.4,0.011598933644757118,6010.8,0.01515649571095034,3188.7,0.028570472110697246,,,0.9158434340913802,8194.3,0.011176591461032429,3924.5,0.023336563488122825,3807.7,0.024052405233904464,,,0.9163026378292276,8848.4,0.010355574316590881,2789.4,0.03284945285112309,4248.3,0.021568689542387012,,,0.9220949184070527,3021.2,0.030520816841223777,5281.8,0.017457967329453077
1,76.70499,30.708699,0.5273996221226763,14880.6,0.003544209387542682,14880.6,0.003544209387542682,14880.6,0.003544209387542682,,,0.5513799295204265,6335.4,0.008703158908994325,7402.7,0.00744836248288363,5749.8,0.009589549715127942,,,0.5687209124618422,6680.1,0.008513658664718225,5600.3,0.010155186551824763,7271.6,0.007821124820697538,,,0.5912033208387947,4615.5,0.012809085057714109,5148.7,0.011482574646780638,8725.8,0.006775348057929298,,,0.5941122479061652,5114.3,0.011616687482278419,2706.3,0.021952933817616864,7931.4,0.007490635296494506,,,0.5972367501906033,7354.2,0.008121029482344827,3380.4,0.017667635492563106,3302.7,0.018083287921718694,,,0.6096336351351556,7048.2,0.008649493986197264,3577.7,0.017039819860110002,2791.8,0.021836579809984793,,,0.6450878204952192,5154.1,0.012516012892555812,3350.4,0.01925405385909799,3524.1,0.018305037328544,,,0.6450878204952192,6149.8,0.010489573977937804,3261.0,0.019781901885777955,3338.5,0.019322684453952948,,,0.6505709369792078,8137.9,0.007994334373477283,3828.7,0.016991953848021726,3985.1,0.016325084363735108,,,0.6505709369792078,4788.7,0.013585543821479897,4068.2,0.015991616365449286,3306.5,0.019675516013283163,,,0.6613059714536426,6215.8,0.010639112768326565,4899.2,0.01349824402869127,2683.5,0.024643412388807254,,,0.689989536030271,5775.4,0.011947043252939556,4007.9,0.017215737319550662,2111.0,0.032685435150652344,,,0.6988106167295006,6079.8,0.011493973761135246,1844.1,0.03789439925868991,2730.0,0.0255974584882601,,,0.6988106167295006,6769.4,0.01032308057921678,1711.6,0.04082791637821341,3170.5,0.02204102244849395,,,0.7162301987656549,1975.9,0.03624830197710688,4236.5,0.016906177239836062
