Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_100_0_0,fill_per_m_1_100_0_0,distance_from_168_1_0,fill_per_m_1_168_1_0,distance_from_148_2_0,fill_per_m_1_148_2_0,fill_per_m_1_168_1_1,fill_per_m_1_148_2_2,fill_ratio_2,distance_from_274_0_0,fill_per_m_2_274_0_0,distance_from_248_1_0,fill_per_m_2_248_1_0,distance_from_253_2_0,fill_per_m_2_253_2_0,fill_per_m_2_248_1_1,fill_per_m_2_253_2_2,fill_ratio_3,distance_from_179_0_0,fill_per_m_3_179_0_0,distance_from_260_1_0,fill_per_m_3_260_1_0,distance_from_280_2_0,fill_per_m_3_280_2_0,fill_per_m_3_260_1_1,fill_per_m_3_280_2_2,fill_ratio_4,distance_from_121_0_0,fill_per_m_4_121_0_0,distance_from_219_1_0,fill_per_m_4_219_1_0,distance_from_42_2_0,fill_per_m_4_42_2_0,fill_per_m_4_219_1_1,fill_per_m_4_42_2_2,fill_ratio_5,distance_from_214_0_0,fill_per_m_5_214_0_0,distance_from_92_1_0,fill_per_m_5_92_1_0,distance_from_222_2_0,fill_per_m_5_222_2_0,fill_per_m_5_92_1_1,fill_per_m_5_222_2_2,fill_ratio_6,distance_from_80_0_0,fill_per_m_6_80_0_0,distance_from_124_1_0,fill_per_m_6_124_1_0,distance_from_266_2_0,fill_per_m_6_266_2_0,fill_per_m_6_124_1_1,fill_per_m_6_266_2_2,fill_ratio_7,distance_from_38_0_0,fill_per_m_7_38_0_0,distance_from_166_1_0,fill_per_m_7_166_1_0,distance_from_209_2_0,fill_per_m_7_209_2_0,fill_per_m_7_166_1_1,fill_per_m_7_209_2_2,fill_ratio_8,distance_from_242_0_0,fill_per_m_8_242_0_0,distance_from_25_1_0,fill_per_m_8_25_1_0,distance_from_286_2_0,fill_per_m_8_286_2_0,fill_per_m_8_25_1_1,fill_per_m_8_286_2_2,fill_ratio_9,distance_from_197_0_0,fill_per_m_9_197_0_0,distance_from_158_1_0,fill_per_m_9_158_1_0,distance_from_36_2_0,fill_per_m_9_36_2_0,fill_per_m_9_158_1_1,fill_per_m_9_36_2_2,fill_ratio_10,distance_from_54_0_0,fill_per_m_10_54_0_0,distance_from_204_1_0,fill_per_m_10_204_1_0,distance_from_154_2_0,fill_per_m_10_154_2_0,fill_per_m_10_204_1_1,fill_per_m_10_154_2_2,fill_ratio_11,distance_from_5_0_0,fill_per_m_11_5_0_0,distance_from_47_1_0,fill_per_m_11_47_1_0,distance_from_144_2_0,fill_per_m_11_144_2_0,fill_per_m_11_47_1_1,fill_per_m_11_144_2_2,fill_ratio_12,distance_from_216_0_0,fill_per_m_12_216_0_0,distance_from_143_1_0,fill_per_m_12_143_1_0,distance_from_176_2_0,fill_per_m_12_176_2_0,fill_per_m_12_143_1_1,fill_per_m_12_176_2_2,fill_ratio_13,distance_from_51_0_0,fill_per_m_13_51_0_0,distance_from_120_1_0,fill_per_m_13_120_1_0,distance_from_94_2_0,fill_per_m_13_94_2_0,fill_per_m_13_120_1_1,fill_per_m_13_94_2_2,fill_ratio_14,distance_from_215_0_0,fill_per_m_14_215_0_0,distance_from_134_1_0,fill_per_m_14_134_1_0,distance_from_34_2_0,fill_per_m_14_34_2_0,fill_per_m_14_134_1_1,fill_per_m_14_34_2_2,fill_ratio_15,distance_from_298_1_0,fill_per_m_15_298_1_0,distance_from_77_2_0,fill_per_m_15_77_2_0,fill_per_m_15_298_1_1,fill_per_m_15_77_2_2
1,76.685268,30.686947,0.6019234310151316,17322.1,0.0034748871731206474,17322.1,0.0034748871731206474,17322.1,0.0034748871731206474,,,0.6190617952053676,8946.2,0.006919829594748246,7534.0,0.008216907289691634,8402.6,0.007367502858702873,,,0.6428621995129328,7428.5,0.008653997435726361,6829.8,0.009412606511360987,8320.0,0.007726709128761211,,,0.6526729111420938,7995.4,0.008163105174751656,6271.7,0.010406634742447723,5863.8,0.011130545229068076,,,0.6526729111420938,5547.3,0.011765596076327111,5804.0,0.011245225898382045,6918.8,0.00943332530412924,,,0.6774738965122923,5784.9,0.011711073596990309,4456.4,0.015202268569075764,4207.0,0.01610349171647949,,,0.6996840641261983,2865.3,0.024419225356025486,3419.1,0.02046398362511182,3134.3,0.02232345544862324,,,0.6996840641261983,3091.5,0.022632510565298344,5204.9,0.01344279552203113,2621.1,0.02669429110397155,,,0.6996840641261983,2960.7,0.023632386399371715,4962.4,0.014099711110071706,2597.5,0.026936826337870964,,,0.6996840641261983,2814.8,0.024857327843050954,4410.1,0.015865492032520766,1946.4,0.0359475988556411,,,0.702863638622116,2940.4,0.023903674283162698,3940.0,0.017839178645231372,1031.3,0.06815316965210085,,,0.7043877653868504,2851.0,0.02470669117456508,5241.2,0.01343943687298425,476.5,0.14782534425747124,,,0.7139517202068655,1900.9,0.03755861540359121,6244.3,0.011433655016685064,2494.8,0.028617593402551923,,,0.7139517202068655,2876.1,0.024823605584189196,5655.2,0.012624694444172893,1564.8,0.045625748990725044,,,0.741097148943439,3236.5,0.022898104401156777,5341.1,0.013875365541619498,1750.4,0.04233873108680525,,,0.7462401136740053,5022.8,0.014857054106753309,844.3,0.088385658376644,,
1,76.68866,30.70407,0.9954375161913099,17163.0,0.0057999039572994805,17163.0,0.0057999039572994805,17163.0,0.0057999039572994805,,,0.9957148719609606,8645.7,0.011516879743236065,7233.5,0.013765326217750198,8102.1,0.012289590007047069,,,0.9957148719609606,7454.7,0.013356873810629007,6856.0,0.01452326242650176,8346.2,0.011930158299117689,,,0.9957430230491733,7694.9,0.012940298419072025,6297.9,0.01581071504865389,7398.6,0.013458533006909053,,,0.9957662807958398,6780.0,0.014686818300823596,5552.0,0.017935271628167142,8151.5,0.012215742879173647,,,0.9958318308828907,6738.7,0.014777803298601967,5689.1,0.017504206832062906,5542.3,0.017967844232230135,,,0.9959951644966479,5200.8,0.019150806885414703,4651.8,0.021410962734783264,4669.1,0.02133163060325647,,,0.9959951644966479,4316.9,0.02307199991884565,6437.7,0.01547128888417677,3209.2,0.031035621478768788,,,0.9961628098243034,4495.5,0.02215911043986883,6195.2,0.016079590809405724,4132.4,0.024106156466564308,,,0.9963327198902396,3415.2,0.029173480905664084,5642.8,0.017656708015351238,2348.4,0.04242602281937658,,,0.9963608857193849,4089.6,0.02436328456864693,5180.9,0.019231424766341463,3164.6,0.0314845757985017,,,0.9964168916534805,4000.2,0.024909176832495387,6474.0,0.01539105486026383,3184.3,0.03129155204137425,,,0.9967148336814463,2379.6,0.04188581415706196,7477.0,0.013330411042951,1625.7,0.06130988704443909,,,0.9969059438454839,4108.9,0.02426211258111621,5354.7,0.018617400486404166,2549.2,0.03910661948240562,,,0.9970241799448828,2885.8,0.03454931665205083,5853.5,0.01703295771666324,2734.9,0.036455599105813113,,,0.9971153636688205,6007.0,0.016599223633574505,2517.2,0.03961208341287226,,
1,76.683038,30.698,0.8925232899548461,18561.9,0.004808361697643269,18561.9,0.004808361697643269,18561.9,0.004808361697643269,,,0.9019135149945302,10186.0,0.008854442519090224,8773.9,0.010279505294048601,9642.4,0.0093536206234395,,,0.9048518494324078,8949.4,0.01011075434590484,8350.7,0.01083564071793272,9841.0,0.009194714454144983,,,0.9135815575470035,9235.2,0.009892385195198842,7792.6,0.01172370656195626,7670.5,0.011910326022384505,,,0.9135815575470035,7051.9,0.012955112204469767,7043.8,0.012970009902992751,8423.5,0.010845628984946917,,,0.9193928564320525,7289.6,0.012612391028754012,5961.0,0.015423466808120324,5711.6,0.01609694054961924,,,0.9194732925003265,5472.7,0.016801090732185695,4923.8,0.018674058501570463,4941.0,0.018609052671530592,,,0.9244960901953053,4596.1,0.020114794939085426,6709.6,0.013778706483177913,4125.8,0.02240768069696314,,,0.9302528628351704,4767.4,0.01951279235715842,6467.1,0.01438438964659848,4404.3,0.021121469083286114,,,0.9335376757677452,4319.4,0.02161267018029692,5914.7,0.015783347858179538,2620.4,0.03562576994992158,,,0.9362837163479968,4445.1,0.02106327678450421,5444.7,0.0171962406808088,3436.5,0.0272452703724137,,,0.9366448629973364,4355.7,0.021503888307214374,6745.9,0.013884653834141277,3101.5,0.03019973764299005,,,0.9373001712491099,2818.6,0.033254103854719004,7749.0,0.01209575650082733,785.7,0.11929491806657883,,,0.940293562581442,4380.8,0.021463969196983245,6895.0,0.013637325055568413,1535.3,0.06124493991932795,,,0.940293562581442,4419.8,0.02127457266350156,7393.8,0.012717324820544808,1816.8,0.05175548010686053,,,0.9413729663092678,6829.5,0.013783922195025519,2434.5,0.038668020797258895,,
1,76.68811,30.698177,0.03318935456242622,17017.9,0.0001950261463660394,17017.9,0.0001950261463660394,17017.9,0.0001950261463660394,,,0.1179874056365674,9374.5,0.001258599452094164,7242.9,0.001629007795725019,8120.6,0.0014529395073832893,,,0.17777138356649172,7405.4,0.002400564231054254,6806.7,0.002611711748225891,8296.9,0.002142624155606211,,,0.19840943557475751,6695.0,0.0029635464611614264,6248.6,0.003175262227935177,6126.5,0.003238544610703624,,,0.2571419001264077,5526.7,0.004652720432200187,5502.7,0.004673013250339065,6518.8,0.003944620177431547,,,0.2801561547993901,5466.6,0.0051248702081621135,3795.0,0.007382243868231624,4270.2,0.006560726776249125,,,0.2956265087020383,3931.5,0.007519433007809699,3514.1,0.008412580993769054,3397.0,0.008702576058346727,,,0.36418900008502625,2986.2,0.012195733711239243,5430.9,0.006705868273859329,1937.1,0.018800733058955462,,,0.3759686930761136,3223.4,0.011663730628408312,4923.1,0.007636828280475991,2860.3,0.013144379718075501,,,0.4169694531263018,2559.9,0.016288505532493527,4344.9,0.009596756038719,1093.4,0.03813512466858439,,,0.4169694531263018,2835.1,0.014707398438372607,3908.8,0.010667454285875505,2176.6,0.019156916894528246,,,0.4169694531263018,2811.6,0.014830326260005043,5329.9,0.007823213439770011,1945.8,0.021429204087074816,,,0.4169694531263018,1295.6,0.03218350209372505,6333.0,0.0065840747375067385,1500.9,0.027781294764894514,,,0.4215917358967844,2819.9,0.01495059171945049,5339.4,0.00789586350332967,1289.3,0.03269927370641312,,,0.4260314856300836,2836.5,0.015019618742467253,5216.0,0.00816778154965651,1474.9,0.02888544888670985,,,0.0,5285.5,0.008728686041068918,1257.3,0.03669408261359244,,0.0
1,76.702839,30.705454,0.7738796557301564,15772.1,0.004906636755601069,15772.1,0.004906636755601069,15772.1,0.004906636755601069,,,0.7873035339789146,7396.1,0.01064484706776429,5984.0,0.013156810394032664,6852.5,0.0114892890766715,,,0.787608014875904,6087.7,0.012937694283159551,4869.4,0.01617464194512474,6979.3,0.011284914172995916,,,0.7888365846205533,6445.3,0.012238942867214143,4395.3,0.017947275148921648,7422.9,0.010627067380950211,,,0.8027947873746895,6843.8,0.011730249092239537,4253.9,0.018871971305735667,8215.4,0.009771828363496476,,,0.8153703320064669,7081.5,0.011514090687092662,4643.7,0.017558634967945106,5503.9,0.014814410363677881,,,0.8215301020021245,5265.0,0.01560361067430436,4716.0,0.01742006153524437,4780.0,0.017186822217617668,,,0.8369576333415815,3067.3,0.027286461491917366,6501.5,0.012873300520519595,3673.0,0.022786758326751467,,,0.8423092235781254,4280.2,0.01967920245731801,6259.0,0.013457568678353179,4243.3,0.01985033402253259,,,0.8541545941737898,1951.5,0.043769131138805525,5706.6,0.014967837138993268,2281.4,0.03743993136555579,,,0.85960130673048,2840.1,0.030266585920583077,5381.8,0.015972375538490468,3329.7,0.025816178836846563,,,0.8651036798220646,2750.6,0.03145145349458535,6537.8,0.013232336257182302,3463.2,0.024979893734755853,,,0.8685365393409931,2819.5,0.030804629875545067,7540.9,0.011517677456815409,3519.7,0.024676436609398333,,,0.8808884331649679,3191.9,0.027597620012060776,4105.1,0.021458391590094463,2828.1,0.03114771164969301,,,0.888874081560823,1630.0,0.05453215224299528,4603.9,0.01930698063730366,3013.7,0.02949444475431606,,,0.8954081925466947,4640.1,0.019297174469228996,2796.1,0.0320234681358569,,
1,76.686186,30.684043,0.03467026672648332,17593.4,0.00019706405087409665,17593.4,0.00019706405087409665,17593.4,0.00019706405087409665,,,0.11133778343066338,9217.4,0.0012079087750413715,7805.3,0.001426438233388382,8673.9,0.0012835954234042748,,,0.1375801099921819,7129.7,0.0019296760030882351,6531.1,0.002106538102190778,8021.3,0.0017151846956501053,,,0.15831259039374362,8266.7,0.0019150639359568342,6026.6,0.002626897262034043,5609.5,0.002822222843279145,,,0.21600553904369318,5818.5,0.0037123921808660853,5227.1,0.004132416426769971,7190.1,0.003004207716772968,,,0.255450846204459,3402.0,0.007508843215886509,4727.6,0.0054033938193683686,3931.0,0.006498368003166091,,,0.3230438859339577,2528.5,0.012776107808343196,3690.4,0.008753627951819795,2880.0,0.011216801594929087,,,0.3230438859339577,3362.8,0.009606396037051199,5476.2,0.005899052005660088,2090.3,0.015454426921205458,,,0.3559527863539712,2706.4,0.013152260802319363,5233.7,0.0068011690840891,2343.3,0.015190235409634755,,,0.40946983618392063,2746.3,0.014909872780975152,4681.3,0.00874692577241195,2217.7,0.018463716290928467,,,0.409846537938709,3211.7,0.012761046733465424,3391.9,0.012083096138999055,1302.6,0.03146372930590427,,,0.4256729410947849,3122.3,0.013633313297722348,5512.5,0.007721958115098139,1783.0,0.023873973140481487,,,0.45670379801614136,1954.7,0.02336439341157934,6515.6,0.007009389741791107,4232.6,0.010790147852765235,,,0.49069516778254557,3147.4,0.015590492717244251,5926.4,0.00827981857084479,3302.5,0.014858294255338246,,,0.5414487342328416,3310.7,0.016354509144073506,5612.4,0.009647365373687577,3488.2,0.015522296147951423,,,0.5773024410174978,4768.5,0.012106583643021869,1810.7,0.031882832110095426,,
1,76.699239,30.704057,0.5406984766449103,15489.9,0.003490651822445015,15489.9,0.003490651822445015,15489.9,0.003490651822445015,,,0.5731061428019227,7114.0,0.008056032370001725,6976.7,0.008214573405792463,7854.4,0.007296625366697937,,,0.6035843421166687,7139.2,0.008454509498496592,6540.5,0.0092284128448386,8030.7,0.007515961773153881,,,0.6053246045810554,6428.8,0.009415825730790433,5982.4,0.010118424120437541,8474.3,0.007143063197916706,,,0.6203427023417366,6561.7,0.009453993665387577,5236.5,0.011846513937586874,7933.3,0.007819478682789465,,,0.6203427023417366,7814.5,0.007938354371255188,4361.6,0.014222824246646565,6622.6,0.009367056780444789,,,0.6500303835222074,4982.8,0.013045484135871546,4433.9,0.014660465583847346,5831.5,0.011146881308792033,,,0.6500303835222074,2785.2,0.02333873271299036,7778.7,0.008356542655227834,4371.6,0.014869392980195063,,,0.6602306299335764,5331.6,0.012383348899646943,5976.9,0.011046372365834738,5294.7,0.012469651348208141,,,0.6883143037141524,3099.7,0.022205836168472833,6692.7,0.010284553374783754,1957.5,0.035162927392804716,,,0.7088282040245084,2557.9,0.027711333673111085,6438.2,0.011009726383531242,4611.0,0.0153725483414554,,,0.7088282040245084,2468.5,0.02871493635910506,6255.7,0.011330917467661628,4436.3,0.01597791411817299,,,0.7292280347931334,3845.5,0.018963152640570365,8680.8,0.008400470403570332,2844.1,0.025640027945330098,,,0.7372517067653244,2909.7,0.025337722334444254,3823.0,0.01928463789603255,2504.2,0.029440608049090506,,,0.7480451126360546,2570.3,0.02910341643528205,4321.8,0.017308647152484025,2689.8,0.027810436189904624,,,0.7502569801740414,5691.5,0.013182060619767046,2472.2,0.03034774614408387,,
1,76.680626,30.706793,0.5062660594952028,18111.7,0.0027952431825571467,18111.7,0.0027952431825571467,18111.7,0.0027952431825571467,,,0.5402484945531731,9735.7,0.005549148952342133,8323.6,0.006490562912119433,9192.1,0.005877313068321419,,,0.5402484945531731,8790.7,0.006145682306905856,6815.7,0.00792652984364296,9338.8,0.005784988377020316,,,0.5402484945531731,8784.9,0.006149739832589707,7329.3,0.00737107901918564,7220.3,0.007482355228358561,,,0.58523635027417,6601.6,0.008865068320924775,6593.5,0.008875958903073786,7973.2,0.007340043524233307,,,0.6068641603151128,6839.3,0.008873191120657271,5510.8,0.01101226973062192,5261.4,0.011534271492665693,,,0.621625189561939,5022.4,0.012377054586690408,4473.5,0.013895723472939287,4922.5,0.012628241535031772,,,0.632041402120007,4145.9,0.01524497460430804,6259.3,0.010097637149841148,3675.5,0.017196065899061544,,,0.6401550460800411,4523.3,0.01415238976145825,6016.8,0.010639460279218872,3954.0,0.01619006186343048,,,0.6401550460800411,3869.1,0.016545321808173506,5464.4,0.011715010725423488,2170.1,0.02949887314317502,,,0.6552391303463446,3994.8,0.016402301250283982,4994.4,0.013119476420517874,2986.3,0.021941503879260107,,,0.6635317181949326,3905.4,0.016990109033515968,6295.6,0.010539610492962268,3006.0,0.022073576786258566,,,0.6635317181949326,2368.3,0.02801721564814139,7298.7,0.009091094553755225,1188.7,0.0558199476903283,,,0.6749071862273873,3930.5,0.017171026236544644,6444.7,0.010472282437155915,2370.9,0.028466286483081835,,,0.6884129396298493,3969.6,0.017342123630336794,6943.5,0.009914494701949295,2556.5,0.026927946005470344,,,0.7045555640956807,6379.3,0.01104440242809839,2338.9,0.0301233727006576,,
1,76.696883,30.70069,0.11493299705956683,16160.7,0.0007111882347891294,16160.7,0.0007111882347891294,16160.7,0.0007111882347891294,,,0.16532670851994039,7784.7,0.0021237389818482455,6372.6,0.0025943368251567706,7241.1,0.0022831711828305143,,,0.18276159159781147,6175.3,0.002959558104024282,5576.6,0.0032772942581108825,7066.8,0.002586200141475795,,,0.2119469043811602,6833.9,0.003101404825665582,5018.5,0.004223311833838003,7510.4,0.0028220454886711786,,,0.21640615453056444,6115.8,0.0035384766429668144,4272.6,0.0050649757648870575,7487.4,0.002890271049103353,,,0.28206413909068145,6850.6,0.004117364013235066,5024.9,0.0056133284063500065,5658.7,0.004984610230100226,,,0.2977665172818791,4536.6,0.006563649369172487,3987.6,0.00746731159800078,4867.6,0.006117316897072049,,,0.2977665172818791,3455.9,0.00861617863022307,5773.5,0.0051574697719213485,3407.7,0.008738049631184644,,,0.3486502351363385,4367.7,0.007982467548969446,5531.0,0.006303565994148229,4330.8,0.008050481092092419,,,0.3715008295738427,2340.1,0.01587542539095948,4978.6,0.007461953753542014,1338.4,0.0277570852939213,,,0.41747468659898845,3228.7,0.012930116969646868,4508.5,0.009259724666718164,2500.4,0.016696316053390992,,,0.46543243522209765,3139.2,0.014826466463496994,5809.8,0.00801116105928083,2520.1,0.01846880819102804,,,0.46543243522209765,2881.7,0.01615131468307241,6812.9,0.0068316346228786224,2576.7,0.018063120860872344,,,0.4802436586315109,3444.7,0.013941523460141984,4493.7,0.010687043163351156,1885.1,0.025475765669275417,,,0.4853593182744597,1606.4,0.030214100988200928,4992.5,0.009721769019017721,2070.7,0.023439383699930448,,,0.526461393801138,4727.7,0.011135676836540771,1853.1,0.02840976708224802,,
1,76.695929,30.704942,0.3012652607600004,16767.0,0.0017967749791853067,16767.0,0.0017967749791853067,16767.0,0.0017967749791853067,,,0.33909529109425707,8391.0,0.0040411785376505424,7053.4,0.00480754375328575,7931.1,0.004275514003029303,,,0.35012929934619524,7215.9,0.004852191678739939,6617.2,0.005291200195644611,8107.4,0.004318638519700462,,,0.37103368950213056,6505.5,0.005703384666853132,6059.1,0.006123577585815229,7406.2,0.005009771401017128,,,0.4211422654055051,6722.1,0.006265040172051964,5313.2,0.007926339407616976,8093.7,0.005203334264990117,,,0.4595911182523514,6746.3,0.00681249156207627,5631.2,0.008161512967970441,5549.9,0.008281070258065036,,,0.49186192136634077,5142.9,0.009563902105161306,4593.9,0.010706848676861508,4676.7,0.010517286149771009,,,0.521986388392363,4062.2,0.012849844625876693,6710.6,0.007778535278400784,3216.8,0.01622688349889216,,,0.5345699698778832,4503.1,0.011871154757342345,6137.3,0.008710181511053445,4139.9,0.012912630012268006,,,0.5497799768569965,3176.4,0.017308272788597045,5624.5,0.009774735120579546,1944.7,0.028270683234277602,,,0.5601971964034392,3835.0,0.01460748882407925,5188.5,0.01079690076907467,3456.2,0.016208471627898825,,,0.5944805594771039,3745.5,0.015871861152772764,6416.1,0.009265450343309858,3126.4,0.01901485924632497,,,0.6016540747299387,2203.9,0.027299517887832418,7419.2,0.008109419812512652,3499.0,0.017195029286365782,,,0.6304172821750755,4051.0,0.015562016345965825,5100.0,0.012361123179903443,2491.4,0.02530373613932229,,,0.657347159163913,2647.0,0.024833666761009177,5598.8,0.011740858026075461,2677.0,0.024555366423754686,,,0.6851659825409869,5768.2,0.011878332626139645,2459.4,0.027859070608318572,,
