Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_86_0_0,fill_per_m_1_86_0_0,distance_from_202_1_0,fill_per_m_1_202_1_0,distance_from_272_2_0,fill_per_m_1_272_2_0,fill_per_m_1_202_1_1,fill_per_m_1_272_2_2,fill_ratio_2,distance_from_252_0_0,fill_per_m_2_252_0_0,distance_from_274_1_0,fill_per_m_2_274_1_0,distance_from_122_2_0,fill_per_m_2_122_2_0,fill_per_m_2_274_1_1,fill_per_m_2_122_2_2,fill_ratio_3,distance_from_280_0_0,fill_per_m_3_280_0_0,distance_from_148_1_0,fill_per_m_3_148_1_0,distance_from_91_2_0,fill_per_m_3_91_2_0,fill_per_m_3_148_1_1,fill_per_m_3_91_2_2,fill_ratio_4,distance_from_143_0_0,fill_per_m_4_143_0_0,distance_from_299_1_0,fill_per_m_4_299_1_0,distance_from_298_2_0,fill_per_m_4_298_2_0,fill_per_m_4_299_1_1,fill_per_m_4_298_2_2,fill_ratio_5,distance_from_204_0_0,fill_per_m_5_204_0_0,distance_from_179_1_0,fill_per_m_5_179_1_0,distance_from_25_2_0,fill_per_m_5_25_2_0,fill_per_m_5_179_1_1,fill_per_m_5_25_2_2,fill_ratio_6,distance_from_222_0_0,fill_per_m_6_222_0_0,distance_from_253_1_0,fill_per_m_6_253_1_0,distance_from_166_2_0,fill_per_m_6_166_2_0,fill_per_m_6_253_1_1,fill_per_m_6_166_2_2,fill_ratio_7,distance_from_124_0_0,fill_per_m_7_124_0_0,distance_from_121_1_0,fill_per_m_7_121_1_0,distance_from_42_2_0,fill_per_m_7_42_2_0,fill_per_m_7_121_1_1,fill_per_m_7_42_2_2,fill_ratio_8,distance_from_242_0_0,fill_per_m_8_242_0_0,distance_from_47_1_0,fill_per_m_8_47_1_0,distance_from_78_2_0,fill_per_m_8_78_2_0,fill_per_m_8_47_1_1,fill_per_m_8_78_2_2,fill_ratio_9,distance_from_38_0_0,fill_per_m_9_38_0_0,distance_from_158_1_0,fill_per_m_9_158_1_0,distance_from_215_2_0,fill_per_m_9_215_2_0,fill_per_m_9_158_1_1,fill_per_m_9_215_2_2,fill_ratio_10,distance_from_197_0_0,fill_per_m_10_197_0_0,distance_from_286_1_0,fill_per_m_10_286_1_0,distance_from_216_2_0,fill_per_m_10_216_2_0,fill_per_m_10_286_1_1,fill_per_m_10_216_2_2,fill_ratio_11,distance_from_54_0_0,fill_per_m_11_54_0_0,distance_from_266_1_0,fill_per_m_11_266_1_0,distance_from_144_2_0,fill_per_m_11_144_2_0,fill_per_m_11_266_1_1,fill_per_m_11_144_2_2,fill_ratio_12,distance_from_51_0_0,fill_per_m_12_51_0_0,distance_from_36_1_0,fill_per_m_12_36_1_0,distance_from_34_2_0,fill_per_m_12_34_2_0,fill_per_m_12_36_1_1,fill_per_m_12_34_2_2,fill_ratio_13,distance_from_207_1_0,fill_per_m_13_207_1_0,distance_from_77_2_0,fill_per_m_13_77_2_0,fill_per_m_13_207_1_1,fill_per_m_13_77_2_2,fill_ratio_14,distance_from_30_1_0,fill_per_m_14_30_1_0,distance_from_154_2_0,fill_per_m_14_154_2_0,fill_per_m_14_30_1_1,fill_per_m_14_154_2_2,fill_ratio_15,distance_from_238_2_0,fill_per_m_15_238_2_0,fill_per_m_15_238_2_2,fill_ratio_16,distance_from_188_2_0,fill_per_m_16_188_2_0,fill_per_m_16_188_2_2,fill_ratio_17,distance_from_80_2_0,fill_per_m_17_80_2_0,fill_per_m_17_80_2_2
1,76.698059,30.669402,0.4876670686212644,15586.7,0.00312873840274891,15586.7,0.00312873840274891,15586.7,0.00312873840274891,,,0.5207546762528809,7219.6,0.007213068262131985,6891.4,0.007556587576586483,7288.4,0.007144979367939203,,,0.5456835750972778,7532.0,0.00724486955785021,6149.8,0.008873192219214898,4938.5,0.011049581352582319,,,0.5705154724074438,4330.5,0.013174355672727026,6551.3,0.008708431493099748,4216.8,0.013529583390425056,,,0.5705154724074438,4382.7,0.013017442955425739,3847.4,0.014828597816900864,3489.5,0.016349490540405326,,,0.5816267371488262,2078.4,0.027984350324712574,6144.1,0.00946642693232249,1198.4,0.048533606237385354,,,0.5891262140968601,1106.2,0.05325675412193636,6697.9,0.008795685425235672,2413.8,0.02440658770804789,,,0.6260193596748966,1326.7,0.047186203337219915,3685.7,0.0169850872201996,5057.3,0.012378529248312274,,,0.6260193596748966,1918.3,0.03263406973230969,3379.7,0.01852292687738251,5154.2,0.012145810400739138,,,0.6568186185798419,2731.4,0.02404695828439049,2548.5,0.025772753328618475,4824.5,0.013614231911697416,,,0.6572065005918591,3660.4,0.01795449952441971,2638.0,0.024913059158144773,3570.8,0.01840502130032091,,,0.6615241628454112,3191.3,0.020728987022386212,1667.8,0.03966447792573517,3127.9,0.02114914680282014,,,0.6615241628454112,2854.8,0.023172347024149192,3616.4,0.018292339421673798,4886.9,0.013536683026978477,,,0.6734758424389237,5794.8,0.0116220722447526,4149.6,0.016229897880251677,,,0.697340524833017,4406.3,0.01582598835378928,3395.8,0.02053538267368564,,,0.697340524833017,3455.1,0.020182933195363868,,0.697340524833017,2648.8,0.026326658291793148,,0.7187195426157337,755.9,0.09508129945968166,
1,76.709301,30.675397,0.4225484283119446,13782.6,0.0030658107201249735,13782.6,0.0030658107201249735,13782.6,0.0030658107201249735,,,0.4436019504494723,5226.4,0.008487715261929289,4961.4,0.008941064023248929,5346.8,0.008296587687017886,,,0.4436019504494723,5611.8,0.007904806843605837,3929.5,0.011289017698167002,3013.4,0.014720977980005054,,,0.45449806505444956,2929.8,0.015512938257029473,4644.8,0.009785094407820563,2223.6,0.020439740288471377,,,0.4670673385573205,3136.3,0.014892304261624223,1978.0,0.023613111150521768,1620.1,0.028829537593810295,,,0.518683856346262,712.1,0.07283862608429462,3219.2,0.01611219732685953,1654.2,0.031355571052246525,,,0.5266615836817158,2029.0,0.025956706933549324,4821.1,0.010924095822150873,2234.2,0.023572714335409358,,,0.5693075240347987,1510.2,0.03769749199012042,2330.0,0.024433799314798225,3610.6,0.015767670858992926,,,0.5693075240347987,1182.4,0.04814847124786863,1933.0,0.029452018832633143,4056.8,0.014033413627361433,,,0.5693075240347987,1634.0,0.03484134174019576,1148.2,0.04958260965291749,3728.6,0.01526866716823469,,,0.5693075240347987,3054.3,0.018639541761935587,2651.6,0.021470339569874743,3583.0,0.01588912989212388,,,0.5811913068765734,2095.3,0.027737856482440384,3188.3,0.01822887767388807,4811.8,0.012078459347366337,,,0.6117736272069991,2243.5,0.027268715275551553,3005.2,0.020357168481531983,4275.6,0.014308485995111775,,,0.6499176941789918,5024.9,0.012933942848195821,4058.0,0.01601571449430734,,,0.6499176941789918,3795.0,0.017125630940157885,3896.6,0.01667909701224123,,,0.6499176941789918,4456.4,0.014583917381271695,,0.670760417346272,4727.6,0.014188180415988492,,0.6886893341283891,1524.3,0.045180695015967276,
1,76.717988,30.674171,0.8293946648588469,13034.8,0.0063629258972814845,13034.8,0.0063629258972814845,13034.8,0.0063629258972814845,,,0.8293946648588469,4478.5,0.01851947448607451,4165.6,0.01991056906229227,4550.9,0.018224849257484167,,,0.8438444053814583,4815.9,0.01752204998819449,3133.7,0.026928053271897706,2197.5,0.03840020047242131,,,0.8441462171513089,2666.2,0.031661023822342996,3848.9,0.021932142096477147,1475.7,0.05720310477409425,,,0.8441462171513089,2872.7,0.029385115645605493,694.3,0.12158234439742316,397.3,0.21247073172698436,,,0.8508793955640928,1553.9,0.05475766751812168,2423.3,0.03511242502224622,2409.9,0.03530766403436212,,,0.8615972841887279,2689.2,0.03203916719428559,4025.2,0.021405080100087646,2058.4,0.041857621657050516,,,0.8615972841887279,2396.4,0.03595381756754831,1385.0,0.06220919019413198,3549.6,0.024273081028530763,,,0.8709255470735716,2068.2,0.04211031559199167,1872.1,0.04652131547853062,4017.6,0.02167775654802797,,,0.8770044407668822,2516.3,0.03485293648479443,1808.4,0.04849615354826821,3688.8,0.02377478965427462,,,0.8873934563522524,3829.1,0.023174987760890352,3536.3,0.025093839785998145,4467.7,0.019862422641454273,,,0.8979157838286811,3191.5,0.02813460077796275,4073.1,0.022045021821921414,5696.6,0.01576231056821053,,,0.9043715514437769,2928.3,0.030883842210285038,4426.2,0.020432234228995004,5696.6,0.01587563724754725,,,0.9070211216930498,4992.5,0.018167673944778164,5479.0,0.016554501217248583,,,0.9151503332154104,5216.0,0.01754506006931385,4781.4,0.019139798661802203,,,0.9209121907270101,5341.1,0.01724199492102769,,0.9285158241516235,5612.4,0.01654400655961128,,0.9308759167525983,2945.3,0.03160547030022742,
1,76.720789,30.68214,0.8313735143857098,12427.0,0.00669005805412175,12427.0,0.00669005805412175,12427.0,0.00669005805412175,,,0.8470853499023098,4125.3,0.02053390904667078,4825.8,0.017553262669449825,4238.0,0.019987856297836473,,,0.8470853499023098,4503.0,0.01881157783482811,2820.7,0.030031033073432474,1589.7,0.053285862106203036,,,0.8470853499023098,4155.9,0.020382717339260083,4485.7,0.018884128450460568,867.9,0.09760172253742479,,,0.8476806460743358,4630.9,0.01830487909638161,1824.8,0.046453345356989036,1373.1,0.06173480781256543,,,0.8555814661088009,2471.8,0.034613701193818305,4078.5,0.020977846416790506,3349.0,0.025547371337975543,,,0.8555814661088009,3255.1,0.02628433738161042,3712.3,0.02304720701745012,3591.6,0.023821735886758014,,,0.8555814661088009,2349.2,0.03642012030090248,3933.9,0.021748937850702886,5305.4,0.016126615638949012,,,0.8555814661088009,2617.6,0.03268572226882644,3627.8,0.023584030710314813,3024.7,0.028286490101788637,,,0.8555814661088009,2425.9,0.03526862055768172,2796.7,0.030592536421811454,3430.8,0.024938249565955486,,,0.8653649274136881,2800.6,0.030899268992847534,4102.2,0.021095142299587734,4570.8,0.018932461000562003,,,0.8681965528228667,2198.6,0.03948860878845022,4638.9,0.01871556948463788,5373.3,0.016157604318070208,,,0.8789052378583466,2927.0,0.030027510688703334,4358.1,0.020167165458762914,5736.0,0.015322615722774522,,,0.8876490796878783,3665.3,0.024217637838318238,5518.4,0.016085261664393273,,,0.8941470048536427,4895.4,0.018265044835021508,4438.2,0.020146613601316813,,,0.8957748514369707,5896.1,0.015192667211156028,,0.9049457747063112,4619.8,0.01958841886458962,,0.9078717257899407,2898.1,0.03132644580207518,
1,76.719086,30.677919,0.7539619035967839,12988.3,0.0058049313889945876,12988.3,0.0058049313889945876,12988.3,0.0058049313889945876,,,0.7689186877636306,4432.1,0.017348856924790292,3666.7,0.020970319027016952,4052.1,0.01897580730395673,,,0.7821718700344209,4317.1,0.018117992866378375,2634.8,0.02968619515843407,1718.7,0.04550950544216099,,,0.7880007912708347,3543.6,0.02223729515946593,3350.1,0.02352170953914315,1429.3,0.055131938100527154,,,0.8081504504799688,3750.1,0.021550104010025568,1638.9,0.04931054063579039,760.8,0.1062237710935816,,,0.8081504504799688,1507.5,0.05360865343150705,1924.5,0.04199274879085314,2533.2,0.03190235474814341,,,0.8097534366811558,2642.8,0.03063998171186453,3526.4,0.02296260879880773,2848.0,0.02843235381605182,,,0.8224399791265596,2348.6,0.035018307890937565,2943.8,0.02793803855990759,4489.6,0.01831878071825017,,,0.8261777407866578,2376.7,0.034761549239982245,2812.0,0.029380431749169912,3971.2,0.02080423400449884,,,0.8261777407866578,2639.6,0.03129935371975519,1762.0,0.046888634550888646,3189.9,0.025899800645370008,,,0.8261777407866578,3330.3,0.024807907419351346,3489.9,0.02367339295643594,4329.9,0.019080758003340907,,,0.8261777407866578,3145.1,0.02626872725149146,4026.6,0.020517998827463812,5801.1,0.014241742786482872,,,0.8369044157301151,3051.6,0.027425102101524285,4549.5,0.018395525128697993,5819.9,0.014380048037425302,,,0.8369044157301151,4493.7,0.01862394943432172,5602.3,0.014938586218697947,,,0.8523866409195968,5339.4,0.015964090364452874,5095.4,0.016728552045366347,,,0.8554819495413942,5655.2,0.01512735092554453,,0.8628199668294031,5926.4,0.01455892222646806,,0.8628199668294031,3068.7,0.028116791046026105,
1,76.717915,30.684941,0.6692002629380784,13151.5,0.00508839495827912,13151.5,0.00508839495827912,13151.5,0.00508839495827912,,,0.7003525247168776,4869.8,0.01438154595089896,4863.9,0.014398991030179026,4885.1,0.014336503341116405,,,0.7302519747358726,5260.9,0.013880742358453355,3578.7,0.020405509674906324,2243.6,0.03254822493919917,,,0.7302519747358726,4913.9,0.014860944967050054,5093.0,0.014338346254385874,1521.9,0.047982914431688846,,,0.7441898116430675,5781.3,0.012872361089081479,2582.7,0.028814411725832177,2131.1,0.03492045477185808,,,0.7530542529104889,3477.4,0.02165566954939003,4685.8,0.016070985806276174,4499.5,0.01673639855340569,,,0.7632273828652657,4013.1,0.019018399313878692,4470.2,0.017073674172638043,4742.0,0.01609505235903133,,,0.7641827799531778,2956.5,0.02584754878921623,5084.3,0.015030245657281784,6455.9,0.01183696742442073,,,0.7812796716961691,2525.6,0.030934418423193267,4778.3,0.01635057806534058,3632.0,0.021511004176656637,,,0.7939193250854008,3033.2,0.026174315082599264,3947.1,0.020113990653527928,3302.2,0.024042133277372688,,,0.7939193250854008,3407.9,0.02329643842499489,4009.4,0.01980144972029233,3886.3,0.020428668015474893,,,0.8023931661639647,2805.9,0.028596641582521287,4546.2,0.01764975509577152,5980.6,0.013416599775339677,,,0.8023931661639647,3186.9,0.025177858300039685,4965.4,0.016159688366777395,6343.3,0.012649459526807258,,,0.8105768766891218,4272.6,0.01897151328673692,6125.7,0.013232395917023717,,,0.824637213235596,5502.7,0.014986047090257438,5045.5,0.016344013739680825,,,0.8410256351631854,5804.0,0.01449044857276336,,0.847737409385207,5227.1,0.016218121126154214,,0.8622541686166391,3505.4,0.024597882370532294,
1,76.711141,30.68668,0.07093221613377343,13649.9,0.0005196537420330804,13649.9,0.0005196537420330804,13649.9,0.0005196537420330804,,,0.07459827421130787,5282.8,0.0014120972630292244,4954.6,0.00150563666514568,5351.6,0.00139394338536714,,,0.137323224744235,5595.1,0.0024543479963581526,4213.0,0.003259511624596131,3001.7,0.004574848410708432,,,0.1944698684476367,4441.4,0.004378571361454422,4614.5,0.004214321561331384,2280.0,0.008529380195071786,,,0.2723674736969226,4647.8,0.005860137563942566,3637.2,0.00748838319852971,3185.6,0.008549958365674366,,,0.3200400442035941,2343.5,0.013656498579201795,4207.3,0.007606779744814824,4021.0,0.007959215225157773,,,0.3315912723400848,2610.5,0.012702213075659254,4761.1,0.006964593735483077,3608.5,0.00918917201995524,,,0.34186411578010684,1822.6,0.018756946986728126,3950.8,0.008653035227804667,5322.4,0.006423119565987278,,,0.3823479718620574,1304.0,0.029321163486354093,3644.8,0.010490231888225893,2421.6,0.015789063918981557,,,0.4229295938403353,585.4,0.07224625791601218,2813.6,0.015031617637202704,1989.0,0.021263428549036466,,,0.46165639391339286,1775.4,0.02600295110473092,3624.0,0.0127388629667051,2253.8,0.02048346765078502,,,0.5082824168309815,550.4,0.09234782282539634,3087.2,0.016464188158557318,3699.1,0.013740704950690208,,,0.5144559207566073,1315.7,0.03910130886650507,2683.9,0.019168222391169838,3954.3,0.013010037699633494,,,0.5525422640810659,2959.4,0.018670752993210308,3736.7,0.014786904597132923,,,0.5525422640810659,4189.5,0.013188740042512612,2764.0,0.01999067525618907,,,0.5525422640810659,3244.3,0.01703117048611614,,0.5636746451315112,3660.2,0.015400105052497438,,0.5636746451315112,2371.6,0.023767694599911925,
1,76.716966,30.691124,0.5062660594952028,13365.3,0.003787913922584624,13365.3,0.003787913922584624,13365.3,0.003787913922584624,,,0.5452209346959529,5166.6,0.010552799417333504,5160.6,0.010565068687671063,5176.8,0.010532006928912704,,,0.5679882783661117,5896.8,0.00963214418610283,5456.5,0.010409388405866611,4062.6,0.013980905783638845,,,0.6030297759968245,6339.8,0.00951181071953097,5857.9,0.010294299595363945,3523.5,0.01711451045826095,,,0.6030297759968245,6546.3,0.009211765058075928,3613.5,0.016688246187818584,3161.8,0.019072356758707838,,,0.6410428910027256,4387.2,0.014611663270485176,5450.7,0.011760744326466796,5264.4,0.012176941170935448,,,0.6410428910027256,3505.4,0.018287296485500246,6004.6,0.010675863354806742,5506.9,0.011640721476742373,,,0.6623347269511636,2717.5,0.024372943034081457,5849.2,0.011323509658605683,7220.8,0.009172594822611948,,,0.6936404774464965,2282.2,0.03039350089591169,5543.2,0.012513358302902594,1403.3,0.04942923661700966,,,0.6936404774464965,2139.2,0.03242522800329547,4712.0,0.014720723205570808,1613.2,0.042997798006849525,,,0.7105105744478163,2513.9,0.028263279145861662,5278.7,0.013459953671317111,2992.3,0.023744630366200458,,,0.7344242735476992,1911.9,0.03841332044289446,4742.0,0.0154876481136166,5086.6,0.014438412172132646,,,0.7393809773073775,2640.3,0.028003672965472768,4071.4,0.01816036197149328,5449.3,0.013568366162761776,,,0.7393809773073775,3378.6,0.02188424132206765,5231.7,0.014132709775166343,,,0.7487062191184044,4608.7,0.016245496975685215,4151.5,0.01803459518531626,,,0.754513137239222,4631.8,0.01628984708405419,,0.754513137239222,5047.7,0.01494766204883852,,0.775476313150612,3266.4,0.023741008852271983,
1,76.725084,30.684377,0.6341040313763313,11885.2,0.005335240731130577,11885.2,0.005335240731130577,11885.2,0.005335240731130577,,,0.6561966635870796,3583.5,0.018311613327391646,3577.5,0.01834232462856966,3593.7,0.018259639468711345,,,0.6561966635870796,4313.7,0.015211921635419238,3549.9,0.018484933761150443,1374.4,0.0477442275601775,,,0.6688412685547283,4433.3,0.01508675858964492,3951.4,0.016926691009635276,876.8,0.07628207898662503,,,0.6746438905319441,4639.8,0.014540365759988448,2226.2,0.030304729607939274,1774.6,0.038016673646565094,,,0.6975669992930942,2480.6,0.028120898141300258,3544.2,0.01968193102232081,3357.9,0.020773906289439655,,,0.7046500821175865,3608.9,0.019525342406760692,4098.0,0.017194975161483324,3600.4,0.01957143878784542,,,0.7074534826021713,2882.1,0.024546458575419705,3942.7,0.017943375925182522,5314.3,0.013312260929984594,,,0.7154587377286169,2446.8,0.029240589248349554,3636.7,0.019673295507702505,3557.7,0.020110148065565308,,,0.7154587377286169,2958.9,0.024179889071229747,2805.5,0.025502004552793334,3227.9,0.022164835891093807,,,0.7156402478349164,3333.5,0.021468134028346075,5472.8,0.013076309162310269,3812.0,0.018773353825679864,,,0.7228352985944485,2731.6,0.02646197461540667,4936.1,0.014643854431523844,5906.3,0.012238377640730212,,,0.7398431752097666,3112.6,0.023769298181898303,4891.1,0.01512631463698895,6268.9,0.011801802153643648,,,0.7571831993207037,4198.3,0.018035471484188926,6051.3,0.012512736095065584,,,0.7719976446904968,5428.4,0.014221458342983141,4971.2,0.015529402250774397,,,0.7767131413659532,5451.5,0.014247695888580264,,0.7824437362329316,5152.7,0.01518512112548628,,0.801145859182898,3431.1,0.02334953394488351,
1,76.700597,30.661634,0.11493299705956683,15227.1,0.0007547924231112085,15227.1,0.0007547924231112085,15227.1,0.0007547924231112085,,,0.11493299705956683,6670.9,0.0017229009138132313,6342.7,0.001812051603568935,7028.5,0.0016352421862355672,,,0.11493299705956683,7293.5,0.0015758277515536688,5611.3,0.0020482418879683288,4389.8,0.00261818299374839,,,0.13714830126135355,3195.8,0.004291517030519856,6002.6,0.00228481493455092,3668.1,0.003738946627991428,,,0.142030804214397,2444.6,0.005809981355411806,3659.7,0.0038809411758995824,3301.8,0.004301617427294112,,,0.1851980204992637,1515.4,0.012221065098275285,5595.4,0.003309826294800438,1138.7,0.016263987046567462,,,0.1851980204992637,1674.5,0.011059899701359432,4276.0,0.004331104314762949,1133.9,0.01633283539106303,,,0.1851980204992637,2647.0,0.0069965251416419984,2649.1,0.0069909788418430294,1754.8,0.010553796472490523,,,0.2552542607993358,3622.0,0.007047329122013688,2343.1,0.010893869693966787,6210.0,0.0041103745700376134,,,0.2672609631290823,3793.3,0.007045605755650286,1999.1,0.013369064235360028,6166.3,0.004334219274590635,,,0.2672609631290823,4720.8,0.005661348990194084,3980.1,0.006714930859251836,4911.5,0.005441534421848362,,,0.2832267150940999,4254.6,0.006656952829739574,4516.9,0.006270378248225552,3881.1,0.0072975887015047265,,,0.2876310210163325,3915.2,0.007346521787299052,4676.8,0.006150167230078953,5947.2,0.004836410765004245,,,0.2931296212261025,6850.6,0.004278889750183961,5729.6,0.005116057337791512,,,0.3461349985918132,5466.6,0.006331814996374587,4723.6,0.007327779629769946,,,0.3922351559143853,5784.9,0.006780327333478285,,0.3922351559143853,3402.0,0.011529546029229431,,0.0,1743.3,0.022499578725083767,0.0
