Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_100_0_0,fill_per_m_1_100_0_0,distance_from_252_1_0,fill_per_m_1_252_1_0,distance_from_95_2_0,fill_per_m_1_95_2_0,fill_per_m_1_252_1_1,fill_per_m_1_95_2_2,fill_ratio_2,distance_from_202_0_0,fill_per_m_2_202_0_0,distance_from_299_1_0,fill_per_m_2_299_1_0,distance_from_260_2_0,fill_per_m_2_260_2_0,fill_per_m_2_299_1_1,fill_per_m_2_260_2_2,fill_ratio_3,distance_from_274_0_0,fill_per_m_3_274_0_0,distance_from_298_1_0,fill_per_m_3_298_1_0,distance_from_248_2_0,fill_per_m_3_248_2_0,fill_per_m_3_298_1_1,fill_per_m_3_248_2_2,fill_ratio_4,distance_from_148_0_0,fill_per_m_4_148_0_0,distance_from_134_1_0,fill_per_m_4_134_1_0,distance_from_284_2_0,fill_per_m_4_284_2_0,fill_per_m_4_134_1_1,fill_per_m_4_284_2_2,fill_ratio_5,distance_from_253_0_0,fill_per_m_5_253_0_0,distance_from_121_1_0,fill_per_m_5_121_1_0,distance_from_5_2_0,fill_per_m_5_5_2_0,fill_per_m_5_121_1_1,fill_per_m_5_5_2_2,fill_ratio_6,distance_from_280_0_0,fill_per_m_6_280_0_0,distance_from_166_1_0,fill_per_m_6_166_1_0,distance_from_54_2_0,fill_per_m_6_54_2_0,fill_per_m_6_166_1_1,fill_per_m_6_54_2_2,fill_ratio_7,distance_from_47_0_0,fill_per_m_7_47_0_0,distance_from_222_1_0,fill_per_m_7_222_1_0,distance_from_291_2_0,fill_per_m_7_291_2_0,fill_per_m_7_222_1_1,fill_per_m_7_291_2_2,fill_ratio_8,distance_from_143_0_0,fill_per_m_8_143_0_0,distance_from_277_1_0,fill_per_m_8_277_1_0,distance_from_51_2_0,fill_per_m_8_51_2_0,fill_per_m_8_277_1_1,fill_per_m_8_51_2_2,fill_ratio_9,distance_from_42_0_0,fill_per_m_9_42_0_0,distance_from_124_1_0,fill_per_m_9_124_1_0,distance_from_38_2_0,fill_per_m_9_38_2_0,fill_per_m_9_124_1_1,fill_per_m_9_38_2_2,fill_ratio_10,distance_from_214_0_0,fill_per_m_10_214_0_0,distance_from_80_1_0,fill_per_m_10_80_1_0,distance_from_154_2_0,fill_per_m_10_154_2_0,fill_per_m_10_80_1_1,fill_per_m_10_154_2_2,fill_ratio_11,distance_from_25_0_0,fill_per_m_11_25_0_0,distance_from_92_1_0,fill_per_m_11_92_1_0,distance_from_188_2_0,fill_per_m_11_188_2_0,fill_per_m_11_92_1_1,fill_per_m_11_188_2_2,fill_ratio_12,distance_from_204_0_0,fill_per_m_12_204_0_0,distance_from_120_1_0,fill_per_m_12_120_1_0,distance_from_286_2_0,fill_per_m_12_286_2_0,fill_per_m_12_120_1_1,fill_per_m_12_286_2_2,fill_ratio_13,distance_from_266_0_0,fill_per_m_13_266_0_0,distance_from_289_1_0,fill_per_m_13_289_1_0,distance_from_216_2_0,fill_per_m_13_216_2_0,fill_per_m_13_289_1_1,fill_per_m_13_216_2_2,fill_ratio_14,distance_from_210_1_0,fill_per_m_14_210_1_0,distance_from_144_2_0,fill_per_m_14_144_2_0,fill_per_m_14_210_1_1,fill_per_m_14_144_2_2,fill_ratio_15,distance_from_219_1_0,fill_per_m_15_219_1_0,distance_from_238_2_0,fill_per_m_15_238_2_0,fill_per_m_15_219_1_1,fill_per_m_15_238_2_2,fill_ratio_16,distance_from_115_1_0,fill_per_m_16_115_1_0,distance_from_77_2_0,fill_per_m_16_77_2_0,fill_per_m_16_77_2_2,fill_ratio_17,distance_from_94_2_0,fill_per_m_17_94_2_0
1,76.680322,30.696429,0.5233296311947413,17853.7,0.0029312110721852686,17853.7,0.0029312110721852686,17853.7,0.0029312110721852686,,,0.5233296311947413,10215.0,0.005123148616688608,9928.2,0.005271143119545751,9317.0,0.005616932823813902,,,0.524011998063252,9277.8,0.0056480199838674265,7250.0,0.0072277516974241654,7089.2,0.007391694381076173,,,0.5595894550287279,8246.0,0.006786192760474508,5766.1,0.009704817034542028,7647.3,0.007317477476086042,,,0.5619956124974097,8961.2,0.00627143253690811,5696.6,0.009865456807523956,6223.9,0.009029637566435992,,,0.6039380810969993,9137.5,0.006609445483961689,6007.3,0.010053403044579084,3274.9,0.01844142053488654,,,0.6194926502762272,6607.1,0.009376165795526437,5911.5,0.010479449383003082,3315.7,0.018683615836059573,,,0.6295622075501719,5810.5,0.010834905903969915,4750.8,0.013251709344745557,3954.3,0.0159209520661096,,,0.6545295002091194,6813.6,0.009606221383837023,4886.9,0.013393552153903691,3300.5,0.019831222548375077,,,0.679562233439606,6999.4,0.009708864094631054,3994.7,0.01701159620095642,3466.8,0.019602002810649763,,,0.6862612853185196,5947.2,0.011539233342052053,4412.1,0.015554073690952597,2657.1,0.025827454191355976,,,0.7078479381903936,5386.3,0.013141635968854197,4275.6,0.016555522925212687,3488.2,0.02029264199846321,,,0.732589923064107,4389.4,0.016689978654579374,5819.9,0.012587672005775135,3340.8,0.02192857767792466,,,0.732589923064107,3877.6,0.018892869895401978,6268.9,0.011686100002617798,2248.8,0.03257692649698092,,,0.7543674461940904,5736.0,0.013151454780231702,1773.3,0.04254031727254782,,,0.7543674461940904,6343.3,0.01189235013627119,1750.4,0.04309686050011942,,,0.7614225341065186,5813.1,0.013098390430347294,1084.8,0.07019013035642686,,0.7641086889253487,281.5,0.2714418077887562
1,76.67732,30.699459,0.4592651971732139,18598.1,0.002469419979316242,18598.1,0.002469419979316242,18598.1,0.002469419979316242,,,0.4919145186930436,10222.1,0.0048122647860326506,10434.2,0.004714444027266523,9519.2,0.005167603566403096,,,0.49917253439085196,9783.8,0.005102031259744189,7756.0,0.006435953254136822,7595.2,0.006572210532847745,,,0.5473906176734533,8752.0,0.0062544631818264775,6510.5,0.008407812267467219,8153.3,0.006713730853439139,,,0.5804014473489784,9678.6,0.005996750019103779,6509.4,0.008916358609840821,6729.9,0.008624220974293502,,,0.5804014473489784,9643.5,0.006018576734058987,6715.6,0.00864258513534127,4019.3,0.014440361439777533,,,0.5804014473489784,7351.5,0.007895007105338752,6373.2,0.009106907791203451,4108.7,0.01412615784430546,,,0.5804014473489784,6409.5,0.009055331107714773,5495.2,0.010561971308578002,4698.8,0.012352120697816002,,,0.5804014473489784,7412.6,0.007829930757750025,5631.3,0.010306704443893566,4044.4,0.0143507429371224,,,0.5920438251514154,8087.1,0.007320842145533199,4587.4,0.012905868796080905,4259.8,0.013898394881248307,,,0.6145084777420039,6691.6,0.009183281692599734,5136.3,0.011964030094464962,3100.2,0.01982157530939952,,,0.6466949846748234,6130.7,0.010548468929727819,5624.7,0.011497412922908306,4232.6,0.015278906220167825,,,0.6617598524732662,5133.8,0.012890253856271499,6931.1,0.009547688714248333,4085.2,0.016198958495869633,,,0.6805817205762937,4622.0,0.014724831687068235,6775.0,0.010045486650572602,2993.3,0.02273683628691724,,,0.6805817205762937,6242.0,0.01090326370676536,2496.3,0.027263618979140876,,,0.6990555886185524,6849.3,0.01020623404754577,2494.8,0.02802050619763317,,,0.7056959589444084,6549.8,0.01077431309268082,1829.2,0.03857948605644043,,0.7242776091089954,930.0,0.07787931280741886
1,76.696883,30.70069,0.7488263369633065,16160.7,0.00463362562861328,16160.7,0.00463362562861328,16160.7,0.00463362562861328,,,0.7640748282911257,7784.7,0.009815083796307189,7857.5,0.009724146717036279,7081.8,0.010789274312902448,,,0.7828122569846244,7581.2,0.010325703806582393,5179.3,0.01511424819926678,5018.5,0.015598530576559218,,,0.7975335289007611,6175.3,0.012914895290929367,4727.7,0.016869376840763187,5576.6,0.01430142970449308,,,0.8054794913027502,7241.1,0.011123717270894617,4992.5,0.016133790511822736,4153.2,0.019394189812740784,,,0.8093502965124646,7066.8,0.011452854142079364,6115.8,0.013233760039773447,3139.2,0.02578205582672224,,,0.8104212917614028,7510.4,0.010790654183018252,5773.5,0.014036915073376684,3228.7,0.025100544855867775,,,0.8194058290330498,5809.8,0.01410385605413353,5658.7,0.01448046068943485,2959.4,0.02768824184067885,,,0.8303651313170087,6812.9,0.012188130330945835,5794.8,0.01432948732168511,3444.7,0.024105586301187587,,,0.8376591798503141,7487.4,0.011187584206137165,3987.6,0.02100659995612183,3455.9,0.024238524837243963,,,0.8376591798503141,6850.6,0.012227530141160103,4536.6,0.01846447074571957,2500.4,0.033501007032887296,,,0.8494836120369766,5531.0,0.015358589984396612,5024.9,0.01690548293571965,3396.6,0.025009821940675282,,,0.8618752230649078,4508.5,0.019116673462679555,4493.7,0.01917963422268749,4330.8,0.01990106269199473,,,0.8626629060425125,4867.6,0.017722551278710502,4198.3,0.02054791001220762,2881.7,0.02993590262839687,,,0.8715068185681264,3665.3,0.023777230201296656,2520.1,0.03458223160065579,,,0.876637969936046,4272.6,0.020517670035482983,3529.9,0.02483464035627202,,,0.8804942426307131,4112.4,0.02141071497497114,1853.1,0.04751466421837532,,0.891086998278044,1885.1,0.04727001210959864
1,76.68811,30.698177,0.2037664591276891,17017.9,0.001197365474751227,17017.9,0.001197365474751227,17017.9,0.001197365474751227,,,0.2557041080316688,9374.5,0.0027276559606557024,9087.6,0.0028137694004101064,8476.4,0.00301665928969455,,,0.261130161689797,8437.3,0.003094949352160016,6409.4,0.004074174832118404,6248.6,0.00417901868722269,,,0.2803337566887139,7405.4,0.0037855315943597094,5285.5,0.005303826633028359,6806.7,0.0041184973142449925,,,0.2803337566887139,8120.6,0.0034521310825396385,5216.0,0.005374496869032091,5383.3,0.005207470449142977,,,0.3262260271934497,8296.9,0.003931902604508306,5526.7,0.005902727254843753,2811.6,0.011602860548920532,,,0.34894612860099256,6126.5,0.005695684789047459,5430.9,0.006425198928372693,2835.1,0.012308071270889655,,,0.3724118567176451,5329.9,0.006987220336547499,4270.2,0.008721180664082364,4189.5,0.008889171899215781,,,0.4080417500527473,6333.0,0.006443103585232075,4406.3,0.00926041690426769,2819.9,0.014470078728066502,,,0.4080417500527473,6518.8,0.0062594610979435986,3514.1,0.011611557726096221,2986.2,0.013664247205570535,,,0.4080417500527473,5466.6,0.007464269382298819,3931.5,0.010378780365070514,2176.6,0.01874674952001963,,,0.4080417500527473,4923.1,0.00828830919649707,3795.0,0.010752088275434711,3007.6,0.013567021879663096,,,0.4414234340375145,3908.8,0.011293067796702682,5339.4,0.008267285351116501,2860.3,0.015432766983795912,,,0.4599319924840927,3397.0,0.01353935803603452,5428.4,0.008472698999412215,1295.6,0.035499536313992955,,,0.4599319924840927,4895.4,0.009395187165177364,1945.8,0.02363716684572375,,,0.48238902303587483,5502.7,0.008766406001342519,1922.9,0.025086537159284144,,,0.5173222360538057,4972.6,0.010403455658082405,1257.3,0.04114548922721751,,0.563727678472759,1289.3,0.04372354599183735
1,76.683038,30.698,0.1748814371759594,18561.9,0.0009421526738963112,18561.9,0.0009421526738963112,18561.9,0.0009421526738963112,,,0.19760364904900216,10186.0,0.0019399533580306513,10631.6,0.0018586445036401118,9483.1,0.002083745284231972,,,0.2703096652157689,9982.5,0.0027078353640447674,7953.5,0.0033986253248980813,7792.6,0.0034687994406971856,,,0.2703096652157689,8949.4,0.003020422209486322,6829.5,0.003957971523768488,8350.7,0.003236970136824085,,,0.28251893904907566,9642.4,0.002929964936624447,7393.8,0.0038210248999036443,6927.4,0.0040782824587735035,,,0.2835051565166175,9841.0,0.002880857194559674,7051.9,0.004020266261810541,4355.7,0.006508831106747883,,,0.2835051565166175,7670.5,0.0036960453232073205,6709.6,0.004225365990768712,4445.1,0.006377925277645441,,,0.33204994728108095,6745.9,0.0049222482883096545,5711.6,0.005813606472460973,5733.5,0.005791400493260329,,,0.38720331464363456,7749.0,0.004996816552376236,5950.3,0.006507290634818993,4380.8,0.008838643961003345,,,0.38720331464363456,8423.5,0.004596703444454615,4923.8,0.00786391231657733,4596.1,0.0084246059625255,,,0.38720331464363456,7289.6,0.005311722380427383,5472.7,0.007075178881422964,3436.5,0.011267374207584302,,,0.40363695100879676,6467.1,0.00624139028326138,5961.0,0.006771295940426049,4332.7,0.009316060447499176,,,0.44610617300689137,5444.7,0.008193402262877502,6895.0,0.006469995257532869,4404.3,0.010128877983036836,,,0.4625194762519996,4941.0,0.009360847525844963,6972.4,0.006633576333142098,2818.6,0.016409546450436373,,,0.5141063742855823,7135.9,0.007204506429260252,3101.5,0.01657605591763928,,,0.5415055718782126,7043.8,0.007687690903748155,3078.7,0.017588773569305636,,,0.5759512919572828,6513.6,0.008842288319167323,2434.5,0.023657888353143676,,0.617624235223837,1535.3,0.040228244331650946
1,76.680626,30.706793,0.7660647765353026,18111.7,0.0042296679855303625,18111.7,0.0042296679855303625,18111.7,0.0042296679855303625,,,0.7693404333904604,9735.7,0.00790226109463583,10172.8,0.007562720523262626,9032.8,0.008517186624196931,,,0.7693404333904604,9532.3,0.008070879361648926,7503.2,0.01025349761955513,7329.3,0.010496779138396032,,,0.775466355505377,8790.7,0.008821440334733036,6379.3,0.012155978798698557,6815.7,0.011377648011288306,,,0.775466355505377,9192.1,0.008436226275882301,6943.5,0.011168234399155715,6477.1,0.0119724314200086,,,0.7814704306913877,9338.8,0.008367996216766475,6601.6,0.011837591351966001,3905.4,0.02000999720109048,,,0.7881966797446056,7220.3,0.010916397930066695,6259.3,0.012592409370769983,3994.8,0.019730566730364614,,,0.8080864619340813,6295.6,0.012835733876581759,5261.4,0.015358772606798216,5283.3,0.015295108396912558,,,0.8235125659788185,7298.7,0.011283003356471952,5497.2,0.014980582223292193,3930.5,0.020951852588190267,,,0.8235125659788185,7973.2,0.010328507575111855,4473.5,0.018408685950124477,4145.9,0.019863300272047527,,,0.8297040824200318,6839.3,0.01213141816297036,5022.4,0.016520071727063393,2986.3,0.027783681559790767,,,0.8465690372583942,6016.8,0.014070087708722147,5510.8,0.015361998934063913,3882.4,0.02180530180451252,,,0.8504512447670322,4994.4,0.017028096363267506,6444.7,0.013196133951417945,3954.0,0.02150863036841255,,,0.8504512447670322,4922.5,0.017276815536150986,6522.1,0.013039530899051412,2368.3,0.03590977683431289,,,0.8576486966196232,6685.6,0.012828298082739368,3006.0,0.028531227432455862,,,0.8690248144989815,6593.5,0.013180022969575817,3466.6,0.02506850558180873,,,0.878953262974903,6063.4,0.014496046161805307,2338.9,0.037579770959634995,,0.8819648063974544,2370.9,0.03719957848907396
1,76.68866,30.70407,0.8259782127080818,17163.0,0.004812551492793112,17163.0,0.004812551492793112,17163.0,0.004812551492793112,,,0.8394454047919834,8645.7,0.009709397790716579,9136.9,0.009187420293447268,7942.8,0.010568633287908337,,,0.8468738742403732,8486.5,0.00997907116291019,6458.7,0.01311214136343805,6297.9,0.013446924756512064,,,0.8526787945375397,7454.7,0.011438136940957244,6007.0,0.014194752697478602,6856.0,0.012436971915658396,,,0.8666810736127399,8102.1,0.010696993046404512,5853.5,0.014806202675540104,5432.6,0.015953338615262304,,,0.8735963395814225,8346.2,0.010466995034643578,6780.0,0.012884901763737794,4000.2,0.021838816548708125,,,0.8735963395814225,7398.6,0.011807589808631665,6437.7,0.01357000698357212,4089.6,0.021361412841877505,,,0.8759717219816534,6474.0,0.013530610472376482,5542.3,0.01580520220813838,4238.8,0.020665559167256143,,,0.8871015962903026,7477.0,0.011864405460616591,5678.4,0.015622386522441228,4108.9,0.021589758725943747,,,0.8874957421468941,8151.5,0.010887514471531547,4651.8,0.01907854469553493,4316.9,0.020558635644719454,,,0.8874957421468941,6738.7,0.013170132846793805,5200.8,0.01706460048736529,3164.6,0.028044484046858813,,,0.8963081779719246,6195.2,0.014467784381003433,5689.1,0.01575483253892399,4060.8,0.022072206904351965,,,0.8984890094026835,5180.9,0.017342334524941296,5354.7,0.0167794462696824,4132.4,0.021742546931630132,,,0.8997634777568715,4669.1,0.019270597711697573,5477.7,0.016425935661990826,2379.6,0.037811543022225225,,,0.9038272951598648,4944.7,0.018278708418303737,3184.3,0.028383861293215615,,,0.9108562729639387,5552.0,0.016405912697477282,3195.0,0.028508803535647533,,,0.9108562729639387,4973.3,0.01831492717036854,2517.2,0.036185296081516716,,0.9177694162125125,2549.2,0.03600225232278804
1,76.691224,30.694111,0.28713795808457554,16344.2,0.0017568186762556475,16344.2,0.0017568186762556475,16344.2,0.0017568186762556475,,,0.28713795808457554,8837.2,0.0032491961037950426,8550.3,0.0033582208587368345,7939.1,0.0036167570390167087,,,0.30849285817197325,7900.0,0.0039049728882528264,5872.1,0.005253535501302315,5711.3,0.0054014472742103066,,,0.3645826461535201,6868.1,0.00530834795872978,4495.6,0.00810976613029451,6269.4,0.00581527173499091,,,0.3645826461535201,7583.3,0.004807704378746985,4426.2,0.008236922103689849,4846.0,0.0075233728054791595,,,0.3810216328602889,7759.6,0.004910325697977845,4736.9,0.008043691715262914,1873.1,0.020341766742848162,,,0.4323074319679262,5336.7,0.008100650813572549,4641.1,0.009314762275493443,2045.3,0.021136626996916163,,,0.471827698946392,4540.1,0.010392451684905442,3480.3,0.013557098495715656,2683.9,0.017579928423055703,,,0.471827698946392,5543.1,0.008511982445678266,3616.4,0.013046889142417653,2030.0,0.02324274379046266,,,0.471827698946392,5728.9,0.008235921362676814,2724.2,0.017319862673312973,2196.3,0.02148284382581578,,,0.5023366082317646,4676.8,0.01074103250581091,3141.7,0.015989324513217832,1386.7,0.036225326907893894,,,0.5023366082317646,4643.0,0.010819224816535961,3005.2,0.016715579935836705,2217.7,0.022651242649220575,,,0.5430644060270159,3119.0,0.01741149105569144,4549.5,0.011936793186658225,2070.4,0.026229926875338868,,,0.5829484598518181,2607.1,0.022360034515431632,4891.1,0.011918555332171047,673.8,0.08651654197860167,,,0.6194460421999584,4358.1,0.01421367206351296,2092.4,0.02960457093289803,,,0.6566726169009168,4965.4,0.0132249691243589,1946.4,0.0337378039920323,,,0.6566726169009168,4435.3,0.014805596394853036,1801.4,0.036453459359438035,,0.6566726169009168,2184.7,0.03005779360557133
1,76.702839,30.705454,0.6863271966860974,15772.1,0.004351527042601159,15772.1,0.004351527042601159,15772.1,0.004351527042601159,,,0.7062173155975435,7396.1,0.009548509560410805,7769.9,0.00908914291815266,6693.2,0.010551265696491119,,,0.7062173155975435,7192.6,0.009818665233678274,5091.8,0.013869698644831759,4395.3,0.016067556608139227,,,0.7287671234341857,6087.7,0.011971140552822671,4640.1,0.015705849516910966,4869.4,0.01496626121152885,,,0.7287671234341857,6852.5,0.01063505470170282,4603.9,0.015829343022962832,3530.1,0.020644376177280693,,,0.7470487595850831,6979.3,0.010703777736808607,6843.8,0.010915701212558564,2750.6,0.027159483733915624,,,0.7679107420761571,7422.9,0.010345158119820516,6501.5,0.011811285735232747,2840.1,0.027038158588646777,,,0.7718534977391242,6537.8,0.011806012691411854,5503.9,0.014023755841114923,2871.9,0.026876057583450824,,,0.7718534977391242,7540.9,0.010235562038206636,5707.3,0.013523969262858518,3191.9,0.024181631559231937,,,0.7753781833361539,8215.4,0.009438106280109963,4716.0,0.016441437305686046,3067.3,0.025278850563562542,,,0.7881361251843049,7081.5,0.011129508228261031,5265.0,0.014969347107014338,3329.7,0.02366988392901177,,,0.794644931236017,6259.0,0.012696036607062103,4643.7,0.01711232274341618,4225.8,0.018804603417956766,,,0.8064602234922085,5381.8,0.01498495342621815,4105.1,0.019645324681303946,4243.3,0.019005496276299303,,,0.8223317915991238,4780.0,0.017203593966508866,4110.7,0.020004665667626532,2819.5,0.029165873083849044,,,0.8261753373011292,4346.0,0.019010016965051293,3463.2,0.02385583672040683,,,0.8382048826963993,4253.9,0.01970438615614846,3476.5,0.024110596366932236,,,0.8382048826963993,3723.7,0.022510000340961928,2796.1,0.029977643242244528,,0.8404579455681608,2828.1,0.029718112710588763
1,76.673781,30.709807,0.9835214727152221,19177.6,0.005128490909786533,19177.6,0.005128490909786533,19177.6,0.005128490909786533,,,0.9836263435612329,11534.2,0.008527911286099017,11247.3,0.008745444182703697,10636.1,0.009247998265917328,,,0.9849812946139477,10597.0,0.009294906998338659,8569.1,0.011494571128986096,8408.3,0.011714392857223787,,,0.9857642137898108,9565.1,0.010305843261333502,7445.2,0.013240265053857664,8966.4,0.01099397990040385,,,0.9866057342517661,10280.3,0.00959705197564046,7375.8,0.013376253887737818,7543.0,0.013079752542115419,,,0.9878800957976708,10456.6,0.009447431247228265,7686.4,0.012852311820848132,4971.3,0.01987166527462979,,,0.9878800957976708,8286.2,0.011921991935961848,7590.6,0.013014519218476414,5060.8,0.019520235848041235,,,0.9882734009907358,7361.6,0.01342470931578374,6429.9,0.01536996533368693,6349.2,0.01556532163092572,,,0.9886752072143098,8492.7,0.011641470995258394,6566.0,0.015057496302380593,4996.5,0.01978735529299129,,,0.9888716878962505,9039.2,0.010939814230200132,5673.8,0.017428737140827145,5211.8,0.018973707507890757,,,0.9892956668764692,7626.4,0.012971987659662086,6091.2,0.016241391956863496,4336.3,0.022814280997082055,,,0.9897422446093952,7082.8,0.013973883839857051,5954.7,0.016621194092219512,5167.3,0.0191539536045787,,,0.9904361650922253,6068.6,0.016320669760607476,7499.1,0.013207400422613718,5020.0,0.019729804085502498,,,0.9909962114854837,5556.7,0.017834257949601088,7588.1,0.013059872846766431,3455.3,0.02868046801972285,,,0.9910397562477109,7055.1,0.014047139746392127,4105.5,0.0241393193581223,,,0.9910397562477109,7662.4,0.012933803459069103,4082.6,0.024274720919211065,,,0.9912276438475369,7132.3,0.013897727855636147,3417.0,0.029008710677422795,,0.9917050857674258,3449.0,0.028753409271308372
