Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_128_0_0,fill_per_m_1_128_0_0,distance_from_100_1_0,fill_per_m_1_100_1_0,distance_from_125_2_0,fill_per_m_1_125_2_0,fill_per_m_1_100_1_1,fill_per_m_1_125_2_2,fill_ratio_2,distance_from_248_0_0,fill_per_m_2_248_0_0,distance_from_61_1_0,fill_per_m_2_61_1_0,distance_from_270_2_0,fill_per_m_2_270_2_0,fill_per_m_2_61_1_1,fill_per_m_2_270_2_2,fill_ratio_3,distance_from_284_0_0,fill_per_m_3_284_0_0,distance_from_122_1_0,fill_per_m_3_122_1_0,distance_from_173_2_0,fill_per_m_3_173_2_0,fill_per_m_3_122_1_1,fill_per_m_3_173_2_2,fill_ratio_4,distance_from_263_0_0,fill_per_m_4_263_0_0,distance_from_168_1_0,fill_per_m_4_168_1_0,distance_from_164_2_0,fill_per_m_4_164_2_0,fill_per_m_4_168_1_1,fill_per_m_4_164_2_2,fill_ratio_5,distance_from_150_0_0,fill_per_m_5_150_0_0,distance_from_300_1_0,fill_per_m_5_300_1_0,distance_from_198_2_0,fill_per_m_5_198_2_0,fill_per_m_5_300_1_1,fill_per_m_5_198_2_2,fill_ratio_6,distance_from_205_0_0,fill_per_m_6_205_0_0,distance_from_118_1_0,fill_per_m_6_118_1_0,distance_from_181_2_0,fill_per_m_6_181_2_0,fill_per_m_6_118_1_1,fill_per_m_6_181_2_2,fill_ratio_7,distance_from_259_0_0,fill_per_m_7_259_0_0,distance_from_37_1_0,fill_per_m_7_37_1_0,distance_from_243_2_0,fill_per_m_7_243_2_0,fill_per_m_7_37_1_1,fill_per_m_7_243_2_2,fill_ratio_8,distance_from_78_0_0,fill_per_m_8_78_0_0,distance_from_45_1_0,fill_per_m_8_45_1_0,distance_from_223_2_0,fill_per_m_8_223_2_0,fill_per_m_8_45_1_1,fill_per_m_8_223_2_2,fill_ratio_9,distance_from_287_0_0,fill_per_m_9_287_0_0,distance_from_112_1_0,fill_per_m_9_112_1_0,distance_from_64_2_0,fill_per_m_9_64_2_0,fill_per_m_9_112_1_1,fill_per_m_9_64_2_2,fill_ratio_10,distance_from_141_0_0,fill_per_m_10_141_0_0,distance_from_50_1_0,fill_per_m_10_50_1_0,distance_from_18_2_0,fill_per_m_10_18_2_0,fill_per_m_10_50_1_1,fill_per_m_10_18_2_2,fill_ratio_11,distance_from_226_0_0,fill_per_m_11_226_0_0,distance_from_63_1_0,fill_per_m_11_63_1_0,distance_from_8_2_0,fill_per_m_11_8_2_0,fill_per_m_11_63_1_1,fill_per_m_11_8_2_2,fill_ratio_12,distance_from_142_0_0,fill_per_m_12_142_0_0,distance_from_184_1_0,fill_per_m_12_184_1_0,distance_from_161_2_0,fill_per_m_12_161_2_0,fill_per_m_12_184_1_1,fill_per_m_12_161_2_2,fill_ratio_13,distance_from_53_1_0,fill_per_m_13_53_1_0,distance_from_76_2_0,fill_per_m_13_76_2_0,fill_per_m_13_53_1_1,fill_per_m_13_76_2_2,fill_ratio_14,distance_from_246_1_0,fill_per_m_14_246_1_0,distance_from_82_2_0,fill_per_m_14_82_2_0,fill_per_m_14_246_1_1,fill_per_m_14_82_2_2,fill_ratio_15,distance_from_185_1_0,fill_per_m_15_185_1_0,distance_from_279_2_0,fill_per_m_15_279_2_0,fill_per_m_15_185_1_1,fill_per_m_15_279_2_2
1,76.68811,30.698177,0.7767105569551812,17017.9,0.00456407992146611,17017.9,0.00456407992146611,17017.9,0.00456407992146611,,,0.7943157537697009,6465.2,0.012286019825677487,9374.5,0.008473153275051479,8278.7,0.009594691844972046,,,0.8126236475450614,6806.7,0.011938584740697568,7769.5,0.010459149849347595,4066.7,0.019982384920084133,,,0.81915971947672,5383.3,0.015216683437235893,6450.6,0.0126989693900834,4605.4,0.01778693966814435,,,0.81915971947672,5034.6,0.01627060182490605,7242.9,0.011309830585493655,4127.4,0.019846870171941658,,,0.8246608576561048,5303.5,0.015549370371567922,7444.0,0.011078195293606995,3375.1,0.02443367182175653,,,0.8398469042146314,5670.5,0.01481080864499835,7343.2,0.011437069727293706,3573.9,0.023499451697435055,,,0.8425966352992829,5289.8,0.015928704966147733,4986.0,0.016899250607687183,4230.0,0.019919542205656806,,,0.8543733018164262,4204.6,0.020319966270666085,4695.3,0.018196351709505808,5392.5,0.01584373299613215,,,0.866078847034918,4608.7,0.018792259141079223,3817.9,0.0226846917686403,5021.6,0.017247069600026248,,,0.866078847034918,3309.0,0.02617343146071073,3242.1,0.026713514297366462,5678.4,0.015252163409321607,,,0.8785837269658017,3036.8,0.028931234423267966,3615.4,0.024301148613315306,3681.6,0.023864182066650415,,,0.8785837269658017,2683.5,0.032740217140518044,4269.4,0.020578622920452563,4323.8,0.02031971245121887,,,0.8854306281744544,2111.7,0.04192975461355564,2314.0,0.038264072090512295,,,0.8958717840271854,2789.5,0.032115855315547066,3520.2,0.025449456963444844,,,0.902172473234133,3336.3,0.027041107611249973,1248.0,0.07228946099632474,,
1,76.67732,30.699459,0.5125026487703317,18598.1,0.002755672078171059,18598.1,0.002755672078171059,18598.1,0.002755672078171059,,,0.5269929131646581,8528.0,0.006179560426414847,10222.1,0.005155427095847801,9671.3,0.005449039045057625,,,0.5335770157847198,8153.3,0.00654430740662946,8931.2,0.005974303741767285,4713.9,0.011319226453355393,,,0.5393103187518792,6729.9,0.008013645355085206,8065.8,0.006686383480273243,4635.7,0.011633848582778852,,,0.5396715727471985,6381.1,0.00845734391793262,8810.0,0.006125670519264455,4191.5,0.0128753804782822,,,0.56473631563002,7276.6,0.007760991611879449,8790.6,0.006424320474484335,3574.4,0.015799471677205124,,,0.5650984525007753,7017.1,0.008053162310652196,8817.0,0.006409191930370594,3773.2,0.014976636608204582,,,0.5650984525007753,6636.4,0.008515135502693859,6148.3,0.009191133362080172,4429.3,0.012758188709294363,,,0.5903640744241384,5594.0,0.010553522960746128,6310.7,0.009354969724818774,5591.8,0.010557675067494159,,,0.6101568984405422,5955.3,0.010245611445948016,5379.6,0.01134204956577705,4940.3,0.012350604182752915,,,0.6246789021640825,4870.8,0.012824975407819711,4861.7,0.01284898085369485,5877.7,0.010627948043691963,,,0.6286525886985206,4383.4,0.014341666028619807,3627.4,0.017330666281593445,3880.9,0.016198628892744482,,,0.645365399767,3423.4,0.018851591977770636,4468.7,0.014441904799315237,4465.8,0.014451283079560213,,,0.6789111605656862,2311.0,0.02937737605217162,2254.7,0.030110930969338992,,,0.7035234972017164,2988.8,0.023538660907445004,3460.9,0.020327761484056642,,,0.7214413309559748,3535.6,0.020405060837084932,1188.7,0.06069162370286656,,
1,76.683038,30.698,0.656780104724294,18561.9,0.0035383236884386515,18561.9,0.0035383236884386515,18561.9,0.0035383236884386515,,,0.656780104724294,8491.8,0.007734286072732449,10186.0,0.0064478706530953665,9635.1,0.0068165364627693955,,,0.68976818678903,8350.7,0.008260004392314776,8895.1,0.007754473662904633,4911.3,0.01404451340355975,,,0.6920298336462892,6927.4,0.009989748443085273,8029.7,0.008618377195241281,4833.1,0.014318549867503035,,,0.7111983169196792,6578.6,0.01081078522663909,8773.9,0.008105840241166177,4389.0,0.01620410838276781,,,0.7357009846646194,7240.4,0.010161054426062365,8988.0,0.008185369210776807,3771.9,0.019504784980106032,,,0.7536762748287719,7143.8,0.010550075237671432,8780.9,0.008583132421833433,3970.7,0.018980942272868055,,,0.7633287008834656,6833.8,0.011169901092854132,6112.1,0.012488812370273158,4626.8,0.016497983506602094,,,0.7642836891447967,5557.9,0.013751303354590705,6274.6,0.012180596199674827,5784.4,0.013212842976709716,,,0.7741509453988866,6152.8,0.012582091818341024,5343.5,0.014487713023278498,5137.7,0.015068044950053264,,,0.7903228663492757,4834.6,0.016347223479693782,4825.5,0.016378051317983127,6075.1,0.013009215755284286,,,0.8053096081764988,4562.4,0.017651008420491384,3824.8,0.0210549468776537,4078.3,0.019746208179302623,,,0.8136057792546223,3620.8,0.022470331950249178,4698.6,0.017315919194113613,4663.3,0.017446996317084944,,,0.824806431757759,2508.4,0.0328817745079636,2452.1,0.03363673715418453,,,0.8303385742700087,3186.2,0.026060466206453102,3658.3,0.02269738879452228,,,0.8409534547643414,3733.0,0.02252755035532658,1386.2,0.06066609830935949,,
1,76.683915,30.710755,0.4512393441809881,17782.0,0.002537618626594242,17782.0,0.002537618626594242,17782.0,0.002537618626594242,,,0.4512393441809881,7570.5,0.0059604959273626325,9264.7,0.00487052299784114,8713.8,0.005178445043276047,,,0.4512393441809881,7475.0,0.006036646744896163,7973.7,0.005659096080627414,4020.5,0.011223463354831193,,,0.4758978900943659,6051.6,0.007864001092180016,7108.3,0.006694960681096266,3942.3,0.012071579790842042,,,0.5005300743916128,5692.1,0.008793416742355419,7852.5,0.006374149307756928,3498.1,0.014308626808599319,,,0.5005300743916128,6319.1,0.007920907635448287,8112.3,0.006170014353409178,2881.0,0.017373484012204538,,,0.5424756389922614,6222.5,0.008717969288746668,7859.6,0.006902076937659186,3079.8,0.017613989187358313,,,0.5657089577326848,5958.0,0.009494947259695952,5190.8,0.010898300025673976,3735.9,0.015142508036421875,,,0.5663335310530805,4636.6,0.012214414248653764,5353.2,0.010579345644718682,4898.3,0.011561838414410722,,,0.5663335310530805,5277.0,0.010732111636404784,4422.1,0.012806891093667724,4246.9,0.013335221715912324,,,0.5812250609147511,4121.6,0.014101927914274821,3904.2,0.01488717434851573,5184.3,0.011211254381782517,,,0.6161359828853035,3705.1,0.016629402253253718,2934.0,0.02099986308402534,3187.4,0.019330362768566967,,,0.6161359828853035,2730.0,0.02256908362217229,3807.7,0.016181316355944626,3898.6,0.015804031777697212,,,0.6216360425168684,759.1,0.08189119253285053,2472.0,0.02514708909857882,,,0.6366168800987078,2295.4,0.027734463714328993,3678.2,0.017307837531909842,,,0.6608371636360569,2842.2,0.023250902949688866,1406.1,0.046997878076670004,,
1,76.68866,30.70407,0.1647063534322959,17163.0,0.0009596594618207533,17163.0,0.0009596594618207533,17163.0,0.0009596594618207533,,,0.17640247733756215,6951.5,0.0025376174543272983,8645.7,0.0020403492757967794,8094.8,0.002179207359509341,,,0.24863944030527602,6856.0,0.0036265962704970247,7354.8,0.0033806417619143417,3401.5,0.007309699847281376,,,0.3210764901656371,5432.6,0.005910180947716326,6489.3,0.00494778312245754,3323.3,0.00966137544505874,,,0.3244696839212112,5073.1,0.006395885827624356,7233.5,0.0044856526428590756,2879.1,0.01126983029145258,,,0.34941571946376354,5700.1,0.006129992797736242,7493.3,0.00466304191029004,2262.0,0.015447202451978937,,,0.40891481791229267,5719.8,0.00714911042190798,7240.6,0.005647526695471268,2460.8,0.01661714962257366,,,0.4420556811179541,5339.0,0.008279746789997268,4571.8,0.009669182403384971,3116.9,0.014182542947093398,,,0.4420556811179541,4017.6,0.011002978920697784,4734.3,0.009337297617767233,4279.3,0.010330093265673222,,,0.4420556811179541,4658.0,0.009490246481707904,3803.1,0.011623561860533621,3627.9,0.012184891565863285,,,0.4420556811179541,3502.6,0.012620786875976536,3285.2,0.013455974708326865,4565.3,0.009682949228264388,,,0.491117410943867,3086.1,0.015913852789730308,2315.0,0.021214574986776112,2568.5,0.019120786877316217,,,0.491117410943867,2111.0,0.02326468076474974,3188.7,0.015401806721982847,3279.6,0.014974918006582115,,,0.491117410943867,998.6,0.049180593925882934,2438.8,0.020137666514017837,,,0.4942743538330748,1676.4,0.029484273075225168,3645.0,0.013560338925461584,,,0.0,2223.2,0.023382904600774083,1372.8,0.03786776916407411,,0.0
1,76.691224,30.694111,0.4875711936733843,16344.2,0.002983145052516393,16344.2,0.002983145052516393,16344.2,0.002983145052516393,,,0.5322936144959685,5927.9,0.00897946346085407,8837.2,0.006023328820168926,7741.4,0.00687593477272804,,,0.5322936144959685,6269.4,0.008490343804765503,7232.2,0.0073600510839850735,4175.0,0.012749547652598047,,,0.5746730046632511,4846.0,0.011858708309188013,5913.3,0.009718313034401283,4643.5,0.0123758588276785,,,0.6136961543555844,4675.8,0.013124944487693751,6705.6,0.009151994666481514,4262.4,0.01439790151922824,,,0.6280257481514405,5130.1,0.012241978677831632,6906.7,0.009092993008983169,3904.0,0.01608672510633813,,,0.6280257481514405,5133.2,0.012234585602576183,6806.0,0.009227530827967095,3616.9,0.017363646994703767,,,0.6286999158122863,4752.5,0.013228825161752474,4448.7,0.014132216508469584,4791.6,0.013120876446537404,,,0.6496187899273433,3667.3,0.01771381642972605,3624.1,0.017924968679874823,5952.1,0.010914110816809923,,,0.656457057974217,4071.4,0.0161236198352954,3553.1,0.018475614476772876,5620.2,0.011680314899366873,,,0.689714638793143,2957.5,0.02332086690762952,2740.1,0.025171148454185725,6606.6,0.010439782017878227,,,0.7019789567390362,3145.1,0.022319765881499355,4175.1,0.016813464509569498,4615.7,0.015208504814850103,,,0.7082709541050962,2791.8,0.025369688161941982,4829.0,0.01466703156150541,4883.4,0.01450364406161888,,,0.728002371006193,2732.1,0.02664625639640544,3236.1,0.02249628784667325,,,0.7403560589454037,3318.4,0.022310633406021085,4442.3,0.01666605269669774,,,0.7451454264434416,3865.2,0.019278314872281942,2170.1,0.03433691656805869,,
1,76.688734,30.687228,0.8499753714806619,16762.4,0.005070725978861391,16762.4,0.005070725978861391,16762.4,0.005070725978861391,,,0.859620183454498,6692.3,0.012844914057267275,8386.4,0.010250169124469355,7835.6,0.010970700181919672,,,0.859620183454498,6349.5,0.013538391738790423,7095.5,0.012115005051856781,5223.2,0.01645773057616974,,,0.8638254809459474,4926.1,0.017535687073870758,6230.1,0.013865354985408699,5691.7,0.015176932743221664,,,0.866492228550633,4755.9,0.018219311351177127,6785.7,0.012769386040506257,5310.6,0.016316277417817816,,,0.8753444238449766,5440.8,0.01608852418477019,6986.8,0.012528545598055999,4994.0,0.017527921983279467,,,0.8872812051600151,5213.3,0.017019569277808972,6981.3,0.012709398037042028,4665.2,0.019019146127926243,,,0.8950821759033251,4832.5,0.018522135041972584,4312.6,0.02075504744013646,5839.9,0.015327012036221941,,,0.9019473898464602,3814.8,0.02364337291198648,4475.0,0.02015524893511643,7042.1,0.012807932148740576,,,0.9084895809653135,4151.5,0.021883405539330686,3895.5,0.023321514079458695,6581.8,0.013803056625320026,,,0.9084895809653135,3299.9,0.027530821569299476,3082.5,0.029472492488736853,7519.2,0.012082263817498051,,,0.9084895809653135,3405.4,0.02667791099328459,5309.0,0.017112254303358703,5562.5,0.016332396961174174,,,0.9084895809653135,4068.2,0.02233148765953772,5919.0,0.01534870047246686,5973.4,0.01520891922465118,,,0.9148754780270856,4134.0,0.022130514707960465,4336.3,0.021098066970160863,,,0.9231267836179465,4408.4,0.020940177470691105,5542.5,0.016655422347639993,,,0.9260995251452074,4955.2,0.018689447956595242,2986.3,0.031011603828992644,,
1,76.679274,30.692858,0.4639324866883362,17668.1,0.0026258199053001527,17668.1,0.0026258199053001527,17668.1,0.0026258199053001527,,,0.5037726596837554,7120.2,0.007075259960166223,10029.4,0.005022959097092103,8933.7,0.005639014738392328,,,0.5210054958268563,7461.7,0.006982396716925852,8001.2,0.006511591959041847,4721.7,0.011034277819998228,,,0.5509322994840754,6038.3,0.009123963689847728,7105.6,0.0077534944196700544,5190.2,0.010614856835653259,,,0.5509322994840754,5689.5,0.009683316626840239,7897.9,0.006975680870662777,4809.1,0.011456037501488332,,,0.5642498472680276,5958.5,0.00946966262092855,8099.0,0.00696690760918666,4450.7,0.012677777591570486,,,0.5735926130391272,6325.5,0.009067941080375105,7998.2,0.007171521255271527,4163.6,0.013776362115456029,,,0.5735926130391272,5944.7,0.009648806719247855,5218.3,0.010991943986338985,5338.3,0.010744855347940865,,,0.6078934227612931,4664.0,0.013033735479444536,5380.7,0.011297664295747637,6498.8,0.009353933384029253,,,0.6301543843051788,5263.7,0.01197170021667608,4472.8,0.014088588452539321,5865.1,0.010744137087264986,,,0.6301543843051788,3964.0,0.015896931995589777,3931.6,0.016027937336076374,6802.5,0.009263570515327876,,,0.657208086612855,3691.8,0.017801833431194944,4558.2,0.014418149414524484,4811.6,0.013658826307524628,,,0.6624836508928628,3338.5,0.019843751711632853,5375.7,0.012323672282546699,5430.1,0.012200210878121264,,,0.6670258199278073,3246.7,0.02054473218738434,3449.0,0.01933968744354327,,,0.6889389245739125,3865.1,0.01782460801981611,4464.7,0.01543079993222193,,,0.7013127301271974,4411.9,0.01589593440756131,2370.9,0.029580021516183618,,
1,76.696883,30.70069,0.8795818549515292,16160.7,0.005442721261774113,16160.7,0.005442721261774113,16160.7,0.005442721261774113,,,0.8885990827975855,6090.5,0.014589920085339225,7784.7,0.011414686279465945,7233.8,0.012283987431192255,,,0.8885990827975855,5576.6,0.015934423892651175,6493.8,0.013683807366989827,2836.6,0.0313262032996399,,,0.898919070004595,4153.2,0.021644011124063254,5628.4,0.01597112980606558,3698.6,0.024304306224100874,,,0.9041546631888049,3804.4,0.023766025212617097,6372.6,0.014188159670916186,3317.5,0.027254096855728858,,,0.9108026688224952,4839.1,0.01882173686889081,6213.9,0.0146575044468449,2997.8,0.0303823693649508,,,0.9194103483725564,4742.5,0.019386617783290594,6379.6,0.014411724063774474,2670.2,0.034432265312431896,,,0.9243082060731886,4059.7,0.02276789432896984,3710.8,0.024908596692712854,3453.2,0.026766715106949748,,,0.9311277407184605,3156.6,0.029497805889832748,3873.3,0.024039649413122154,4613.8,0.020181363316972137,,,0.9311277407184605,3378.6,0.027559573217263378,2942.2,0.03164732991361772,4357.7,0.02136741264241367,,,0.9377497555859884,2433.3,0.03853818910886402,2424.2,0.038682854367873463,5295.1,0.01770976479360141,,,0.9377497555859884,1806.7,0.05190401038279672,3050.7,0.030738838810305452,3304.2,0.02838053857472273,,,0.9438116869601832,1844.1,0.05118007087252227,3924.5,0.02404922122461927,4015.3,0.023505384079898967,,,0.947541604699835,1765.3,0.05367595336202543,3389.8,0.027952728913205348,,,0.9492798252672406,1980.0,0.04794342551854751,4596.0,0.020654478356554408,,,0.9502173288513602,2958.9,0.03211387099433439,3339.9,0.02845047243484416,,
1,76.696064,30.715001,0.9368224620330918,16383.6,0.005718050135703336,16383.6,0.005718050135703336,16383.6,0.005718050135703336,,,0.9368224620330918,5621.2,0.016665880275263143,8488.6,0.011036242278268403,7484.9,0.01251616537339299,,,0.9389905088814987,5962.6,0.015748004375297667,7863.4,0.01194127869473127,2622.1,0.035810629223961665,,,0.944157822760338,4623.3,0.02042172956027811,6924.9,0.013634244866501149,2712.9,0.03480252949833528,,,0.9484799591324157,4293.7,0.022090037942390377,6482.9,0.014630488811063191,2234.9,0.042439480922297,,,0.9484799591324157,4562.7,0.020787690602766248,6684.0,0.014190304595039132,1482.6,0.0639740967983553,,,0.9521098264249568,4883.3,0.01949726263848129,6583.3,0.014462500971016918,1681.4,0.056626015607526864,,,0.9532093760020586,4529.8,0.02104307863486376,5080.4,0.018762486733368604,2145.4,0.04443038016230346,,,0.9533669499971879,4678.9,0.020375877877218746,3653.4,0.02609533448287042,2497.8,0.03816826607403266,,,0.954665067129646,5083.0,0.01878152797815554,3016.5,0.03164810433050377,1810.6,0.052726447980208,,,0.9581684211731105,2507.6,0.038210576693775346,2447.9,0.03914246583492424,2748.0,0.03486784647645963,,,0.9590429495401823,2235.4,0.04290252078107642,502.8,0.19074044342485724,1081.4,0.08868531066582043,,,0.9591603014323917,1331.6,0.07203066246863861,1699.1,0.05645108006782366,2097.2,0.04573528044213197,,,0.9592740491443482,2190.1,0.04380046797609005,4483.1,0.021397560820511433,,,0.9597645823892876,897.0,0.10699716637561735,5689.3,0.016869642704538126,,,0.0,495.5,0.19405495837578346,3417.1,0.028139133146586493,0.0,
