Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_272_0_0,fill_per_m_1_272_0_0,distance_from_118_1_0,fill_per_m_1_118_1_0,distance_from_253_2_0,fill_per_m_1_253_2_0,fill_per_m_1_118_1_1,fill_per_m_1_253_2_2,fill_ratio_2,distance_from_95_0_0,fill_per_m_2_95_0_0,distance_from_205_1_0,fill_per_m_2_205_1_0,distance_from_280_2_0,fill_per_m_2_280_2_0,fill_per_m_2_205_1_1,fill_per_m_2_280_2_2,fill_ratio_3,distance_from_112_0_0,fill_per_m_3_112_0_0,distance_from_150_1_0,fill_per_m_3_150_1_0,distance_from_47_2_0,fill_per_m_3_47_2_0,fill_per_m_3_150_1_1,fill_per_m_3_47_2_2,fill_ratio_4,distance_from_141_0_0,fill_per_m_4_141_0_0,distance_from_15_1_0,fill_per_m_4_15_1_0,distance_from_143_2_0,fill_per_m_4_143_2_0,fill_per_m_4_15_1_1,fill_per_m_4_143_2_2,fill_ratio_5,distance_from_226_0_0,fill_per_m_5_226_0_0,distance_from_101_1_0,fill_per_m_5_101_1_0,distance_from_42_2_0,fill_per_m_5_42_2_0,fill_per_m_5_101_1_1,fill_per_m_5_42_2_2,fill_ratio_6,distance_from_12_0_0,fill_per_m_6_12_0_0,distance_from_181_1_0,fill_per_m_6_181_1_0,distance_from_214_2_0,fill_per_m_6_214_2_0,fill_per_m_6_181_1_1,fill_per_m_6_214_2_2,fill_ratio_7,distance_from_50_0_0,fill_per_m_7_50_0_0,distance_from_198_1_0,fill_per_m_7_198_1_0,distance_from_80_2_0,fill_per_m_7_80_2_0,fill_per_m_7_198_1_1,fill_per_m_7_80_2_2,fill_ratio_8,distance_from_235_0_0,fill_per_m_8_235_0_0,distance_from_212_1_0,fill_per_m_8_212_1_0,distance_from_124_2_0,fill_per_m_8_124_2_0,fill_per_m_8_212_1_1,fill_per_m_8_124_2_2,fill_ratio_9,distance_from_185_0_0,fill_per_m_9_185_0_0,distance_from_279_1_0,fill_per_m_9_279_1_0,distance_from_209_2_0,fill_per_m_9_209_2_0,fill_per_m_9_279_1_1,fill_per_m_9_209_2_2,fill_ratio_10,distance_from_69_0_0,fill_per_m_10_69_0_0,distance_from_76_1_0,fill_per_m_10_76_1_0,distance_from_154_2_0,fill_per_m_10_154_2_0,fill_per_m_10_76_1_1,fill_per_m_10_154_2_2,fill_ratio_11,distance_from_246_0_0,fill_per_m_11_246_0_0,distance_from_82_1_0,fill_per_m_11_82_1_0,distance_from_238_2_0,fill_per_m_11_238_2_0,fill_per_m_11_82_1_1,fill_per_m_11_238_2_2,fill_ratio_12,distance_from_63_0_0,fill_per_m_12_63_0_0,distance_from_241_1_0,fill_per_m_12_241_1_0,distance_from_34_2_0,fill_per_m_12_34_2_0,fill_per_m_12_241_1_1,fill_per_m_12_34_2_2,fill_ratio_13,distance_from_8_0_0,fill_per_m_13_8_0_0,distance_from_94_1_0,fill_per_m_13_94_1_0,distance_from_77_2_0,fill_per_m_13_77_2_0,fill_per_m_13_94_1_1,fill_per_m_13_77_2_2,fill_ratio_14,distance_from_176_1_0,fill_per_m_14_176_1_0,distance_from_36_2_0,fill_per_m_14_36_2_0,fill_per_m_14_176_1_1,fill_per_m_14_36_2_2,fill_ratio_15,distance_from_196_1_0,fill_per_m_15_196_1_0,fill_per_m_15_196_1_1,fill_ratio_16,distance_from_191_1_0,fill_per_m_16_191_1_0,fill_per_m_16_191_1_1
1,76.689434,30.707174,0.31676167706752667,17028.0,0.0018602400579488295,17028.0,0.0018602400579488295,17028.0,0.0018602400579488295,,,0.37645611324236733,8736.9,0.004308806478755249,7257.5,0.005187132114948223,8211.2,0.0045846662271332725,,,0.38198100601573753,8390.6,0.004552487378920906,5584.8,0.006839654168739034,8083.9,0.004725206967128955,,,0.4432469532590625,3732.1,0.01187660977088134,5207.1,0.00851235722876577,7652.4,0.005792260640571096,,,0.4432469532590625,3373.8,0.013137914317951938,4666.8,0.009497877630476182,8290.4,0.005346508651682217,,,0.49656056802398196,2951.1,0.016826287419063467,3992.8,0.012436399720095722,9330.0,0.005322192583322422,,,0.49656056802398196,3519.3,0.014109640213223707,2325.8,0.02135009751586473,7424.1,0.0066884951445155905,,,0.49656056802398196,3150.2,0.015762826741920578,2127.0,0.02334558382811387,5889.0,0.008432001494718662,,,0.5063860200809115,2087.4,0.024259175054177993,759.1,0.06670873667249526,5471.5,0.009254976150615215,,,0.5434651737005226,2088.1,0.026026779067119518,2058.2,0.026404876770990314,3894.5,0.013954684136616321,,,0.5815239260523108,2190.1,0.026552391491361623,3124.1,0.018614126502106556,4134.0,0.014066858395072832,,,0.5815239260523108,1541.3,0.03772944436854025,4330.3,0.013429183337235546,3880.3,0.014986571297381925,,,0.584427902514748,2367.3,0.02468753020380805,2508.4,0.023298832024985967,3420.2,0.017087535890145254,,,0.584427902514748,2433.4,0.024016927036851647,3246.7,0.018000674608517817,3214.7,0.018179858229842537,,,0.6016384497520647,2311.0,0.026033684541413447,2732.1,0.022021099145421646,,,0.6245678788066235,998.6,0.06254434997062122,,0.6332433962828081,547.1,0.11574545718932701,
1,76.699239,30.704057,0.7193536223691586,15489.9,0.00464401721359827,15489.9,0.00464401721359827,15489.9,0.00464401721359827,,,0.7359593888947304,8556.4,0.008601273770449377,5708.9,0.012891439487374635,8030.7,0.009164324266810247,,,0.7458696227200481,6411.1,0.011634035075416825,5404.3,0.013801410408749479,8474.3,0.00880154847857697,,,0.7458696227200481,2271.4,0.032837440464913624,5026.6,0.014838451890344329,6255.7,0.011923040150903147,,,0.7692048672730508,3193.3,0.024088086533462272,3270.2,0.023521645993304714,8680.8,0.008860990545491785,,,0.7772024764066251,2770.6,0.028051774937075908,2527.4,0.030751067358021092,7933.3,0.009796711033323144,,,0.7884121432990145,2122.6,0.037143698449967705,2145.3,0.03675067092243576,7814.5,0.010089092626514997,,,0.7884121432990145,1753.5,0.04496219807807325,1946.5,0.040504091615669896,4982.8,0.015822672860620824,,,0.7983378822338679,1906.9,0.04186574451905542,2150.7,0.037119908970747566,4433.9,0.01800531997189535,,,0.8106053820988681,1907.7,0.04249123982276396,2591.3,0.03128180380885533,4371.6,0.018542533216645347,,,0.8145648541190539,2422.6,0.033623580208001894,4009.0,0.02031840494185717,4611.0,0.01766568757577649,,,0.8155035726720609,1360.9,0.059923842506581,5215.2,0.015637052705017272,4413.4,0.01847789850618709,,,0.8290484011132101,2380.0,0.03483396643332815,3041.6,0.02725698320335383,2689.8,0.030821934757722137,,,0.8339126815963036,2633.5,0.03166556603745219,2504.2,0.033300562319155964,2472.2,0.03373160268571732,,,0.8339126815963036,2844.1,0.029320793277180957,1957.5,0.0426009032743961,,,0.8435185038091659,1531.7,0.05507073864393588,,0.8569620131323386,1132.4,0.07567661719642693,
1,76.68811,30.698177,0.7928544190338394,17017.9,0.004658943929825885,17017.9,0.004658943929825885,17017.9,0.004658943929825885,,,0.8113426445761919,8822.6,0.00919618530338213,7343.2,0.01104889754570476,8296.9,0.00977886493239875,,,0.8262561932986437,8476.4,0.009747725370424282,5670.5,0.014571134702383278,6126.5,0.013486594194052784,,,0.8314346658311201,3817.9,0.02177727718984573,5303.5,0.015677093727370986,5329.9,0.015599442125201602,,,0.8374529428985602,3309.0,0.02530833916284558,4798.2,0.017453481365898884,6333.0,0.013223637184565928,,,0.8504567640617193,3036.8,0.028005030428797397,4089.3,0.020797123323349213,6518.8,0.0130462165438688,,,0.8644582074497961,3650.6,0.023679893920171922,3573.9,0.024188091649173064,5466.6,0.015813452739358944,,,0.8765269776565631,3242.1,0.0270357785896969,3375.1,0.02597040021500291,3931.5,0.022294975903766074,,,0.8765269776565631,2173.2,0.040333470350476866,2005.2,0.04371269587355691,3514.1,0.02494314270102055,,,0.8814395457403988,3336.3,0.02641967286336357,1248.0,0.07062816872919862,1937.1,0.04550304815138087,,,0.8892293291737037,3438.2,0.025863222883302416,2314.0,0.03842823375858702,2176.6,0.04085405353182503,,,0.8892293291737037,2789.5,0.03187773182196464,3520.2,0.025260761580981297,1922.9,0.046244179581554086,,,0.8978640879674082,3615.4,0.024834432924915866,1698.3,0.05286840298930744,1474.9,0.06087626876177424,,,0.9037725739606106,3681.6,0.024548364134088726,1289.3,0.07009792708916548,1257.3,0.07188201494954351,,,0.9107208298394829,1500.9,0.06067831500029868,1093.4,0.08329255806104653,,,0.9107208298394829,1426.4,0.06384750629833727,,0.9107208298394829,2038.7,0.04467164515816368,
1,76.696883,30.70069,0.3523749466096544,16160.7,0.0021804435860430203,16160.7,0.0021804435860430203,16160.7,0.0021804435860430203,,,0.39632731330210375,7592.5,0.005219984370129783,6379.6,0.006212416347452877,7066.8,0.0056082995599437335,,,0.44633974208662097,7081.8,0.006302631281406153,4742.5,0.009411486390861801,7510.4,0.005942955662636091,,,0.4960894717001283,2942.2,0.016861174349130863,4839.1,0.010251688778907819,5809.8,0.008538839059866575,,,0.5310416158781234,2433.3,0.021823927007690105,3940.9,0.013475135524324985,6812.9,0.007794648620677295,,,0.5627444354450267,1806.7,0.031147641304313207,3198.1,0.01759621135815099,7487.4,0.007515885827457151,,,0.6047149706146058,2793.3,0.021648765639730987,2670.2,0.02264680438224125,6850.6,0.008827182591519074,,,0.6047149706146058,2424.2,0.024944929074111284,2997.8,0.020171958456688427,4536.6,0.0133296956005512,,,0.6139055844108211,943.0,0.06510133450804041,2769.8,0.022164256784273993,3987.6,0.015395365242522349,,,0.6510282661258134,2958.9,0.022002374738105828,3339.9,0.01949244786148727,3407.7,0.01910462382621162,,,0.679145425628819,3093.3,0.02195536888206184,3389.8,0.020034970370783493,2500.4,0.027161471189762393,,,0.7092585830499137,1980.0,0.035821140558076454,4596.0,0.015432084052435025,3529.9,0.02009288033796747,,,0.7160425345977166,3050.7,0.02347141753032801,3790.2,0.01889194592891448,2070.7,0.03457973316258833,,,0.7367785054948055,3304.2,0.022298241798160087,1885.1,0.039084319425749595,1853.1,0.03975924156790273,,,0.7367785054948055,2576.7,0.028593879981946117,1338.4,0.055049200948506086,,,0.747289797351271,1216.3,0.061439595276763216,,0.747289797351271,1692.3,0.04415823419909419,
1,76.695929,30.704942,0.858177053157164,16767.0,0.0051182504512266,16767.0,0.0051182504512266,16767.0,0.0051182504512266,,,0.8699382429228606,8633.1,0.010076777089606985,6985.9,0.012452772626617339,8107.4,0.010730175431369622,,,0.8699382429228606,7688.1,0.011315386674508144,5481.0,0.015871889124664487,7406.2,0.011746080890643794,,,0.8699382429228606,3548.5,0.024515661347692282,5114.0,0.01701091597424444,6416.1,0.013558676500099134,,,0.8798360456908042,3039.6,0.02894578384296632,4547.2,0.019348963003404388,7419.2,0.011858907236505341,,,0.8864313484460603,2847.3,0.031132348134936965,3804.4,0.02330016161408002,8093.7,0.010952115206222869,,,0.8922801982776484,3399.6,0.02624662308146983,3319.1,0.026883197200375054,6746.3,0.013226215826121702,,,0.9008572953951918,3030.5,0.029726358534736572,3606.3,0.024980098588447765,5142.9,0.017516523661653773,,,0.9105271110122761,1983.6,0.04590275816758803,2366.8,0.03847080915211577,4593.9,0.019820351139821855,,,0.9107505396875198,3567.4,0.0255298127400213,3012.6,0.030231379528895968,3216.8,0.02831231471299179,,,0.9166295590629896,3699.6,0.024776450401745854,3996.1,0.022938103627611662,3456.2,0.026521311239598104,,,0.9191908358780048,3020.6,0.03043073680321806,5202.3,0.017668931739384594,3202.5,0.02870228995715862,,,0.9202086692916286,3657.0,0.025162938728237043,3462.9,0.026573353815923895,2677.0,0.034374623432634616,,,0.9216978942076073,3910.5,0.02356982212524248,2491.4,0.036995179184699654,2459.4,0.037476534691697455,,,0.9254664019127987,3499.0,0.02644945418441837,1944.7,0.04758916038015112,,,0.9327574325276539,1667.2,0.05594754273798307,,0.9342411469040999,2223.8,0.042011023783798,
1,76.710537,30.716773,0.8216368977104717,14749.5,0.0055706084796804745,14749.5,0.0055706084796804745,14749.5,0.0055706084796804745,,,0.8322177816694134,6685.2,0.012448659451765293,6338.3,0.013129984091466377,8961.2,0.009286901103305508,,,0.8322177816694134,5851.5,0.014222298242662794,3539.6,0.02351163356507553,9404.9,0.008848768000397807,,,0.8400044732063731,2683.9,0.03129790503395704,3614.9,0.023237281064659412,8518.8,0.009860596248372695,,,0.8494622936337254,2552.4,0.0332809235869662,2766.2,0.030708636166355486,9521.9,0.008921142772279959,,,0.8600684943942708,2246.6,0.03828311646017408,2023.4,0.04250610331097513,10196.4,0.008435021128969744,,,0.8600684943942708,2825.1,0.030443824798919362,948.5,0.09067669946170488,8745.0,0.0098349742069099,,,0.8600684943942708,2475.2,0.03474743432426757,749.6,0.11473699231513752,7245.9,0.01186972625062823,,,0.8643568838439093,2340.0,0.03693832836939783,3498.1,0.0247093246003233,6697.0,0.012906628099804529,,,0.8740696088133143,1974.5,0.044267896116146586,3938.7,0.0221918300153176,5302.1,0.01648534748143781,,,0.8858133088775539,2234.9,0.039635478494677794,5139.8,0.01723439256153068,5310.6,0.016680098461144766,,,0.8969328135790463,1427.7,0.06282361935834183,6346.0,0.014133829397715824,5458.5,0.016431855153962557,,,0.8977738286276913,2201.5,0.04078009668987923,4389.0,0.020455088371558242,4994.7,0.01797452957390216,,,0.9003531168572816,3353.8,0.02684576053602724,4809.1,0.018721863069124815,4777.1,0.018847273803296594,,,0.9003531168572816,4191.5,0.021480451314738913,4262.4,0.02112314932566821,,,0.9077496199256763,2879.1,0.031528936817952706,,0.9139755353748086,2479.8,0.03685682455741626,
1,76.698487,30.722642,0.7120140203307808,17440.6,0.004082508745861845,17440.6,0.004082508745861845,17440.6,0.004082508745861845,,,0.7151250105940641,9194.3,0.007777916867994998,7645.3,0.009353786124731063,9602.4,0.0074473570210995595,,,0.7415153341218718,9282.6,0.007988228881152606,6048.7,0.012259085987433197,10046.0,0.007381199822037346,,,0.748380243105899,4156.9,0.018003325629817872,7039.9,0.010630552182643206,9127.2,0.008199450467897043,,,0.7704191919601208,3648.1,0.02111836824539132,5256.0,0.014657899390413256,10130.3,0.007605097499186804,,,0.7844237915324636,3395.0,0.02310526631907109,4513.3,0.017380271453979648,10804.8,0.007259956607549085,,,0.7994371612589257,4994.1,0.016007632231211343,2841.0,0.028139287619110376,9386.2,0.008517154559448186,,,0.8020460960995491,3607.5,0.02223274001661952,2967.3,0.02702949132543218,7854.4,0.010211424120232598,,,0.8191137405585708,3003.9,0.027268342506693657,3807.7,0.02151203457621585,7305.4,0.011212442036829891,,,0.8191137405585708,1856.9,0.0441118929699268,4248.3,0.019280976874480868,5943.3,0.013782136869391934,,,0.8258690816339446,1699.1,0.048606266943319675,5281.8,0.01563612938077823,5919.0,0.013952848143840929,,,0.8337059940541311,2056.6,0.040538072257810524,6488.0,0.012849969082215338,6065.5,0.013745049774200498,,,0.8385842856150664,1305.1,0.06425440852157432,4698.6,0.01784753512993373,5561.3,0.015078925532071033,,,0.8509572410494144,1071.9,0.07938774522338038,5375.7,0.015829701081708697,5343.7,0.015924495032457183,,,0.8537064696377515,4468.7,0.01910413475144341,4829.0,0.017678742382227202,,,0.8626319538194172,3188.7,0.027052778681576104,,0.8655124281907822,2789.4,0.031028623653501907,
1,76.715344,30.712724,0.871204482263052,13904.2,0.006265764893075847,13904.2,0.006265764893075847,13904.2,0.006265764893075847,,,0.8802676422421813,6597.7,0.013342038016917735,5588.3,0.015751975417249993,8892.7,0.009898766878925202,,,0.8866540061080385,5764.1,0.0153823494753394,3431.0,0.025842436785428108,9317.4,0.009516109709876559,,,0.8896870618982327,2596.5,0.0342648589215572,3527.5,0.025221461712210708,8431.4,0.010552068006478553,,,0.8928033590021982,2465.0,0.036219203204957334,2678.8,0.03332848137233829,9434.5,0.009463176204379652,,,0.8974344567907586,2156.2,0.04162111384800847,1936.0,0.046355085578035055,10109.0,0.008877578957273306,,,0.8990792532898229,2737.7,0.032840678426775134,1470.8,0.06112858670722212,8975.1,0.010017484521507535,,,0.8990792532898229,2387.8,0.03765303849944814,1272.0,0.07068233123347664,7158.5,0.012559604013268463,,,0.9071913122655113,2232.6,0.04063384897722437,4020.5,0.022564141581034976,6609.6,0.013725358754924824,,,0.9071913122655113,2496.9,0.036332705044876096,4460.9,0.020336508602871874,5566.6,0.016297045095130084,,,0.9121247636582166,2622.1,0.03478604033630359,5527.0,0.016503071533530245,5223.2,0.017462949219984238,,,0.9123765475427318,1950.1,0.04678614161031393,6733.2,0.013550415070735043,5703.5,0.015996783510874583,,,0.9161127971572383,2812.4,0.032574057643195785,4911.3,0.018653163055753836,4907.3,0.018668367476152633,,,0.9180735832806597,3741.0,0.0245408602855028,4721.7,0.01944370847958701,4689.7,0.019576381928069167,,,0.9180735832806597,4713.9,0.019475881611418566,4175.0,0.021989786425884065,,,0.9219383787318246,3401.5,0.027103877075755536,,0.9243785695947817,3002.1,0.030791065240824148,
1,76.700787,30.725808,0.9835214727152221,17711.8,0.005552916545552807,17711.8,0.005552916545552807,17711.8,0.005552916545552807,,,0.9835214727152221,7725.4,0.012731010338820282,6279.8,0.01566166872695344,10001.4,0.009833837989833644,,,0.9835214727152221,7379.1,0.013328474647520999,4579.8,0.02147520574512472,10445.1,0.009416103940749461,,,0.9835214727152221,3750.8,0.02622164532140402,4259.2,0.023091694982983236,9879.5,0.00995517458085148,,,0.9843413451181074,3619.3,0.02719700895527056,4124.0,0.02386860681663694,10651.5,0.009241340140995235,,,0.9858612940207593,3286.8,0.02999456291897162,3045.0,0.032376397176379614,11557.0,0.008530425664279305,,,0.9865893431440922,4182.9,0.023586252196899096,1697.2,0.05813041145086567,9785.2,0.010082464774803705,,,0.9877975908853618,3833.0,0.025770873751248678,1498.4,0.06592349111621475,8254.7,0.011966486860641352,,,0.9881314981182655,3123.8,0.031632354764013874,4246.9,0.023267124211030766,7837.3,0.012608060149774353,,,0.9881314981182655,2292.8,0.04309715187187131,4687.4,0.02108058834574104,6342.3,0.015580018260225242,,,0.988695959548024,1810.6,0.05460598473147156,5753.4,0.017184551040220115,6581.8,0.015021665191103104,,,0.9891776487191498,2176.5,0.045448088615628296,6959.6,0.014213139386159403,6498.7,0.015221161904983302,,,0.989366658038748,1736.2,0.05698460189141504,5137.7,0.01925699550457886,6352.5,0.015574445620444676,,,0.9899583659165754,1807.7,0.05476342124891162,5865.1,0.01687879773433659,5833.1,0.016971393700032148,,,0.9901439738722504,4940.3,0.020042183144186595,5620.2,0.017617593215050183,,,0.9905570394077701,3627.9,0.02730386833726867,,0.9912728539900627,3228.5,0.030703820783337856,
1,76.704309,30.698164,0.20201566840248997,14688.7,0.0013753134613852143,14688.7,0.0013753134613852143,14688.7,0.0013753134613852143,,,0.2255594545916358,7749.4,0.0029106699175631117,6270.0,0.0035974394671712245,7223.7,0.003122491999828838,,,0.24875903529365823,7403.1,0.0033602009333071037,4597.3,0.005410981125740287,7667.3,0.003244415052152103,,,0.31768433028354703,2744.6,0.011574886332563835,4230.3,0.007509735250066119,5454.5,0.005824261257375507,,,0.36744866844678303,2235.8,0.016434773613327805,2687.4,0.013673017356805204,7873.8,0.004666725957565382,,,0.37330770571077326,1963.6,0.0190113926314307,3016.0,0.012377576449296195,7132.1,0.005234190570950677,,,0.3744435253972473,1321.4,0.02833687947610468,2435.4,0.015375031838599295,7007.4,0.005343544330240136,,,0.3744435253972473,952.3,0.0393199123592615,2764.3,0.013545690605116928,5476.9,0.0068367785681178635,,,0.38882048503319244,1099.9,0.03535053050579075,2968.5,0.01309821408230394,5059.5,0.007684958692226356,,,0.4139520332142728,2725.4,0.015188670771786629,3439.5,0.01203523864556688,2532.1,0.01634817081530243,,,0.4686742282980086,3221.4,0.014548774703483223,4505.5,0.010402268966774134,2771.6,0.01690987979138435,,,0.46927476119554384,2178.6,0.021540198347358114,5711.7,0.008216026072719923,3629.5,0.01292946028917327,,,0.5051709501220227,3178.8,0.01589187586894497,3889.8,0.012987067461618148,3587.7,0.014080635229311893,,,0.5111310344031057,3432.3,0.014891793677799308,2995.9,0.017061017871194153,2963.9,0.017245218610719176,,,0.541717159828325,3925.9,0.013798547080372018,2090.8,0.025909563795117895,,,0.5478127706697165,2349.5,0.023316142612033047,,0.5900716514805484,1950.1,0.030258532971670603,
