Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_128_0_0,fill_per_m_1_128_0_0,distance_from_100_1_0,fill_per_m_1_100_1_0,distance_from_125_2_0,fill_per_m_1_125_2_0,fill_per_m_1_100_1_1,fill_per_m_1_125_2_2,fill_ratio_2,distance_from_248_0_0,fill_per_m_2_248_0_0,distance_from_141_1_0,fill_per_m_2_141_1_0,distance_from_300_2_0,fill_per_m_2_300_2_0,fill_per_m_2_141_1_1,fill_per_m_2_300_2_2,fill_ratio_3,distance_from_284_0_0,fill_per_m_3_284_0_0,distance_from_226_1_0,fill_per_m_3_226_1_0,distance_from_61_2_0,fill_per_m_3_61_2_0,fill_per_m_3_226_1_1,fill_per_m_3_61_2_2,fill_ratio_4,distance_from_205_0_0,fill_per_m_4_205_0_0,distance_from_50_1_0,fill_per_m_4_50_1_0,distance_from_168_2_0,fill_per_m_4_168_2_0,fill_per_m_4_50_1_1,fill_per_m_4_168_2_2,fill_ratio_5,distance_from_150_0_0,fill_per_m_5_150_0_0,distance_from_12_1_0,fill_per_m_5_12_1_0,distance_from_118_2_0,fill_per_m_5_118_2_0,fill_per_m_5_12_1_1,fill_per_m_5_118_2_2,fill_ratio_6,distance_from_263_0_0,fill_per_m_6_263_0_0,distance_from_45_1_0,fill_per_m_6_45_1_0,distance_from_122_2_0,fill_per_m_6_122_2_0,fill_per_m_6_45_1_1,fill_per_m_6_122_2_2,fill_ratio_7,distance_from_112_0_0,fill_per_m_7_112_0_0,distance_from_37_1_0,fill_per_m_7_37_1_0,distance_from_242_2_0,fill_per_m_7_242_2_0,fill_per_m_7_37_1_1,fill_per_m_7_242_2_2,fill_ratio_8,distance_from_78_0_0,fill_per_m_8_78_0_0,distance_from_259_1_0,fill_per_m_8_259_1_0,distance_from_92_2_0,fill_per_m_8_92_2_0,fill_per_m_8_259_1_1,fill_per_m_8_92_2_2,fill_ratio_9,distance_from_5_0_0,fill_per_m_9_5_0_0,distance_from_198_1_0,fill_per_m_9_198_1_0,distance_from_80_2_0,fill_per_m_9_80_2_0,fill_per_m_9_198_1_1,fill_per_m_9_80_2_2,fill_ratio_10,distance_from_51_0_0,fill_per_m_10_51_0_0,distance_from_246_1_0,fill_per_m_10_246_1_0,distance_from_277_2_0,fill_per_m_10_277_2_0,fill_per_m_10_246_1_1,fill_per_m_10_277_2_2,fill_ratio_11,distance_from_197_0_0,fill_per_m_11_197_0_0,distance_from_185_1_0,fill_per_m_11_185_1_0,distance_from_266_2_0,fill_per_m_11_266_2_0,fill_per_m_11_185_1_1,fill_per_m_11_266_2_2,fill_ratio_12,distance_from_209_0_0,fill_per_m_12_209_0_0,distance_from_63_1_0,fill_per_m_12_63_1_0,distance_from_286_2_0,fill_per_m_12_286_2_0,fill_per_m_12_63_1_1,fill_per_m_12_286_2_2,fill_ratio_13,distance_from_8_1_0,fill_per_m_13_8_1_0,distance_from_38_2_0,fill_per_m_13_38_2_0,fill_per_m_13_8_1_1,fill_per_m_13_38_2_2,fill_ratio_14,distance_from_184_1_0,fill_per_m_14_184_1_0,distance_from_54_2_0,fill_per_m_14_54_2_0,fill_per_m_14_184_1_1,fill_per_m_14_54_2_2,fill_ratio_15,distance_from_69_1_0,fill_per_m_15_69_1_0,distance_from_291_2_0,fill_per_m_15_291_2_0,fill_per_m_15_291_2_2,fill_ratio_16,distance_from_287_2_0,fill_per_m_16_287_2_0
1,76.725084,30.684377,0.9061432547657664,11885.2,0.00762413131260531,11885.2,0.00762413131260531,11885.2,0.00762413131260531,,,0.9152203903995291,2708.3,0.0337931687922139,3282.8,0.027879261313498507,2849.2,0.032122012859733574,,,0.9152203903995291,1482.4,0.0617390981111393,3851.0,0.023765785260958947,2200.9,0.04158391523465532,,,0.9152203903995291,1736.8,0.05269578479960439,4152.2,0.022041818563641662,2536.4,0.036083440719110904,,,0.9153640720408269,2702.2,0.03387477137298597,3633.6,0.025191657640929847,1994.1,0.04590361927891415,,,0.9153640720408269,3051.3,0.029999150265159993,3170.1,0.028874927353737326,2474.8,0.03698739583161576,,,0.9213271338222117,2590.5,0.035565610261424886,3232.3,0.028503763073421763,1374.4,0.06703486130836814,,,0.9225887744357322,3211.9,0.028724081522953145,1388.5,0.06644499635835305,2446.8,0.037705933236706395,,,0.9225887744357322,3557.7,0.025932168941612058,1818.4,0.05073629423865662,2498.7,0.03692275080784937,,,0.9225887744357322,2642.2,0.03491744661402362,4980.6,0.018523647240005863,3431.1,0.026889008610525258,,,0.9250469655831828,3112.6,0.02971942959529598,5053.9,0.018303626221001262,3905.8,0.02368393070774701,,,0.9323260363215726,3333.5,0.027968382670513655,5768.3,0.01616292558156775,4936.1,0.018887908193139777,,,0.9337548092583973,3603.1,0.025915317622558276,5860.1,0.01593411049740443,5472.8,0.017061738219163815,,,0.9337548092583973,6113.6,0.015273403710717044,2958.9,0.0315574980316468,,,0.9399469454127377,6733.8,0.013958640669647714,2731.6,0.034410123935156606,,,0.9435763077344529,5902.7,0.015985503375310503,1941.5,0.04860037639631486,,0.9468240183832188,1624.8,0.058273265533186784
1,76.708931,30.698582,0.7720124763099904,14022.3,0.005505605188235813,14022.3,0.005505605188235813,14022.3,0.005505605188235813,,,0.7799451063915729,3952.2,0.019734454389746796,6480.9,0.012034518452554011,5930.1,0.013152309512345032,,,0.7802027160894633,3709.5,0.0210325573821125,733.2,0.10641062685344561,4430.9,0.017608222169073175,,,0.7833425266049198,2370.2,0.033049638283896704,1101.0,0.07114827671252677,5190.0,0.015093304944218107,,,0.7833425266049198,2604.2,0.030079967998038543,515.8,0.15186943129215194,4234.2,0.01850036669512351,,,0.78946250282503,2700.7,0.02923177334857741,733.0,0.10770293353683902,4241.2,0.018614130501391823,,,0.7950923181934939,2451.5,0.03243289080944295,1247.8,0.06371953183150296,4324.6,0.018385337792940246,,,0.7950923181934939,1123.1,0.07079443666579058,2407.1,0.033031129499958206,3397.4,0.023402964566830338,,,0.8024777407545375,1138.0,0.07051649743009995,2276.6,0.035248956371542545,3728.6,0.021522226593212936,,,0.8063327138955471,1835.5,0.04392986727842806,3215.2,0.025078773136835878,4349.8,0.018537236514220127,,,0.8063327138955471,2276.7,0.035416730965676074,2708.7,0.029768254657051248,4824.5,0.01671329078444496,,,0.8190791165950165,1036.3,0.07903880310672745,3176.4,0.025786397072000266,3897.2,0.021017117843452133,,,0.8290273872084265,2651.9,0.03126163834263835,3268.2,0.025366482687975846,3360.5,0.024669763047416353,,,0.8302138360263586,3521.7,0.023574235057681192,2152.2,0.03857512480375237,,,0.8355752272300107,4142.0,0.020173230980927347,1924.9,0.043408760311185554,,,0.8458624761185051,3310.8,0.025548582702624896,1989.0,0.042527022429286326,,0.8531337571656402,1613.2,0.052884562184827684
1,76.722183,30.687605,0.15124682873493456,12300.7,0.0012295790380623423,12300.7,0.0012295790380623423,12300.7,0.0012295790380623423,,,0.214359598183761,1650.7,0.012985981594702913,3718.3,0.00576498932801982,3484.0,0.006152686515033323,,,0.214359598183761,1992.1,0.010760483820278149,3431.7,0.006246455056787044,2683.0,0.007989548944605329,,,0.24266103025518165,1179.5,0.020573211551944186,3799.5,0.00638665693525942,2971.9,0.008165181542285462,,,0.24266103025518165,2553.1,0.00950456426521412,3177.8,0.0076361328672409105,2481.9,0.009777228343413581,,,0.3143878972634715,2550.0,0.012328937147587118,2714.3,0.011582651043122406,2582.3,0.012174723977209135,,,0.35810857524794076,2727.9,0.013127628404558112,2776.5,0.01289784171611528,2848.2,0.012573154106029799,,,0.35810857524794076,2683.2,0.01334632436076106,859.8,0.041650218102807716,1995.4,0.017946706186626277,,,0.35810857524794076,3101.8,0.011545185867816775,2107.9,0.01698887875363825,2354.0,0.015212768702121527,,,0.3945505049456838,2186.3,0.018046494302963168,5388.1,0.007322627734186146,2975.3,0.01326086461686834,,,0.3945505049456838,2656.7,0.014851150108995513,4802.5,0.008215523267999661,3422.5,0.01152813747102071,,,0.41749949199371394,2949.0,0.014157324245293793,5349.3,0.007804750004555996,4016.0,0.010395903685102438,,,0.4654551984551224,3151.6,0.014768853866452672,5404.3,0.008612682464983853,3479.3,0.013377840325787439,,,0.4654551984551224,5657.8,0.0082267877700718,2503.1,0.01859514995226409,,,0.48129514015203795,6313.1,0.007623752833822337,2275.8,0.021148393538625448,,,0.48787980858656343,5446.9,0.008957017910858716,1485.7,0.03283837979313208,,0.5060514643645984,1149.9,0.044008301971006025
1,76.717915,30.684941,0.06520459126049205,13151.5,0.000495795850363016,13151.5,0.000495795850363016,13151.5,0.000495795850363016,,,0.06571927083815238,3030.3,0.002168738106397135,4569.1,0.0014383417048905117,4135.6,0.0015891109110685844,,,0.146398851738232,2849.4,0.00513788347505552,3925.3,0.0037296219840071334,3540.3,0.004135210342011468,,,0.20251062045766133,2036.7,0.00994307558588213,4329.6,0.004677351728974069,3822.7,0.0052975807794925405,,,0.27584224308994976,3024.2,0.009121164046357707,3707.9,0.007439311823133034,3280.4,0.008408799021154425,,,0.27584224308994976,3373.3,0.008177222396168433,3244.5,0.008501841365077817,3319.4,0.008310003105680235,,,0.29764272833505623,3585.2,0.008301983943296225,3306.6,0.009001473668876074,2243.6,0.013266300959843833,,,0.3540797801530751,3700.9,0.009567396583346622,1710.6,0.020699157029876954,2525.6,0.014019630192947226,,,0.37186120248848437,3632.0,0.010238469231511135,2965.1,0.01254127019285975,2884.2,0.01289304495140713,,,0.4249465220295471,2716.5,0.015643162968140886,5302.6,0.008013927545535154,3505.4,0.012122625721160128,,,0.44219479507104037,3186.9,0.013875389722647099,5332.6,0.008292292597814206,3952.7,0.011187158020366848,,,0.4741593872859636,3407.9,0.0139135358222355,5842.6,0.008115554501180358,4546.2,0.010429796033741666,,,0.5232956714497985,3677.4,0.014230044908081755,5934.4,0.008818004708981506,4009.4,0.013051720243672332,,,0.5620266501823463,6187.9,0.009082671830222634,3033.2,0.018529165573728947,,,0.5686595604380374,6808.2,0.008352568379866006,2805.9,0.020266565466981624,,,0.6095929342440233,5977.0,0.010198978320964083,2015.9,0.03023924471670337,,0.6147924585333234,1680.1,0.03659261106680099
1,76.732203,30.688969,0.7928544190338394,11190.6,0.007085003655155572,11190.6,0.007085003655155572,11190.6,0.007085003655155572,,,0.8111231628202593,1847.6,0.043901448518091545,2588.2,0.031339276826375835,2154.7,0.037644366399974906,,,0.8226050842345118,621.7,0.1323154389954177,3029.1,0.027156749009095503,1500.7,0.054814758728227615,,,0.8226050842345118,894.7,0.0919420011439043,3310.1,0.024851366551902114,1841.8,0.04466310588742056,,,0.8308378964063543,1860.1,0.04466630269374519,3591.7,0.0231321629425162,1299.6,0.06393027827072595,,,0.8459625837091161,2209.2,0.038292711556632095,2638.1,0.03206711586782594,1047.5,0.08076015118941443,,,0.8609146344200239,2443.1,0.0352386162834114,2700.2,0.03188336546996608,1785.0,0.048230511732214223,,,0.8641080088325195,2369.9,0.0364617920094738,1599.9,0.05401012618491902,3320.7,0.026021863126223975,,,0.8641080088325195,3043.2,0.02839471637856597,1595.4,0.0541624676465162,3417.5,0.025284799088003497,,,0.8739602607642004,3462.4,0.02524145854794941,4138.5,0.02111780260394347,4304.9,0.020301522933499048,,,0.8739602607642004,4280.1,0.020419155177780902,4816.6,0.018144754822160866,4721.3,0.018511008848499363,,,0.8791678763970264,4153.8,0.021165387750903424,5363.4,0.016391987850934604,5314.8,0.016541880717939085,,,0.8798527580955596,4476.9,0.019653169784796615,5679.0,0.015493093116667717,4778.1,0.01841428095049412,,,0.888610761536426,6933.8,0.01281563877724229,3779.1,0.023513819733175255,,,0.888610761536426,6654.1,0.013354334343283479,3551.8,0.025018603568230924,,,0.8894033592246829,5488.6,0.016204557796609023,2784.5,0.03194122317201232,,0.8956398255072539,2582.9,0.03467574530594501
1,76.720965,30.675272,0.9835214727152221,11995.5,0.008199086930225684,11995.5,0.008199086930225684,11995.5,0.008199086930225684,,,0.9849755649355556,4234.9,0.023258531841024718,3522.6,0.02796160690783954,2971.8,0.033144073118499075,,,0.9849755649355556,3009.0,0.032734315883534586,4380.4,0.022485973083178606,3247.8,0.030327469823743937,,,0.9857424609141383,3282.0,0.030034809899882334,4748.2,0.020760339937537137,2231.7,0.04417002558202887,,,0.9857424609141383,4247.5,0.023207591781380536,4163.0,0.02367865627946525,2952.2,0.03339009758533088,,,0.9868550700801761,4727.5,0.02087477673358384,3699.5,0.026675363429657414,3693.8,0.02671652688505539,,,0.9873105736705026,4233.2,0.02332303159951107,3761.7,0.026246393217707487,2266.9,0.043553335994993274,,,0.9875203102066104,4156.0,0.023761316414981,3078.6,0.03207692815586989,2134.2,0.04627121685908586,,,0.9875203102066104,4087.1,0.02416188275810747,3669.4,0.026912310192582174,1620.1,0.06095428122996176,,,0.9887280464946664,3171.6,0.03117442447013074,6336.5,0.01560369362415634,3014.8,0.03279580889261863,,,0.9896018979854234,2997.8,0.033010937954013726,5583.3,0.017724318915075733,3489.5,0.028359418197031767,,,0.9905715780614229,3862.9,0.025643210491118666,6297.7,0.015729100752043174,4551.9,0.02176171660320796,,,0.9905715780614229,3290.4,0.03010489843366834,6389.5,0.015503115706415573,5088.6,0.019466485439245035,,,0.9910963436880058,6643.0,0.01491940905747412,2585.7,0.03832990461724121,,,0.9917788332657451,7263.2,0.013654846806720801,3261.0,0.030413334353442047,,,0.992326792095989,6432.1,0.015427726436093794,3185.6,0.031150389003515477,,0.9929377663717489,3161.8,0.03140419275007113
1,76.720789,30.68214,0.23879621138153928,12427.0,0.0019215917870889136,12427.0,0.0019215917870889136,12427.0,0.0019215917870889136,,,0.26292230572316866,3336.0,0.007881364080430716,3824.6,0.006874504672989821,3391.0,0.00775353304993125,,,0.26464353665497964,2897.7,0.00913288251561513,3318.0,0.00797599567977636,2737.4,0.009667696962628028,,,0.28799748691180904,2085.1,0.013812166654443866,4421.7,0.006513275141050027,2559.8,0.01125078079974252,,,0.30522035024256483,3568.6,0.008552943738232495,3100.6,0.009843912476377632,2535.9,0.01203597737460329,,,0.3236546703347929,3665.1,0.008830718679839375,2637.2,0.012272663064416538,3016.6,0.010729121207146884,,,0.3236546703347929,4565.4,0.007089294921250995,2699.3,0.011990318613521761,1589.7,0.02035948105521752,,,0.3526661199949762,3093.6,0.011399861649695378,2016.2,0.01749162384659142,2617.6,0.01347288050103057,,,0.3526661199949762,3024.7,0.0116595404501265,3013.5,0.011702874398373194,2276.9,0.015488871711316974,,,0.365381001306774,2109.2,0.017323203172139864,5274.2,0.006927704700367335,2898.1,0.012607605027665504,,,0.41811461439676734,2927.0,0.014284749381508963,5424.7,0.007707608059372267,4044.7,0.010337345523691926,,,0.41811461439676734,2800.6,0.014929465628678402,5235.3,0.007986449953140552,4638.9,0.009013227584055861,,,0.45321103841920507,3070.1,0.01476209369138481,5327.1,0.008507650286632596,4102.2,0.011047999571430088,,,0.4687694472993102,5580.6,0.008399982928346596,2425.9,0.01932352723934664,,,0.4687694472993102,6200.9,0.007559700161255789,2198.6,0.02132127023102475,,,0.47286988473369096,5369.7,0.008806262635411493,2107.9,0.02243322191440253,,0.5201310350400531,1728.4,0.03009320961814702
1,76.70499,30.708699,0.5435382173426461,14880.6,0.003652663315609895,14880.6,0.003652663315609895,14880.6,0.003652663315609895,,,0.5628259382272794,5379.4,0.010462615500376984,6335.4,0.008883826407602985,5901.8,0.009536513237101892,,,0.5695785177346803,4570.5,0.012462061431674441,1156.9,0.049233167753019294,5291.9,0.01076321392571062,,,0.5989598293525613,3231.2,0.01853676124512755,903.9,0.06626394837399727,5589.0,0.010716762020979804,,,0.61682783883572,3491.1,0.017668581216112974,1116.3,0.055256457837115476,5090.8,0.012116520759717923,,,0.61682783883572,3170.5,0.01945522279879262,1807.0,0.03413546424104704,5053.8,0.012205228517862203,,,0.6394140747414958,2901.6,0.022036603072149705,2321.8,0.02753958457840881,5750.2,0.01111985800044339,,,0.6561538623595765,1665.8,0.03938971439305899,3832.6,0.017120332472983786,4788.7,0.013702129228382997,,,0.6771180728363804,2802.5,0.02416121580147655,3137.6,0.021580764687543996,5154.1,0.013137464791843006,,,0.7028754058914272,3261.0,0.02155398362132558,1245.2,0.05644678813776319,5775.4,0.012170159744631147,,,0.711430970198233,3702.2,0.01921643806920839,434.6,0.16369787625362012,6215.8,0.01144552543837049,,,0.711430970198233,2556.8,0.02782505359035642,1206.4,0.05897140004958828,5288.6,0.01345216068899582,,,0.7400738067705129,3828.7,0.01932963686814096,1298.2,0.057007688088931814,4751.8,0.015574599241771809,,,0.7543404485577301,2444.7,0.030856156115585967,3577.7,0.02108450816328172,,,0.768631364944032,2491.2,0.030853860185614642,3350.4,0.02294148056781375,,,0.7835678803887287,1331.6,0.058844088344001864,3380.4,0.023179738503985588,,0.8039444068670131,2706.3,0.029706403830580975
1,76.696883,30.70069,0.8795818549515292,16160.7,0.005442721261774113,16160.7,0.005442721261774113,16160.7,0.005442721261774113,,,0.8885990827975855,6090.5,0.014589920085339225,7784.7,0.011414686279465945,7233.8,0.012283987431192255,,,0.8885990827975855,5576.6,0.015934423892651175,2433.3,0.03651827077621277,6213.9,0.014300183182825367,,,0.8885990827975855,4153.2,0.021395528334719867,1806.7,0.049183543631902665,6493.8,0.013683807366989827,,,0.8955328278525602,4742.5,0.01888313817295857,2424.2,0.03694137562299151,6372.6,0.014052864260310707,,,0.8955328278525602,4839.1,0.01850618560998037,2793.3,0.03206003035307916,6379.6,0.01403744479046586,,,0.9043059977538711,3804.4,0.023770003095202163,3873.3,0.023347171604416673,5628.4,0.01606683955926855,,,0.9043059977538711,2942.2,0.030735707897283363,3710.8,0.024369569843534306,4367.7,0.020704398144420887,,,0.9043059977538711,3156.6,0.028648102317489422,4059.7,0.02227519269290517,5024.9,0.01799649739803521,,,0.9043059977538711,3139.2,0.028806893404493855,2997.8,0.03016565473860401,4536.6,0.01993356253039437,,,0.9078706848071492,3444.7,0.026355580596485885,1980.0,0.04585205478823986,5794.8,0.01566698910759904,,,0.9115121818125759,2340.1,0.03895184743440776,2958.9,0.03080577856002487,4867.6,0.01872611105704199,,,0.9119660698908542,3407.7,0.02676192358161969,3050.7,0.029893666040281056,4330.8,0.021057681488197425,,,0.9119758600931284,3304.2,0.02760050420958563,3455.9,0.02638895396548304,,,0.9125219333692313,3924.5,0.023251928484373328,3228.7,0.02826282817757089,,,0.9141355454851577,3093.3,0.029552114100965237,2959.4,0.030889218945906526,,0.9193742038772402,3378.6,0.027211691347813892
1,76.704665,30.674897,0.5233909113743664,14694.5,0.0035618150421883456,14694.5,0.0035618150421883456,14694.5,0.0035618150421883456,,,0.5586554142412742,3919.0,0.014255050120981735,6011.0,0.009293884781921048,5732.5,0.009745406266747043,,,0.5751861031179372,4260.5,0.013500436641660302,4424.0,0.013001494193443425,4951.4,0.011616635761965043,,,0.6023944154515692,3447.8,0.01747184916328004,4791.7,0.012571622085096506,4720.1,0.012762323159500205,,,0.6178281007001971,4783.2,0.012916626958943744,4338.0,0.014242233764412105,4750.3,0.013006085946154919,,,0.6178281007001971,4780.1,0.012925003675659444,3874.5,0.015946008535299965,4862.4,0.012706237674814849,,,0.6213679863783274,4935.4,0.012590022822432373,3936.7,0.015783981161336332,3854.6,0.01612016775744117,,,0.6362050367309983,4331.0,0.014689564459270336,3253.6,0.019553879909361884,1256.2,0.050645202732924555,,,0.6373382250378617,4262.1,0.01495361969540512,4402.5,0.014476734242768012,1510.2,0.04220223977207401,,,0.646639159929918,3346.6,0.01932227215472175,6380.4,0.01013477462118234,917.7,0.07046302276669042,,,0.6739458757334182,1962.6,0.03433944133972375,5794.8,0.011630183539266554,1326.7,0.050798664033573394,,,0.6863682533423342,2638.7,0.026011606220575825,6341.6,0.010823266263124987,2151.0,0.03190926328881145,,,0.6867227367715419,1923.0,0.03571101075255028,6564.5,0.010461158302559859,1614.3,0.04253997006575865,,,0.6875952841494626,6818.0,0.010084999767519252,1839.3,0.03738353091662386,,,0.697946883723539,7305.4,0.009553848984635188,2299.1,0.030357395664544345,,,0.7112926084646795,6607.1,0.010765579580522157,1822.6,0.039026259654596704,,0.7277572139154598,2717.5,0.026780394256318663
