Node,fill_ratio
0.0,0.0
173.0,0.6057748193568872
223.0,0.5851809352090344
226.0,0.5780349618202532
63.0,0.4284416681939559
64.0,0.4845229851910213
270.0,0.6001358743949338
161.0,0.65199610884554
246.0,0.5620644539899979
164.0,0.648677386403671
243.0,0.5146922364065037
142.0,0.2289351044925832
235.0,0.30558827282722434
53.0,0.7848285176624165
141.0,0.5664519779345037
12.0,0.5344035013498946
185.0,0.18575063793259564
45.0,0.9393275882175781
215.0,0.38017178739893
112.0,0.39992163780845263
0.0,9.984900455435978
