Node,fill_ratio
0.0,0.0
272.0,0.02541912674409519
30.0,0.05808361216819946
216.0,0.11586905952512971
197.0,0.07455064367977082
69.0,0.13949386065204183
226.0,0.06355835028602363
164.0,0.0884925020519195
191.0,0.14092422497476265
214.0,0.07404465173409036
277.0,0.03142918568673425
38.0,0.020584494295802447
122.0,0.12203823484477883
274.0,0.10789142699330445
299.0,0.07697990982879299
91.0,0.046450412719997725
125.0,0.034388521115218396
95.0,0.06505159298527952
168.0,0.045227288910538066
248.0,0.1195942459383017
0.0,1.4500713451347815
