id,Ward,x,y,fill_ratio_0,fill_ratio_00,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_ratio_1,fill_ratio_11,distance_from_41_0_0,fill_per_m_1_41_0_0,distance_from_6_1_0,fill_per_m_1_6_1_0,distance_from_155_2_0,fill_per_m_1_155_2_0,fill_ratio_2,fill_ratio_22,distance_from_135_0_0,fill_per_m_2_135_0_0,distance_from_58_1_0,fill_per_m_2_58_1_0,distance_from_4_2_0,fill_per_m_2_4_2_0,fill_ratio_3,fill_ratio_33,distance_from_114_0_0,fill_per_m_3_114_0_0,distance_from_65_1_0,fill_per_m_3_65_1_0,distance_from_189_2_0,fill_per_m_3_189_2_0,fill_ratio_4,fill_ratio_44,distance_from_163_0_0,fill_per_m_4_163_0_0,distance_from_201_1_0,fill_per_m_4_201_1_0,distance_from_297_2_0,fill_per_m_4_297_2_0,fill_ratio_5,fill_ratio_55,distance_from_265_2_0,fill_per_m_5_265_2_0
147,2,76.751162,30.728939,0.16704190790094986,0.16704190790094986,1.0,16.704190790094987,1.0,16.704190790094987,1.0,16.704190790094987,0.21521911418942088,0.21521911418942088,0.25620562614794684,84.00249339768278,0.2034027561465505,105.8093401813871,0.41465720024489533,51.90290053140597,0.2565803208801699,0.2565803208801699,0.39579596352348523,64.8264117188111,0.4640336838487234,55.29346894649484,0.4713590616642141,54.43415471302684,0.3143029520331936,0.3143029520331936,0.3844212199654139,81.76004229461401,0.32042620380017395,98.08902901998646,0.4743343250878079,66.2619033473933,0.34376439284658505,0.34376439284658505,0.455043447438803,75.54540006705987,0.47321725867606146,72.64409455571172,0.21721571196872214,158.25945081545723,0.4002098222367769,0.4002098222367769,0.1758412906413465,227.59718196851853
234,2,76.739484,30.740651,0.4888465802569202,0.4888465802569202,1.0,48.88465802569202,1.0,48.88465802569202,1.0,48.88465802569202,0.5300451650674218,0.5300451650674218,0.05238666133830647,1011.7941314191734,0.18141290351227743,292.1761103016303,0.20794813729408107,254.89296127612334,0.5696169268540624,0.5696169268540624,0.1677989432085609,339.4639536829939,0.2242262776963723,254.036651148171,0.31666444651658454,179.88029067362638,0.5727193146593418,0.5727193146593418,0.15839438746059234,361.5780355865395,0.3322854224945606,172.3576407173616,0.5653834199191865,101.29750793562427,0.6062886908405737,0.6062886908405737,0.1143288486301674,530.3024548089389,0.23323120642955467,259.95178780833413,0.3253407930376093,186.35495573113909,0.6285463823040557,0.6285463823040557,0.2777141334754229,226.32855391196023
187,2,76.745047,30.737274,0.4521990282834353,0.4521990282834353,1.0,45.21990282834353,1.0,45.21990282834353,1.0,45.21990282834353,0.5043169958189547,0.5043169958189547,0.17010550244278028,296.4730644081286,0.10950805246707059,460.5295998397966,0.2001338258613894,251.98988409297658,0.535227078538306,0.535227078538306,0.28922885138913074,185.05314250901176,0.28110763815686957,190.3993367265344,0.3793504862645169,141.09038947299464,0.5433192089820036,0.5433192089820036,0.279521893360954,194.37447365899212,0.25106098242848107,216.4092579127771,0.5576963619531242,97.4220464840814,0.5694355171005325,0.5694355171005325,0.23403943279833542,243.30751031651903,0.2874414511856421,198.1048713578775,0.3382769462038369,168.3341189787747,0.5694355171005325,0.5694355171005325,0.2522342502543608,225.7566197002573
67,2,76.723448,30.733899,0.5148173539296902,0.5148173539296902,1.0,51.48173539296902,1.0,51.48173539296902,1.0,51.48173539296902,0.5492190480745653,0.5492190480745653,0.2015993045198714,272.43102320347015,0.31166952702854617,176.21839815743738,0.3087841838225926,177.86501927511645,0.5629915020340439,0.5629915020340439,0.2703454168009413,208.24895376294896,0.2914796189848089,193.14952585531734,0.12254839507468168,459.4034068671024,0.5821151304289096,0.5821151304289096,0.1764705882352941,329.8652405763822,0.4181124609354508,139.22453521871427,0.4456843509476666,130.61152566634834,0.6002521430513993,0.6002521430513993,0.1395756671887764,430.055005389698,0.09593578799847115,625.6811515020495,0.2662834531187937,225.41849146879446,0.6377014202053033,0.6377014202053033,0.2847796272286466,223.92803390156118
227,2,76.751598,30.701793,0.8679182945200221,0.8679182945200221,0.905459890802184,95.8538642447318,0.905459890802184,95.8538642447318,0.905459890802184,95.8538642447318,0.875407541998622,0.875407541998622,0.7547564048719025,115.98544064653503,0.7454010919781604,117.44114026925396,0.8696871062578748,100.65775791081477,0.875729138891876,0.875729138891876,0.8910646787064259,98.27896445891977,0.9577698446031079,91.43419411526483,0.7084628307433851,123.60975070110305,0.877237618363026,0.877237618363026,0.7567933641327174,115.91507800393273,0.7525304493910122,116.57171069595037,0.22450650986980258,390.74039272703493,0.8840414350471465,0.8840414350471465,0.7058903821923561,125.23777874710355,0.6098173036539268,144.9682437264592,0.2620432591348173,337.3646923664312,0.8902153088739319,0.8902153088739319,0.4358147837043259,204.26459637447482
182,2,76.737422,30.69957,0.9366056922949615,0.9366056922949615,1.0,93.66056922949615,1.0,93.66056922949615,1.0,93.66056922949615,0.9416633766896638,0.9416633766896638,0.7106777004816146,132.502170259671,0.7021634431618379,134.10885825234067,0.8152759727849554,115.50240754342032,0.946692078103703,0.946692078103703,0.8347316718905282,113.41274208029068,0.895439951074077,105.72368107634122,0.6685459827230334,141.60463192789845,0.9502177073916478,0.9502177073916478,0.7125315342863696,133.3579865126013,0.7086518614784802,134.08808457924346,0.08927069795887166,1064.4228499584794,0.9532842241843817,0.9532842241843817,0.6662048008562037,143.09176742035254,0.39516283158779913,241.23833214627035,0.31328835715923864,304.2833231430446,0.9549068654804377,0.9549068654804377,0.47143758122467705,202.5521306553093
256,2,76.749401,30.722265,0.20185345212294836,0.20185345212294836,1.0,20.185345212294838,1.0,20.185345212294838,1.0,20.185345212294838,0.20185345212294836,0.20185345212294836,0.3338457411687026,60.463090353141745,0.2831379993397161,71.2915442624003,0.44494882799603835,45.36554305178338,0.2173871807178388,0.2173871807178388,0.4679349620336746,46.456708379527896,0.533478458237042,40.74900820479738,0.46816193463189176,46.43418540398139,0.274203299127419,0.274203299127419,0.5156611092769892,53.175097790849634,0.33039988445031365,82.99134231950809,0.41972391878507764,65.32944320188399,0.274203299127419,0.274203299127419,0.4656342852426544,58.888124826230175,0.3712343182568505,73.86259449690816,0.1248761967646088,219.5801171333647,0.3045991800605694,0.3045991800605694,0.15378425222845823,198.0691622495027
257,2,76.749047,30.743196,0.6734324333249173,0.6734324333249173,1.0,67.34324333249174,1.0,67.34324333249174,1.0,67.34324333249174,0.6734324333249173,0.6734324333249173,0.1041001319538735,646.9083378523608,0.11836644929337745,568.9386116971202,0.1703161155839437,395.4014750841372,0.6734324333249173,0.6734324333249173,0.3034843472108011,221.90021973592903,0.25478571838366065,264.31325805744393,0.3975062630280545,169.41429505914203,0.6734324333249173,0.6734324333249173,0.29335832169971887,229.55968299213336,0.2819414430781587,238.85542542897144,0.6652961312654185,101.22295947280247,0.6868185975645508,0.6868185975645508,0.24591229848348664,279.29412306748526,0.3076724484136849,223.23045209465104,0.4022107054751295,170.76089428132337,0.6946784066608604,0.6946784066608604,0.3509303704270333,197.95334493721185
180,2,76.764742,30.727141,0.531169528001032,0.531169528001032,0.8670011561212692,61.265146447709725,0.8670011561212692,61.265146447709725,0.8670011561212692,61.265146447709725,0.5455762179307257,0.5455762179307257,0.4767821665488096,114.42882226067353,0.2906466421973039,187.71117182229972,0.44971994926535785,121.31465789364123,0.5638885956240675,0.5638885956240675,0.6226554870862376,90.5618929438534,0.5488882154201884,102.7328661433177,0.7314992535721903,77.08669460295195,0.6050172084272528,0.6050172084272528,0.6107799890000112,99.05648831387005,0.32393844496077046,186.76918959110318,0.4927209257949736,122.79105204454152,0.6050172084272528,0.6050172084272528,0.5550841274651761,108.99558796431435,0.6211065090749908,97.4095746200278,0.3535935167413094,171.10528892131418,0.6109911978902778,0.6109911978902778,0.31034560168816155,196.87445047286607
140,2,76.764624,30.706718,0.7067772168854458,0.7067772168854458,0.7436967398952389,95.03567502326368,0.7436967398952389,95.03567502326368,0.7436967398952389,95.03567502326368,0.7163665742658782,0.7163665742658782,0.5093425064498476,140.64535458840902,0.46130091470565243,155.29268454257854,0.7108904698616215,100.77031619305892,0.7276739902939381,0.7276739902939381,0.6363458681885702,114.35196277228037,0.7004045813462592,103.89337958002274,0.6972969275271677,104.35640278446328,0.7497805930129904,0.7497805930129904,0.7422895004299899,101.00918746374037,0.5045637557657728,148.59977246583114,0.48707098741302485,153.9366154808958,0.7497805930129904,0.7497805930129904,0.7735712610429208,96.9245667169879,0.6701196153545462,111.88757586454132,0.4372019388632633,171.49525799506745,0.7585259207291649,0.7585259207291649,0.38549566101164884,196.7663964721626
