id,Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,distance_from_0_3_0,fill_per_m_0_0_3_0,distance_from_0_4_0,fill_per_m_0_0_4_0,distance_from_0_5_0,fill_per_m_0_0_5_0,distance_from_0_6_0,fill_per_m_0_0_6_0,fill_ratio_1,fill_ratio_1_1,distance_from_41_0_0,fill_per_m_1_41_0_0,distance_from_6_1_0,fill_per_m_1_6_1_0,distance_from_155_2_0,fill_per_m_1_155_2_0,distance_from_169_3_0,fill_per_m_1_169_3_0,distance_from_33_4_0,fill_per_m_1_33_4_0,fill_per_m_1_0_5_0,fill_per_m_1_0_6_0,fill_ratio_2,fill_ratio_2_2,distance_from_163_0_0,fill_per_m_2_163_0_0,distance_from_58_1_0,fill_per_m_2_58_1_0,distance_from_157_2_0,fill_per_m_2_157_2_0,distance_from_105_3_0,fill_per_m_2_105_3_0,distance_from_186_4_0,fill_per_m_2_186_4_0,fill_per_m_2_0_5_0,fill_per_m_2_0_6_0,fill_ratio_3,fill_ratio_3_3,distance_from_234_0_0,fill_per_m_3_234_0_0,distance_from_171_1_0,fill_per_m_3_171_1_0,distance_from_193_2_0,fill_per_m_3_193_2_0,distance_from_14_3_0,fill_per_m_3_14_3_0,distance_from_256_4_0,fill_per_m_3_256_4_0,distance_from_111_5_0,fill_per_m_3_111_5_0,fill_per_m_3_0_6_0,fill_ratio_4,fill_ratio_4_4,distance_from_237_1_0,fill_per_m_4_237_1_0,distance_from_66_2_0,fill_per_m_4_66_2_0,distance_from_294_3_0,fill_per_m_4_294_3_0,distance_from_106_4_0,fill_per_m_4_106_4_0,distance_from_278_5_0,fill_per_m_4_278_5_0,fill_per_m_4_0_6_0,fill_ratio_5,fill_ratio_5_5,distance_from_229_4_0,fill_per_m_5_229_4_0,distance_from_62_5_0,fill_per_m_5_62_5_0,fill_per_m_5_0_6_0,fill_ratio_6,fill_ratio_6_6,distance_from_99_4_0,fill_per_m_6_99_4_0,distance_from_52_5_0,fill_per_m_6_52_5_0,fill_per_m_6_0_6_0,fill_ratio_7,fill_ratio_7_7,distance_from_180_4_0,fill_per_m_7_180_4_0,distance_from_24_5_0,fill_per_m_7_24_5_0,fill_per_m_7_0_6_0,fill_ratio_8,fill_ratio_8_8,fill_per_m_8_0_6_0
172,2,76.735219,30.742392,0.11191961939772788,0.11191961939772788,1.0,11.191961939772789,1.0,11.191961939772789,1.0,11.191961939772789,1.0,11.191961939772789,1.0,11.191961939772789,1.0,11.191961939772789,1.0,11.191961939772789,0.14063761339367817,0.14063761339367817,0.10176268561231018,138.2015544769244,0.22407320111788276,62.764138099535636,0.18729586854776253,75.08847604815907,0.38402808175359443,36.62170035885971,0.7871729687868277,17.866163977966053,14.063761339367817,14.063761339367817,0.16695589764027918,0.16695589764027918,0.09855550691942488,169.40291096749752,0.20272568099936025,82.35557370790436,0.3935065153708879,42.42773400661991,0.6752500084177918,24.725049323802445,0.42248055490083836,39.51800756355897,16.69558976402792,16.69558976402792,0.17706792161570561,0.17706792161570561,0.14989561938112395,118.12748254203046,0.1852419273376208,95.58738896782407,0.46823967136940636,37.815659894398856,0.8484965823765109,20.868430738962445,0.37913734469174043,46.70284373059362,0.27419273376207953,64.57790444926584,17.70679216157056,0.0,0.22169036066497544,0.2252348563924711,98.4263111916748,0.527871308798276,41.99704681234978,0.6237415401191959,35.54202284212317,0.5672160678810735,39.083935244136384,0.2478618808714098,0.0,22.169036066497544,0.0,0.0,0.7351089262264722,0.0,0.3242533418633624,0.0,0.0,0.0,0.0,0.3545405569211085,0.0,0.3395316340617529,0.0,0.0,0.0,0.0,0.4578016094818007,0.0,0.7929223206168557,0.0,0.0,0.0,0.0,0.0
194,2,76.757658,30.722922,0.0415728590503921,0.0415728590503921,0.8721176244310046,4.766886700347956,0.8721176244310046,4.766886700347956,0.8721176244310046,4.766886700347956,0.8721176244310046,4.766886700347956,0.8721176244310046,4.766886700347956,0.8721176244310046,4.766886700347956,0.8721176244310046,4.766886700347956,0.09332906658970459,0.09332906658970459,0.4007543863398371,23.28834562288787,0.34822516188318764,26.80135636522782,0.4669181287799457,19.988315046488534,0.5556386639027204,16.796719280507876,0.73644562220845,12.672906698776998,10.701431088563913,10.701431088563913,0.13087700751754228,0.13087700751754228,0.4752847648152501,27.536545920721025,0.5613125894898809,23.316243028948072,0.6713717863783044,19.493968941345372,0.5943624046331716,22.019731816368314,0.33295578398478404,39.30762395871859,15.0068068631144,15.0068068631144,0.17696678521447623,0.17696678521447623,0.4564144209604,38.773267689942344,0.5391190990105357,32.82517453736468,0.5034300002137071,35.15221284773523,0.8142777765905156,21.73297495057014,0.2888893637937298,61.25763264196617,0.4724745154189729,37.45530805138742,20.291618957928364,0.0,0.17696678521447623,0.4944756694377364,0.0,0.4072938259996153,43.44941511945319,0.5908148654713311,29.95300144882076,0.32550808881670334,54.36632492230566,0.840937747098925,21.043981653217248,20.291618957928364,0.0,0.0,0.7321821639988887,0.0,0.49176158827175,0.0,0.0,0.0,0.0,0.20616331502575172,0.0,0.12648259355031735,0.0,0.0,0.0,0.0,0.10409676661039044,0.0,0.7437437223516338,0.0,0.0,0.0,0.0,0.0
108,2,76.745708,30.691201,0.23605046334646396,0.23605046334646396,0.8729244841644945,27.041338354989072,0.8729244841644945,27.041338354989072,0.8729244841644945,27.041338354989072,0.8729244841644945,27.041338354989072,0.8729244841644945,27.041338354989072,0.8729244841644945,27.041338354989072,0.8729244841644945,27.041338354989072,0.2870479069721473,0.2870479069721473,0.7783888554705777,36.877186120375725,0.7698815082161306,37.28468652757454,0.9552862994471657,30.048364258784513,0.43946034201254625,65.31827323885175,0.07639425968892327,375.74538733800654,32.88347528101363,32.88347528101363,0.28888817228061503,0.28888817228061503,0.7397095471341412,39.054271152759256,0.963001155318763,29.99873579435013,0.522901091346567,55.24719245405944,0.1537051359170462,187.94958968484067,0.39263651380176257,73.57649177439242,33.09429137585935,33.09429137585935,0.0,0.28888817228061503,0.7371697554734421,39.18882592993504,0.9322372127218738,30.988697762572873,0.2719391213848548,106.23266369672993,0.15692284189319508,0.0,0.5177355752246188,55.798400980129934,0.8948468963936869,32.28353067377897,33.09429137585935,0.0,0.0,0.9130932943771305,0.0,0.3068087422302427,0.0,0.25501035967651076,0.0,0.29938032902714523,0.0,0.8187963679069635,0.0,0.0,0.0,0.0,0.11024223501666142,0.0,0.9446497283568694,0.0,0.0,0.0,0.0,0.4047052982345584,0.0,0.6480192489473232,0.0,0.0,0.0,0.0,0.5880095098965942,0.0,0.20893128240382688,0.0,0.0,0.0,0.0,0.0
20,2,76.744586,30.725718,0.733113022415281,0.733113022415281,1.0,73.3113022415281,1.0,73.3113022415281,1.0,73.3113022415281,1.0,73.3113022415281,1.0,73.3113022415281,1.0,73.3113022415281,1.0,73.3113022415281,0.0,0.7422204825475306,0.26474484704586904,280.3531365499761,0.2843501600082585,0.0,0.41990984480919447,176.7571043457657,0.3252468944633702,228.20217354331132,0.5309091221912529,139.80179498218448,74.22204825475306,74.22204825475306,0.0,0.0,0.4068425036991157,0.0,0.43274491586662533,0.0,0.43387185575169473,0.0,0.41424073500567776,0.0,0.23308729912941745,0.0,0.0,0.0,0.0,0.0,0.2275386256494959,0.0,0.39914318158356565,0.0,0.27984240046798114,0.0,0.5954285812601081,0.0,0.07664051477925743,0.0,0.369610474519115,0.0,0.0,0.0,0.0,0.381894979525825,0.0,0.2788875124737621,0.0,0.43876673204638517,0.0,0.30000688207563403,0.0,0.4781063968893018,0.0,0.0,0.0,0.0,0.5525790578438456,0.0,0.383753139947008,0.0,0.0,0.0,0.0,0.21273356044182928,0.0,0.2086903410068477,0.0,0.0,0.0,0.0,0.24689446337015244,0.0,0.5093252124840852,0.0,0.0,0.0,0.0,0.0
208,2,76.761706,30.696475,0.004939980934409616,0.004939980934409616,0.7337682941339785,0.6732344493352593,0.7337682941339785,0.6732344493352593,0.7337682941339785,0.6732344493352593,0.7337682941339785,0.6732344493352593,0.7337682941339785,0.6732344493352593,0.7337682941339785,0.6732344493352593,0.7337682941339785,0.6732344493352593,0.10386281410746849,0.10386281410746849,0.7454884385039463,13.932183081994058,0.73666362590727,14.099082736649544,0.8540237179232935,12.161584266070374,0.6219410621504778,16.699784019460516,0.280232419783445,37.063097191870405,14.154715451428896,14.154715451428896,0.10386281410746849,0.10386281410746849,0.6993416094871693,14.851513580556377,0.937214928806568,11.082069962300478,0.7293360567960973,14.240734862846049,0.15985800975687145,64.97191743187204,0.261958116844485,39.64863366655214,14.154715451428896,14.154715451428896,0.1301036857011207,0.1301036857011207,0.767619878634038,16.948972964670645,0.916620394241066,14.193845840495687,0.4715920358545195,27.588185509828275,0.2674513147979217,48.64574541330006,0.5397513187641296,24.104375696389134,0.8591897037242692,15.142602982457706,17.730894989769773,0.0,0.1301036857011207,0.9503133304247808,13.690609353334613,0.38237218895014474,0.0,0.14923848808154522,87.17837293421984,0.24805655812477687,52.4492021838327,0.8523975726807599,15.263263278888662,17.730894989769773,0.0,0.0,0.28043073017887593,0.0,0.9181473842858843,0.0,0.0,0.0,0.0,0.3574346567247055,0.0,0.6101019315432514,0.0,0.0,0.0,0.0,0.5396918256455002,0.0,0.2019890532661722,0.0,0.0,0.0,0.0,0.0
57,2,76.736806,30.748459,0.8543850933695791,0.8543850933695791,1.0,85.4385093369579,1.0,85.4385093369579,1.0,85.4385093369579,1.0,85.4385093369579,1.0,85.4385093369579,1.0,85.4385093369579,1.0,85.4385093369579,0.8631722044277279,0.8631722044277279,0.10364577744393176,832.8098121456705,0.2010878313123726,429.2513369875994,0.16452274922201954,524.6521885328439,0.3212522802875845,268.68982958035895,0.6357307651035519,135.7763776442578,86.3172204427728,86.3172204427728,0.8735064030974801,0.8735064030974801,0.07623537933254641,1145.801871447582,0.08430357334477949,1036.1439835119065,0.3408023929606181,256.308764592043,0.5448747183174161,160.31325619123697,0.4036444360982938,216.40491605457615,87.350640309748,87.350640309748,0.0,0.8735064030974801,0.07486050005365383,0.0,0.1483327073720356,588.8832062551281,0.44009550380942164,198.4811013828812,0.6845892799656615,127.59568819735162,0.25232052795364307,346.1891944273209,0.22779402296383733,383.4632672676186,87.350640309748,0.0,0.0,0.13488571735164717,0.0,0.4393510569803627,0.0,0.5639956003863076,0.0,0.4558160746861251,0.0,0.2645133598025539,0.0,0.0,0.0,0.0,0.6527256143363022,0.0,0.2690471080588046,0.0,0.0,0.0,0.0,0.36715983474621744,0.0,0.2930773151625711,0.0,0.0,0.0,0.0,0.3201792037772293,0.0,0.6403114604571306,0.0,0.0,0.0,0.0,0.0
174,2,76.724239,30.739403,0.2697496115169896,0.2697496115169896,1.0,26.974961151698963,1.0,26.974961151698963,1.0,26.974961151698963,1.0,26.974961151698963,1.0,26.974961151698963,1.0,26.974961151698963,1.0,26.974961151698963,0.3153069629373712,0.3153069629373712,0.19831887242544416,158.98989293412177,0.30884134640709776,102.0935074288113,0.27478233386260503,114.74790191389415,0.23088789723599748,136.56279376787188,0.5912843242755123,53.32577746310287,31.53069629373712,31.53069629373712,0.3814361338156102,0.3814361338156102,0.10804668628233009,353.02899787125637,0.28857600818740736,132.17874078010584,0.23935373663338022,159.36084357014178,0.491221865193736,77.65047951706572,0.4144573961335571,92.03265217945201,38.14361338156102,38.14361338156102,0.0,0.3866810615422963,0.24950521871966405,154.9791477414982,0.27294618736219495,141.669339762265,0.455356806911135,84.91825655694194,0.6460978124270996,59.84868762977374,0.3757101898605582,102.92003570246787,0.35364633109333493,0.0,38.66810615422963,0.0,0.0,0.31685567436995343,0.0,0.3594783537893097,0.0,0.5943696524114472,0.0,0.39464356934839373,0.0,0.11674580658755183,0.0,0.0,0.0,0.0,0.6939354489152437,0.0,0.39839863944554393,0.0,0.0,0.0,0.0,0.42693416210765534,0.0,0.410755002370435,0.0,0.0,0.0,0.0,0.5246412365393154,0.0,0.5964240294385454,0.0,0.0,0.0,0.0,0.0
114,2,76.729602,30.744926,0.5197739485560177,0.5197739485560177,1.0,51.977394855601766,1.0,51.977394855601766,1.0,51.977394855601766,1.0,51.977394855601766,1.0,51.977394855601766,1.0,51.977394855601766,1.0,51.977394855601766,0.5284732122408862,0.5284732122408862,0.15046956954397506,351.21600589575604,0.25087936312687015,210.6483393668519,0.2156426434104777,245.06897331755144,0.29608795704423424,178.4852101100264,0.6246691590593405,84.60049685127545,52.84732122408862,52.84732122408862,0.5428396498164973,0.5428396498164973,0.06614054606895313,820.7365709538802,0.2333473847153213,232.63155508631468,0.31623211040239935,171.65861149449503,0.5327800313737414,101.88813728938335,0.38098364280926283,142.48371552483337,54.28396498164973,54.28396498164973,0.0,0.5840646326271777,0.12325595859218973,473.86320247578493,0.1989675689496707,0.0,0.4185422958115364,139.54733809989267,0.6750053556496921,86.52740718849792,0.34540139730628094,169.0973566355508,0.29202457379394225,200.00530264939417,58.406463262717764,0.0,0.0,0.18510507439170185,0.0,0.41179763245731027,0.0,0.5462071634406075,0.0,0.4440973829876923,0.0,0.15004802808433593,0.0,0.0,0.0,0.0,0.6376332865721769,0.0,0.33311450033516,0.0,0.0,0.0,0.0,0.35798544645386887,0.0,0.34566399690408894,0.0,0.0,0.0,0.0,0.37603571354530185,0.0,0.6293890413041525,0.0,0.0,0.0,0.0,0.0
225,2,76.724986,30.715899,0.6391199378155004,0.6391199378155004,1.0,63.91199378155004,1.0,63.91199378155004,1.0,63.91199378155004,1.0,63.91199378155004,1.0,63.91199378155004,1.0,63.91199378155004,1.0,63.91199378155004,0.6728418709616014,0.6728418709616014,0.3991670722269648,168.56146655779918,0.39205846450882,171.61773864634026,0.48649683662967425,138.30344214011296,0.113211159955641,594.3246860338131,0.3680599325041287,182.80769286237202,67.28418709616014,67.28418709616014,0.6897127426364793,0.6897127426364793,0.3620283865614603,190.5134426577318,0.5534262531813213,124.6259530825882,0.17943051355901102,384.38988383636706,0.3814234767554112,180.82598074547974,0.36735784779122554,187.74955994092505,68.97127426364793,68.97127426364793,0.0,0.7044829786181941,0.36600952601303643,192.4766784876255,0.5368634365451049,131.22200743484726,0.11031506051491531,0.0,0.42370812423708126,166.26610119564484,0.265196543828436,265.64561077913083,0.49064551902410225,143.58288240753043,70.44829786181941,0.0,0.0,0.513008512777144,0.0,0.1527512944686894,0.0,0.48498097190863326,0.0,0.35820681181736225,0.0,0.3357161662983381,0.0,0.0,0.0,0.0,0.49024660725540725,0.0,0.5380920847926856,0.0,0.0,0.0,0.0,0.39243344157139326,0.0,0.3852610079702571,0.0,0.0,0.0,0.0,0.42069235126574706,0.0,0.5721272368977429,0.0,0.0,0.0,0.0,0.0
201,2,76.724063,30.726649,0.9651186964360455,0.9651186964360455,1.0,96.51186964360456,1.0,96.51186964360456,1.0,96.51186964360456,1.0,96.51186964360456,1.0,96.51186964360456,1.0,96.51186964360456,1.0,96.51186964360456,0.968155997979103,0.968155997979103,0.24643761078043608,392.86048704703717,0.2891011401193526,334.88487716769606,0.33115320015170624,292.3589436960223,0.08590756751317755,1126.974055959151,0.5796032415613366,167.03771279316555,96.8155997979103,96.8155997979103,0.968155997979103,0.968155997979103,0.21040736240005573,460.13408795948413,0.3960927885322414,244.42656519112475,0.0942359342709196,1027.3745418554922,0.4766906352314682,203.0994373340253,0.38623961856699457,250.6620117250279,96.8155997979103,96.8155997979103,0.0,0.9698606396698813,0.2032787139020256,0.0,0.3800165638521018,255.2153595197867,0.22620494283923,428.7530712178945,0.6359899997677964,152.49620906366187,0.2785126589626694,348.2285664436808,0.33518580152789923,289.3501560176185,96.98606396698814,0.0,0.0,0.3458903844516513,0.0,0.34117665270865416,0.0,0.5034250021285324,0.0,0.37735396332732185,0.0,0.1425574897249936,0.0,0.0,0.0,0.0,0.6058345008011021,0.0,0.3812162821118137,0.0,0.0,0.0,0.0,0.4105668088268303,0.0,0.39392555554695535,0.0,0.0,0.0,0.0,0.4282994187171528,0.0,0.5848897420218736,0.0,0.0,0.0,0.0,0.0
