Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,distance_from_0_3_0,fill_per_m_0_0_3_0,distance_from_0_4_0,fill_per_m_0_0_4_0,distance_from_0_5_0,fill_per_m_0_0_5_0,distance_from_0_6_0,fill_per_m_0_0_6_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_per_m_0_0_3_3,fill_per_m_0_0_4_4,fill_per_m_0_0_5_5,fill_per_m_0_0_6_6,fill_ratio_1,distance_from_100_0_0,fill_per_m_1_100_0_0,distance_from_36_1_0,fill_per_m_1_36_1_0,distance_from_214_2_0,fill_per_m_1_214_2_0,distance_from_53_3_0,fill_per_m_1_53_3_0,distance_from_207_4_0,fill_per_m_1_207_4_0,distance_from_101_5_0,fill_per_m_1_101_5_0,distance_from_291_6_0,fill_per_m_1_291_6_0,fill_per_m_1_36_1_1,fill_per_m_1_214_2_2,fill_per_m_1_53_3_3,fill_per_m_1_207_4_4,fill_per_m_1_101_5_5,fill_per_m_1_291_6_6,fill_ratio_2,distance_from_125_0_0,fill_per_m_2_125_0_0,distance_from_238_1_0,fill_per_m_2_238_1_0,distance_from_80_2_0,fill_per_m_2_80_2_0,distance_from_212_3_0,fill_per_m_2_212_3_0,distance_from_50_4_0,fill_per_m_2_50_4_0,distance_from_270_5_0,fill_per_m_2_270_5_0,distance_from_38_6_0,fill_per_m_2_38_6_0,fill_per_m_2_238_1_1,fill_per_m_2_80_2_2,fill_per_m_2_212_3_3,fill_per_m_2_50_4_4,fill_per_m_2_270_5_5,fill_per_m_2_38_6_6
1,76.70779,30.689305,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.4659001318644517,214.6382736570975,0.14269966301306783,700.7725028113235,0.296841532418422,336.880082733982,0.2827759909020505,353.6368122378485,0.22526494987057746,443.92170223309694,0.25522399514403926,391.81268964763126,0.03840116096533151,2604.0879360465115,,,,,,,0.0,0.3894466576896511,256.7745749655135,0.20515038826755227,487.447286083526,0.1895289857600346,527.6237806000369,0.3285169086507267,304.39833496155967,0.1635398279482868,611.4718430034129,0.3302611474300386,302.7906878485719,0.03604992709081903,2773.930714147474,,,,,,0.0
1,76.696593,30.678177,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.4571611212324608,218.74126069690698,0.13234889890369803,755.5786321483771,0.25442516060983794,393.04288836963894,0.3079681656918209,324.7088859829379,0.27684341739380575,361.2150180105292,0.35578994470546876,281.0647166624744,0.23166171253236167,431.66390728476824,,,,,,,0.0,0.4219516092945952,236.99400072718458,0.166043404608943,602.2521655437921,0.13828746763831626,723.131327139093,0.3011602262920702,332.04915944982173,0.24075174992808512,415.3656205193564,0.3923610445232844,254.86729989084216,0.10181225429091956,982.2000376718779,,0.0,,,,
1,76.69354,30.691212,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.4763985522194925,209.9082785497776,0.04212066087804512,2374.13178984862,0.30702823672086466,325.7029420747226,0.18307297038801268,546.2302806801885,0.18014115234826747,555.1202415241004,0.25734361032450037,388.5855175261739,0.14088979739824592,709.774602892892,,,,,,,0.0,0.4419668810832099,226.26129757712053,0.11882927317167702,841.5434794044926,0.19344998093380592,516.9294900794933,0.1967006107433315,508.38683022945406,0.14484056285905395,690.4143288735434,0.2946258337552901,339.41354946850265,0.11041514293394346,905.6728755024627,,,,,,0.0
1,76.709301,30.675397,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.4279744025075095,233.6588342996643,0.21804303977478848,458.62504991348334,0.1646931638442674,607.1897440415877,0.4173740803621958,239.59322033898306,0.36458287986301563,274.2860554438895,0.3914500892429585,255.46040925266905,0.12699345551637573,787.4421527738102,,,,,,,0.0,0.3484756141801982,286.96412584063796,0.3233352197698547,309.27654609101523,0.11059596883026424,904.1920881716198,0.4547763121617111,219.88832163369497,0.2998490850782871,333.5011009751494,0.47431544120848024,210.83015924005323,0.11855527984560242,843.4883720930233,,0.0,,,,
1,76.716714,30.6946,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.4204462440775605,237.84253375694996,0.2551466956092199,391.93139366836635,0.43205109473816034,231.45410628019323,0.2865660634648967,348.95967369928866,0.21961553714178372,455.341189887854,0.18564978119151485,538.6486283915455,0.1684790549143203,593.5455896927651,,,,,,,0.0,0.3506153771228598,285.212818732017,0.3043559934044374,328.5626114387601,0.3255689368481838,307.1546105353136,0.32258423604878494,309.99654919553114,0.1676580882608726,596.4519877168229,0.2597315856483897,385.01285760205724,0.12071688477941739,828.3845311509423,,,,,,0.0
1,76.704665,30.674897,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.4090646160127939,244.46015637997004,0.18538909115655516,539.4060641656266,0.18013542481880976,555.1378919531545,0.37235019905406785,268.5643790551037,0.2713668379325598,368.50486508175345,0.4031304229473613,248.05867855093013,0.12403280138827452,806.2383408317788,,,,,,,0.0,0.39011194664670457,256.3366768425643,0.2326788934635408,429.77684185896874,0.06245193779985709,1601.2313392176093,0.35596311545135934,280.9279828703615,0.29521249447072034,338.73905025357305,0.44980094593215153,222.32056402808036,0.12516928102351219,798.918066655793,,0.0,,,,
1,76.690413,30.677268,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.47517336003263244,210.44950835024193,0.16112903425173977,620.6206129415826,0.2791621858815095,358.21470477539907,0.3309229799384432,302.18511878081586,0.30083682525555927,332.4061138959652,0.3771646827604109,265.1361714678989,0.1908011025821683,524.1059860067376,,,,,,,1.0,0.44112557323148044,226.69281961471103,0.1937120678359971,516.2300992247073,0.16687061964623429,599.2666666666667,0.3243470414457176,308.3117378048781,0.26593614417621536,376.03011922192013,0.449518547360354,222.46023125678852,0.13160529536099677,759.8478444632291,,,,,,
1,76.704309,30.698164,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.5651419118097586,176.946706500265,0.1423407108865999,702.5396977233594,0.4770605976022384,209.61697633929847,0.18118009081811187,551.9370232593094,0.10133640145145588,986.8122270742358,0.2053279051243473,487.0258620689655,0.21215628340152634,471.35064018226745,,,,,,,0.0,0.4905471552962481,203.85400041634864,0.24709470545385226,404.7031271525004,0.37286485529692887,268.19368620935205,0.2020941267777271,494.81893212059964,0.06483214988392437,1542.4446077916625,0.2037961153812114,490.6864873893436,0.1350698155725149,740.357862903226,,,,0.0,,
1,76.688734,30.687228,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.5003102181071922,199.87598969760566,0.0827268171622202,1208.7978654359272,0.28179735598720945,354.86493352527737,0.24662339521786855,405.4765360425738,0.1491671836968453,670.3887378019517,0.2912590082565742,343.3370201958134,0.16489285543836205,606.4544138929089,,,,,,,0.0,0.46745096167613226,213.92618306192253,0.06152460268219347,1625.3660428585283,0.1667601298143464,599.6637212463778,0.22332720851429388,447.7734740216375,0.18389371450388964,543.7923763179239,0.31160215720899154,320.92204012865676,0.15103445807282964,662.100564837856,0.0,,,,,
1,76.720277,30.692391,1.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,,,,,,,1.0,0.3506930149581446,285.149677166895,0.3391656374365308,294.84118956099536,0.39655855938276685,252.16956647121023,0.338258390131589,295.6319870176704,0.2829086806032051,353.4709496604506,0.22008752268118262,454.364694471387,0.16841254593415977,593.7799909461295,,,,,,,1.0,0.2741716603388073,364.73499805350093,0.371460591921687,269.20756111076906,0.27987435768415597,357.30318714246795,0.39574279920101246,252.68937350697388,0.18266928929753137,547.4373956594324,0.30126709665614565,331.931369571819,0.16089535397892746,621.521986353298,,,,,,
