Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_180_0_0,fill_per_m_1_180_0_0,distance_from_281_1_0,fill_per_m_1_281_1_0,distance_from_96_2_0,fill_per_m_1_96_2_0,fill_per_m_1_281_1_1,fill_per_m_1_96_2_2,fill_ratio_2,distance_from_52_0_0,fill_per_m_2_52_0_0,distance_from_24_1_0,fill_per_m_2_24_1_0,distance_from_140_2_0,fill_per_m_2_140_2_0,fill_per_m_2_24_1_1,fill_per_m_2_140_2_2,fill_ratio_3,distance_from_194_0_0,fill_per_m_3_194_0_0,distance_from_13_1_0,fill_per_m_3_13_1_0,distance_from_183_2_0,fill_per_m_3_183_2_0,fill_per_m_3_13_1_1,fill_per_m_3_183_2_2,fill_ratio_4,distance_from_97_0_0,fill_per_m_4_97_0_0,distance_from_14_1_0,fill_per_m_4_14_1_0,distance_from_293_2_0,fill_per_m_4_293_2_0,fill_per_m_4_14_1_1,fill_per_m_4_293_2_2,fill_ratio_5,distance_from_73_0_0,fill_per_m_5_73_0_0,distance_from_229_1_0,fill_per_m_5_229_1_0,distance_from_236_2_0,fill_per_m_5_236_2_0,fill_per_m_5_229_1_1,fill_per_m_5_236_2_2,fill_ratio_6,distance_from_233_0_0,fill_per_m_6_233_0_0,distance_from_33_1_0,fill_per_m_6_33_1_0,distance_from_189_2_0,fill_per_m_6_189_2_0,fill_per_m_6_33_1_1,fill_per_m_6_189_2_2,fill_ratio_7,distance_from_65_0_0,fill_per_m_7_65_0_0,distance_from_108_1_0,fill_per_m_7_108_1_0,distance_from_102_2_0,fill_per_m_7_102_2_0,fill_per_m_7_108_1_1,fill_per_m_7_102_2_2,fill_ratio_8,distance_from_111_0_0,fill_per_m_8_111_0_0,distance_from_193_1_0,fill_per_m_8_193_1_0,distance_from_201_2_0,fill_per_m_8_201_2_0,fill_per_m_8_193_1_1,fill_per_m_8_201_2_2,fill_ratio_9,distance_from_62_0_0,fill_per_m_9_62_0_0,distance_from_195_1_0,fill_per_m_9_195_1_0,distance_from_169_2_0,fill_per_m_9_169_2_0,fill_per_m_9_195_1_1,fill_per_m_9_169_2_2,fill_ratio_10,distance_from_151_0_0,fill_per_m_10_151_0_0,distance_from_66_1_0,fill_per_m_10_66_1_0,distance_from_157_2_0,fill_per_m_10_157_2_0,fill_per_m_10_66_1_1,fill_per_m_10_157_2_2,fill_ratio_11,distance_from_155_0_0,fill_per_m_11_155_0_0,distance_from_225_1_0,fill_per_m_11_225_1_0,distance_from_247_2_0,fill_per_m_11_247_2_0,fill_per_m_11_225_1_1,fill_per_m_11_247_2_2,fill_ratio_12,distance_from_171_0_0,fill_per_m_12_171_0_0,distance_from_110_1_0,fill_per_m_12_110_1_0,distance_from_245_2_0,fill_per_m_12_245_2_0,fill_per_m_12_110_1_1,fill_per_m_12_245_2_2,fill_ratio_13,distance_from_58_0_0,fill_per_m_13_58_0_0,distance_from_297_1_0,fill_per_m_13_297_1_0,distance_from_182_2_0,fill_per_m_13_182_2_0,fill_per_m_13_297_1_1,fill_per_m_13_182_2_2,fill_ratio_14,distance_from_57_0_0,fill_per_m_14_57_0_0,distance_from_267_2_0,fill_per_m_14_267_2_0,fill_per_m_14_267_2_2,fill_ratio_15,distance_from_79_0_0,fill_per_m_15_79_0_0,distance_from_106_2_0,fill_per_m_15_106_2_0,fill_per_m_15_106_2_2,fill_ratio_16,distance_from_135_0_0,fill_per_m_16_135_0_0,distance_from_163_2_0,fill_per_m_16_163_2_0,fill_per_m_16_163_2_2,fill_ratio_17,distance_from_39_2_0,fill_per_m_17_39_2_0
2,76.724239,30.739403,0.9536326078296895,13288.7,0.007176267112883047,13288.7,0.007176267112883047,13288.7,0.007176267112883047,,,0.9546850481250815,6971.8,0.013693523166543525,8958.7,0.010656513200855942,6234.1,0.015313919380906328,,,0.9581686220512489,5458.4,0.017554019896879103,7925.7,0.01208938796637835,7226.2,0.013259647145820057,,,0.9585167556049092,6459.9,0.014837950364632722,7989.1,0.011997806456358152,6234.2,0.015375136434585178,,,0.9585167556049092,6419.0,0.014932493466348484,8585.8,0.011163977213595813,5952.8,0.016101947917029114,,,0.9589834550907942,6175.4,0.015529090505729091,9221.5,0.010399430191300702,5775.4,0.016604624010298753,,,0.9614185442782334,7221.6,0.013313096049050533,7857.4,0.012235835572558777,6479.2,0.014838537848472548,,,0.9644911356184311,5524.5,0.01745843308206048,7057.5,0.013666186831291977,2351.6,0.04101425138707396,,,0.9644911356184311,4699.5,0.020523271318617538,6051.1,0.015939104222677383,3197.7,0.030162026944942653,,,0.9678654692260151,5294.2,0.018281618926863648,5284.6,0.018314829300723142,3068.2,0.03154505798924501,,,0.969061860617662,4602.8,0.021053746863162897,4777.0,0.020285992476819382,3180.7,0.030466936857222057,,,0.9716200358883244,3651.5,0.026608791890683946,5017.1,0.019366168421764054,4890.7,0.019866686484313584,,,0.9727142325038743,3627.1,0.02681796014733187,5233.9,0.018584883786543004,6684.7,0.014551352080181225,,,0.9727142325038743,3834.8,0.025365448850106245,4085.4,0.023809522507070892,7451.0,0.013054814555145273,,,0.9749184626209342,2426.1,0.04018459513708974,6763.4,0.0144146207916275,,0.9751425408308118,2986.7,0.0326494974664617,5244.3,0.01859433176650481,,0.9756878871092216,3199.4,0.030495964465500458,1435.8,0.06795430332283199,,0.9778992845506314,1360.1,0.07189907246163013
2,76.735219,30.742392,0.9556494672664894,11879.6,0.008044458292084661,11879.6,0.008044458292084661,11879.6,0.008044458292084661,,,0.9556494672664894,5438.5,0.017571930996901526,8470.0,0.011282756402201765,7728.1,0.012365904520729408,,,0.9593926232769128,4033.5,0.02378561108905201,9419.6,0.010185067553578843,5657.3,0.01695848944331948,,,0.9620781624076092,4941.3,0.01947014272372876,9483.0,0.010145293287014755,5745.6,0.016744607393616145,,,0.9620781624076092,4957.4,0.01940691012239499,10079.8,0.009544615591654688,5464.1,0.01760725759791382,,,0.9625926156201293,4734.1,0.02033317030945965,8732.8,0.011022725994184333,5286.7,0.018207816135209665,,,0.9625926156201293,5604.0,0.01717688464704014,9351.3,0.010293676982025273,5990.6,0.016068384062032672,,,0.9663192308741256,4360.8,0.022159219200012053,8551.5,0.01129999685288108,3845.5,0.025128571859943456,,,0.9687867267923056,3257.3,0.02974201721647701,5562.5,0.017416390594018977,2709.1,0.035760463873327146,,,0.9691834802402053,3852.0,0.02516052648598664,4796.0,0.02020816264053806,4562.1,0.021244240157826555,,,0.9721730428601677,3176.3,0.030607091359763486,6270.9,0.015502926898215053,4674.7,0.020796479835287134,,,0.9745876523584025,2225.0,0.04380169224082708,4528.4,0.021521677686564846,4402.1,0.02213915295787016,,,0.9768457917412567,2200.6,0.04438997508594278,6727.9,0.014519326858919674,6196.1,0.015765494290622434,,,0.9787944857041578,2408.3,0.04064254809218776,3596.8,0.027212924980653856,6962.4,0.014058291475700304,,,0.9790345983365135,999.6,0.09794263688840671,6274.7,0.015602890948356313,,0.9807616116877199,1560.3,0.06285724615059411,6738.3,0.01455503037394773,,0.9807616116877199,1772.9,0.05531962387544249,1170.8,0.08376850116909121,,0.9807989365574145,1789.9,0.05479629792487929
2,76.739484,30.740651,0.8082682112162782,11260.5,0.007177906942109838,11260.5,0.007177906942109838,11260.5,0.007177906942109838,,,0.8131969201965779,3858.5,0.021075467673877874,8536.7,0.009525893146023378,6897.2,0.011790247059626774,,,0.8215858451479718,3414.4,0.02406237831384641,8588.7,0.009565892919160894,5038.3,0.01630680676315368,,,0.828155948316479,4271.4,0.019388396036814137,8652.1,0.009571733432536367,3357.2,0.02466805517444534,,,0.841590369597682,4338.4,0.01939863474086488,9248.9,0.00909935635154107,3891.0,0.021629153677658237,,,0.8518799622932796,4115.0,0.02070182168391931,8770.1,0.009713457797439932,4186.6,0.020347775337822564,,,0.8654305010221759,5176.7,0.016717802867119515,8520.4,0.010157158126639311,6366.5,0.013593505081633173,,,0.8710472023581739,3741.7,0.023279450580168747,7720.6,0.011282118000649871,3014.6,0.028894287877601472,,,0.8794037346051681,2638.3,0.03333221144696085,5550.1,0.015844826842852707,2626.3,0.03348451184575898,,,0.8855075922054145,3232.9,0.027390503640861593,5091.3,0.0173925636321846,3731.2,0.023732514799673417,,,0.8871354610180281,3292.9,0.026940856418902124,5440.0,0.016307637151066694,3843.8,0.02307964673026765,,,0.8894775299440355,2341.6,0.037985886997951634,4587.6,0.019388733323394268,4468.8,0.019904169574472688,,,0.8916786611691465,2317.2,0.038480867476659186,5897.0,0.015120886233154935,6262.8,0.014237699769578248,,,0.8924955359559152,2524.9,0.03534775777083905,3663.5,0.02436182710402389,6693.9,0.013332967865607722,,,0.9012932781707118,1116.2,0.080746575718573,6341.5,0.01421261969834758,,0.9089160780617662,1676.8,0.054205395876775184,4709.7,0.019298810498795387,,0.9098091061673429,1889.5,0.04815078624860243,1287.4,0.07067027389834883,,0.9154727221304031,1906.5,0.0480185010296566
2,76.735379,30.734311,0.3821234944599732,12793.8,0.0029867865251916805,12793.8,0.0029867865251916805,12793.8,0.0029867865251916805,,,0.40972567340139554,4372.6,0.009370298527223975,7750.1,0.00528671466692553,5739.2,0.007139072926564601,,,0.41716993710028666,3928.5,0.010619064200083662,7430.7,0.005614140486095344,6731.2,0.006197556707574974,,,0.4615751706065552,4785.4,0.009645487746197919,7494.1,0.006159180830340603,3871.3,0.011923001849677244,,,0.49427502515638316,4852.5,0.01018598712326395,8090.9,0.006109024028926117,4744.2,0.010418511554242721,,,0.5175051810233661,4629.1,0.011179390832415934,7612.1,0.006798454841940674,4391.1,0.011785319874823301,,,0.532056591241903,5690.8,0.009349416448335963,7362.4,0.00722667324842311,5208.5,0.010215159666735201,,,0.532056591241903,4255.8,0.012501917177543656,6562.6,0.008107405467983771,1856.6,0.028657577897334,,,0.5635688235890799,3152.3,0.017878019972371914,4392.0,0.012831712741099269,1468.3,0.038382403023161475,,,0.6013897611737166,3747.0,0.016049900218140286,3933.3,0.015289699773058666,2573.2,0.023371279386511602,,,0.6347311055216456,4341.4,0.014620424414282159,4282.0,0.014823239269538662,2685.8,0.023632850752909582,,,0.6625714444815527,3100.3,0.021371204221577032,3429.6,0.0193192047026345,3303.2,0.02005847192060889,,,0.6625714444815527,3357.6,0.019733483574027662,4738.9,0.013981545178871738,5056.8,0.013102583540609728,,,0.6625714444815527,3565.3,0.018583890401412298,2876.8,0.023031543537317598,5535.8,0.011968847221387201,,,0.6850362648152661,2156.6,0.031764641788707505,5554.8,0.012332329963549831,,0.7038101170301001,2717.3,0.025901082583082477,4749.4,0.014818926959828616,,0.7041898813169029,2929.9,0.02403460463896047,1341.1,0.05250837978651129,,0.7063169547752518,1475.2,0.047879403116543644
2,76.730074,30.734448,0.23748330516938398,12705.1,0.0018691966625165011,12705.1,0.0018691966625165011,12705.1,0.0018691966625165011,,,0.26749867075837247,5318.9,0.00502921037730306,7287.6,0.003670600345221643,5650.5,0.004734070803616892,,,0.3170449411907173,4874.8,0.006503752793770356,7342.0,0.004318236736457604,6642.6,0.0047729043023923955,,,0.38253158084524963,5768.4,0.006631502337654283,7405.5,0.005165506459324146,4725.4,0.008095221163187236,,,0.40791844519432224,5835.4,0.0069904110291380585,8002.2,0.005097578730778064,4281.7,0.009527020697253948,,,0.41182945813017346,5591.7,0.007365013468715658,7523.4,0.0054739806221944,4302.5,0.00957186422150316,,,0.41182945813017346,6760.0,0.006092151747487774,7273.7,0.005661897770463086,5119.8,0.008043858317320471,,,0.41182945813017346,4940.9,0.008335110164750826,6473.9,0.006361381209629026,1767.9,0.02329483896884289,,,0.4635527672040586,3648.6,0.012704948944911983,4303.4,0.010771779690571609,1379.6,0.03360051951319648,,,0.5042620382806113,4243.3,0.011883723476553892,3844.6,0.013116111904505316,2484.5,0.02029631870720915,,,0.5361284012050962,4454.0,0.012037009456782582,4193.3,0.012785357622996115,2597.1,0.020643348396484393,,,0.5809658018014849,3502.6,0.01658670135903286,3340.9,0.017389499889295845,3214.5,0.018073286725820033,,,0.5992386462051591,3478.3,0.0172279172643291,4650.3,0.01288602125035286,4968.2,0.012061483962102151,,,0.6235637829846739,3685.9,0.016917544778335653,2414.3,0.025827932857750643,5447.2,0.011447418545026324,,,0.647632166101799,2277.2,0.02843984569215699,5777.5,0.011209557180472505,,0.6808877303493073,2837.9,0.023992661134969773,4660.7,0.014609130181073815,,0.6884049283533911,3050.6,0.022566214133396417,1316.0,0.05231040489007531,,0.6884049283533911,1450.1,0.047472927960374535
2,76.723448,30.733899,0.0778565196087696,13343.3,0.0005834877399801369,13343.3,0.0005834877399801369,13343.3,0.0005834877399801369,,,0.13477068287587113,6439.5,0.0020928749573083487,8426.3,0.0015994052297671711,6905.4,0.0019516709079252634,,,0.20098809279810265,5513.0,0.0036457118229294874,7980.2,0.002518584657002364,7057.8,0.002847744237554233,,,0.2657626753653709,5927.6,0.004483478564096277,8043.6,0.003304026497654917,5701.9,0.004660949426776529,,,0.2985336226124154,6612.4,0.004514754440330521,8640.4,0.003455090303833334,5420.4,0.005507593952704882,,,0.3056800753737853,5289.7,0.005778779049356018,8689.1,0.0035179716584431676,5243.0,0.005830251294560085,,,0.33607497537212006,6689.3,0.005024067919993423,7911.9,0.0042477151552992335,5946.9,0.005651263269470145,,,0.3598927883868455,5579.0,0.006450847614032005,7633.9,0.004714402708796887,1900.3,0.018938735377932198,,,0.4092985696202153,5139.8,0.007963317047749238,4110.7,0.009956906843608518,1280.1,0.03197395278651788,,,0.4092985696202153,5348.7,0.007652299991029883,4752.3,0.008612641660253252,2365.6,0.017302103889931322,,,0.4092985696202153,5073.8,0.008066903890973537,4831.5,0.008471459580259036,2702.6,0.015144622571605688,,,0.4110292919152674,4120.2,0.009975954854503845,3399.5,0.01209087489087417,3273.1,0.012557798170397098,,,0.46691027304023486,3878.8,0.012037492859653368,4596.0,0.010159057289822342,6152.4,0.007589075369615676,,,0.4672229156590409,3889.3,0.012013033596252304,3553.1,0.013149726032451686,6918.7,0.006753044873445024,,,0.48563713216519383,2480.6,0.019577405956832775,6231.0,0.007793887532742638,,0.5286822791494459,3438.5,0.015375375284264822,5753.1,0.009189520070039559,,0.5286822791494459,3607.3,0.014655899957016215,1862.4,0.02838714986841956,,0.5286822791494459,1414.6,0.037373270122256885
2,76.720504,30.729951,0.6912466637859893,13454.3,0.005137737851735054,13454.3,0.005137737851735054,13454.3,0.005137737851735054,,,0.7157596759050668,6138.2,0.011660742170425642,8125.1,0.008809241435860073,6399.7,0.011184269198635355,,,0.7319871565037261,5624.0,0.013015418856751889,8091.2,0.009046706996536067,6756.6,0.010833661257196314,,,0.7397830297847119,5626.3,0.01314865950597572,8154.6,0.009071972013154685,5400.6,0.013698163718562972,,,0.7525601972804652,6584.6,0.011429095120135851,8751.4,0.008599312078986966,5119.2,0.01470073834350026,,,0.7732555322997926,6340.9,0.012194728387134203,8387.9,0.009218702324774886,4941.8,0.01564724457282352,,,0.7732555322997926,6388.0,0.012104814218844594,8022.9,0.009638105077961742,3891.4,0.01987088277483149,,,0.7748443012111675,5690.0,0.013617650284906285,7223.1,0.010727309620677652,1179.2,0.06570931998059426,,,0.7748443012111675,4865.1,0.01592658529549583,3358.5,0.0230711419148777,560.7,0.13819231339596352,,,0.7926071486727523,5459.7,0.014517412104561648,4451.1,0.017806994870318622,1646.3,0.04814475786143183,,,0.8099468273898007,5593.4,0.014480402391922637,4942.5,0.01638739155062824,1950.4,0.041527216334587815,,,0.8168755280075324,4639.7,0.017606214367470577,2647.3,0.03085693075992643,2521.0,0.032402837287089745,,,0.8304750103568387,4398.4,0.018881297980102737,3804.0,0.021831624877940027,4096.9,0.020270814771091283,,,0.8390950006762745,4829.6,0.017374006142874657,3251.8,0.025804016257957883,6617.4,0.012680131179561075,,,0.8480392399745508,3420.9,0.02478994533527875,5929.8,0.014301312691398541,,0.8515455003437532,3981.6,0.021387017790429806,5409.9,0.015740503527676173,,0.8564994894606357,4126.9,0.020754064539015626,2381.9,0.035958667007877566,,0.8621367502641251,2354.9,0.03661033378335067
2,76.717378,30.731993,0.5445553246546755,13991.1,0.003892155189046433,13991.1,0.003892155189046433,13991.1,0.003892155189046433,,,0.5734644085819226,6682.1,0.008582098570538044,8668.9,0.00661519233791972,6936.5,0.008267345326633355,,,0.588106329956666,6160.8,0.00954594094852399,8628.1,0.006816174244117083,7300.5,0.008055699335068365,,,0.6173372433767322,6170.2,0.01000514154122609,8691.5,0.007102769871446036,5944.5,0.010385015449183821,,,0.6254102753676462,7121.4,0.00878212535972767,9288.2,0.006733385105484875,5663.1,0.01104360289183744,,,0.6563660072937758,6877.8,0.00954325521669394,8931.8,0.007348642012738483,5485.7,0.011965036500242008,,,0.6563660072937758,6931.9,0.00946877490000975,8559.8,0.0076680063470382,4039.6,0.01624829209064699,,,0.6687897571182501,6226.9,0.010740332382377269,7759.9,0.008618535768737357,1639.2,0.04079976556358285,,,0.6782426322017711,5401.9,0.012555631022450824,3506.8,0.019340784538661202,1052.4,0.06444722844942712,,,0.6988094220134037,5996.6,0.011653427309031846,4994.9,0.01399045870815039,2290.3,0.0305116981187357,,,0.7135361632275116,5316.4,0.013421416056495213,5479.4,0.013022158689409636,2098.7,0.03399895950957791,,,0.7135361632275116,4362.8,0.016355005116611154,2795.6,0.025523542825422504,2669.2,0.0267322105210367,,,0.727807485035549,4121.4,0.01765922951025256,3855.2,0.01887859216215888,4245.2,0.017144244912737895,,,0.727807485035549,4537.2,0.01604089493598583,3795.7,0.019174526043563744,7161.3,0.010163063759869702,,,0.7389836742397902,3128.5,0.023621022030998563,6473.6,0.011415343460204369,,0.7389836742397902,3689.1,0.02003154358081348,5946.7,0.012426785851645285,,0.7389836742397902,3849.9,0.019194879717389805,2105.0,0.03510611279048884,,0.7389836742397902,2062.5,0.03582951147829285
2,76.74202,30.744061,0.6349066591531628,11692.9,0.0054298476781051985,11692.9,0.0054298476781051985,11692.9,0.0054298476781051985,,,0.6349066591531628,4247.7,0.01494706921753332,8944.8,0.007098053161089827,7423.8,0.008552313628507809,,,0.6686647152141385,3803.6,0.01757978534057573,9021.2,0.007412148219905761,5212.0,0.01282933068331041,,,0.6686647152141385,3750.5,0.01782868191478839,9084.6,0.0073604199988347154,4606.4,0.014515993296590366,,,0.6793004799674233,4435.0,0.015316809018431191,9681.3,0.007016624626521473,4299.0,0.015801360315594867,,,0.6793004799674233,2794.8,0.024305870901940148,9207.6,0.007377606324855807,4594.7,0.014784435979877322,,,0.6974069850557273,3907.8,0.017846537311421443,8952.9,0.007789732768775785,6465.3,0.010786923809501914,,,0.7023244563767436,3485.5,0.02014989115985493,8152.3,0.008615046752164955,3527.6,0.019909413096063717,,,0.7206699247313739,2364.9,0.030473589781021347,6037.2,0.011937155050874145,3183.9,0.02263481656871679,,,0.7428474780887253,2979.9,0.024928604251442176,5270.8,0.014093638121133895,4265.1,0.017416883029441874,,,0.7451726249055018,2749.8,0.02709915720799701,6026.1,0.012365752724075302,4556.6,0.016353698479249917,,,0.7657830488475135,1796.2,0.0426335067836273,5003.2,0.015305865223207418,4876.8,0.015702572359898158,,,0.7720802419822265,1554.9,0.049654655732344614,6545.9,0.011794867657346225,6670.8,0.011574027732539223,,,0.7833583030971976,1945.4,0.04026720998751915,4071.5,0.01924004182972363,7437.1,0.010533115099934081,,,0.7940733375765842,1545.4,0.05138302947952531,6749.5,0.011764920921202819,,0.7940733375765842,1114.5,0.07124929004724848,6271.6,0.0126614155490877,,0.7984706435888798,2305.9,0.03462728841618803,2095.7,0.03810042675902466,,0.7984706435888798,2314.5,0.03449862361585136
2,76.737358,30.730679,0.3559577734706405,12768.9,0.0027876933288743786,12768.9,0.0027876933288743786,12768.9,0.0027876933288743786,,,0.3559577734706405,3850.4,0.00924469596589031,7068.0,0.005036188079663845,5714.3,0.006229245462622552,,,0.4138732010245501,3406.3,0.012150227549674137,7405.8,0.005588500918530748,5030.1,0.00822793187062981,,,0.4243744784164806,4263.2,0.009954364759253159,7469.2,0.00568165905875436,3349.1,0.012671299107714928,,,0.4499732808298741,4330.2,0.010391512651375782,8066.0,0.005578642212123408,2650.6,0.016976280118836267,,,0.4499732808298741,4106.9,0.010956519049158103,7587.2,0.005930689593392478,2739.7,0.016424180780007815,,,0.4669945493927369,5168.6,0.009035223259542948,7337.5,0.006364491303478526,5183.6,0.009009077656314856,,,0.4946050498393833,3733.6,0.013247403306175897,6537.7,0.00756542897103543,2171.8,0.022773968590081187,,,0.5117130165850096,3314.6,0.01543815291694351,4367.2,0.011717187593538413,1783.5,0.028691506396692434,,,0.5309608253349147,3909.2,0.013582339745597943,3908.4,0.01358511987859264,2548.3,0.020835883739548512,,,0.5377913793607453,4503.6,0.01194136644819134,4257.1,0.012632810583748214,3001.0,0.017920405843410373,,,0.5582512680441186,3262.5,0.01711114997836379,3404.7,0.01639648920739327,3278.3,0.017028681574112147,,,0.5701028211030148,3895.2,0.014636034635012705,4714.0,0.01209382310358538,5031.9,0.01132977247367823,,,0.5941399482261471,4102.9,0.014480975608134421,2194.8,0.02707034573656584,5510.9,0.010781178178267563,,,0.5976060938957382,2694.2,0.02218120755310438,4872.8,0.012264121119186877,,0.6111812176257301,3254.9,0.01877726558805893,4724.5,0.012936421158339087,,0.649100556898357,3467.5,0.018719554632973527,1838.2,0.035311748280837614,,0.6693850747652321,1972.3,0.03393931322644791
