Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_13_0_0,fill_per_m_1_13_0_0,distance_from_233_1_0,fill_per_m_1_233_1_0,distance_from_6_2_0,fill_per_m_1_6_2_0,fill_per_m_1_233_1_1,fill_per_m_1_6_2_2,fill_ratio_2,distance_from_24_0_0,fill_per_m_2_24_0_0,distance_from_73_1_0,fill_per_m_2_73_1_0,distance_from_187_2_0,fill_per_m_2_187_2_0,fill_per_m_2_73_1_1,fill_per_m_2_187_2_2,fill_ratio_3,distance_from_281_0_0,fill_per_m_3_281_0_0,distance_from_62_1_0,fill_per_m_3_62_1_0,distance_from_257_2_0,fill_per_m_3_257_2_0,fill_per_m_3_62_1_1,fill_per_m_3_257_2_2,fill_ratio_4,distance_from_14_0_0,fill_per_m_4_14_0_0,distance_from_111_1_0,fill_per_m_4_111_1_0,distance_from_234_2_0,fill_per_m_4_234_2_0,fill_per_m_4_111_1_1,fill_per_m_4_234_2_2,fill_ratio_5,distance_from_229_0_0,fill_per_m_5_229_0_0,distance_from_151_1_0,fill_per_m_5_151_1_0,distance_from_41_2_0,fill_per_m_5_41_2_0,fill_per_m_5_151_1_1,fill_per_m_5_41_2_2,fill_ratio_6,distance_from_33_0_0,fill_per_m_6_33_0_0,distance_from_237_1_0,fill_per_m_6_237_1_0,distance_from_178_2_0,fill_per_m_6_178_2_0,fill_per_m_6_237_1_1,fill_per_m_6_178_2_2,fill_ratio_7,distance_from_108_0_0,fill_per_m_7_108_0_0,distance_from_155_1_0,fill_per_m_7_155_1_0,distance_from_114_2_0,fill_per_m_7_114_2_0,fill_per_m_7_155_1_1,fill_per_m_7_114_2_2,fill_ratio_8,distance_from_182_0_0,fill_per_m_8_182_0_0,distance_from_89_1_0,fill_per_m_8_89_1_0,distance_from_57_2_0,fill_per_m_8_57_2_0,fill_per_m_8_89_1_1,fill_per_m_8_57_2_2,fill_ratio_9,distance_from_189_0_0,fill_per_m_9_189_0_0,distance_from_171_1_0,fill_per_m_9_171_1_0,distance_from_135_2_0,fill_per_m_9_135_2_0,fill_per_m_9_171_1_1,fill_per_m_9_135_2_2,fill_ratio_10,distance_from_245_0_0,fill_per_m_10_245_0_0,distance_from_58_1_0,fill_per_m_10_58_1_0,distance_from_170_2_0,fill_per_m_10_170_2_0,fill_per_m_10_58_1_1,fill_per_m_10_170_2_2,fill_ratio_11,distance_from_247_0_0,fill_per_m_11_247_0_0,distance_from_79_1_0,fill_per_m_11_79_1_0,distance_from_192_2_0,fill_per_m_11_192_2_0,fill_per_m_11_79_1_1,fill_per_m_11_192_2_2,fill_ratio_12,distance_from_201_0_0,fill_per_m_12_201_0_0,distance_from_163_1_0,fill_per_m_12_163_1_0,distance_from_174_2_0,fill_per_m_12_174_2_0,fill_per_m_12_163_1_1,fill_per_m_12_174_2_2,fill_ratio_13,distance_from_130_0_0,fill_per_m_13_130_0_0,distance_from_39_1_0,fill_per_m_13_39_1_0,distance_from_278_2_0,fill_per_m_13_278_2_0,fill_per_m_13_39_1_1,fill_per_m_13_278_2_2,fill_ratio_14,distance_from_4_0_0,fill_per_m_14_4_0_0,distance_from_264_1_0,fill_per_m_14_264_1_0,distance_from_127_2_0,fill_per_m_14_127_2_0,fill_per_m_14_264_1_1,fill_per_m_14_127_2_2,fill_ratio_15,distance_from_28_1_0,fill_per_m_15_28_1_0,fill_per_m_15_28_1_1,fill_ratio_16,distance_from_254_1_0,fill_per_m_16_254_1_0,fill_per_m_16_254_1_1
2,76.739919,30.725365,0.7512789243737669,11468.3,0.006550917959713009,11468.3,0.006550917959713009,11468.3,0.006550917959713009,,,0.7531036433508537,6168.6,0.012208663932672788,3511.8,0.02144494684637091,2868.7,0.026252436411993367,,,0.7540865732860651,6105.2,0.012351545785331604,3528.3,0.021372518586459912,2551.7,0.029552320934516797,,,0.7540865732860651,5980.5,0.012609089094324306,4669.7,0.01614850147302964,3493.8,0.02158356440798171,,,0.7762003115825948,6765.4,0.011473088236949697,4489.2,0.017290392755559894,2902.5,0.026742474128599304,,,0.7881857354439522,6243.4,0.012624303031104083,6016.9,0.013099531909188325,3681.2,0.021411108753774645,,,0.8083781411036991,6036.9,0.013390616725532958,4696.7,0.017211619671337303,3902.6,0.02071383542007121,,,0.8207826314167461,5237.1,0.015672464368004162,4437.1,0.018498177445104822,3700.6,0.022179717651644223,,,0.8368372052313162,4472.9,0.018709052409651823,5364.8,0.015598665471803538,4206.0,0.019896272116769288,,,0.8466972050342303,3501.1,0.02418374810871527,4897.3,0.01728906142229862,4979.3,0.0170043420768829,,,0.85624102439777,3706.6,0.02310044311222603,5614.7,0.015249987076740875,4101.2,0.020877816843796203,,,0.85624102439777,2963.8,0.02888997315600816,4766.7,0.01796297279874483,3359.5,0.02548715655299211,,,0.8608243095718168,2739.4,0.03142382673475275,3215.7,0.026769422196467853,3108.5,0.027692594806878454,,,0.8684707866774666,2861.5,0.030350193488641153,3140.0,0.02765830530819957,4626.5,0.018771658633469503,,,0.8793562793387576,3240.2,0.02713895066164921,1857.5,0.04734084949333823,4434.6,0.01982943849138045,,,0.8891461063476704,1630.6,0.0545287689407378,,0.8980694771273477,1317.6,0.06815949279958619,
2,76.744236,30.729776,0.8119462346378834,10166.9,0.007986173117055184,10166.9,0.007986173117055184,10166.9,0.007986173117055184,,,0.8265299037485108,6891.7,0.01199312076481145,4099.5,0.020161724691999287,3043.7,0.027155432655928992,,,0.8360195046242971,6828.3,0.012243450121176532,3037.8,0.027520557792622854,2751.8,0.030380823629053606,,,0.848641847877285,6727.6,0.012614332717124754,4844.6,0.017517273828123788,3670.1,0.023123126015020982,,,0.8602411376832763,7488.5,0.011487495996304683,4664.1,0.01844388280018173,3127.2,0.02750835052709377,,,0.8602411376832763,7009.7,0.01227215341146235,5853.2,0.014696937362182673,3535.2,0.024333591810457012,,,0.8685727595312334,6760.0,0.012848709460521203,4861.1,0.017867823322524394,4077.7,0.021300555693926315,,,0.8793739669610467,5960.2,0.014754101657008939,4612.0,0.01906708514659685,4337.8,0.020272349277538078,,,0.8907817531526712,4933.5,0.018055776895767126,5220.3,0.017063803864771587,4061.5,0.021932334190635755,,,0.8947304316999036,4606.1,0.01942490244892433,5262.5,0.01700200345272976,4834.8,0.018506048475632985,,,0.8982938790062769,4454.5,0.02016598673265859,5470.2,0.01642159114851883,4061.1,0.022119472039749746,,,0.9063688881972435,3595.4,0.025209125221039203,4622.2,0.01960903656694309,3577.5,0.025335258929342935,,,0.9083362442943239,2937.9,0.03091787481855488,3852.9,0.023575391115635596,4332.2,0.020967089337849684,,,0.9162901206042124,3498.7,0.026189445239780847,3777.2,0.024258448602250675,4801.4,0.019083811400929157,,,0.9166200847338624,3877.4,0.023640070272189156,2033.1,0.045084849969694675,5071.8,0.018072875206708906,,,0.9166200847338624,1805.5,0.0507682129456584,,0.9207459393254563,1493.2,0.06166259974052078,
2,76.735219,30.742392,0.9562918815133613,11879.6,0.00804986600149299,11879.6,0.00804986600149299,11879.6,0.00804986600149299,,,0.9562918815133613,9483.0,0.010084275878027642,5604.0,0.0170644518471335,2661.9,0.03592516178343895,,,0.9575339976002624,9419.6,0.010165336082214343,4734.1,0.020226315405256802,3046.5,0.03143062522895987,,,0.9600830253824358,8470.0,0.01133510065386583,3852.0,0.02492427376382232,3065.1,0.03132305717211301,,,0.9624908694313168,10079.8,0.009548709988604107,3257.3,0.029548732675262233,1780.7,0.05405126463926078,,,0.966197236929621,8732.8,0.011064002804708926,3176.3,0.030418954032352768,1208.9,0.07992366919758631,,,0.96636386593558,9351.3,0.010334005602810092,2675.7,0.03611630100293681,2857.3,0.03382087515961152,,,0.9672891922216894,8551.5,0.011311339440117984,2225.0,0.04347367156052537,1667.0,0.05802574638402456,,,0.9696189220444273,6962.4,0.013926504108417032,2158.4,0.04492304123630594,999.6,0.09700069248143531,,,0.9696189220444273,5990.6,0.016185672921651042,2200.6,0.04406157057368115,1772.9,0.05469112313409822,,,0.9717989508748427,6196.1,0.015684042395617284,2408.3,0.0403520720373227,2927.9,0.03319098845161524,,,0.9731297654631142,4402.1,0.022106034971107292,1560.3,0.06236811930161598,1677.5,0.05801071627201873,,,0.973298799326587,2709.1,0.035927016327436674,1170.8,0.08313108979557457,1426.5,0.06822984923425075,,,0.9736205002584298,3186.3,0.03055646047950381,1789.9,0.054395245558882054,2944.5,0.03306573273080081,,,0.9745616429642266,3689.9,0.026411600394705186,1302.8,0.0748051614188077,3938.6,0.024743859314584542,,,0.975236340749376,2156.6,0.04522101181254642,,0.9766209677128943,1799.9,0.05425973485820847,
2,76.730074,30.734448,0.3129195480288226,12705.1,0.0024629443926362056,12705.1,0.0024629443926362056,12705.1,0.0024629443926362056,,,0.3289675048296962,7405.5,0.004442205183035531,6760.0,0.004866383207539885,3053.2,0.010774515420859958,,,0.3648381654943709,7342.0,0.004969193210220253,5591.7,0.006524637686112827,2454.0,0.014867080908491074,,,0.4024217690413517,7287.6,0.005522006820370927,4243.3,0.009483698278258706,2636.9,0.015261169139571151,,,0.4481554050807716,8002.2,0.005600402452835116,3648.6,0.012282941541434294,1474.0,0.030404030195439052,,,0.4739663144663688,7523.4,0.006299895186569487,4454.0,0.010641363144732123,2063.9,0.022964596853838302,,,0.5183537135234554,7273.7,0.007126410403556036,3076.8,0.01684716957629535,2851.4,0.018178919601720397,,,0.5630772459440263,6473.9,0.008697651275800156,3502.6,0.016075979156741457,1808.4,0.031136764318957434,,,0.5807932260954242,5447.2,0.010662234287256283,3436.0,0.016903178873557165,2277.2,0.025504708681513447,,,0.6104975283217438,5119.8,0.011924245640879405,3478.3,0.017551606483677193,3050.6,0.020012375543229,,,0.6104975283217438,4968.2,0.012288102900884501,3685.9,0.016563051854953846,1744.2,0.03500157827782042,,,0.6258513455176176,3214.5,0.01946963277391873,2837.9,0.022053326245379243,1260.5,0.04965103891452737,,,0.652914651516185,1379.6,0.04732637369644716,1316.0,0.04961357534317515,2015.3,0.03239788872704734,,,0.6869783512440394,1940.4,0.035403955434139316,1450.1,0.04737455011682225,2515.5,0.027309813207872763,,,0.7027458600366162,2319.1,0.03030252511908138,660.5,0.10639604239767089,2754.8,0.025509868594330486,,,0.7039670503428688,1353.2,0.052022395088890686,,0.7039670503428688,1469.5,0.047905209278180934,
2,76.749401,30.722265,0.9523867523987246,9692.8,0.009825713440891433,9692.8,0.009825713440891433,9692.8,0.009825713440891433,,,0.9523867523987246,6354.0,0.014988774825286821,3637.0,0.026186053131666887,2744.4,0.03470291329247648,,,0.9541820286163064,6290.6,0.01516837867002045,2575.3,0.0370512961059413,2452.5,0.03890650473460985,,,0.9551257873552487,6083.7,0.015699751587935774,4545.3,0.021013481780196,3854.1,0.024782070713143114,,,0.9551257873552487,6950.7,0.01374143305501962,4364.8,0.021882463969832493,2827.9,0.03377509060982527,,,0.9563904548678975,6471.9,0.014777583937760127,5553.9,0.01722015979524114,3235.9,0.02955562455168261,,,0.9593614951625934,6222.3,0.01541811701722182,4561.8,0.021030327834683532,3778.4,0.025390681112708906,,,0.9604958396612762,5422.4,0.01771348184680725,4312.8,0.022270818022196163,4998.2,0.01921683485377288,,,0.9616957194579328,4395.7,0.021878101768954498,4921.0,0.019542688873357708,3762.2,0.025562057292486652,,,0.9649245614820998,4068.3,0.023718127018216448,4963.2,0.019441581267772803,4535.6,0.021274463389234055,,,0.9657464669254426,3916.7,0.024657146754294243,5170.9,0.01867656436839704,4721.5,0.020454229946530608,,,0.9667983509428408,3057.6,0.03161951697222792,4322.9,0.022364578198497326,4237.9,0.02281314686384391,,,0.9694634386979467,3598.3,0.026942262698995266,4513.3,0.021480146205613337,4992.7,0.019417618496964505,,,0.9698994569326629,4159.1,0.02331993597010562,4437.6,0.02185639663179788,5480.8,0.017696311796319204,,,0.9698994569326629,4537.8,0.021373781500565535,3467.8,0.027968725328238735,5732.2,0.016920195682855847,,,0.9702518271731242,2608.9,0.037190073485880035,,0.9719940418118387,2038.8,0.047674810761812764,
2,76.744586,30.725718,0.2872212092051508,11624.4,0.002470847606802509,11624.4,0.002470847606802509,11624.4,0.002470847606802509,,,0.30916190535906235,6324.8,0.004888089826699063,3119.8,0.009909670663474016,3305.4,0.009353237289255835,,,0.32692077540658865,5920.6,0.005521750758480368,3073.9,0.010635374456117267,2294.2,0.014249881239934996,,,0.3625035531155174,6160.6,0.005884224801407613,4460.9,0.008126242532123955,3236.4,0.011200826631921809,,,0.37705958932528477,6921.5,0.005447657145492809,4296.5,0.00877597089084801,2645.0,0.014255561033092052,,,0.4227311120299815,6423.4,0.006581111436777743,5397.7,0.007831689646145239,3077.5,0.013736185606173242,,,0.4385867181515597,6171.5,0.007106646976449157,4439.3,0.009879636838050137,3645.1,0.012032227323024327,,,0.44132452406041495,5368.2,0.008221089453828377,4881.2,0.009041312055650556,5221.7,0.008451740315613975,,,0.4777658701754397,4653.0,0.010267910384170206,3918.3,0.012193192715602166,3600.5,0.013269431194985132,,,0.5105637644922183,3681.1,0.013869869454571143,4639.8,0.011004003717664948,4361.0,0.01170749287989494,,,0.5508276019407605,3886.7,0.014172115211895967,5030.4,0.01094997618361881,5032.4,0.01094562439275019,,,0.5804236523952399,3143.9,0.018461899309623074,4244.6,0.013674401649042073,4290.8,0.013527166318524282,,,0.5958032732363162,3670.7,0.016231325720879295,4729.3,0.012598128121208555,4039.7,0.014748700973743503,,,0.6284946820438813,4205.2,0.014945654952056532,4085.4,0.015383920351590571,5557.7,0.011308539180666126,,,0.6284946820438813,4508.6,0.013939907777223112,2216.9,0.02835015932355457,5771.4,0.010889813252311073,,,0.6624925758887321,1989.3,0.033302798767844574,,0.0,1677.0,0.04066574826329266,0.0
2,76.748739,30.719108,0.66231373873072,10716.4,0.006180375300760704,10716.4,0.006180375300760704,10716.4,0.006180375300760704,,,0.6709803623167074,5416.8,0.012387024854465873,3328.1,0.020161063739572355,3226.6,0.020795275594021802,,,0.6961015329416242,5353.4,0.013002980030291485,3057.5,0.022767016612972178,2934.7,0.02371968286167664,,,0.6961015329416242,5228.8,0.013312835314826046,5027.5,0.013845878328028331,3853.0,0.01806648151937774,,,0.719473182885766,6013.5,0.011964300039673501,4847.0,0.014843680274102867,3310.1,0.021735693268655508,,,0.7321761330194445,5534.7,0.013228831427528946,6036.1,0.01212995366245497,3718.1,0.019692211963622402,,,0.7426458347121133,5285.1,0.014051689366560961,5044.0,0.014723351203650146,4260.6,0.017430545808386457,,,0.744345795572854,4485.2,0.016595598759762197,4795.0,0.015523374255951074,5029.1,0.014800775398637013,,,0.7453430111196209,3458.5,0.02155104846377392,5403.2,0.013794473851044214,4244.4,0.017560621315606942,,,0.7494814689744601,3131.1,0.02393668260274217,5445.5,0.013763317766494539,5017.8,0.014936455597561881,,,0.7729423623419653,2979.5,0.02594201585306143,5653.1,0.01367289385190365,4752.5,0.016263910833076597,,,0.7788055993618428,3088.6,0.025215489197754414,4805.1,0.016207895764122345,4268.8,0.01824413416795921,,,0.7995421579656805,3629.3,0.02203020301340976,4544.3,0.017594396451943765,5023.6,0.015915720956399405,,,0.8057866662884299,4190.0,0.01923118535294582,4468.5,0.018032598551827903,5480.6,0.014702526480466185,,,0.8179930500570252,4568.8,0.0179038927083047,3467.7,0.0235889220537251,5763.1,0.014193629297722148,,,0.8269356053896743,2382.0,0.034716020377400264,,0.8400007996866278,2069.7,0.04058563075260317,
2,76.728869,30.724373,0.6916556518665415,12626.8,0.00547767963273784,12626.8,0.00547767963273784,12626.8,0.00547767963273784,,,0.6916556518665415,7327.2,0.009439562887140264,5558.6,0.012442982978925295,3773.1,0.018331230337561726,,,0.7165781453369895,7263.8,0.009865058858131963,5513.5,0.012996792334034453,3379.4,0.021204300921376266,,,0.7412259179946463,7295.7,0.01015976421720529,5268.9,0.014067944314650997,3606.0,0.02055534991665686,,,0.7412259179946463,7923.9,0.009354306818544484,4666.1,0.015885341462777185,3014.6,0.024587869634268105,,,0.7512976282939315,7558.5,0.009939771492940817,5767.3,0.013026851876856269,3527.6,0.02129769895379101,,,0.7544224117491691,7195.5,0.010484641953292602,4857.1,0.015532363174510904,4014.7,0.01879150152562257,,,0.7554034444426799,6503.2,0.011615872869397833,5299.0,0.014255584911165877,3533.6,0.02137772935370953,,,0.7554034444426799,5788.0,0.013051199800322735,5211.2,0.014495767662777862,4052.4,0.018640890446221494,,,0.7767697916622477,3015.8,0.02575667456934305,5057.7,0.015358162636420659,4786.1,0.016229702506471818,,,0.797913106385489,3221.3,0.024769909862027407,5461.1,0.014610849579489276,1929.6,0.041351218199911326,,,0.797913106385489,1645.4,0.04849356426312683,4613.1,0.017296679161203723,2602.6,0.030658307322888226,,,0.8105605366844871,644.6,0.1257462824518286,3041.2,0.026652654764056528,2351.6,0.03446846983689773,,,0.8105605366844871,1179.2,0.06873817305668989,2986.4,0.027141727052119178,2209.9,0.036678607026765335,,,0.819188852036445,1559.7,0.0525222063240652,1856.6,0.04412306646754524,2668.5,0.03069847674860202,,,0.8303164928981518,2473.2,0.033572557532676364,,0.8303164928981518,2171.8,0.0382317199050627,
2,76.725031,30.72097,0.8969952893644111,13029.8,0.006884183098469747,13029.8,0.006884183098469747,13029.8,0.006884183098469747,,,0.9071179695685737,7730.2,0.011734728332624948,5961.6,0.015216015324217888,4176.1,0.021721653446243473,,,0.9075182921316673,7666.8,0.011836989254078199,5916.4,0.01533902866830619,3782.4,0.023993186657457363,,,0.9105502386876755,7698.7,0.01182732459620034,6006.4,0.015159666999994598,4322.6,0.02106487388811538,,,0.912355289683197,6099.9,0.014956889288073526,5411.8,0.016858629100912764,3731.2,0.02445206072264143,,,0.912355289683197,7961.5,0.011459590399839188,6600.8,0.013821889614640604,4265.1,0.021391181676471756,,,0.9177913200497554,5402.4,0.016988585074221744,5573.7,0.01646646428852926,4731.3,0.019398290534308867,,,0.9177913200497554,4602.6,0.019940714379910383,5359.7,0.017123930817951664,4284.6,0.02142070018320859,,,0.9231888353566394,6191.0,0.014911788650567588,5948.8,0.015518908609410964,4790.0,0.019273253347737777,,,0.9263948023428361,2663.1,0.034786331806647745,5774.3,0.016043413094969712,5563.3,0.016651893702349974,,,0.9323637068572179,2868.6,0.03250239513550924,6198.7,0.015041278120528788,2394.9,0.038931216621037115,,,0.9323637068572179,1292.7,0.07212529642277543,5350.7,0.01742507908978672,3319.2,0.028090012860243974,,,0.9359281910756857,1109.9,0.08432545193942569,3799.7,0.024631633841505535,3068.2,0.030504145462345537,,,0.9359281910756857,1646.3,0.05685040339401602,3724.0,0.02513233595799371,4586.2,0.020407487485842,,,0.9380961752008545,1465.7,0.06400328683911131,2573.2,0.03645640351316861,2783.2,0.03370566884165186,,,0.940078946924745,2876.2,0.032684755821039746,,0.9422132985438684,2548.3,0.03697419057975389,
2,76.743005,30.717842,0.7646509503848735,10926.3,0.006998260622396177,10926.3,0.006998260622396177,10926.3,0.006998260622396177,,,0.7766009828501046,5626.6,0.013802313703659485,3508.1,0.022137367317069202,4162.3,0.01865797714845409,,,0.7766009828501046,5563.2,0.013959609268947811,3602.9,0.021554885865555654,3870.4,0.020065134943419403,,,0.7766009828501046,5055.6,0.015361203078766211,5992.7,0.012959116639413031,4180.4,0.018577193159747984,,,0.7766009828501046,6223.4,0.012478725179967617,5398.1,0.014386561620757389,3589.1,0.021637763864202856,,,0.7980220862544463,5318.4,0.015004927915434082,6587.1,0.012114922898611623,4251.4,0.018770806940171386,,,0.7980220862544463,5494.9,0.014522959221358829,5383.3,0.01482403147241369,4793.9,0.016646615203789114,,,0.8076739513936924,4695.1,0.017202486664686427,5346.0,0.015108005076574867,4270.8,0.018911537683658622,,,0.8104409071424762,3668.4,0.022092490108561666,5935.0,0.013655280659519396,4776.3,0.01696796489212311,,,0.8104409071424762,3341.0,0.024257435113513203,5977.3,0.013558645327195827,5549.6,0.014603591378522346,,,0.814249364272034,2781.7,0.029271645550276233,6185.0,0.01316490483867476,3994.2,0.02038579350738656,,,0.8202518072262444,3393.3,0.024172687567448926,5336.9,0.015369443070438728,3510.6,0.02336500333920824,,,0.837689482937546,3920.1,0.02136908453706655,3786.0,0.022125976834060906,4265.3,0.019639638077920567,,,0.8533782677078202,3431.7,0.02486750787387651,3710.3,0.02300024978324718,5807.1,0.01469542917648775,,,0.8642669252347849,3810.5,0.02268119473126322,3794.1,0.02277923421192865,5004.9,0.017268415457547304,,,0.8768176008534576,2862.5,0.030631182562566205,,0.8837172439121992,2397.2,0.03686456048357247,
