Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_233_0_0,fill_per_m_1_233_0_0,distance_from_13_1_0,fill_per_m_1_13_1_0,distance_from_288_2_0,fill_per_m_1_288_2_0,fill_per_m_1_13_1_1,fill_per_m_1_288_2_2,fill_ratio_2,distance_from_73_0_0,fill_per_m_2_73_0_0,distance_from_24_1_0,fill_per_m_2_24_1_0,distance_from_292_2_0,fill_per_m_2_292_2_0,fill_per_m_2_24_1_1,fill_per_m_2_292_2_2,fill_ratio_3,distance_from_65_0_0,fill_per_m_3_65_0_0,distance_from_281_1_0,fill_per_m_3_281_1_0,distance_from_99_2_0,fill_per_m_3_99_2_0,fill_per_m_3_281_1_1,fill_per_m_3_99_2_2,fill_ratio_4,distance_from_111_0_0,fill_per_m_4_111_0_0,distance_from_14_1_0,fill_per_m_4_14_1_0,distance_from_106_2_0,fill_per_m_4_106_2_0,fill_per_m_4_14_1_1,fill_per_m_4_106_2_2,fill_ratio_5,distance_from_62_0_0,fill_per_m_5_62_0_0,distance_from_229_1_0,fill_per_m_5_229_1_0,distance_from_186_2_0,fill_per_m_5_186_2_0,fill_per_m_5_229_1_1,fill_per_m_5_186_2_2,fill_ratio_6,distance_from_151_0_0,fill_per_m_6_151_0_0,distance_from_33_1_0,fill_per_m_6_33_1_0,distance_from_70_2_0,fill_per_m_6_70_2_0,fill_per_m_6_33_1_1,fill_per_m_6_70_2_2,fill_ratio_7,distance_from_237_0_0,fill_per_m_7_237_0_0,distance_from_117_1_0,fill_per_m_7_117_1_0,distance_from_68_2_0,fill_per_m_7_68_2_0,fill_per_m_7_117_1_1,fill_per_m_7_68_2_2,fill_ratio_8,distance_from_155_0_0,fill_per_m_8_155_0_0,distance_from_108_1_0,fill_per_m_8_108_1_0,distance_from_66_2_0,fill_per_m_8_66_2_0,fill_per_m_8_108_1_1,fill_per_m_8_66_2_2,fill_ratio_9,distance_from_89_0_0,fill_per_m_9_89_0_0,distance_from_245_1_0,fill_per_m_9_245_1_0,distance_from_195_2_0,fill_per_m_9_195_2_0,fill_per_m_9_245_1_1,fill_per_m_9_195_2_2,fill_ratio_10,distance_from_171_0_0,fill_per_m_10_171_0_0,distance_from_182_1_0,fill_per_m_10_182_1_0,distance_from_7_2_0,fill_per_m_10_7_2_0,fill_per_m_10_182_1_1,fill_per_m_10_7_2_2,fill_ratio_11,distance_from_58_0_0,fill_per_m_11_58_0_0,distance_from_267_1_0,fill_per_m_11_267_1_0,distance_from_225_2_0,fill_per_m_11_225_2_0,fill_per_m_11_267_1_1,fill_per_m_11_225_2_2,fill_ratio_12,distance_from_79_0_0,fill_per_m_12_79_0_0,distance_from_183_1_0,fill_per_m_12_183_1_0,distance_from_4_2_0,fill_per_m_12_4_2_0,fill_per_m_12_183_1_1,fill_per_m_12_4_2_2,fill_ratio_13,distance_from_57_0_0,fill_per_m_13_57_0_0,distance_from_258_1_0,fill_per_m_13_258_1_0,distance_from_213_2_0,fill_per_m_13_213_2_0,fill_per_m_13_258_1_1,fill_per_m_13_213_2_2,fill_ratio_14,distance_from_130_2_0,fill_per_m_14_130_2_0,fill_per_m_14_130_2_2,fill_ratio_15,distance_from_170_2_0,fill_per_m_15_170_2_0,fill_per_m_15_170_2_2,fill_ratio_16,distance_from_126_2_0,fill_per_m_16_126_2_0,fill_per_m_16_126_2_2,fill_ratio_17,distance_from_127_2_0,fill_per_m_17_127_2_0,fill_per_m_17_127_2_2,fill_ratio_18,distance_from_278_2_0,fill_per_m_18_278_2_0
2,76.723448,30.733899,0.488177675310814,13343.3,0.0036585977630032604,13343.3,0.0036585977630032604,13343.3,0.0036585977630032604,,,0.5331811659592095,6689.3,0.007970657108504768,8043.6,0.006628638494694036,6168.5,0.008643611347316357,,,0.5633159255184927,5289.7,0.01064929817415908,7980.2,0.007058919895723074,6272.2,0.008981153750175263,,,0.5782348488285055,5579.0,0.010364489134764393,8426.3,0.006862262782342256,6062.1,0.009538523759563608,,,0.6105567036469992,5139.8,0.011878997308202638,8640.4,0.0070663013708508774,5753.1,0.010612655848968368,,,0.6471614282569129,5348.7,0.012099415339370556,8689.1,0.007447968469196037,4975.2,0.0130077469902097,,,0.6812715406667773,5073.8,0.01342724468183171,7911.9,0.00861071981024504,5087.3,0.01339161324605935,,,0.6812715406667773,3678.3,0.018521369672587263,7263.9,0.00937886728433455,5270.4,0.012926372583993196,,,0.711804804877353,4120.2,0.017275977012702125,7633.9,0.009324261581594637,4831.5,0.014732584184566966,,,0.7122922236447008,3112.2,0.02288709670473301,6152.4,0.011577469339521175,4752.3,0.014988368235269254,,,0.7304622465305615,3878.8,0.01883217094283184,6918.7,0.010557796212157796,3554.0,0.02055324272736526,,,0.735108709807621,3889.3,0.01890079731076597,6231.0,0.011797604073304782,3399.5,0.021624024409696158,,,0.7576918219221305,3438.5,0.022035533573422438,5701.9,0.013288409511252926,1635.2,0.04633633940326141,,,0.7612205231280441,2480.6,0.0306869516700816,4491.3,0.01694877926497994,2292.9,0.03319902844118994,,,0.7809644303270737,940.3,0.08305481551920384,,0.7818278156482708,938.2,0.08333274521938508,,0.7935681192688653,647.8,0.12250202520359142,,0.8092777088996576,1677.1,0.04825458880804112,,0.8092777088996576,1218.5,0.0664158973245513
2,76.721468,30.736991,0.08778823705815997,13539.8,0.0006483717415187815,13539.8,0.0006483717415187815,13539.8,0.0006483717415187815,,,0.17177478964112564,6466.8,0.0026562564118439666,8240.1,0.0020846202065645516,5946.1,0.002888864796103759,,,0.191443755679189,6426.4,0.002979020224063068,8176.7,0.0023413327586824634,6049.8,0.003164464208390178,,,0.25015179973659063,5775.6,0.004331182902842832,8203.9,0.003049181483643031,5924.5,0.004222327618138081,,,0.29052086005645844,4950.6,0.005868396963124842,8836.9,0.0032875879556910053,5495.4,0.005286618991455735,,,0.29052086005645844,5545.3,0.005239046761337681,8466.7,0.0034313352316304867,5610.2,0.0051784403418141675,,,0.29052086005645844,4853.9,0.005985307897905982,8108.4,0.003582961620744641,4704.6,0.00617525103210599,,,0.3231103342273907,3455.9,0.009349527886437418,7130.8,0.004531193333530469,4276.5,0.007555485425637571,,,0.3675523850459969,3902.5,0.00941838270457391,7308.6,0.005029039556768695,5028.0,0.007310111078878219,,,0.41916370001640213,3835.9,0.01092738861848333,5930.0,0.007068527824897169,4529.9,0.009253266076875917,,,0.4702420409511179,3878.2,0.012125265353801193,6281.9,0.007485665816888487,3750.5,0.012538116009895156,,,0.4769758203726595,4085.8,0.011673988456915647,6008.6,0.007938218892465125,4262.3,0.011190573642696655,,,0.5227892354064032,3237.8,0.016146433856519957,5560.1,0.009402514980061567,1719.8,0.030398257669868776,,,0.5262500784387979,2677.1,0.019657468097523362,4268.8,0.012327822302258196,2682.5,0.01961789667991791,,,0.5410079711611204,1216.1,0.0444871286210937,,0.5653369510177089,426.7,0.13249049707469157,,0.6065773680749283,939.2,0.06458447275073768,,0.6065773680749283,1227.0,0.049435808319065064,,0.6227312500881768,1046.7,0.05949472151410879
2,76.724063,30.726649,0.40031283617299407,12919.7,0.0030984685106697062,12919.7,0.0030984685106697062,12919.7,0.0030984685106697062,,,0.45796775676192286,5827.3,0.00785900428606598,7620.1,0.006009996676709266,5306.5,0.008630316720284987,,,0.4876193783456189,5806.3,0.008398108577676299,7556.6,0.0064528938721861535,5410.2,0.009012964000325661,,,0.5270597036592064,5155.5,0.010223250968076936,7564.3,0.006967726077220713,5304.4,0.00993627372858771,,,0.5593669309316551,4330.5,0.012916913310972293,8216.8,0.006807600658792416,4875.3,0.011473487394245589,,,0.5721839270317559,4925.2,0.0116174759813156,7827.2,0.007310199394825172,4990.1,0.011466381976949477,,,0.5931905416932371,5519.6,0.010746984232430559,7488.3,0.007921564863763967,4084.5,0.014522965887948026,,,0.6153790665903367,4468.8,0.013770566294986051,6510.7,0.009451811120007628,3656.4,0.016830189984420103,,,0.6413498580913467,4278.4,0.014990413661446962,6688.5,0.009588844405940745,4407.9,0.014550009258180695,,,0.6707475854279938,4867.5,0.013780125021633156,3795.8,0.017670783113651767,2975.8,0.022540076128368634,,,0.6707475854279938,4909.7,0.013661681679695172,4135.3,0.016220046560781416,3130.4,0.021426897055583753,,,0.6959402960603753,5117.4,0.013599489898393236,5369.0,0.012962195866276316,2346.2,0.02966244548889163,,,0.7095409704241297,4269.4,0.01661921980662692,4940.0,0.014363177538949994,939.5,0.07552325390357953,,,0.7188013074454966,3708.7,0.019381489671461607,3629.3,0.019805508154340963,2916.2,0.02464856002487815,,,0.745563054683296,560.7,0.13297004720586694,,0.745563054683296,1322.7,0.056366753964110984,,0.7623037312411253,1052.4,0.07243479012173368,,0.7710102219709715,2256.9,0.034162356416809404,,0.7906799984526486,1841.8,0.042929742559053574
2,76.728869,30.724373,0.7346083007105351,12626.8,0.005817850133925738,12626.8,0.005817850133925738,12626.8,0.005817850133925738,,,0.7346083007105351,5558.6,0.013215707205241158,7327.2,0.010025771109162232,5037.9,0.014581637204202845,,,0.756570092644605,5513.5,0.013722138254187086,7263.8,0.010415623952264723,5141.5,0.014714968251378099,,,0.7751237015592314,4862.6,0.01594051950724368,7295.7,0.010624391101048992,5011.5,0.015466900160814753,,,0.7833721264213537,4666.1,0.016788584179965146,7923.9,0.009886194000698567,4622.5,0.01694693621246844,,,0.792269716509167,5268.9,0.01503671955264224,7558.5,0.010481837884622173,3844.6,0.020607337993787833,,,0.792269716509167,5767.3,0.013737272493353336,7195.5,0.011010627704942908,3791.6,0.020895392881874853,,,0.8024900823824577,4857.1,0.016522000419642534,6133.2,0.013084361872798175,3363.6,0.023858071185112906,,,0.8045022890136757,5299.0,0.015182153029131453,6503.2,0.012370868019031795,4115.0,0.01955048089948179,,,0.8045022890136757,5211.2,0.015437946903087115,3221.3,0.024974460280435713,3621.7,0.022213388436747264,,,0.8086226593635687,5057.7,0.015987952218667945,5788.0,0.01397067483351017,1102.4,0.07335111206128161,,,0.8233938521465393,5461.1,0.015077435903875397,5100.4,0.016143711319632565,1771.7,0.04647478987111471,,,0.8276120045177715,4613.1,0.01794047396583147,4571.3,0.018104521788501554,1559.7,0.05306225585162349,,,0.8414495441862377,4052.4,0.020764227227969542,3360.6,0.025038670004946667,3284.3,0.025620361848376752,,,0.856774884906666,1179.2,0.07265730028041605,,0.8686283424000817,1929.6,0.045015979601994285,,0.8686283424000817,1639.2,0.05299099209370923,,0.8728785388781825,2668.5,0.03271045676890322,,0.8838744814020388,2209.9,0.03999613020507891
2,76.724239,30.739403,0.19864457689740578,13288.7,0.0014948382979328738,13288.7,0.0014948382979328738,13288.7,0.0014948382979328738,,,0.2324771805186138,7221.6,0.0032191921529662925,7989.1,0.002909929535474757,6700.9,0.0034693426333569193,,,0.24262910623277048,6175.4,0.003928961787621377,7925.7,0.003061295610895826,6804.5,0.0035657154270375556,,,0.24262910623277048,5524.5,0.004391874490592279,8958.7,0.0027083070784016706,5673.4,0.004276608492839752,,,0.30448019737710125,4699.5,0.006478991326249628,8585.8,0.0035463229678900196,5244.3,0.00580592638440023,,,0.30448019737710125,5294.2,0.005751203153962851,9221.5,0.003301851080378477,5507.6,0.005528364394238892,,,0.3196044794266515,4602.8,0.006943696867703387,7857.4,0.0040675602543672395,4453.5,0.00717647871172452,,,0.3196044794266515,4210.6,0.007590473553095793,6879.7,0.0046456165156424185,4025.5,0.007939497687905887,,,0.38188039697264203,3651.5,0.01045817874771031,7057.5,0.005410986850480227,4777.0,0.007994146890781704,,,0.4212732925734183,3584.8,0.011751653999481651,6684.7,0.006302052337029609,5284.6,0.007971715788771492,,,0.4212732925734183,3627.1,0.011614603748819119,7451.0,0.005653916153179684,3499.4,0.012038443520986977,,,0.43058270737384874,3834.8,0.01122829632246398,6763.4,0.00636636465939984,5017.1,0.00858230267233758,,,0.45178251738334496,2986.7,0.015126477965090064,6234.2,0.007246840290387619,2196.0,0.02057297437993374,,,0.47187749430286346,2426.1,0.019450043044510264,5023.6,0.009393213916371993,3040.0,0.015522285996804719,,,0.5145920132265035,1692.3,0.030407848089966525,,0.5359792402826632,1433.9,0.037379122692144724,,0.541411272067434,1415.3,0.038254170286683674,,0.5670975596817296,2444.6,0.023197969388927823,,0.5994116544980309,1551.4,0.038636821870441596
2,76.727572,30.739281,0.7802126485356335,13334.5,0.005851082894264004,13334.5,0.005851082894264004,13334.5,0.005851082894264004,,,0.7990857471132108,5729.8,0.013946136813033801,8034.8,0.009945309741539439,6145.8,0.013002143693468885,,,0.7990857471132108,4616.8,0.017308216667674813,7971.4,0.010024409101452829,6249.5,0.012786394865400605,,,0.8126224700666999,5307.5,0.01531083316187847,8403.6,0.009669932767703124,6039.4,0.01345535102935225,,,0.8179049865781669,4186.9,0.019534858405459096,8631.6,0.009475705391563173,5730.4,0.014273087159328615,,,0.8355082233323299,4801.9,0.017399534003880338,8666.4,0.009640776139254245,4952.5,0.016870433585710852,,,0.8485691080947351,4197.0,0.020218468146169528,7903.1,0.010737167796114626,5064.6,0.01675490874096148,,,0.8501775135591743,2801.5,0.030347225185049946,7241.2,0.011740837341313239,5247.6,0.016201263693101115,,,0.8630412738478219,3243.4,0.026609153167904725,7611.1,0.011339244969161118,5484.9,0.015734858864296923,,,0.8681816271893013,2235.4,0.038837864685930985,6129.7,0.014163525575302238,4729.6,0.01835634360599842,,,0.8681816271893013,3002.1,0.02891914417205627,6896.0,0.012589640765506109,3545.2,0.024488932279964494,,,0.8756538628183862,3392.6,0.02581070160992708,6208.3,0.014104567479316175,4462.0,0.019624694370649624,,,0.8846401539074366,2561.8,0.034531975716583514,5679.2,0.015576844518725113,2241.7,0.03946291448041382,,,0.886438054834423,1917.6,0.046226431728954055,4468.5,0.01983748584165655,4366.7,0.020299953164504614,,,0.887383544994239,2354.9,0.03768243003924748,,0.8957468482460037,2352.8,0.03807152534197567,,0.9053867056805455,2062.5,0.04389753724511735,,0.9108452884047005,3091.7,0.02946098549033543,,0.9145716745834901,2878.0,0.03177802899873141
2,76.735225,30.752778,0.8965746584690102,15723.3,0.005702204107719182,15723.3,0.005702204107719182,15723.3,0.005702204107719182,,,0.9063486021324352,4971.6,0.0182305214042247,10423.7,0.00869507566538211,7985.2,0.011350355684672082,,,0.9070091782384412,5030.8,0.018029124159943573,10360.2,0.008754745837324001,8088.8,0.011213148776560692,,,0.91590965369989,4657.4,0.019665685869796237,10243.0,0.008941810540856096,5308.7,0.01725299326953661,,,0.922374074949239,3542.1,0.026040317183287854,11020.4,0.008369696879870414,7678.9,0.012011799540939967,,,0.922374074949239,4136.8,0.022296801270287152,10505.8,0.008779665279647804,6791.9,0.013580501405339286,,,0.9230917228772888,3438.8,0.02684342569725744,10291.9,0.008969108938847918,6888.1,0.01340125321753878,,,0.9280873462147274,2043.3,0.04542100260435215,9314.3,0.009964112667776725,6460.1,0.014366454795045391,,,0.9325335978804054,2485.2,0.03752348293418661,9492.1,0.009824312827302761,7211.5,0.012931201523683081,,,0.9325335978804054,2421.3,0.038513756985107395,7969.0,0.011702015282725629,6568.9,0.014196191110846648,,,0.9355484972954317,2243.8,0.041694825621509564,8735.3,0.010709975585216669,5934.0,0.015765899853310273,,,0.9355484972954317,1080.7,0.08656875148472579,8047.7,0.011625041903841242,6301.4,0.014846676886016309,,,0.9362809630924742,668.6,0.14003603994802186,5906.0,0.01585304712313705,4837.2,0.019355845594403256,,,0.937245735859009,780.4,0.1200981209455419,5017.8,0.018678419543604944,4510.2,0.020780580370249855,,,0.937245735859009,4126.9,0.02271064808594851,,0.9392199074032846,3411.3,0.02753260948621595,,0.9417992445071842,3849.9,0.024462953440535708,,0.9423033780594192,4363.1,0.021597107058270937,,0.9442189099588283,3021.6,0.031248971073564613
2,76.732014,30.741725,0.42967336335514794,13978.4,0.0030738379453667656,13978.4,0.0030738379453667656,13978.4,0.0030738379453667656,,,0.46568241713391817,5110.7,0.009111910641084747,8678.7,0.005365808440594998,6221.5,0.00748505050444295,,,0.4679853317373715,5620.9,0.008325807819697406,8615.3,0.005432025950777936,6325.2,0.007398743624507866,,,0.5142519705943762,5247.6,0.009799755518606148,8479.3,0.0060647927375417346,5098.6,0.010086140716949283,,,0.5435529262170329,4144.1,0.013116308154171781,9275.5,0.005860093000021917,5934.0,0.009159975163751817,,,0.5453495877032641,4738.7,0.011508421881597572,8742.1,0.006238198919061371,5028.3,0.010845605626220872,,,0.565568472438491,4063.1,0.013919629653183309,8547.0,0.006617157744688089,5143.2,0.010996431646416453,,,0.565568472438491,2182.4,0.02591497765938833,7569.3,0.007471872860614469,4715.1,0.011994835155956203,,,0.5757942634413824,3111.8,0.018503575533176372,7747.2,0.007432288613194217,5466.6,0.010532950342834347,,,0.6176284489082572,3045.1,0.020282698397696537,6205.4,0.009953080364009688,4805.3,0.012853067423641753,,,0.6424072846951819,2383.0,0.026957922144153667,6971.7,0.009214499830675186,4189.0,0.015335576144549579,,,0.6736882818517006,3295.1,0.020445154376246565,6284.0,0.010720691945443995,4537.7,0.014846470279033444,,,0.7063018550575257,2447.0,0.028863990807418298,5754.9,0.012273051748206325,2885.6,0.024476776235705773,,,0.7162057233459015,1136.7,0.06300745344821866,4544.3,0.015760529087998184,4442.4,0.016122044915944118,,,0.7287814237890582,2381.9,0.030596642335490917,,0.7422932430296075,2428.5,0.030565914886951102,,0.7549551602505012,2105.0,0.035864853218551124,,0.7550988723810297,3134.2,0.02409223637231286,,0.7623522747670235,2953.8,0.025809204237491484
2,76.730074,30.734448,0.04922091454076161,12705.1,0.0003874106818581641,12705.1,0.0003874106818581641,12705.1,0.0003874106818581641,,,0.08902957308669364,6760.0,0.0013170055190339298,7405.5,0.0012022088054377644,5029.8,0.0017700420113462491,,,0.16409332235756022,5591.7,0.002934587376961572,7342.0,0.002234994856409156,5133.4,0.0031965816487622284,,,0.18573530357453608,4940.9,0.003759139095600722,7287.6,0.0025486484380939684,5089.8,0.003649167031603129,,,0.25328392056383187,3648.6,0.006941948159947154,8002.2,0.003165178582937591,4660.7,0.00543446092998545,,,0.29921216809359424,4243.3,0.0070514026369475225,7523.4,0.003977087062944869,4775.5,0.006265567335223416,,,0.3426774716012203,4454.0,0.007693701652474636,7273.7,0.004711185113507847,3869.9,0.008854943838373609,,,0.3426774716012203,3076.8,0.011137463325572682,6296.1,0.005442694232957231,3441.8,0.009956344691766525,,,0.38170169914420804,3502.6,0.010897667422606293,6473.9,0.005896008575112499,4193.3,0.009102656598483486,,,0.43912698366704483,3436.0,0.012780179967026916,4968.2,0.0088387541497332,3844.6,0.011421916029419051,,,0.4768972791283125,3478.3,0.013710642530210516,5447.2,0.008754906725075498,2915.8,0.01635562381261789,,,0.4987621403692855,3685.9,0.013531624308019357,5777.5,0.008632836700463617,3340.9,0.014928975436836946,,,0.5324483070351506,2837.9,0.01876205317435958,4725.4,0.011267793351571308,2319.1,0.02295926467315556,,,0.5348433076856276,2277.2,0.023486883351731408,3379.0,0.01582844947279158,3492.1,0.015315807327557274,,,0.5592293668591806,1940.4,0.02882031369094932,,0.5981247831211618,1744.2,0.03429221322790745,,0.6032234876505506,1725.6,0.034957318477662876,,0.6381897379112328,2754.8,0.02316646355130074,,0.6381897379112328,2515.5,0.02537029369553698
2,76.713972,30.720256,0.5969452234131726,14292.5,0.004176632663377104,14292.5,0.004176632663377104,14292.5,0.004176632663377104,,,0.6045708501964788,7044.7,0.008581924712145,8992.8,0.0067228321567974255,6524.0,0.00926687385341016,,,0.615808325640559,7179.1,0.008577792838107268,8929.4,0.0068964132600237305,6627.7,0.009291433312318888,,,0.615808325640559,6528.2,0.009433049318963252,8781.8,0.007012324644612255,6677.2,0.009222553250472637,,,0.6503567203989035,5703.3,0.01140316519206255,6973.8,0.009325715110827719,6248.1,0.010408871823416772,,,0.6566210663966185,6297.9,0.010426031953454621,9044.6,0.00725981321889988,5330.7,0.012317726872579935,,,0.6676434287188193,6892.3,0.009686801629627546,6276.3,0.010637532124321962,5457.3,0.012233951381064251,,,0.6804410862331145,5686.3,0.01196632408126751,6006.5,0.011328412323867717,5029.2,0.013529807647997981,,,0.6804410862331145,5651.2,0.01204064776035381,5476.5,0.012424743654398145,3577.6,0.01901948474488804,,,0.6804410862331145,6240.2,0.010904155094918664,3698.6,0.01839726075361257,3812.9,0.017845762706420687,,,0.703407761909047,5886.8,0.011948898585123444,7274.1,0.009670031507802298,3366.9,0.020891851908552285,,,0.7078383052908556,6490.2,0.010906263370787582,6586.5,0.010746804908386177,2249.0,0.031473468443346184,,,0.7168102328433092,5642.2,0.012704445656717401,6057.4,0.0118336288315665,1274.1,0.05626012344739889,,,0.7442829503612702,5081.5,0.01464691430406908,4846.7,0.01535648895869912,2912.0,0.02555916725141725,,,0.7479342225352201,1950.4,0.038347734953610546,,0.7637766549566413,2453.8,0.03112627984989165,,0.7640139881038772,2098.7,0.036404154386233255,,0.7739312908570267,2591.5,0.029864221140537398,,0.7779628083384428,3209.5,0.024239377109781673
