Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_14_0_0,fill_per_m_1_14_0_0,distance_from_13_1_0,fill_per_m_1_13_1_0,distance_from_296_2_0,fill_per_m_1_296_2_0,fill_per_m_1_13_1_1,fill_per_m_1_296_2_2,fill_ratio_2,distance_from_229_0_0,fill_per_m_2_229_0_0,distance_from_105_1_0,fill_per_m_2_105_1_0,distance_from_41_2_0,fill_per_m_2_41_2_0,fill_per_m_2_105_1_1,fill_per_m_2_41_2_2,fill_ratio_3,distance_from_281_0_0,fill_per_m_3_281_0_0,distance_from_117_1_0,fill_per_m_3_117_1_0,distance_from_20_2_0,fill_per_m_3_20_2_0,fill_per_m_3_117_1_1,fill_per_m_3_20_2_2,fill_ratio_4,distance_from_24_0_0,fill_per_m_4_24_0_0,distance_from_140_1_0,fill_per_m_4_140_1_0,distance_from_265_2_0,fill_per_m_4_265_2_0,fill_per_m_4_140_1_1,fill_per_m_4_265_2_2,fill_ratio_5,distance_from_208_0_0,fill_per_m_5_208_0_0,distance_from_96_1_0,fill_per_m_5_96_1_0,distance_from_165_2_0,fill_per_m_5_165_2_0,fill_per_m_5_96_1_1,fill_per_m_5_165_2_2,fill_ratio_6,distance_from_186_0_0,fill_per_m_6_186_0_0,distance_from_33_1_0,fill_per_m_6_33_1_0,distance_from_84_2_0,fill_per_m_6_84_2_0,fill_per_m_6_33_1_1,fill_per_m_6_84_2_2,fill_ratio_7,distance_from_68_0_0,fill_per_m_7_68_0_0,distance_from_108_1_0,fill_per_m_7_108_1_0,distance_from_254_2_0,fill_per_m_7_254_2_0,fill_per_m_7_108_1_1,fill_per_m_7_254_2_2,fill_ratio_8,distance_from_66_0_0,fill_per_m_8_66_0_0,distance_from_245_1_0,fill_per_m_8_245_1_0,distance_from_28_2_0,fill_per_m_8_28_2_0,fill_per_m_8_245_1_1,fill_per_m_8_28_2_2,fill_ratio_9,distance_from_7_0_0,fill_per_m_9_7_0_0,distance_from_189_1_0,fill_per_m_9_189_1_0,distance_from_264_2_0,fill_per_m_9_264_2_0,fill_per_m_9_189_1_1,fill_per_m_9_264_2_2,fill_ratio_10,distance_from_31_0_0,fill_per_m_10_31_0_0,distance_from_195_1_0,fill_per_m_10_195_1_0,distance_from_201_2_0,fill_per_m_10_201_2_0,fill_per_m_10_195_1_1,fill_per_m_10_201_2_2,fill_ratio_11,distance_from_39_0_0,fill_per_m_11_39_0_0,distance_from_110_1_0,fill_per_m_11_110_1_0,distance_from_170_2_0,fill_per_m_11_170_2_0,fill_per_m_11_110_1_1,fill_per_m_11_170_2_2,fill_ratio_12,distance_from_163_0_0,fill_per_m_12_163_0_0,distance_from_193_1_0,fill_per_m_12_193_1_0,distance_from_4_2_0,fill_per_m_12_4_2_0,fill_per_m_12_193_1_1,fill_per_m_12_4_2_2,fill_ratio_13,distance_from_57_0_0,fill_per_m_13_57_0_0,distance_from_200_1_0,fill_per_m_13_200_1_0,distance_from_130_2_0,fill_per_m_13_130_2_0,fill_per_m_13_200_1_1,fill_per_m_13_130_2_2,fill_ratio_14,distance_from_297_1_0,fill_per_m_14_297_1_0,distance_from_67_2_0,fill_per_m_14_67_2_0,fill_per_m_14_297_1_1,fill_per_m_14_67_2_2,fill_ratio_15,distance_from_258_1_0,fill_per_m_15_258_1_0,distance_from_192_2_0,fill_per_m_15_192_2_0,fill_per_m_15_258_1_1,fill_per_m_15_192_2_2,fill_ratio_16,distance_from_236_1_0,fill_per_m_16_236_1_0,distance_from_278_2_0,fill_per_m_16_278_2_0,fill_per_m_16_236_1_1,fill_per_m_16_278_2_2,fill_ratio_17,distance_from_293_1_0,fill_per_m_17_293_1_0,distance_from_127_2_0,fill_per_m_17_127_2_0,fill_per_m_17_293_1_1,fill_per_m_17_127_2_2,fill_ratio_18,distance_from_256_1_0,fill_per_m_18_256_1_0
2,76.751162,30.728939,0.7286562842366027,9310.1,0.007826514046429176,9310.1,0.007826514046429176,9310.1,0.007826514046429176,,,0.745633769732497,9101.0,0.008192877373173243,8504.2,0.008767829657492732,3781.9,0.019715851020188184,,,0.7681802928579916,7158.4,0.010731173067417183,7042.8,0.0109073137510364,2385.3,0.03220476639659546,,,0.7681802928579916,6895.6,0.011140151587359932,7394.8,0.01038811452450359,2095.1,0.03666556693513396,,,0.7903685645154707,8440.8,0.009363668900050597,4488.4,0.017609138323577907,1637.1,0.04827857580572174,,,0.8023365710361012,5469.3,0.014669821933997062,5406.2,0.014841044930563081,2127.6,0.03771087474318957,,,0.8214448160797516,3444.5,0.023848013240811487,8372.5,0.009811225035291152,1783.8,0.0460502755959049,,,0.8275526431616291,4540.6,0.018225623115042704,7572.7,0.010928105473102448,2722.6,0.030395674838816906,,,0.8366700611471395,5292.1,0.015809793109486582,4621.7,0.018103080276676103,1758.2,0.047586739912816485,,,0.8461829696965322,4014.5,0.021078165891058216,4416.1,0.01916131812451104,3244.8,0.02607812406609135,,,0.8461829696965322,2939.6,0.02878565007812397,3221.6,0.026265922823954936,4405.7,0.019206549917074066,,,0.8474783092257496,3701.9,0.022893063270908173,5749.0,0.014741316911214988,5767.4,0.014694287013658661,,,0.8488619994682728,4236.5,0.02003687004527966,3988.0,0.021285406205322786,4388.4,0.01934331417984397,,,0.8631258958659314,2911.5,0.02964540257138696,2202.3,0.03919202178930806,4009.7,0.021525946975233343,,,0.8679262046701779,2022.3,0.042917777019738805,4310.9,0.020133294779980465,,,0.8786083258997698,1656.8,0.0530304397573497,5025.8,0.017481959606426237,,,0.8893951813254224,2533.3,0.0351081664755624,6292.7,0.014133761045742247,,,0.8948295326585167,2237.7,0.039988806929370194,5582.8,0.01602832866408463,,,0.8985756410083207,1174.6,0.07650056538466889
2,76.761424,30.727588,0.9459708898455993,7822.6,0.012092793826165205,7822.6,0.012092793826165205,7822.6,0.012092793826165205,,,0.9490807699216137,7896.2,0.012019462145356168,7299.5,0.013001996985021079,3937.5,0.02410363860118384,,,0.9490807699216137,7842.1,0.012102380356302695,6234.0,0.015224266440834355,3803.6,0.024952170836092483,,,0.9518536037082639,7579.3,0.012558595169847662,6416.9,0.014833542734159235,2425.9,0.03923713276343888,,,0.9528937172423279,7236.1,0.01316860901925523,3322.9,0.028676569178799474,2320.8,0.041058846830503606,,,0.9565048657755769,6153.0,0.015545341553316706,4430.3,0.021590069877335097,2811.3,0.03402357862112108,,,0.9568039118144068,4128.2,0.02317726640701533,7167.8,0.013348641309947359,2142.0,0.04466871670468753,,,0.9568039118144068,4423.4,0.02163050847344592,6786.9,0.014097804768221233,3406.3,0.028089243807486328,,,0.9591599471980301,4660.6,0.020580181676136764,5305.4,0.018078937444830363,3176.6,0.0301945459673245,,,0.9615317577646795,3399.3,0.028286169439728163,5099.9,0.01885393356271063,3928.5,0.02447579884853454,,,0.9615317577646795,4624.0,0.020794371923976634,3905.3,0.024621200874828553,5089.4,0.018892831331093637,,,0.9619529171825233,5120.3,0.0187870421104725,5180.4,0.018569085730494237,6451.2,0.014911224534699332,,,0.9619529171825233,4920.3,0.019550696444983504,4671.8,0.020590627106950712,6072.9,0.015840091507887885,,,0.9623853072071406,4369.9,0.02202305103565621,2886.0,0.03334668424141166,5624.0,0.017112114281777037,,,0.9637647204003572,2706.1,0.0356145271941302,5513.0,0.017481674594601076,,,0.9638708877516539,2340.5,0.041182263950081344,5709.5,0.016881879109408072,,,0.9638708877516539,2812.9,0.03426609149815684,6976.4,0.013816164321880252,,,0.9660523373819268,2921.4,0.03306812957424272,7190.1,0.013435867893101998,,,0.9684517703840663,1858.3,0.052114931409571456
2,76.755728,30.720117,0.24067051475715306,11070.0,0.0021740787240935237,11070.0,0.0021740787240935237,11070.0,0.0021740787240935237,,,0.2643760019538668,6367.1,0.004152220036655098,5770.3,0.0045816682313548135,4408.4,0.005997096496549016,,,0.2643760019538668,5809.3,0.004550909781795858,4308.9,0.006135579891709411,4606.4,0.005739319250474705,,,0.2832861504915396,5546.4,0.005107567980880204,4661.0,0.006077797693446462,2112.7,0.013408725824373533,,,0.30498646326346157,5706.9,0.005344170447413861,3009.8,0.010133113936589194,2263.6,0.013473514015880084,,,0.30498646326346157,4120.1,0.0074024043897832955,4015.4,0.007595419217598784,3256.1,0.009366618447328447,,,0.30498646326346157,2095.4,0.014555047402093232,5638.6,0.005408904041135416,2959.0,0.01030707885310786,,,0.30498646326346157,1806.7,0.016880858098381666,4838.8,0.006302935919307712,3349.1,0.00910652005802937,,,0.34325186765704896,2558.2,0.01341771040798409,3272.5,0.01048897991312602,4831.4,0.0071046046209597424,,,0.34325186765704896,3105.9,0.011051607188159599,3067.0,0.011191779186731301,3871.3,0.008866578866454394,,,0.3772724289491142,4330.5,0.008711983118557077,3755.9,0.010044794295617939,4940.0,0.007637093703423364,,,0.3772724289491142,5679.2,0.0066430558696491445,4290.1,0.008794024124125641,5963.1,0.006326783534556089,,,0.3877877624608055,5754.9,0.006738392716829232,3589.0,0.01080489725441085,5779.4,0.006709827360293551,,,0.3982451865948143,6745.2,0.005904127180733177,2817.1,0.014136707486238128,5400.6,0.007374091519364779,,,0.431306308043259,2556.7,0.016869648689453554,5701.9,0.0075642559154537785,,,0.45159562077705223,1091.9,0.04135869775410314,5560.1,0.00812207731474348,,,0.4550835514004976,507.9,0.08960101425487253,6827.0,0.006665937474739967,,,0.4591928849128127,1164.0,0.039449560559519994,6973.8,0.006584543361048678,,,0.46470085747692985,910.1,0.05106041725930446
2,76.755438,30.729956,0.3931471294940152,8705.4,0.004516129408114678,8705.4,0.004516129408114678,8705.4,0.004516129408114678,,,0.4343564813143082,8101.8,0.005361234309836187,7505.1,0.005787484261559582,3297.1,0.013173894674541513,,,0.48994450650151944,7596.5,0.006449608457862429,6043.7,0.008106697991321864,2930.4,0.016719373003737357,,,0.5219591023908068,7333.7,0.0071172682600979965,6395.7,0.008161094210028719,2042.0,0.02556117053823735,,,0.5536680670873152,7441.7,0.007440075078104669,3865.2,0.014324435141449736,2075.2,0.026680226825718738,,,0.5536680670873152,5907.3,0.00937260791033662,4783.0,0.011575748841465925,2565.7,0.021579610519051922,,,0.5977711999651545,3882.6,0.015396157213340405,7373.4,0.00810713103812562,1787.0,0.03345110240431754,,,0.5977711999651545,3541.5,0.016879039953837483,6573.5,0.009093651783146795,2794.1,0.021394051750658692,,,0.6114856725167477,4292.9,0.01424411639024314,5059.7,0.012085413611809944,2303.4,0.026547090063243364,,,0.6251800662071265,3015.4,0.02073290661959032,4854.2,0.012879157558549844,3316.3,0.018851734348735834,,,0.6619642698437012,3484.7,0.018996305846807508,3659.7,0.018087938078085668,4216.0,0.015701239797051736,,,0.6714726931259357,4247.0,0.015810517850857915,4749.9,0.014136564835595186,5577.8,0.012038307094659823,,,0.6714726931259357,4308.1,0.01558628381713367,4426.1,0.015170752877836821,4933.6,0.013610197282429374,,,0.6978148634727334,3456.7,0.02018731343399003,2640.3,0.026429377853756514,4554.9,0.015320091845545091,,,0.7174787871648864,2460.4,0.029161062720081548,4856.1,0.014774794323940741,,,0.7222318274021826,2094.9,0.034475718526048145,4836.1,0.014934178933483231,,,0.7238494889864835,2955.8,0.02448912270743905,6103.0,0.011860552006988096,,,0.7252946635151211,2675.8,0.02710571281542421,6128.0,0.011835748425507851,,,0.7266447960258673,1612.7,0.04505765461808565
2,76.75884,30.716926,0.5547318032823543,7930.6,0.006994827671076013,7930.6,0.006994827671076013,7930.6,0.006994827671076013,,,0.5943899917178361,5869.0,0.010127619555594413,5272.2,0.01127404104013194,4643.9,0.012799371039812145,,,0.6115145312659368,5293.9,0.011551304922003378,3685.7,0.016591543838780608,4948.2,0.012358322850045204,,,0.6115145312659368,5031.1,0.012154688463078387,3868.7,0.015806718827149607,2472.9,0.024728639705040106,,,0.6174639725558527,5208.8,0.011854246132618889,2363.4,0.026126088370815464,2499.2,0.024706464971024838,,,0.6383660117095016,3604.8,0.01770877751080508,2626.2,0.024307593165391123,2978.0,0.021436064866000727,,,0.6448451879424036,1445.3,0.044616701580461056,5140.5,0.01254440595160789,3300.9,0.019535435424956938,,,0.657398958451776,2167.0,0.030336823186514813,4238.6,0.01550981358117718,3584.6,0.018339534632923506,,,0.6795769673992031,2918.4,0.02328594323599243,3636.9,0.018685610475932885,4321.2,0.015726579825030156,,,0.7082809667350051,3466.1,0.020434521991142932,3431.3,0.020641767456503514,4106.8,0.017246541510056616,,,0.7289516974308923,4690.7,0.015540360658982504,4120.3,0.01769171413321584,5304.4,0.013742396829629973,,,0.7473897768702338,6039.4,0.012375232256022682,4300.3,0.017379945047327715,6666.1,0.011211799656024268,,,0.7713948015414396,5098.6,0.015129541472981593,3953.4,0.019512187017287387,6139.6,0.01256425176789106,,,0.7825364430102935,5474.5,0.014294208475847902,3310.9,0.023635157902995963,5838.9,0.01340212099899456,,,0.7926226164343396,2921.1,0.02713438829325732,6062.1,0.013075050171299377,,,0.8073409584008951,1657.8,0.048699539051809335,5924.5,0.013627157707838553,,,0.8073409584008951,1552.5,0.05200263822227988,7191.4,0.011226478271280907,,,0.8236270046960136,1729.9,0.047611249476617934,7405.1,0.011122429200092012,,,0.8236270046960136,2025.0,0.040672938503506846
2,76.764742,30.727141,0.7824258122127878,7724.2,0.010129538492177674,7724.2,0.010129538492177674,7724.2,0.010129538492177674,,,0.7946946666425466,7686.7,0.01033856748204752,7089.9,0.011208827580678806,3547.5,0.022401540990628518,,,0.7968586131348182,7132.0,0.011173003549282365,5628.5,0.014157566192321546,4247.7,0.018759766771071832,,,0.8048261797859473,6869.2,0.011716447035840379,5980.5,0.013457506559417227,2870.0,0.028042724034353567,,,0.8088463708349407,7026.5,0.011511369399202174,3441.0,0.023506142715342654,2764.9,0.029254091317405355,,,0.8142353425150067,5442.9,0.014959586663635319,4358.8,0.018680263891782296,3262.0,0.024961230610515226,,,0.8178145889948862,3418.1,0.023925999502498064,6958.2,0.011753249245421033,2615.0,0.031273980458695456,,,0.8178145889948862,3126.3,0.026159184627031516,6158.4,0.013279660122676121,3850.4,0.021239730651228087,,,0.8178145889948862,3877.8,0.021089653643686788,4595.3,0.01779676166942063,3620.7,0.022587195542157216,,,0.8294826039788428,3843.4,0.02158200041574759,4389.7,0.01889611144221343,4372.6,0.01897000878147653,,,0.830989926044246,5068.1,0.016396478483933743,4349.4,0.019105851980600684,5533.5,0.015017437897248506,,,0.8367110333168691,5564.3,0.015037130156836782,5609.7,0.014915432791715583,6700.7,0.012486919774305208,,,0.8367110333168691,4945.3,0.016919318005315532,5115.9,0.016355109234286618,6517.0,0.012838898777303499,,,0.8394562163606157,4774.0,0.01758391739339371,3330.1,0.025208138385051974,6138.2,0.013675934579528457,,,0.851017156173025,3150.2,0.027014702437084155,6439.5,0.01321557816869361,,,0.8656175562603283,2784.6,0.031085885091586885,6153.6,0.014066847963148861,,,0.8753125663369594,2510.9,0.034860510826275816,7420.5,0.01179587044453823,,,0.8858550236507661,2688.3,0.03295223835326288,7711.3,0.011487752047654301,,,0.8889633671078427,2302.4,0.03861029217806822
2,76.745047,30.737274,0.8306227604317913,10909.7,0.007613616877015786,10909.7,0.007613616877015786,10909.7,0.007613616877015786,,,0.8375226052304339,9300.0,0.009005619411079935,8703.3,0.009623046490761365,2020.0,0.04146151511041752,,,0.8375226052304339,8826.6,0.009488620819233157,7241.9,0.011564956782480205,1855.8,0.04513000351494956,,,0.8514898988443014,8563.8,0.009942897999069356,7593.9,0.01121281421725729,2294.2,0.03711489403035051,,,0.8514898988443014,8639.9,0.00985532122876771,4687.4,0.018165505372793052,2751.8,0.030943015438778303,,,0.8618984624037261,7137.5,0.012075635200052205,5605.3,0.015376491220875352,2551.7,0.03377742142115947,,,0.8676595652394047,4417.5,0.019641416304231007,8571.6,0.010122492477943496,1982.8,0.04375930831346605,,,0.870629059349363,4739.7,0.018368864260382787,7771.7,0.011202556189113875,1629.8,0.0534193802521391,,,0.876631682339607,5491.2,0.01596430074190718,6289.9,0.01393713226505361,1228.7,0.07134627511513038,,,0.8808557533732203,4213.6,0.02090506344629818,6084.3,0.014477520065960262,1957.7,0.044994419644134455,,,0.889936089319271,3138.6,0.02835455583123912,4889.8,0.01819984640106489,3135.9,0.028378969014294812,,,0.8978463745009045,3172.4,0.028301802247538286,5948.1,0.015094675182006094,4322.3,0.020772421500148176,,,0.8978463745009045,2553.3,0.03516415519135646,5656.2,0.01587366738271109,4138.6,0.021694446781542177,,,0.8996700188706576,2382.0,0.03776952220279839,3870.4,0.023244884737253453,3759.9,0.023928030502690434,,,0.8996700188706576,3690.5,0.024377998072636707,4061.1,0.022153357929394935,,,0.9033555455672388,2934.7,0.030781870227527135,3756.0,0.02405099961574118,,,0.9105327105737309,3811.2,0.023890971625045415,5022.9,0.018127629667597022,,,0.9115800541455074,3515.6,0.025929572594877326,5333.0,0.017093194339874503,,,0.9166813202242725,2452.5,0.03737742386235565
2,76.757658,30.722922,0.9782206685265583,8161.8,0.011985354560593967,8161.8,0.011985354560593967,8161.8,0.011985354560593967,,,0.9792480863556124,7620.5,0.012850181567556098,7023.8,0.013941856065884741,4744.6,0.02063921271246496,,,0.981072759697477,6852.2,0.014317631705108974,5562.4,0.01763758017577803,3750.5,0.026158452464937396,,,0.981786418733385,6589.4,0.014899481268907413,5914.4,0.016599932685198587,2358.1,0.04163463885048917,,,0.9831499032884501,6960.4,0.014124905225108474,3374.9,0.029131230652417853,3177.8,0.030938067319795145,,,0.9842127575467194,5163.1,0.01906243841000018,4292.7,0.022927592367198255,2750.2,0.03578695213245289,,,0.9842127575467194,3116.0,0.03158577527428496,6892.1,0.014280302919962266,2103.1,0.04679819112484996,,,0.9854662874104951,3060.2,0.032202675884272114,6092.2,0.01617586893750197,4263.2,0.023115647574838038,,,0.9860259197217044,3811.7,0.025868403067442466,4315.5,0.02284847456196743,3123.4,0.0315689927553853,,,0.986514473689243,3331.6,0.029610831843235777,4738.1,0.020820887564408582,4785.4,0.02061508909786524,,,0.9869182615320012,4556.2,0.021660995161143087,4798.9,0.020565510044635256,5983.0,0.016495374586862798,,,0.9882107555574483,5067.1,0.019502491672898664,5543.5,0.01782647705524395,6188.8,0.015967728082301062,,,0.988703527213162,4448.0,0.02222804692475634,4711.4,0.02098534463669317,6005.1,0.016464397382444287,,,0.988703527213162,4276.8,0.023117834063158482,3989.6,0.024782021436062812,5626.3,0.017572890304696904,,,0.9895024457696742,3599.7,0.027488469754970532,5927.6,0.0166931379608893,,,0.9900373054724245,2336.4,0.04237447806336349,5705.2,0.017353244504529634,,,0.990974486370962,2231.1,0.04441640833539339,7870.0,0.012591797793786047,,,0.990974486370962,2408.5,0.04114488214120664,7199.5,0.013764490400318938,,,0.9913537832218331,2703.6,0.03666791623101913
2,76.754223,30.73939,0.566018424887821,9381.6,0.006033282434636107,9381.6,0.006033282434636107,9381.6,0.006033282434636107,,,0.5746392335247638,9289.4,0.00618596716176248,8799.3,0.006530510762501151,2028.3,0.028331076937571552,,,0.5942440405654352,9118.5,0.006516905637609642,7510.3,0.007912387528666433,1844.5,0.032217079998126064,,,0.5942440405654352,8855.7,0.006710300039132256,7693.2,0.007724276511275351,3305.4,0.017977976661385467,,,0.5942440405654352,8615.7,0.006897222983221736,4720.4,0.012588849262042099,3043.7,0.01952373888903096,,,0.6024319908491577,7429.4,0.00810875697699892,7334.7,0.008213451004801255,2868.7,0.02100017397598765,,,0.6024319908491577,5404.6,0.011146652681959027,8866.6,0.006794396847147245,3028.1,0.019894719158850688,,,0.6317118082317882,5699.7,0.01108324663108213,8063.2,0.007834505013292343,2270.8,0.027818909997876878,,,0.637727959723108,5937.0,0.010741585981524474,6581.8,0.009689263723040931,1869.7,0.034108571413761994,,,0.6395032609947868,4605.3,0.013886245434494751,6376.2,0.010029535789259855,2556.9,0.025010882748437043,,,0.6609904382422502,4667.3,0.014162158812209419,5181.7,0.012756246757671232,3735.1,0.01769672668047041,,,0.683820010959979,4149.9,0.016477987685485893,6456.8,0.010590695250897954,5096.9,0.013416390569953876,,,0.706384521009249,3548.7,0.01990544483921574,5948.1,0.011875801029055479,4931.3,0.014324509176266886,,,0.7222298264734295,2998.3,0.024087977402976,4162.3,0.01735170041739974,4269.6,0.016915632060929112,,,0.7496161369839013,3982.4,0.01882322561731371,4158.7,0.01802525156861282,,,0.7729872954373082,3226.6,0.02395671280720598,4355.2,0.017748606159012404,,,0.7729872954373082,4103.1,0.01883910446826322,5622.1,0.013749084780372248,,,0.7949172098475829,3807.5,0.02087766801963448,5835.8,0.013621392265800454,,,0.7950374853234412,2744.4,0.028969446338851523
2,76.751598,30.701793,0.8326117733261311,8623.6,0.009655037030081765,8623.6,0.009655037030081765,8623.6,0.009655037030081765,,,0.8428242616410636,3920.7,0.02149678020866334,3324.0,0.025355723876084944,7460.0,0.011297912354437849,,,0.8521927233454293,2827.9,0.03013517887285368,1278.4,0.06666088261462993,7188.3,0.011855274868124998,,,0.8623921184794054,2605.1,0.03310399287856149,1630.5,0.052891267616032224,4404.2,0.019581129796090217,,,0.874359183558611,3260.6,0.02681589841006597,2561.1,0.03413998608248842,4150.7,0.02106534279901248,,,0.882941887216713,2413.5,0.03658346331952405,1569.0,0.05627418019226978,4224.1,0.02090248543397914,,,0.8912491660334149,2311.7,0.03855384202246896,2608.1,0.03417235405212281,5037.3,0.0176929935884981,,,0.8960854545693089,2774.7,0.03229485906834285,1808.3,0.049554026133346724,4728.2,0.01895193635145106,,,0.9046255605334024,2135.2,0.04236725180467415,3211.6,0.028167441790179423,5799.4,0.015598606071893686,,,0.9108874905050065,4073.8,0.02235965168896378,2138.2,0.04260066834276525,4753.1,0.01916407166912134,,,0.9108874905050065,5298.5,0.01719142192139297,2749.5,0.0331292049647211,5807.9,0.01568359459537882,,,0.9129756199687763,6647.2,0.013734739739571193,3933.8,0.023208491025694652,6931.1,0.01317216055126569,,,0.914081791135093,6722.9,0.013596540051690389,3101.7,0.029470348232746336,6747.4,0.013547170630688755,,,0.9216076507702794,7713.2,0.011948447476667005,3299.2,0.027934276514618075,6368.6,0.014471118468270568,,,0.9258731823273657,2495.7,0.03709873712094265,6669.9,0.0138813652727532,,,0.9258731823273657,2675.8,0.034601733400379905,6447.4,0.014360411674897877,,,0.9328971810625626,2570.5,0.03629244042258559,6766.1,0.013787812492611143,,,0.9356538748833918,2747.9,0.034049778917842416,7941.7,0.011781531345724364,,,0.9407405236330659,3613.0,0.02603765634190606
