Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_208_0_0,fill_per_m_1_208_0_0,distance_from_288_1_0,fill_per_m_1_288_1_0,distance_from_281_2_0,fill_per_m_1_281_2_0,fill_per_m_1_288_1_1,fill_per_m_1_281_2_2,fill_ratio_2,distance_from_294_0_0,fill_per_m_2_294_0_0,distance_from_229_1_0,fill_per_m_2_229_1_0,distance_from_267_2_0,fill_per_m_2_267_2_0,fill_per_m_2_229_1_1,fill_per_m_2_267_2_2,fill_ratio_3,distance_from_96_0_0,fill_per_m_3_96_0_0,distance_from_186_1_0,fill_per_m_3_186_1_0,distance_from_189_2_0,fill_per_m_3_189_2_0,fill_per_m_3_186_1_1,fill_per_m_3_189_2_2,fill_ratio_4,distance_from_292_0_0,fill_per_m_4_292_0_0,distance_from_68_1_0,fill_per_m_4_68_1_0,distance_from_193_2_0,fill_per_m_4_193_2_0,fill_per_m_4_68_1_1,fill_per_m_4_193_2_2,fill_ratio_5,distance_from_106_0_0,fill_per_m_5_106_0_0,distance_from_110_1_0,fill_per_m_5_110_1_0,distance_from_7_2_0,fill_per_m_5_7_2_0,fill_per_m_5_110_1_1,fill_per_m_5_7_2_2,fill_ratio_6,distance_from_99_0_0,fill_per_m_6_99_0_0,distance_from_169_1_0,fill_per_m_6_169_1_0,distance_from_31_2_0,fill_per_m_6_31_2_0,fill_per_m_6_169_1_1,fill_per_m_6_31_2_2,fill_ratio_7,distance_from_227_0_0,fill_per_m_7_227_0_0,distance_from_102_1_0,fill_per_m_7_102_1_0,distance_from_195_2_0,fill_per_m_7_195_2_0,fill_per_m_7_102_1_1,fill_per_m_7_195_2_2,fill_ratio_8,distance_from_66_0_0,fill_per_m_8_66_0_0,distance_from_201_1_0,fill_per_m_8_201_1_0,distance_from_247_2_0,fill_per_m_8_247_2_0,fill_per_m_8_201_1_1,fill_per_m_8_247_2_2,fill_ratio_9,distance_from_297_0_0,fill_per_m_9_297_0_0,distance_from_4_1_0,fill_per_m_9_4_1_0,distance_from_157_2_0,fill_per_m_9_157_2_0,fill_per_m_9_4_1_1,fill_per_m_9_157_2_2,fill_ratio_10,distance_from_256_0_0,fill_per_m_10_256_0_0,distance_from_126_1_0,fill_per_m_10_126_1_0,distance_from_278_2_0,fill_per_m_10_278_2_0,fill_per_m_10_126_1_1,fill_per_m_10_278_2_2,fill_ratio_11,distance_from_20_0_0,fill_per_m_11_20_0_0,distance_from_127_1_0,fill_per_m_11_127_1_0,distance_from_213_2_0,fill_per_m_11_213_2_0,fill_per_m_11_127_1_1,fill_per_m_11_213_2_2,fill_ratio_12,distance_from_258_0_0,fill_per_m_12_258_0_0,distance_from_170_1_0,fill_per_m_12_170_1_0,distance_from_174_2_0,fill_per_m_12_174_2_0,fill_per_m_12_170_1_1,fill_per_m_12_174_2_2,fill_ratio_13,distance_from_293_0_0,fill_per_m_13_293_0_0,distance_from_192_1_0,fill_per_m_13_192_1_0,distance_from_275_2_0,fill_per_m_13_275_2_0,fill_per_m_13_192_1_1,fill_per_m_13_275_2_2,fill_ratio_14,distance_from_236_0_0,fill_per_m_14_236_0_0,distance_from_67_1_0,fill_per_m_14_67_1_0,distance_from_39_2_0,fill_per_m_14_39_2_0,fill_per_m_14_67_1_1,fill_per_m_14_39_2_2,fill_ratio_15,distance_from_130_1_0,fill_per_m_15_130_1_0,distance_from_163_2_0,fill_per_m_15_163_2_0,fill_per_m_15_130_1_1,fill_per_m_15_163_2_2,fill_ratio_16,distance_from_57_2_0,fill_per_m_16_57_2_0,fill_per_m_16_57_2_2,fill_ratio_17,distance_from_79_2_0,fill_per_m_17_79_2_0
2,76.743991,30.750429,0.8792795561570067,11172.0,0.007870386288551797,11172.0,0.007870386288551797,11172.0,0.007870386288551797,,,0.8821135219554811,9202.1,0.009586002346806502,8370.6,0.010538235275314566,10628.4,0.008299589044028086,,,0.8877143125436708,9568.2,0.009277756657925951,10891.2,0.008150748425735188,8433.1,0.010526547918839701,,,0.8877143125436708,9107.4,0.00974717606060644,7177.3,0.012368360143001836,8148.9,0.010893670465261213,,,0.8925240901836737,7083.9,0.012599332150138677,5964.9,0.014962934670885912,7720.8,0.011559994951088925,,,0.8946638648282795,7955.2,0.01124627746415275,8229.5,0.010871424325029218,5438.8,0.016449655527474436,,,0.8975616501256296,6653.4,0.013490270389960465,5948.8,0.015088112730729384,4363.9,0.020567878506052607,,,0.9052191281781646,8871.9,0.010203216088753983,5211.2,0.01737064645721071,6954.4,0.013016494998535669,,,0.9136223570680508,6716.4,0.013602858035079072,4867.5,0.018769848116446858,6560.4,0.013926320911347644,,,0.9189457312884106,5755.1,0.015967502411572528,4135.4,0.022221447291396496,6240.2,0.014726222417364999,,,0.9189457312884106,4921.0,0.01867396324503984,4287.2,0.021434636389447908,5102.8,0.01800865664514405,,,0.9228961121528614,3918.3,0.023553482687718178,5316.5,0.0173590917361584,6591.4,0.014001518829882294,,,0.9228961121528614,5403.2,0.01708054693797863,4577.6,0.02016113492120022,3584.8,0.025744702972351634,,,0.9267799848319662,5984.1,0.015487374623284473,3835.9,0.024160692010531195,3436.0,0.02697264216623883,,,0.9267799848319662,7445.1,0.012448187194691356,3112.2,0.02977893402840326,2235.4,0.041459245988725336,,,0.9304031012001391,4579.7,0.020315808921984826,3045.1,0.030554106636896627,,,0.9304031012001391,1445.0,0.06438775786852174,,0.9361628098243061,808.5,0.11579008161092222
2,76.744077,30.754541,0.6043129822403198,10939.6,0.00552408664156203,10939.6,0.00552408664156203,10939.6,0.00552408664156203,,,0.6043129822403198,9452.0,0.006393493252648327,8620.5,0.007010184818053707,10878.3,0.005555215265623488,,,0.6043129822403198,9818.1,0.00615509092635357,11141.1,0.005424176986476379,8683.0,0.006959725696652307,,,0.6266857569397667,9357.4,0.006697220990229837,7427.2,0.008437712151817196,8398.8,0.007461610669854821,,,0.6639721198205596,7333.8,0.00905358913279009,7722.3,0.008598113513079778,7970.7,0.008330160711362361,,,0.6639721198205596,8205.1,0.008092188027209414,8479.4,0.007830413942266665,6596.1,0.010066131802437192,,,0.6840559126432241,6903.4,0.009908971124999626,6198.7,0.011035473771003987,5521.1,0.012389848266527033,,,0.6871398440839446,9121.8,0.007532941350215359,5461.1,0.01258244390478007,7204.3,0.009537912692196945,,,0.7054922751864465,7959.6,0.008863413678909072,5117.4,0.013786146777395682,6810.3,0.010359195265795141,,,0.7097055602068418,6005.0,0.011818577189123094,5292.6,0.013409393496709401,6490.2,0.010935033746369015,,,0.7172017410163297,5170.9,0.013869959601158983,4537.2,0.015807144076001273,5352.7,0.013398877968433311,,,0.7408561111638023,5030.4,0.014727578545718082,5566.4,0.013309429993600934,6841.4,0.01082901323068089,,,0.7633426263889141,5653.1,0.013503080192972248,4827.5,0.015812379624835095,3834.8,0.019905669823430533,,,0.7633426263889141,6234.0,0.012244828783909435,4085.8,0.018682819188137308,3685.9,0.02070980293521024,,,0.7749703233480667,7695.0,0.010071089322262076,3889.3,0.01992570188332262,3392.6,0.02284296183894555,,,0.7844271865488522,4829.6,0.016242073599239112,3295.1,0.023805868912896492,,,0.7939523512475535,1257.0,0.06316247822176241,,0.8062341083984953,954.7,0.08444894819299206
2,76.735225,30.752778,0.13925407078470398,15723.3,0.0008856542251607741,15723.3,0.0008856542251607741,15723.3,0.0008856542251607741,,,0.1986495758013155,8816.6,0.0022531313182101434,7985.2,0.002487721983185337,10243.0,0.0019393690891468859,,,0.24026472045538258,9182.7,0.0026164931932370935,10505.8,0.002286972153052434,8047.7,0.0029855079147505822,,,0.24026472045538258,8668.7,0.0027716349678196567,6791.9,0.0035375185214061252,7763.5,0.003094799001164199,,,0.24026472045538258,8088.8,0.002970338251105017,6460.1,0.003719210545585712,7335.4,0.0032754140258933746,,,0.2882589012635775,7678.9,0.003753908779429053,7668.5,0.003758999820872107,5934.0,0.004857750274074445,,,0.2947608869984974,5308.7,0.005552411833377237,5563.3,0.005298310121663354,4859.0,0.0060662870343382875,,,0.2947608869984974,8486.5,0.0034732915453779224,4786.1,0.006158686341666437,6568.9,0.004487218362260004,,,0.34544637028344594,7211.5,0.0047902152157449345,4482.0,0.007707415668974698,6175.0,0.005594273202970785,,,0.36201959664599587,5369.7,0.006741896132856507,4837.2,0.007484073361572725,5854.8,0.006183295700040921,,,0.36201959664599587,4535.6,0.00798173552883843,3849.9,0.009403350649263509,3021.6,0.011981056282962532,,,0.3729171763707587,4361.0,0.008551184966080226,4363.1,0.00854706920241935,4510.2,0.008268306868226657,,,0.38981326124927823,5017.8,0.007768608977027348,3411.3,0.011427117557801373,3199.4,0.012183948904459532,,,0.40196555103372483,5598.7,0.0071796229666480586,3450.5,0.011649487060823789,3050.6,0.013176606275281087,,,0.4493621593550534,7059.7,0.0063651735818101825,3607.3,0.012457022131651192,2678.1,0.01677914041130105,,,0.496408629661628,4126.9,0.012028608148044006,1910.0,0.025989980610556438,,,0.5125521366544393,780.4,0.06567813129862113,,0.5501961537055932,668.6,0.08229077979443511
2,76.746288,30.747585,0.6213306241557073,10465.4,0.005936998338866238,10465.4,0.005936998338866238,10465.4,0.005936998338866238,,,0.6334632396599497,9290.5,0.00681839771443894,8658.4,0.00731616972720075,10377.6,0.006104140067645213,,,0.645985642324408,9147.1,0.007062190665067705,10318.9,0.00626021806902294,8573.1,0.007535029829634649,,,0.645985642324408,8446.0,0.007648421055226238,7571.0,0.008532368806292538,7915.3,0.008161227525481133,,,0.645985642324408,5913.9,0.01092317493235273,6237.4,0.01035664928214333,7098.9,0.009099799156551128,,,0.645985642324408,5760.9,0.011213276438133071,7445.8,0.008675839296306751,5711.3,0.011310658559774624,,,0.6713090791537073,4643.9,0.014455717805157461,5280.1,0.012713946310746146,4636.4,0.014479101871143717,,,0.6713090791537073,7460.0,0.008998781221899562,4563.5,0.014710399455543054,6640.1,0.010109924235383613,,,0.6715923779435742,6988.9,0.009609414613795794,4175.2,0.016085274428615976,6010.1,0.011174396065682338,,,0.676515512081889,5086.8,0.013299432100375264,4407.9,0.015347796276727896,5392.6,0.012545256686605513,,,0.684241782522377,4314.0,0.01586095926106576,3627.3,0.018863666708636644,4542.1,0.015064436769828425,,,0.704003232537547,3696.2,0.019046675843773255,4656.5,0.015118720767476583,5393.7,0.013052324610889503,,,0.7143633227033187,4313.8,0.01655995462708792,3645.8,0.019594144569184232,3917.0,0.018237511429750285,,,0.7295035615999145,6629.4,0.011004066153798451,3162.2,0.023069494706214486,2811.3,0.025948975975524292,,,0.7557131624442508,4768.1,0.015849356398654615,3384.6,0.02232799038126369,2507.9,0.030133305253170012,,,0.7700199269945224,3904.2,0.01972286068834902,1888.8,0.0407676793199133,,,0.7813946736248127,1717.5,0.04549605086607352,,0.7813946736248127,1081.0,0.07228442864244336
2,76.735219,30.742392,0.982739540910386,11879.6,0.008272496893080456,11879.6,0.008272496893080456,11879.6,0.008272496893080456,,,0.9839587714056848,7043.7,0.013969345250446281,6212.2,0.01583913543359333,8470.0,0.011616986675391792,,,0.9851813930838607,7409.8,0.013295654310289895,8732.8,0.011281391914206906,6274.7,0.015700852520182013,,,0.9860273978053811,7728.1,0.012758988597525665,5018.9,0.019646284998812113,5990.6,0.01645957663348214,,,0.9861436820851353,6315.9,0.01561366839381775,5519.4,0.01786686382732064,5562.5,0.017728425745350745,,,0.9866902852701678,6738.3,0.014643015081996464,6727.9,0.014665650281219517,4993.4,0.019759888758564662,,,0.9875548257852662,4211.8,0.023447334293776205,4562.1,0.021646935090972715,3918.4,0.025203012091294056,,,0.9886233685764848,6713.6,0.01472568172927319,3845.5,0.02570857804125562,4796.0,0.020613498093754897,,,0.9889250435551591,6270.9,0.015770065597524426,2709.1,0.03650382206471371,4402.1,0.022464847312763433,,,0.9890183090982466,3596.8,0.027497172739608725,3689.9,0.02680339058235309,4674.7,0.02115682950987757,,,0.9891179359675137,4504.0,0.021960877796792046,2909.3,0.033998485407744604,2944.5,0.033592050805485274,,,0.9895646432962846,3264.1,0.030316615400762373,3938.6,0.025124781478095888,4433.1,0.02232218184332148,,,0.9900486453926011,4535.0,0.02183128214757665,2927.9,0.033814291655883094,1426.5,0.0694040410369857,,,0.9906151065619777,5464.1,0.0181295200776336,1677.5,0.05905306149400761,1277.7,0.07753111892948092,,,0.991524328825204,5286.7,0.01875507081591927,2666.7,0.037181697559725654,1789.9,0.05539551532628661,,,0.9922065922442638,3186.3,0.031139773161480835,1170.8,0.08474603623541714,,,0.9927048830972011,999.6,0.09931021239467798,,0.9928732066781091,1560.3,0.06363348116888477
2,76.74202,30.744061,0.1891957923903549,11692.9,0.0016180399421046523,11692.9,0.0016180399421046523,11692.9,0.0016180399421046523,,,0.2413138871700803,7518.4,0.0032096441685741687,6687.0,0.0036087017671613624,8944.8,0.002697811993226012,,,0.2918944017414615,7884.6,0.003702082562735731,9207.6,0.0031701464197126444,6749.5,0.004324681854084917,,,0.2918944017414615,7423.8,0.003931873188144366,5493.7,0.005313257035175955,6465.3,0.004514785110380979,,,0.3033266027720413,5378.7,0.005639403624891541,5788.8,0.005239887416598281,6037.2,0.0050242927643947746,,,0.33442097292046397,6271.6,0.005332307113343707,6545.9,0.005108861622091141,4594.9,0.00727809033755825,,,0.33442097292046397,4948.2,0.006758436864323673,4265.1,0.007840870622505075,3519.9,0.009500865732562402,,,0.3804642417220139,7188.3,0.005292826422408829,3527.6,0.010785356665211868,5270.8,0.007218339563671811,,,0.40822473993574204,6026.1,0.0067742775582174545,3183.9,0.012821531453115426,4876.8,0.008370750080703373,,,0.43775242843124085,4071.5,0.010751625406637377,3998.2,0.010948737642720245,4556.6,0.009606997068674907,,,0.48691524542249204,3235.9,0.015047289638817393,3337.8,0.01458790956385919,4153.4,0.011723292854588821,,,0.49769606817255774,3077.5,0.016172089948742738,4367.1,0.011396488932530919,5642.0,0.008821270261831935,,,0.5199307952449272,3718.1,0.01398377653223225,3628.2,0.014330268321617533,2635.4,0.019728724111896762,,,0.521823112119137,4299.0,0.012138244059528657,2886.5,0.01807805688962886,2063.9,0.02528335249378056,,,0.5660381497473654,4594.7,0.012319371226573344,2690.0,0.021042310399530313,2314.5,0.02445617410876498,,,0.5910749765037964,3630.3,0.016281711607960672,2095.7,0.028204178866431093,,,0.6264467856007827,1545.4,0.040536222699675335,,0.634799530668199,1114.5,0.05695823514295191
2,76.749047,30.743196,0.843879411230929,10458.2,0.008069069354486709,10458.2,0.008069069354486709,10458.2,0.008069069354486709,,,0.843988418714499,8333.0,0.010128266155220196,6821.8,0.012371931436197177,9079.6,0.009295436128403223,,,0.8556731112635292,8019.4,0.010670039046107305,9361.4,0.009140439584501562,6884.3,0.01242934083731867,,,0.8626821199989008,7488.6,0.0115199385732834,6613.5,0.01304425977166252,6957.8,0.012398777199673756,,,0.8640099091946676,5513.5,0.01567080636972282,5279.9,0.01636413396455743,6141.4,0.014068614797841985,,,0.8666244263737196,5301.1,0.016348011287727445,6488.3,0.013356725588732328,4753.8,0.018230140653239926,,,0.8777609371365568,4184.1,0.020978488495412555,4322.6,0.020306318815910718,3678.9,0.02385933124402829,,,0.8777609371365568,6502.5,0.0134988225626537,3606.0,0.024341678789144672,5682.6,0.01544646705973598,,,0.879232428355036,6031.4,0.01457758444730968,3217.7,0.027324872684061162,5052.6,0.017401583904426157,,,0.891164433050032,4206.4,0.021185917484072652,4157.2,0.021436650463052827,4435.1,0.020093446214291266,,,0.9006849990866975,3854.1,0.023369528530310515,4322.3,0.020838095437306466,5205.7,0.01730189982301511,,,0.9013097646905159,3236.4,0.027849146109582123,5351.5,0.016842189380370288,6088.8,0.014802748730300155,,,0.9095631433382518,3853.0,0.02360662193974181,4340.9,0.020953330952987907,4612.0,0.019721663992590024,,,0.9170477903959944,4433.9,0.02068264485883747,3857.2,0.02377496086269819,2636.9,0.03477749593826063,,,0.9173885776908766,4308.3,0.021293516646725543,4079.7,0.022486667590530595,3190.9,0.028750151295586716,,,0.9173885776908766,3778.4,0.024279816263256315,2571.8,0.03567106997787062,,,0.9173885776908766,2400.6,0.038214970327871224,,0.9173885776908766,1846.1,0.04969333068040066
2,76.729602,30.744926,0.24879178873917707,14470.7,0.0017192795700220241,14470.7,0.0017192795700220241,14470.7,0.0017192795700220241,,,0.2666317296272372,7537.9,0.003537215001886961,6706.4,0.0039757802938571694,8964.2,0.002974406300921858,,,0.3118947959097196,7904.0,0.003946037397643213,9227.0,0.0033802405539148104,6768.9,0.00460776190975963,,,0.33475176001836676,7416.1,0.004513851755213209,5513.1,0.006071933395337773,6484.7,0.005162178050154468,,,0.33475176001836676,6810.0,0.004915591189697016,5207.5,0.0064282623143229346,6056.6,0.005527057425261149,,,0.38572610523314044,6426.4,0.006002211272767653,6415.9,0.006012034246686208,4681.4,0.00823954597413467,,,0.38572610523314044,5180.3,0.007446018671373094,4284.6,0.00900261646905523,3606.5,0.01069530307037683,,,0.4368577139486679,7207.7,0.006060986361095327,3533.6,0.012362964510659609,5290.2,0.008257867641084797,,,0.4487266753114901,5959.0,0.007530234524441854,3203.3,0.014008262582695658,4896.2,0.009164794643018873,,,0.47997606862646564,4090.9,0.011732774417034532,4029.4,0.011911849620947676,4576.1,0.01048875830131478,,,0.4906879471622842,4998.2,0.009817293168786446,2623.0,0.01870712722692658,2171.3,0.022598809338289696,,,0.5091080366896685,5221.7,0.009749852283541156,2792.8,0.01822930523810042,3659.9,0.01391043571380826,,,0.5569582256980349,5029.1,0.011074709703486407,2561.0,0.021747685501680394,1920.6,0.02899917867843564,,,0.5771372532135507,5958.3,0.009686273823297764,2171.7,0.026575367371807834,1808.4,0.031914247578718795,,,0.6114511248088833,5780.9,0.01057709223146713,2354.7,0.025967262275826363,1242.8,0.04919947898365653,,,0.6114511248088833,2915.5,0.020972427535890355,957.1,0.06388581389707275,,,0.6466873236662645,1046.9,0.061771642340840996,,0.6586066475522537,1583.9,0.041581327580797633
2,76.750122,30.751839,0.20424210636842888,10348.4,0.001973658791392185,10348.4,0.001973658791392185,10348.4,0.001973658791392185,,,0.2685606872931112,9584.1,0.0028021482172881254,8011.4,0.0033522316610468984,10269.2,0.002615205539799704,,,0.3126276508897465,9209.0,0.003394805634593837,10612.6,0.002945815831085186,8073.9,0.0038720773218611387,,,0.3320641665364099,8739.7,0.0037994915905169503,7864.6,0.004222263898181851,8209.0,0.0040451232371349725,,,0.33301241062423476,6724.7,0.004952078317608738,6531.0,0.00509894978753996,7392.6,0.004504672383521829,,,0.33301241062423476,7749.9,0.004296989775664652,7739.4,0.004302819477275174,6005.0,0.005545585522468523,,,0.3362650635670254,5387.0,0.006242158224745228,5573.7,0.006033067146904667,4930.0,0.006820792364442706,,,0.37812253130982393,7753.6,0.0048767350818951696,4857.1,0.007784944335299333,6933.8,0.005453323304823097,,,0.37812253130982393,7282.5,0.0051922077763106615,4468.8,0.008461388545243106,6201.2,0.006097570330094561,,,0.37812253130982393,5395.9,0.00700758967567642,4701.5,0.008042593455489182,5686.3,0.00664971125881195,,,0.41909815006863954,4561.8,0.009187122409326133,3920.9,0.01068882527145909,4743.6,0.008835022979775687,,,0.44039117635295244,4439.3,0.00992028419689934,4950.2,0.008896431989676224,5687.4,0.007743277707791828,,,0.4689037424712253,5044.0,0.009296267693719771,3939.5,0.011902620699866107,4210.6,0.011136268998984117,,,0.49206328247755055,5624.9,0.008747947207551255,3455.9,0.014238354190733254,3076.8,0.015992696388375926,,,0.5161625015563821,5511.2,0.009365700783066885,3678.3,0.014032637401962377,2801.5,0.018424504785164452,,,0.5161625015563821,4197.9,0.012295731236008056,2182.4,0.023651141017062963,,,0.552278654629796,2011.2,0.02746015585868118,,0.5573488056820506,1374.6,0.040546253868911
2,76.739484,30.740651,0.3450168399245661,11260.5,0.0030639566620004983,11260.5,0.0030639566620004983,11260.5,0.0030639566620004983,,,0.40928755881333645,7741.6,0.005286860065275091,6279.0,0.006518355770239472,8536.7,0.004794447020667663,,,0.43470866388271623,7476.5,0.005814333764230807,8770.1,0.004956712738540224,6341.5,0.006854981690179235,,,0.43665503592548377,6897.2,0.006330902916045406,6022.2,0.007250756134394138,6366.5,0.006858635607091553,,,0.46541155036096715,4970.7,0.009363098765988034,4688.5,0.009926662053129299,5550.1,0.008385642607538012,,,0.5069879861293818,4709.7,0.010764761792245404,5897.0,0.00859738826741363,4162.5,0.012179891558663827,,,0.5069879861293818,3592.8,0.014111222058822693,3731.2,0.013587799799779744,3087.5,0.016420663518360544,,,0.5362573511359034,5911.1,0.009072039910268875,3014.6,0.01778867349352828,5091.3,0.010532817770233602,,,0.5362573511359034,5440.0,0.009857671895880578,2626.3,0.020418739334268875,4468.8,0.012000030234870736,,,0.5362573511359034,3663.5,0.014637842258384152,3565.8,0.015038907149472865,3843.8,0.013951229281853984,,,0.5755263831144499,2827.9,0.02035172329695003,3025.9,0.019020006712530155,3721.0,0.015466981540296961,,,0.5962810599369369,2645.0,0.02254370737001652,4055.1,0.014704472391234173,4792.4,0.012442222267276041,,,0.6109992971070266,3310.1,0.01845863560336626,3044.5,0.020068953756184154,3315.6,0.018428015958107932,,,0.6109992971070266,3891.0,0.015702886073169536,2560.9,0.023858772193643896,1474.0,0.04145178406424875,,,0.6234589407037234,4186.6,0.014891772338024254,2783.3,0.02239999068385454,1906.5,0.032701754036387275,,,0.6360393526649722,3187.1,0.019956680137585024,1287.4,0.049404952047923896,,,0.6391476670116248,1116.2,0.057261034493067985,,0.6738451965788225,1676.8,0.04018637861276375
