Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_194_0_0,fill_per_m_1_194_0_0,distance_from_155_1_0,fill_per_m_1_155_1_0,distance_from_229_2_0,fill_per_m_1_229_2_0,fill_per_m_1_155_1_1,fill_per_m_1_229_2_2,fill_ratio_2,distance_from_180_0_0,fill_per_m_2_180_0_0,distance_from_237_1_0,fill_per_m_2_237_1_0,distance_from_281_2_0,fill_per_m_2_281_2_0,fill_per_m_2_237_1_1,fill_per_m_2_281_2_2,fill_ratio_3,distance_from_52_0_0,fill_per_m_3_52_0_0,distance_from_89_1_0,fill_per_m_3_89_1_0,distance_from_24_2_0,fill_per_m_3_24_2_0,fill_per_m_3_89_1_1,fill_per_m_3_24_2_2,fill_ratio_4,distance_from_147_0_0,fill_per_m_4_147_0_0,distance_from_171_1_0,fill_per_m_4_171_1_0,distance_from_13_2_0,fill_per_m_4_13_2_0,fill_per_m_4_171_1_1,fill_per_m_4_13_2_2,fill_ratio_5,distance_from_28_0_0,fill_per_m_5_28_0_0,distance_from_58_1_0,fill_per_m_5_58_1_0,distance_from_14_2_0,fill_per_m_5_14_2_0,fill_per_m_5_58_1_1,fill_per_m_5_14_2_2,fill_ratio_6,distance_from_20_0_0,fill_per_m_6_20_0_0,distance_from_135_1_0,fill_per_m_6_135_1_0,distance_from_33_2_0,fill_per_m_6_33_2_0,fill_per_m_6_135_1_1,fill_per_m_6_33_2_2,fill_ratio_7,distance_from_84_0_0,fill_per_m_7_84_0_0,distance_from_79_1_0,fill_per_m_7_79_1_0,distance_from_108_2_0,fill_per_m_7_108_2_0,fill_per_m_7_79_1_1,fill_per_m_7_108_2_2,fill_ratio_8,distance_from_265_0_0,fill_per_m_8_265_0_0,distance_from_57_1_0,fill_per_m_8_57_1_0,distance_from_117_2_0,fill_per_m_8_117_2_0,fill_per_m_8_57_1_1,fill_per_m_8_117_2_2,fill_ratio_9,distance_from_264_0_0,fill_per_m_9_264_0_0,distance_from_172_1_0,fill_per_m_9_172_1_0,distance_from_105_2_0,fill_per_m_9_105_2_0,fill_per_m_9_172_1_1,fill_per_m_9_105_2_2,fill_ratio_10,distance_from_102_0_0,fill_per_m_10_102_0_0,distance_from_174_1_0,fill_per_m_10_174_1_0,distance_from_208_2_0,fill_per_m_10_208_2_0,fill_per_m_10_174_1_1,fill_per_m_10_208_2_2,fill_ratio_11,distance_from_130_0_0,fill_per_m_11_130_0_0,distance_from_67_1_0,fill_per_m_11_67_1_0,distance_from_96_2_0,fill_per_m_11_96_2_0,fill_per_m_11_67_1_1,fill_per_m_11_96_2_2,fill_ratio_12,distance_from_170_0_0,fill_per_m_12_170_0_0,distance_from_278_1_0,fill_per_m_12_278_1_0,distance_from_140_2_0,fill_per_m_12_140_2_0,fill_per_m_12_278_1_1,fill_per_m_12_140_2_2,fill_ratio_13,distance_from_127_0_0,fill_per_m_13_127_0_0,distance_from_114_1_0,fill_per_m_13_114_1_0,distance_from_292_2_0,fill_per_m_13_292_2_0,fill_per_m_13_114_1_1,fill_per_m_13_292_2_2,fill_ratio_14,distance_from_126_0_0,fill_per_m_14_126_0_0,distance_from_39_1_0,fill_per_m_14_39_1_0,distance_from_186_2_0,fill_per_m_14_186_2_0,fill_per_m_14_39_1_1,fill_per_m_14_186_2_2,fill_ratio_15,distance_from_163_1_0,fill_per_m_15_163_1_0,distance_from_68_2_0,fill_per_m_15_68_2_0,fill_per_m_15_163_1_1,fill_per_m_15_68_2_2,fill_ratio_16,distance_from_275_1_0,fill_per_m_16_275_1_0,fill_per_m_16_275_1_1
2,76.737358,30.730679,0.33882348242280735,12768.9,0.0026535056459272713,12768.9,0.0026535056459272713,12768.9,0.0026535056459272713,,,0.33882348242280735,4263.2,0.00794763282095157,3262.5,0.0103853940972508,7587.2,0.004465724937036158,,,0.38627454469861594,3850.4,0.010032062764871596,3493.8,0.011056000477949968,7068.0,0.00546511806308172,,,0.38714582829410654,3406.3,0.01136558225329849,3853.0,0.010047906262499521,7405.8,0.005227603071837027,,,0.3982852862093285,2722.6,0.01462885793760848,3895.2,0.01022502788584228,7469.2,0.005332368743765444,,,0.44252506794335267,745.6,0.059351538082531206,4102.9,0.010785665454760115,8066.0,0.005486301363046773,,,0.44252506794335267,1677.0,0.02638789910216772,3467.5,0.01276207838336994,7337.5,0.0060310060367066804,,,0.4786511336962005,2325.5,0.020582719144106663,3254.9,0.014705555737386723,6537.7,0.007321399478351721,,,0.505038677535553,1493.2,0.033822574171949706,2694.2,0.01874540411014598,6359.8,0.007941109430100835,,,0.5120761057442028,973.2,0.05261776672258557,1799.9,0.028450253110961873,6007.8,0.008523521184863058,,,0.55923837902011,2171.8,0.02574999442951054,3177.8,0.017598287463657557,6558.7,0.008526665025387806,,,0.5786584732962609,2344.3,0.024683635767447032,2645.5,0.021873312163910825,5714.3,0.010126497966439649,,,0.5786584732962609,2906.7,0.019907746698877106,3661.0,0.015806022215139603,5030.1,0.011503915892253847,,,0.5835775472554673,3917.4,0.014897063033018514,2330.6,0.025039798646505934,4913.9,0.011876056640458033,,,0.6111224852183167,2888.1,0.021160018185600107,1972.3,0.030985270253932804,4839.2,0.012628584997898758,,,0.6196540452623275,1838.2,0.0337098272909546,3505.6,0.017676119502006146,,,0.0,1469.5,0.04318445189673943,0.0
2,76.716595,30.726273,0.9536326078296895,13930.6,0.006845596082219642,13930.6,0.006845596082219642,13930.6,0.006845596082219642,,,0.9580705924437132,6005.1,0.015954282067637725,5143.4,0.018627184205850474,8766.6,0.010928644998559455,,,0.9589167067065208,6517.0,0.014714081735561161,4701.5,0.020395973768085097,8503.8,0.011276331836432195,,,0.9589167067065208,6072.9,0.015790095452033148,4135.4,0.023188003741029188,8263.8,0.011603822777735678,,,0.9598975776101073,4388.4,0.021873520590878395,4902.1,0.019581354472779162,8447.4,0.011363231025050399,,,0.962634614978825,2952.0,0.03260957367814448,5292.6,0.018188312265782883,8937.6,0.010770616440418289,,,0.9657448761549619,4508.6,0.021420061131059792,4837.2,0.01996495650696605,8514.7,0.011342089282710627,,,0.9674092833164165,4110.2,0.02353679342407709,4461.8,0.021682040506441718,7711.4,0.01254518353757316,,,0.9688920203934619,3877.4,0.02498818848696193,3817.6,0.02537961076051608,7341.4,0.013197646503302666,,,0.9701689989548827,2407.8,0.04029275683008899,3689.9,0.0262925553254799,7158.5,0.013552685603895828,,,0.9726637396584009,1559.7,0.062362232458703655,2196.0,0.04429252002087436,7077.5,0.013743041182033216,,,0.9726637396584009,633.9,0.15344119571831533,1635.2,0.059482860791242716,6982.9,0.013929223383671554,,,0.9726912043473771,1475.0,0.06594516639643234,2230.8,0.04360279739767694,7135.3,0.013632099622263635,,,0.9735150075986588,1317.4,0.07389669102768019,4029.4,0.024160297006965276,6349.7,0.015331669332388284,,,0.9754772362086901,824.6,0.11829702112644798,2241.7,0.04351506607524156,5052.7,0.019306058863749878,,,0.9765891381209646,2885.6,0.03384353819382328,3902.9,0.025022140923953076,,,0.9766345581091095,2319.1,0.04211265396529298,
2,76.74202,30.744061,0.775234538899056,11692.9,0.006629959538686348,11692.9,0.006629959538686348,11692.9,0.006629959538686348,,,0.775234538899056,3750.5,0.020670165015306118,1796.2,0.043159700417495596,9207.6,0.008419507134313567,,,0.7879431363402863,4247.7,0.01854987725922938,1354.3,0.058180841493043374,8944.8,0.008808951975899813,,,0.8002115126867092,3803.6,0.021038266712764465,788.2,0.10152391685951652,9021.2,0.008870344440725281,,,0.8002115126867092,2385.3,0.033547625568553605,1554.9,0.05146385701245798,9084.6,0.008808439696703313,,,0.8086286192712377,1970.0,0.041047138034072984,1945.4,0.04156618789304193,9681.3,0.008352479721434495,,,0.8232135990472244,3077.5,0.026749426451575124,2305.9,0.03570031653789082,8952.9,0.009194937942423398,,,0.8314153612759912,3519.6,0.02362243894976677,1114.5,0.07459985296330114,8152.3,0.010198537360940977,,,0.8329447760002678,3535.2,0.02356146119032213,1545.4,0.05389832897633414,7782.3,0.010703066908243936,,,0.8410866267711788,1630.3,0.051590911290632334,1208.9,0.06957454105146653,7599.4,0.011067803073547634,,,0.8459027470130284,3527.6,0.023979554003090722,2635.4,0.032097698528232084,7518.4,0.011251100593384607,,,0.8459027470130284,3630.3,0.0233011802609434,2690.0,0.03144619877371852,7423.8,0.01139447112008713,,,0.8516326497191478,3628.2,0.02347259384044837,4153.4,0.02050446982518293,5212.0,0.01633984362469585,,,0.8516326497191478,4367.1,0.019501102555910046,2177.4,0.03911236565257407,5378.7,0.015833429076154978,,,0.863355619548499,3337.8,0.02586600813555333,2314.5,0.03730203584136959,5493.7,0.015715376149926262,,,0.863355619548499,2095.7,0.04119652715314688,5788.8,0.014914241631227527,,,0.8659906644375414,2063.9,0.04195894493132135,
2,76.749047,30.743196,0.7379277689988003,10458.2,0.007055973006815706,10458.2,0.007055973006815706,10458.2,0.007055973006815706,,,0.7435893531538218,4862.7,0.015291697064466692,1781.2,0.04174653902727497,9361.4,0.007943142619200353,,,0.7444722085641262,3540.2,0.02102910029275539,2055.5,0.03621854578273541,9079.6,0.0081993943407653,,,0.7575158835620285,3930.2,0.019274232445219797,2414.7,0.031371014352177436,9180.1,0.008251717122493528,,,0.7577541861021918,3322.1,0.022809493576418285,2457.0,0.03084062621498542,9243.5,0.00819769769137439,,,0.7710915292494623,2128.9,0.036220185506574396,2664.6,0.02893835957552587,9840.2,0.007836136757885635,,,0.7911151523636252,3236.4,0.024444294659610222,3173.9,0.02492564833055941,9111.8,0.008682314716780716,,,0.8110065047221657,2925.0,0.02772671811015951,1846.1,0.043930800320793335,8312.0,0.009757056120334043,,,0.8246139759539083,3670.1,0.022468433447424004,2400.6,0.0343503280827255,8134.1,0.010137740818946268,,,0.8340886318080432,2140.6,0.03896517947342069,3065.1,0.027212444351180816,7782.1,0.010718040526439434,,,0.8432039986838515,3606.0,0.023383361028392998,4612.0,0.018282827378227482,8333.0,0.010118852738315752,,,0.8520622296651554,3778.4,0.022550874170684822,4079.7,0.020885413870263877,7488.6,0.011378124478075412,,,0.8553431860194198,4340.9,0.019704282199991242,5205.7,0.01643089663291046,5629.6,0.015193676034166187,,,0.8553431860194198,5351.5,0.015983241820413337,3068.0,0.027879504107543016,5513.5,0.015513615417056675,,,0.8553431860194198,4322.3,0.019789074937404155,3190.9,0.026805703281814527,6613.5,0.012933290784296057,,,0.8692535507717998,2571.8,0.03379942261341472,5279.9,0.016463447238996946,,,0.8703376294824569,2636.9,0.03300609160311187,
2,76.739919,30.725365,0.6900468884094496,11468.3,0.006016993699235717,11468.3,0.006016993699235717,11468.3,0.006016993699235717,,,0.6947936498418498,2750.2,0.025263386293427746,4437.1,0.015658733178018296,6243.4,0.011128450040712591,,,0.7222392978653209,3262.0,0.02214099625583449,4696.7,0.015377590603302765,5980.5,0.01207657048516547,,,0.7352307385348221,2811.3,0.02615269585369125,5364.8,0.013704718508328776,6105.2,0.012042697021142995,,,0.7409917983507652,2127.6,0.03482758969499743,4897.3,0.01513061887878556,6168.6,0.012012317192730364,,,0.7427026849996057,1630.6,0.045547815834637906,5614.7,0.013227824906043167,6765.4,0.010977956735737808,,,0.7437063097326105,921.8,0.08067979059802675,4979.3,0.014935961073496486,6036.9,0.012319341213745642,,,0.7437063097326105,970.1,0.07666285019406356,4766.7,0.015602121168368276,5237.1,0.01420072768770141,,,0.7501956379576088,737.3,0.10174903539368084,4206.0,0.01783632044597263,5059.3,0.014828052061700408,,,0.7595875630816394,1857.5,0.04089300474194559,3521.5,0.021570000371479183,4707.2,0.01613671743460315,,,0.7692119910052231,2032.1,0.03785305796984514,3108.5,0.024745439633431655,4554.2,0.01689016712057492,,,0.7797868084768229,2861.5,0.027250980551347993,3162.7,0.02465573113089521,4413.7,0.017667417551641997,,,0.7916369429814772,4101.2,0.019302568589229425,4626.5,0.017110924953668588,4423.5,0.01789616690361653,,,0.809999105483611,4434.6,0.018265437818148444,3700.6,0.021888318258758338,3826.4,0.02116869918157043,,,0.8148099502368996,3405.3,0.0239276994754324,3140.0,0.025949361472512724,2529.5,0.03221229295263489,,,0.8200036989768225,3215.7,0.02550000618766746,2205.0,0.03718837637083095,,,0.8266030419601231,2524.8,0.032739347352666474,
2,76.739592,30.718233,0.4890484004492832,10536.4,0.004641513234589454,10536.4,0.004641513234589454,10536.4,0.004641513234589454,,,0.509161270321857,3599.7,0.014144547332329277,5166.1,0.009855815224673485,5354.7,0.00950867967060446,,,0.5469097692863523,3150.2,0.01736111260511562,5395.9,0.010135654279848631,5413.3,0.010103075190481817,,,0.5921641014587399,2706.1,0.02188256536930416,5755.1,0.010289379879736925,5173.3,0.011446544786862155,,,0.6089320434485864,2022.3,0.030110866016347052,5797.4,0.010503536817342025,5236.7,0.011628163603960252,,,0.6276199044474373,2682.6,0.0233959555821754,6005.0,0.010451622055744169,5833.5,0.010758890965071351,,,0.6276199044474373,1287.4,0.04875096352706519,5369.7,0.011688174468730791,5105.0,0.012294219479871445,,,0.6443057161044562,1920.5,0.03354885270004979,5157.0,0.012493808728029014,4305.2,0.01496575573967426,,,0.6443057161044562,1854.3,0.03474657369921028,4596.3,0.01401792128678407,4127.4,0.015610450067947286,,,0.6443057161044562,2876.8,0.022396611377379597,3596.8,0.017913303939736884,3775.3,0.017066344823046014,,,0.6563095817150622,2422.4,0.02709336120025851,4085.4,0.01606475698132526,4326.2,0.015170578838589577,,,0.6645665728037491,3251.8,0.020436883350874874,3553.1,0.01870385220803662,3481.8,0.019086868079836554,,,0.6917858529060164,3814.3,0.018136639826600326,4710.6,0.01468572693300251,4473.8,0.015463048256650192,,,0.7189613707122435,4824.9,0.014901062627458469,4090.9,0.017574650338855597,3011.0,0.023877826991439508,,,0.7189613707122435,3795.7,0.01894146983987785,3530.3,0.020365446866052277,2606.8,0.027580227509292756,,,0.7412432386690551,3606.1,0.020555260216551265,1273.1,0.058223489016499506,,,0.7412432386690551,2414.3,0.030702200996937212,
2,76.735551,30.722152,0.10868253937469208,11221.3,0.0009685378643712589,11221.3,0.0009685378643712589,11221.3,0.0009685378643712589,,,0.11535813654515233,4556.2,0.002531893607505209,5371.9,0.0021474364106768987,7317.8,0.001576404609925829,,,0.11535813654515233,5068.1,0.0022761614124652695,4930.0,0.0023399216337759094,7054.9,0.001635149138118929,,,0.11535813654515233,4624.0,0.0024947693889522562,4363.9,0.0026434642531944436,5858.2,0.0019691737486796685,,,0.1494219841401046,2939.6,0.005083071987348775,5130.5,0.0029124253803743225,5921.6,0.0025233380191182213,,,0.22723583380086773,3367.5,0.006747908947316042,5521.1,0.004115771020283416,6518.4,0.00348606765158425,,,0.25939526047628736,1972.3,0.013151917075307376,4859.0,0.005338449485002826,7065.9,0.003671085926439482,,,0.30977494886046164,2661.3,0.011639986054201391,4690.2,0.006604727919075128,6262.5,0.004946506169428529,,,0.36457571775549313,2428.5,0.015012382860016188,4046.1,0.009010546396665755,5892.5,0.006187114429452577,,,0.38346142425178886,1929.5,0.01987361618304166,3918.4,0.009786173546646305,5709.6,0.006716082111737929,,,0.4061093840621557,1762.5,0.02304166718083153,2424.4,0.016750923282550553,5628.6,0.0072151047163087735,,,0.4061093840621557,2590.0,0.01567989899853883,2479.0,0.01638198402832415,5534.0,0.007338442068343977,,,0.45571374499677314,3417.2,0.013335881569611763,3942.4,0.011559297509049642,5686.5,0.008013958410213191,,,0.47813930420966255,4156.1,0.011504518760608805,3606.5,0.01325770980756031,4900.8,0.009756352110056777,,,0.518440912664415,3126.8,0.016580558803390526,2470.2,0.020987811216274594,3603.9,0.014385552114776077,,,0.518440912664415,3114.1,0.01664817805030073,3899.0,0.013296766162206078,,,0.5339320120764252,1840.8,0.029005433076728874,
2,76.749401,30.722265,0.9520624466390027,9692.8,0.009822367599032301,9692.8,0.009822367599032301,9692.8,0.009822367599032301,,,0.9520624466390027,2703.6,0.035214619272044785,4312.8,0.022075274685563966,6471.9,0.014710710095010782,,,0.9520624466390027,2302.4,0.04135087068445981,4561.8,0.020870324140449006,6083.7,0.015649398337179724,,,0.9554644374288046,1858.3,0.051416048938750715,4921.0,0.019416062536655242,6290.6,0.015188764782831599,,,0.9584789261880873,1174.6,0.0816004534469681,4963.2,0.0193117127294505,6354.0,0.015084654173561337,,,0.9584789261880873,2608.9,0.03673881429675677,5170.9,0.0185360174474093,6950.7,0.013789674798050374,,,0.9611505122786503,890.9,0.10788534204497142,4535.6,0.02119125390860416,6222.3,0.015446868718619326,,,0.9627926281426863,1588.6,0.06060635957086028,4322.9,0.022271915337914047,5422.4,0.01775583926199997,,,0.9653392322418464,1490.6,0.06476178936279661,3762.2,0.025658902563442835,5244.6,0.018406346189258405,,,0.9688034396968079,3467.8,0.027937119779018624,4504.0,0.0215098454639611,4892.6,0.019801402928847807,,,0.9688034396968079,3329.7,0.029095817632123253,4992.7,0.019404399216792677,5443.5,0.01779743620275205,,,0.9688034396968079,4159.1,0.023293583700723902,4460.3,0.021720589191238433,4599.0,0.021065523802931245,,,0.9689316025443813,4721.5,0.020521690194734328,5480.8,0.017678652797846688,3470.5,0.027919078015974104,,,0.9712770569642034,5732.2,0.016944228341024447,4998.2,0.019432536852550985,3929.6,0.0247169446499441,,,0.9722306606896804,4702.9,0.020673003055342035,4437.6,0.021908929617128186,2018.3,0.04817077048455039,,,0.9722306606896804,4513.3,0.02154145881482907,2390.4,0.0406723000623193,,,0.9722306606896804,3379.2,0.028771030441811098,
2,76.724986,30.715899,0.8844787275967592,12534.1,0.007056579471974527,12534.1,0.007056579471974527,12534.1,0.007056579471974527,,,0.8931267506515111,5597.4,0.015956100165282296,6097.8,0.014646704559866035,6144.8,0.014534675671323901,,,0.8986279677338668,5273.0,0.017042062729639044,6430.1,0.013975334251938022,7139.0,0.012587588846251111,,,0.8990269871089809,4828.9,0.018617635219387044,6686.8,0.013444801506086334,7171.1,0.012536807283526668,,,0.9075472198249587,4145.2,0.021893930807318312,6729.1,0.013486903446596999,7234.5,0.01254471241723628,,,0.9117939796265014,3614.3,0.02522740169954075,6936.7,0.013144492044149256,5310.8,0.017168674768895484,,,0.9175852579369357,3410.2,0.0269070804626396,6301.4,0.014561609450867041,4613.3,0.01988999757086978,,,0.9189245886898241,4595.5,0.019996182976603723,6088.7,0.015092295378156652,3813.5,0.024096619606393706,,,0.9235928498323784,3861.7,0.023916742621963864,5528.0,0.016707540698849103,4343.5,0.021263793020199803,,,0.9308038998012611,3429.6,0.02714030498604097,4528.4,0.0205548074331168,4780.8,0.01946962641819907,,,0.9345690395365189,1771.7,0.05274984701340627,5017.1,0.018627674145153948,6324.0,0.014778131554973416,,,0.9375491945199614,2647.3,0.03541529839912218,3399.5,0.027579032049417897,5479.5,0.017110123086412292,,,0.9375491945199614,3409.3,0.0274997563875271,4207.9,0.022280690950829667,6471.6,0.014487131382037848,,,0.9378561301764718,3288.4,0.028520135329536303,5022.6,0.018672721900538997,4984.9,0.018813940704456897,,,0.9411347141142266,2795.6,0.033664855992067054,4462.0,0.021092216811165992,4604.5,0.020439455187625726,,,0.9417989532054758,4537.7,0.02075498497488763,3396.0,0.027732595795214247,,,0.9452852601869468,3340.9,0.028294329677241065,
2,76.739484,30.740651,0.16622936205165872,11260.5,0.0014762165272559718,11260.5,0.0014762165272559718,11260.5,0.0014762165272559718,,,0.16622936205165872,4271.4,0.0038916833368838957,2341.6,0.0070989648980038745,8770.1,0.0018954101099378422,,,0.16684243731655943,3858.5,0.004324023255580133,1996.8,0.008355490650869362,8536.7,0.00195441373500954,,,0.1745449387451458,3414.4,0.005112023744878918,2274.9,0.007672642258787014,8588.7,0.002032262609535154,,,0.1807588585116352,2730.7,0.006619506299177325,2317.2,0.007800744800260453,8652.1,0.002089190583923385,,,0.1807588585116352,1537.6,0.011755909112359209,2524.9,0.007159050200468739,9248.9,0.0019543822347699207,,,0.23296927313115592,2645.0,0.008807912027642946,1889.5,0.012329678387465251,8520.4,0.0027342527713623294,,,0.26125162553271897,2333.7,0.011194739063835068,1676.8,0.015580368889117305,7720.6,0.003383825422023145,,,0.28032808938668685,3127.2,0.008964188071971312,1116.2,0.02511450361823032,7542.8,0.003716499037316207,,,0.2840145581129983,1040.4,0.02729859266753155,1780.7,0.0159496017360026,7190.7,0.003949748398806768,,,0.3174283926678765,3014.6,0.01052970187314657,3315.6,0.009573784312579216,7741.6,0.00410029441805152,,,0.3703039810494925,3187.1,0.01161883784787087,2783.3,0.01330449398374205,6897.2,0.005368903048331098,,,0.3703039810494925,3044.5,0.012163047497109294,3721.0,0.009951732895713316,5038.3,0.0073497803038622645,,,0.41056515770139856,4055.1,0.010124661727242202,1783.6,0.023018903212682136,4970.7,0.008259705025477267,,,0.41056515770139856,3025.9,0.013568365038547161,1906.5,0.02153502007350635,6022.2,0.006817527775586971,,,0.41056515770139856,1287.4,0.03189103291140271,4688.5,0.008756855235179663,,,0.41056515770139856,1474.0,0.02785380988476245,
