Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_140_0_0,fill_per_m_1_140_0_0,distance_from_97_1_0,fill_per_m_1_97_1_0,distance_from_96_2_0,fill_per_m_1_96_2_0,fill_per_m_1_97_1_1,fill_per_m_1_96_2_2,fill_ratio_2,distance_from_292_0_0,fill_per_m_2_292_0_0,distance_from_186_1_0,fill_per_m_2_186_1_0,distance_from_294_2_0,fill_per_m_2_294_2_0,fill_per_m_2_186_1_1,fill_per_m_2_294_2_2,fill_ratio_3,distance_from_106_0_0,fill_per_m_3_106_0_0,distance_from_245_1_0,fill_per_m_3_245_1_0,distance_from_105_2_0,fill_per_m_3_105_2_0,fill_per_m_3_245_1_1,fill_per_m_3_105_2_2,fill_ratio_4,distance_from_99_0_0,fill_per_m_4_99_0_0,distance_from_193_1_0,fill_per_m_4_193_1_0,distance_from_13_2_0,fill_per_m_4_13_2_0,fill_per_m_4_193_1_1,fill_per_m_4_13_2_2,fill_ratio_5,distance_from_180_0_0,fill_per_m_5_180_0_0,distance_from_195_1_0,fill_per_m_5_195_1_0,distance_from_24_2_0,fill_per_m_5_24_2_0,fill_per_m_5_195_1_1,fill_per_m_5_24_2_2,fill_ratio_6,distance_from_52_0_0,fill_per_m_6_52_0_0,distance_from_31_1_0,fill_per_m_6_31_1_0,distance_from_281_2_0,fill_per_m_6_281_2_0,fill_per_m_6_31_1_1,fill_per_m_6_281_2_2,fill_ratio_7,distance_from_200_0_0,fill_per_m_7_200_0_0,distance_from_169_1_0,fill_per_m_7_169_1_0,distance_from_229_2_0,fill_per_m_7_229_2_0,fill_per_m_7_169_1_1,fill_per_m_7_229_2_2,fill_ratio_8,distance_from_293_0_0,fill_per_m_8_293_0_0,distance_from_102_1_0,fill_per_m_8_102_1_0,distance_from_14_2_0,fill_per_m_8_14_2_0,fill_per_m_8_102_1_1,fill_per_m_8_14_2_2,fill_ratio_9,distance_from_258_0_0,fill_per_m_9_258_0_0,distance_from_201_1_0,fill_per_m_9_201_1_0,distance_from_117_2_0,fill_per_m_9_117_2_0,fill_per_m_9_201_1_1,fill_per_m_9_117_2_2,fill_ratio_10,distance_from_256_0_0,fill_per_m_10_256_0_0,distance_from_67_1_0,fill_per_m_10_67_1_0,distance_from_33_2_0,fill_per_m_10_33_2_0,fill_per_m_10_67_1_1,fill_per_m_10_33_2_2,fill_ratio_11,distance_from_183_0_0,fill_per_m_11_183_0_0,distance_from_130_1_0,fill_per_m_11_130_1_0,distance_from_108_2_0,fill_per_m_11_108_2_0,fill_per_m_11_130_1_1,fill_per_m_11_108_2_2,fill_ratio_12,distance_from_236_0_0,fill_per_m_12_236_0_0,distance_from_4_1_0,fill_per_m_12_4_1_0,distance_from_267_2_0,fill_per_m_12_267_2_0,fill_per_m_12_4_1_1,fill_per_m_12_267_2_2,fill_ratio_13,distance_from_66_0_0,fill_per_m_13_66_0_0,distance_from_127_1_0,fill_per_m_13_127_1_0,distance_from_227_2_0,fill_per_m_13_227_2_0,fill_per_m_13_127_1_1,fill_per_m_13_227_2_2,fill_ratio_14,distance_from_7_0_0,fill_per_m_14_7_0_0,distance_from_70_2_0,fill_per_m_14_70_2_0,fill_per_m_14_70_2_2
2,76.742851,30.7107,0.7646509503848735,10370.2,0.007373541015456534,10370.2,0.007373541015456534,10370.2,0.007373541015456534,,,0.7672539955727546,3162.7,0.024259461712231787,2717.3,0.028235895763175013,3010.2,0.025488472379667622,,,0.7822147940053419,2377.0,0.03290764804397736,1080.1,0.07242059013103805,3471.0,0.022535718640315238,,,0.7888087883734188,1858.0,0.04245472488554461,2257.2,0.034946340083883524,3185.8,0.02476014779249855,,,0.8086889434692626,2167.0,0.037318363796458816,2573.7,0.03142125902277898,5070.5,0.015948899388014248,,,0.8086889434692626,3126.3,0.025867285400289878,2472.4,0.032708661360186964,5007.1,0.016150844669953916,,,0.8218364963024296,4423.4,0.018579294124484103,3899.0,0.02107813532450448,4531.2,0.018137281433228056,,,0.8335152916317096,1663.0,0.05012118410292901,3766.6,0.022129116222367906,4794.0,0.017386635202997696,,,0.8439827515455582,1525.3,0.055332246216846404,3363.6,0.025091650361088066,5667.3,0.014892148845932951,,,0.8508895368744652,1453.2,0.05855281701585915,3656.4,0.023271237744077924,3368.7,0.025258691390579905,,,0.8531248406923136,2390.4,0.03568962686965837,5270.4,0.01618709852558276,4023.2,0.021205131256022906,,,0.8561502954291319,1806.7,0.047387518427471735,4191.0,0.020428305784517584,3738.7,0.022899678910560675,,,0.8579242282800625,1347.9,0.06364895231694209,3902.9,0.021981711759974955,2335.9,0.03672778065328407,,,0.8631432469992645,751.5,0.11485605415825209,5757.1,0.014992674210961498,2774.7,0.03110762413952011,,,0.0,1852.2,0.04729603862792408,1192.1,0.0734852132762696,0.0
2,76.739592,30.718233,0.8799146267270145,10536.4,0.008351188515308972,10536.4,0.008351188515308972,10536.4,0.008351188515308972,,,0.8799173531239332,4473.8,0.01966823177441846,3666.7,0.023997527834945135,3481.8,0.02527190973415857,,,0.8882760643453428,3011.0,0.029501031695295343,2606.8,0.03407534388312654,4182.8,0.02123639821041749,,,0.8945819485988954,2492.0,0.03589815203045327,2799.5,0.031955061568097715,3775.3,0.023695651964053065,,,0.8984128820371833,2921.1,0.03075597829712038,2344.7,0.03831675191014558,5236.7,0.01715608841516954,,,0.9035984993950239,3150.2,0.028683845450924512,1885.9,0.04791338349833098,5173.3,0.017466578381207815,,,0.9035984993950239,2706.1,0.0333911717746951,2181.7,0.041417174652565614,5413.3,0.016692193290507158,,,0.9035984993950239,1536.7,0.05880122986887642,2825.4,0.031981259269307845,5354.7,0.016874866928026293,,,0.9039745271445003,1665.2,0.05428624352297023,2422.4,0.0373173104006151,5833.5,0.015496263429236311,,,0.9089487940270351,1210.3,0.07510111493241635,2691.1,0.03377610620292948,4127.4,0.022022309299487213,,,0.9141914539156191,1210.4,0.07552804477161426,3553.1,0.0257294040110219,5105.0,0.0179077659924705,,,0.9205584084870039,2556.7,0.03600572646329268,3251.8,0.028309195168429908,4305.2,0.02138247720168642,,,0.926938922857045,2133.8,0.04344075934281774,3630.6,0.025531287469207433,3608.8,0.02568551659435394,,,0.9289074764742197,2024.6,0.04588103706777732,4824.9,0.019252367437132784,2495.7,0.037220318005939,,,0.0,957.0,0.0,1701.2,0.054974415295036834,
2,76.736267,30.703417,0.4608983382065819,11046.7,0.00417227170292107,11046.7,0.00417227170292107,11046.7,0.00417227170292107,,,0.4769447141336151,4984.1,0.009569324735330653,4177.0,0.01141835561727592,3992.1,0.011947213600200774,,,0.490390514128476,3115.7,0.01573933671818455,3117.1,0.01573226762466639,4181.8,0.011726780671683867,,,0.490390514128476,3002.3,0.01633382786958252,795.7,0.06163007592415181,3119.6,0.0157196600246338,,,0.4936415452298558,3431.3,0.014386429202630367,1302.6,0.03789663328956363,5747.0,0.008589551857140347,,,0.4936415452298558,4389.7,0.011245450605505065,1716.1,0.02876531351493828,5683.6,0.008685367464808497,,,0.5263729291971078,5099.9,0.010321240204653186,4575.5,0.011504161931966074,4655.1,0.011307446224508768,,,0.5263729291971078,3341.0,0.015754951487492,2663.1,0.019765421095606917,4224.7,0.012459415560799767,,,0.537911185230186,3203.2,0.016792931606836477,3015.8,0.01783643428709417,3649.6,0.014738907968823597,,,0.5486787309378883,3131.1,0.017523513491676673,3807.9,0.014408958505682615,2682.3,0.02045553185467279,,,0.5551354211436513,4068.3,0.013645390486042113,5946.9,0.009334870624083998,2952.1,0.018804763427514356,,,0.580214087965672,3067.0,0.01891796830667336,3891.4,0.01491016312806887,2152.3,0.026957863121575616,,,0.594369793249129,3025.8,0.019643393259605027,3215.0,0.018487396368557667,1832.9,0.032427835301932946,,,0.6271771418384281,1479.2,0.042399752693241484,4532.5,0.01383733352098021,2138.2,0.02933201486476607,,,0.6403091177243193,2079.6,0.030790013354698952,1793.2,0.03570762423178225,
2,76.724986,30.715899,0.8792795561570067,12534.1,0.007015099258478923,12534.1,0.007015099258478923,12534.1,0.007015099258478923,,,0.8846417579596116,6471.6,0.013669598831194939,5664.4,0.015617572169331469,5479.5,0.016144570817768256,,,0.8880791709650971,4984.9,0.017815385884673657,4604.5,0.019287201019982565,6078.8,0.014609448755759313,,,0.8948220558676518,4489.8,0.019930109489679982,2125.6,0.042097386896295254,4780.8,0.0187169941404713,,,0.9028714953671575,4918.8,0.018355523610782253,1382.7,0.06529771428127268,7234.5,0.012480081489628274,,,0.9028714953671575,5273.0,0.017122539263553147,1435.9,0.06287843828728723,7171.1,0.012590418420704737,,,0.9107547071904222,4828.9,0.018860500469888013,2903.6,0.03136639713426168,7139.0,0.012757454926326127,,,0.9145146192446525,3659.6,0.02498946932027141,1419.0,0.06444782376636028,6144.8,0.014882740190806088,,,0.9145146192446525,4133.2,0.022126067435513708,1771.7,0.05161791608312087,5310.8,0.017219903201865113,,,0.9145882991164814,3354.9,0.027261268565873242,2346.2,0.03898168524066497,4343.5,0.021056482079348023,,,0.9145882991164814,3324.0,0.027514690105790655,3399.5,0.02690361226993621,4613.3,0.019825034121268535,,,0.9212150946039886,4554.4,0.020226925491919654,2647.3,0.0347982886187432,3813.5,0.024156682695790972,,,0.9216186647386078,3955.8,0.023297908507472768,1971.0,0.04675893783554581,3753.0,0.02455685224456722,,,0.9261427309763546,1914.6,0.04837264864600202,3288.4,0.028163931728997525,4058.3,0.022820952886094044,,,0.9276136494327287,1703.9,0.0544406156131656,3280.6,0.02827573155620096,
2,76.756675,30.701723,0.3691361938092045,8122.3,0.004544724940093379,8122.3,0.004544724940093379,8122.3,0.004544724940093379,,,0.3899645377544686,2059.8,0.01893215544006547,3364.5,0.011590564355906333,1067.7,0.03652379299002235,,,0.4287411565346258,1255.5,0.03414903676102157,1810.4,0.023682123096256395,2477.7,0.017303997922856917,,,0.4287411565346258,1670.2,0.025670048888434067,3799.7,0.011283552820870749,1361.3,0.03149497954415822,,,0.48217639396977685,2773.3,0.017386377022672515,3924.6,0.012286000967481447,2822.7,0.017082098486193253,,,0.4985632912361137,4611.4,0.010811538605111543,3639.2,0.013699804661357269,2759.2,0.01806912479110299,,,0.5375614235899346,5321.5,0.010101689816591838,4797.2,0.011205733002375024,2999.2,0.017923493717989288,,,0.5652005604284258,2797.8,0.020201606992223384,5440.9,0.010387997581804956,2940.6,0.019220586289479216,,,0.5946418854566792,3946.3,0.015068339595486382,5037.9,0.011803368178341754,3419.4,0.01739024055263143,,,0.625544815875609,2971.0,0.02105502577837795,5306.5,0.011788275056545915,1713.3,0.03651110814659481,,,0.625544815875609,3825.9,0.016350265712005253,6168.5,0.01014095510862623,2690.9,0.023246676423338247,,,0.6426860491091847,3288.7,0.019542252230643865,5867.3,0.010953693336103227,1891.1,0.03398477336519405,,,0.6570688773509711,2865.7,0.022928739133578922,6246.0,0.010519834731843918,2613.2,0.02514422460397104,,,0.6890785185055205,3024.9,0.0227802082219419,7440.4,0.00926131012452987,776.4,0.08875302917381768,,,0.7162331917694139,3572.5,0.02004851481509906,2701.4,0.026513407557911227,
2,76.727989,30.713761,0.6313759776433766,12267.8,0.0051466112721382535,12267.8,0.0051466112721382535,12267.8,0.0051466112721382535,,,0.6421162467061357,6205.2,0.01034803465973918,5398.1,0.011895226963304414,5213.2,0.012317122817197415,,,0.6634972686721042,4718.6,0.014061316252110883,4338.2,0.015294298756906188,5812.5,0.011415006772853406,,,0.6820996402318958,4223.4,0.016150486343512238,1850.1,0.03686825794453791,4514.4,0.015109419640082755,,,0.6910887642848356,4652.5,0.014854137867487061,1116.3,0.061908874342455934,6968.1,0.0099178938919481,,,0.6910887642848356,5006.7,0.013803278891981456,1169.6,0.05908761664542028,6904.7,0.010008961494124807,,,0.7062872505061218,4562.6,0.015479929218123916,2777.2,0.025431630797426254,6872.7,0.010276707123926868,,,0.7079614833036812,3393.3,0.020863509955019635,1292.7,0.05476610840130589,4555.5,0.015540807448220421,,,0.7322705078166741,3866.8,0.01893737736155669,1645.4,0.04450410282099636,5044.5,0.014516215835398437,,,0.7322705078166741,3088.6,0.023708816545252677,2219.9,0.032986643894620214,4077.2,0.017960132145018008,,,0.7467818558784313,3057.6,0.024423791728101496,3273.1,0.02281573602634907,4347.0,0.017179246742084917,,,0.7683697825104181,4288.1,0.017918653541438356,2521.0,0.030478769635478704,3547.2,0.021661304197970743,,,0.7764932809572512,3865.2,0.020089342878951963,1844.6,0.04209548308344634,3486.6,0.02227078761421589,,,0.7878811466150022,1648.3,0.04779962061608944,3162.1,0.024916389317700332,4227.1,0.018638810215395946,,,0.7960594420686152,1437.6,0.05537419602591926,3014.3,0.026409429786969287,
2,76.737422,30.69957,0.1891957923903549,10464.8,0.0018079255445909612,10464.8,0.0018079255445909612,10464.8,0.0018079255445909612,,,0.2537715282297773,4402.3,0.005764521459913619,4140.1,0.0061295990007433935,3410.3,0.007441325637913886,,,0.2575969535096333,2736.5,0.009413373049867835,3085.4,0.008348899770196191,3802.6,0.006774232196645277,,,0.2575969535096333,2445.8,0.010532216596190747,1123.0,0.022938286154018994,2542.6,0.010131241780446524,,,0.2948615333038054,3548.9,0.008308533159677799,1630.0,0.018089664619865362,3455.3,0.008533601519515103,,,0.3106836403366805,5361.5,0.005794714918151273,2043.5,0.015203505766414509,3617.4,0.008588589604043802,,,0.3547284067632903,6071.7,0.005842324336895602,5547.3,0.006394613717723763,2958.3,0.01199095449289424,,,0.3547284067632903,3668.4,0.009669839896502297,6191.0,0.005729743284821358,2528.0,0.014031978115636482,,,0.39936685270075795,3530.6,0.011311585925926413,5788.0,0.006899911069467138,3072.7,0.012997261454120413,,,0.39936685270075795,3458.5,0.011547400685290095,4135.3,0.009657506171275552,2105.4,0.018968692538271013,,,0.39936685270075795,4395.7,0.009085398291529403,6918.7,0.005772281681540722,2375.2,0.016814030511146764,,,0.4518860968784817,3812.1,0.011853993779766578,6617.4,0.0068287559597195535,1575.4,0.02868389595521656,,,0.4568420867618462,3353.2,0.013624063186265245,6996.2,0.006529860306478463,1453.7,0.03142615992033061,,,0.48531739676309904,2517.5,0.01927775160925915,8190.5,0.005925369596033197,1759.1,0.027588960079762324,,,0.48531739676309904,4322.6,0.011227441742541503,1879.1,0.025827119193395726,
2,76.761706,30.696475,0.6970241660042995,7400.2,0.009418990919222449,7400.2,0.009418990919222449,7400.2,0.009418990919222449,,,0.7029537860400686,2891.2,0.024313564818762755,4196.0,0.01675295009628381,672.5,0.10452844402082806,,,0.7029537860400686,2018.2,0.03483072966207852,2641.9,0.026607887733830528,1505.1,0.046704789451868234,,,0.709243616704504,2501.7,0.028350466351061438,5042.1,0.014066432968495347,1612.2,0.043992284871883384,,,0.709243616704504,3604.8,0.01967497827076409,4756.1,0.01491229403722596,2100.6,0.03376385874057431,,,0.738284158872389,5442.9,0.0135641690803136,4470.6,0.016514207463704845,2037.1,0.036241920321652785,,,0.738284158872389,6153.0,0.011998767412195497,5628.6,0.013116657052773139,2565.3,0.028779642103160988,,,0.7465457030789219,3629.3,0.020569963989720382,6272.4,0.011902074215275204,2828.2,0.026396496113390917,,,0.7465457030789219,4578.4,0.01630582087801245,5869.4,0.01271928481750983,2697.3,0.02767751837314803,,,0.7465457030789219,4506.3,0.01656671111730071,6138.0,0.012162686593009479,2095.2,0.03563123821491609,,,0.7706811439436553,5443.5,0.014157823899029214,7000.0,0.011009730627766503,2826.2,0.027269165096017806,,,0.7766027716856407,4120.1,0.0188491243340123,6698.8,0.011593162531880946,2304.7,0.03369647987528272,,,0.7766027716856407,4401.0,0.017646052526372205,7077.5,0.010972840292273271,3567.1,0.021771264379626048,,,0.7846322003560552,3856.3,0.020346762449914558,8271.9,0.009485513610610079,2413.5,0.03251013881732153,,,0.7914074049964135,4404.0,0.017970195390472603,3174.3,0.024931714236096574,
2,76.757658,30.722922,0.7093888218243862,8161.8,0.008691573204738982,8161.8,0.008691573204738982,8161.8,0.008691573204738982,,,0.7267107044636864,3374.9,0.021532807030243455,1279.6,0.056792021292879524,4292.7,0.016928988852323395,,,0.7332916149893957,3015.2,0.02431983334403674,3116.0,0.023533107027901016,5529.2,0.01326216477952318,,,0.7547662913065829,3046.3,0.024776492509161373,4315.5,0.017489660324564546,5562.4,0.013569076141711905,,,0.772366129888237,1929.4,0.04003141546015534,4711.4,0.01639355881241748,7023.8,0.010996414047783778,,,0.7726892933729731,974.2,0.07931526312594674,4798.9,0.016101383512325183,6960.4,0.01110121966227477,,,0.7877444886668151,1183.7,0.06654933586777183,4556.2,0.017289506357640472,6589.4,0.011954722564525073,,,0.7877444886668151,3989.6,0.01974494908428953,5200.0,0.01514893247436183,6852.2,0.011496227323586806,,,0.8070639030411967,2408.5,0.03350898497160874,4797.0,0.016824346529939475,7620.5,0.01059069487620493,,,0.8070639030411967,2336.4,0.034543053545676966,5983.0,0.013489284690643434,5914.4,0.013645744336554794,,,0.8099460140262814,2703.6,0.029958056444232925,5927.6,0.013663978912650672,6892.1,0.011751802992212552,,,0.8115032867206479,1704.9,0.04759829237613044,5626.3,0.014423391691176223,6092.2,0.013320365167273692,,,0.8233447746018924,2231.1,0.03690308702442259,6005.1,0.013710758765081219,4394.1,0.018737506533804245,,,0.8267602131910958,3811.7,0.021690065146551297,7199.5,0.01148357820947421,4833.0,0.017106563484193996,,,0.8355108243101911,3331.6,0.025078365479355,3488.2,0.023952491953161837,
2,76.735379,30.734311,0.7755052967189994,12793.8,0.006061571204169202,12793.8,0.006061571204169202,12793.8,0.006061571204169202,,,0.7756620447999053,6731.2,0.011523384311859777,4852.5,0.015984792267901192,5739.2,0.01351515968775971,,,0.7973293295670828,5595.9,0.014248455647296822,4864.1,0.016392124536236567,6689.9,0.011918404304505043,,,0.7973293295670828,4749.4,0.016788001212091692,5056.8,0.01576746815312219,6032.7,0.013216790650406665,,,0.8149522267901567,4106.8,0.019843971627304877,4392.0,0.018555378569903386,7494.1,0.010874584363568095,,,0.8149522267901567,4372.6,0.018637703581168105,3933.3,0.020719299997207348,7430.7,0.01096736817244885,,,0.8288640843976578,3928.5,0.02109874212543357,1929.5,0.042957454490679337,7750.1,0.010694882445357578,,,0.8347236946899592,3794.1,0.022000571800689473,2573.2,0.032439130059457456,7612.1,0.01096574788415758,,,0.8419589137781877,4744.2,0.017747120985164785,1856.6,0.04534950521265688,8090.9,0.010406245458208454,,,0.8476285193822015,3467.7,0.024443536620301687,1468.3,0.05772856496507536,6384.7,0.013275933393616013,,,0.8502551959054295,3467.8,0.024518576501108183,2330.3,0.03648694141979271,7362.4,0.01154861452658684,,,0.8643876071069675,3871.3,0.022328096688630887,2029.0,0.042601656338440985,6562.6,0.013171419972373258,,,0.8777580962911903,4391.1,0.019989480911188316,2407.8,0.03645477599016489,5554.8,0.01580179477733114,,,0.8782173130326522,4282.0,0.020509512214681273,3602.2,0.024380026456961083,4753.1,0.018476727041986326,,,0.8782173130326522,3004.4,0.029231038244995743,3958.6,0.022185048073375742,
