Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_96_0_0,fill_per_m_1_96_0_0,distance_from_288_1_0,fill_per_m_1_288_1_0,distance_from_13_2_0,fill_per_m_1_13_2_0,fill_per_m_1_288_1_1,fill_per_m_1_13_2_2,fill_ratio_2,distance_from_208_0_0,fill_per_m_2_208_0_0,distance_from_292_1_0,fill_per_m_2_292_1_0,distance_from_24_2_0,fill_per_m_2_24_2_0,fill_per_m_2_292_1_1,fill_per_m_2_24_2_2,fill_ratio_3,distance_from_294_0_0,fill_per_m_3_294_0_0,distance_from_140_1_0,fill_per_m_3_140_1_0,distance_from_229_2_0,fill_per_m_3_229_2_0,fill_per_m_3_140_1_1,fill_per_m_3_229_2_2,fill_ratio_4,distance_from_14_0_0,fill_per_m_4_14_0_0,distance_from_97_1_0,fill_per_m_4_97_1_0,distance_from_105_2_0,fill_per_m_4_105_2_0,fill_per_m_4_97_1_1,fill_per_m_4_105_2_2,fill_ratio_5,distance_from_281_0_0,fill_per_m_5_281_0_0,distance_from_106_1_0,fill_per_m_5_106_1_0,distance_from_33_2_0,fill_per_m_5_33_2_0,fill_per_m_5_106_1_1,fill_per_m_5_33_2_2,fill_ratio_6,distance_from_108_0_0,fill_per_m_6_108_0_0,distance_from_68_1_0,fill_per_m_6_68_1_0,distance_from_182_2_0,fill_per_m_6_182_2_0,fill_per_m_6_68_1_1,fill_per_m_6_182_2_2,fill_ratio_7,distance_from_117_0_0,fill_per_m_7_117_0_0,distance_from_66_1_0,fill_per_m_7_66_1_0,distance_from_189_2_0,fill_per_m_7_189_2_0,fill_per_m_7_66_1_1,fill_per_m_7_189_2_2,fill_ratio_8,distance_from_227_0_0,fill_per_m_8_227_0_0,distance_from_110_1_0,fill_per_m_8_110_1_0,distance_from_245_2_0,fill_per_m_8_245_2_0,fill_per_m_8_110_1_1,fill_per_m_8_245_2_2,fill_ratio_9,distance_from_267_0_0,fill_per_m_9_267_0_0,distance_from_193_1_0,fill_per_m_9_193_1_0,distance_from_201_2_0,fill_per_m_9_201_2_0,fill_per_m_9_193_1_1,fill_per_m_9_201_2_2,fill_ratio_10,distance_from_70_0_0,fill_per_m_10_70_0_0,distance_from_195_1_0,fill_per_m_10_195_1_0,distance_from_130_2_0,fill_per_m_10_130_2_0,fill_per_m_10_195_1_1,fill_per_m_10_130_2_2,fill_ratio_11,distance_from_236_0_0,fill_per_m_11_236_0_0,distance_from_247_1_0,fill_per_m_11_247_1_0,distance_from_4_2_0,fill_per_m_11_4_2_0,fill_per_m_11_247_1_1,fill_per_m_11_4_2_2,fill_ratio_12,distance_from_258_0_0,fill_per_m_12_258_0_0,distance_from_225_1_0,fill_per_m_12_225_1_0,distance_from_126_2_0,fill_per_m_12_126_2_0,fill_per_m_12_225_1_1,fill_per_m_12_126_2_2,fill_ratio_13,distance_from_102_1_0,fill_per_m_13_102_1_0,distance_from_67_2_0,fill_per_m_13_67_2_0,fill_per_m_13_102_1_1,fill_per_m_13_67_2_2,fill_ratio_14,distance_from_169_1_0,fill_per_m_14_169_1_0,distance_from_170_2_0,fill_per_m_14_170_2_0,fill_per_m_14_169_1_1,fill_per_m_14_170_2_2,fill_ratio_15,distance_from_264_1_0,fill_per_m_15_264_1_0,distance_from_278_2_0,fill_per_m_15_278_2_0,fill_per_m_15_264_1_1,fill_per_m_15_278_2_2,fill_ratio_16,distance_from_127_2_0,fill_per_m_16_127_2_0,fill_per_m_16_127_2_2
2,76.721468,30.736991,0.8586981212445739,13539.8,0.006342029581268363,13539.8,0.006342029581268363,13539.8,0.006342029581268363,,,0.8586981212445739,6485.2,0.013240888812134921,5946.1,0.014441366967332768,8240.1,0.010420967236375454,,,0.8605671030389721,6777.6,0.012697224726141584,6049.8,0.014224719875681378,8176.7,0.010524626108808836,,,0.8605671030389721,7143.7,0.012046517953427104,7477.2,0.011509216057333923,8466.7,0.010164138366057283,,,0.8721339797485662,8836.9,0.00986922993072872,6670.1,0.013075275929124993,6778.8,0.01286561013377834,,,0.8757015477189591,8203.9,0.010674210408695367,5495.4,0.015935173922170528,8108.4,0.010799930291043352,,,0.8757015477189591,7308.6,0.011981796072010496,4276.5,0.020477061796304433,6281.9,0.013940074622629446,,,0.8765226049716833,7130.8,0.01229206547612727,5028.0,0.017432828261171106,5954.5,0.014720339322725389,,,0.8842860488062135,6447.4,0.013715389906104996,5485.0,0.01612189697003124,5930.0,0.014912075022027209,,,0.8842860488062135,6008.6,0.01471700643754308,5296.3,0.016696298336691905,1669.6,0.05296394638273919,,,0.8927633998185986,4704.6,0.0189763933133231,4529.9,0.019708236380904628,1216.1,0.07341200557672878,,,0.8941264895073955,5020.6,0.017809156067151246,4135.9,0.02161866799263511,1719.8,0.0519901435927082,,,0.8947925130396213,4268.8,0.02096121891490867,4262.3,0.020993184736870264,939.2,0.09527177523846053,,,0.9050477188942888,2602.6,0.034774752896883455,696.6,0.1299235887014483,,,0.9056639523577177,3319.2,0.027285609555245772,426.7,0.2122484069270489,,,0.9086855241009113,2107.9,0.043108568912230714,1046.7,0.08681432350252329,,,0.9137912511749998,1227.0,0.07447361460268948,
2,76.704889,30.732946,0.33161684910783396,16295.3,0.002035045989382423,16295.3,0.002035045989382423,16295.3,0.002035045989382423,,,0.33161684910783396,9240.8,0.0035886162356920824,8177.6,0.00405518549584027,10995.7,0.0030158775622091717,,,0.3811859674253043,10085.2,0.0037796569966416557,8281.3,0.004602972569829668,10932.3,0.0034867865629858706,,,0.4089755760527498,9375.2,0.004362313081883585,10232.8,0.0039967122982248245,10698.2,0.0038228447407297472,,,0.4370556408223856,11592.4,0.0037701911668195165,9425.6,0.004636899940824835,9534.3,0.004584034914177083,,,0.4856620344476218,10435.4,0.00465398580262972,8251.0,0.005886099072204846,10864.0,0.0044703795512483595,,,0.5080364865914762,10064.2,0.005047956982089745,7032.1,0.007224534443359396,5829.8,0.008714475395236133,,,0.5172968240249757,9886.3,0.00523246132552093,7783.6,0.0066459841721693775,5502.4,0.009401294417435587,,,0.5172968240249757,8679.0,0.005960327503456339,4963.9,0.010421177381191719,5315.8,0.009731307122633953,,,0.5396911748069418,8240.1,0.006549570694614651,4617.0,0.011689217561337272,2916.2,0.018506658487310264,,,0.5626591096282687,7460.2,0.007542145111770043,4670.3,0.012047601002682241,2118.5,0.026559316007942823,,,0.5772356753759236,7252.1,0.007959565855075406,3739.9,0.01543452165501547,1933.3,0.029857532476900824,,,0.6036940083877885,6500.4,0.009287028619589388,3866.3,0.01561425674127172,1689.0,0.03574268847766658,,,0.6036940083877885,3284.3,0.018381207818645936,2292.9,0.026328841571276046,,,0.6286019945232646,3403.1,0.018471452338258195,2286.4,0.02749308933359275,,,0.6587396776545886,4339.4,0.01518043226378275,1338.3,0.049222123414375596,,,0.6636687217687086,1859.9,0.035683032516194875,
2,76.732014,30.741725,0.8969952893644111,13978.4,0.006417009739057482,13978.4,0.006417009739057482,13978.4,0.006417009739057482,,,0.9013080465727106,6923.8,0.013017534396902142,6221.5,0.014486989416904454,8678.7,0.010385288655820692,,,0.9036518157020641,7053.0,0.012812304206749808,6325.2,0.01428653348039689,8615.3,0.010488918734136526,,,0.9126137885413569,7419.1,0.012300869223239433,7915.8,0.01152901524219102,8742.1,0.010439297062963782,,,0.91731833972953,9275.5,0.009889691550100048,5844.2,0.015696217441729065,7217.3,0.012709993207009962,,,0.9221018195360264,8479.3,0.010874739890510143,5934.0,0.015539295913987637,8547.0,0.010788602077173587,,,0.9226318178331662,7747.2,0.011909229371039422,4715.1,0.01956759809618388,6971.7,0.013233957540243644,,,0.925074087488669,7569.3,0.012221395472351064,5466.6,0.016922293335687063,5999.9,0.01541815842745161,,,0.9299878844322577,6722.9,0.013833135766295166,5923.5,0.015699972726129108,6205.4,0.014986751610407995,,,0.9299878844322577,6284.0,0.014799297969959543,5571.8,0.01669097750156606,2718.4,0.03421085507770224,,,0.9299878844322577,5143.2,0.01808189229336323,4805.3,0.01935337823720179,2381.9,0.03904395165339677,,,0.9366409903147683,5296.1,0.017685485363092997,4411.4,0.021232284315971538,2885.6,0.03245914161057556,,,0.93973893496315,4544.3,0.020679509164517086,4537.7,0.02070958712482425,2105.0,0.04464317980822565,,,0.9456530849947284,3041.2,0.03109473513727241,1862.4,0.05077604623038705,,,0.9481283998676941,3799.7,0.024952717316306397,2428.5,0.039041729457183205,,,0.9513207281267388,1341.1,0.0709358532642412,2953.8,0.032206673712734064,,,0.9550252498408568,3134.2,0.030471101073347485,
2,76.729602,30.744926,0.5044559416693554,14470.7,0.003486050720900546,14470.7,0.003486050720900546,14470.7,0.003486050720900546,,,0.5442184853372314,7416.1,0.007338338012395077,6706.4,0.008114912402141706,9171.1,0.005934059004233203,,,0.5596614333394295,7537.9,0.007424633297595213,6810.0,0.008218229564455646,9107.7,0.006144926088248729,,,0.5810186458825226,7904.0,0.007350944406408434,7595.7,0.007649310081789994,9227.0,0.00629693991419229,,,0.5977771885453861,9767.8,0.006119875392057435,5925.9,0.01008753418966547,7709.7,0.007753572623388537,,,0.6126985975108439,8964.2,0.006834950107213626,6426.4,0.009534087475271442,9039.4,0.006778089226174789,,,0.6252010660848026,8239.5,0.007587852006612083,5207.5,0.012005781393851226,7456.5,0.008384645156370987,,,0.6566972261925779,7801.7,0.008417360654633962,5959.0,0.011020258872169455,6484.7,0.01012687134628553,,,0.6814512327078788,7207.7,0.009454489403108881,6415.9,0.01062128824806931,6690.3,0.010185660324766883,,,0.7106543821779917,6768.9,0.010498816383429978,6056.6,0.011733553184591877,3203.3,0.02218507108850222,,,0.7106543821779917,5635.5,0.01261031642583607,5290.2,0.013433412388529577,2915.5,0.024375043120493628,,,0.7106543821779917,5780.9,0.012293144357764218,4896.2,0.014514406727216857,4029.4,0.017636729591948966,,,0.7106543821779917,5029.1,0.0141308461191464,5022.6,0.014149133559869223,2623.0,0.027093190323217373,,,0.7345794409877447,3533.6,0.020788415241899047,2354.7,0.03119630700249479,,,0.7565459188089019,4284.6,0.017657329011083925,2561.0,0.029541035486485824,,,0.763003015434058,1833.5,0.041614563154298234,2171.3,0.03514037744365394,,,0.7768828465835176,2792.8,0.027817346268387194,
2,76.713972,30.720256,0.3702321856845767,14292.5,0.0025903948622324766,14292.5,0.0025903948622324766,14292.5,0.0025903948622324766,,,0.4223469644881288,7237.9,0.005835214143441176,6524.0,0.006473742558064513,8992.8,0.004696501250868793,,,0.4223469644881288,7355.5,0.005741920528694567,6627.7,0.006372451446023943,8929.4,0.004729847072458719,,,0.4244531481568659,7721.6,0.005496958508040638,8229.9,0.0051574520730126245,9044.6,0.004692890212467837,,,0.45334245792894173,6973.8,0.006500651838724106,7422.8,0.006107431938472567,7531.4,0.006019365030790314,,,0.4676019786938142,8781.8,0.005324671237033572,6248.1,0.007483906766758122,6276.3,0.007450280877169897,,,0.514932195307586,5476.5,0.009402578203370511,5029.2,0.0102388490278292,7274.1,0.007078981527715952,,,0.5476854693112698,6006.5,0.009118213091005908,3577.6,0.01530873963862002,3493.0,0.015679515296629542,,,0.5894671825921148,7025.3,0.008390633604146654,3392.5,0.017375598602567866,3698.6,0.015937575909590516,,,0.6026048942442835,6586.5,0.009149091235774441,2960.2,0.020356897988118492,1217.5,0.049495268521091054,,,0.6110328988238961,5457.3,0.011196615520933357,3812.9,0.016025411073563325,1950.4,0.031328594074235855,,,0.6110328988238961,5598.5,0.010914225217895795,2122.6,0.028787001734848588,1274.1,0.04795800163440045,,,0.6122959050176852,4846.7,0.01263325365749242,2249.0,0.02722525144587306,2098.7,0.029175008577580652,,,0.6376024416675404,2017.4,0.03160515721560129,2702.6,0.0235921868447991,,,0.6376024416675404,1743.7,0.036566063065179816,2453.8,0.02598428729593041,,,0.6714515692063112,2685.8,0.025000058426029904,3209.5,0.02092075305207388,,,0.6904067150056253,2591.5,0.02664120065620781,
2,76.724239,30.739403,0.062431327277780335,13288.7,0.0004698076356436697,13288.7,0.0004698076356436697,13288.7,0.0004698076356436697,,,0.1104142596168823,6234.1,0.0017711339185589306,6700.9,0.001647752684219766,7989.1,0.0013820613037373707,,,0.1955596094820209,7532.3,0.0025962801465956066,6804.5,0.002873974714997735,7925.7,0.0024674112000456854,,,0.2343350311866802,7898.4,0.0029668671020292746,7226.2,0.0032428528297954694,9221.5,0.0025411812740517292,,,0.2343350311866802,8585.8,0.0027293325163255636,6419.0,0.003650647003998757,6527.7,0.0035898560164633825,,,0.30835448440432395,8958.7,0.0034419556900479303,5244.3,0.005879802536169249,7857.4,0.0039243831853326035,,,0.3196528216660693,7057.5,0.004529264210642143,4025.5,0.007940698588152263,7451.0,0.004290066053765525,,,0.36750008941349754,6879.7,0.005341803994556413,4777.0,0.0076931147040715415,6479.2,0.005671997922791356,,,0.42856470691957294,7202.2,0.005950469397122725,5233.9,0.00818824790155664,6684.7,0.0064111285011978535,,,0.4517839646684534,6763.4,0.006679835063258915,6051.1,0.007466146067135784,3197.7,0.01412840368603851,,,0.46566473476373776,4453.5,0.010456152122235047,5284.6,0.008811730968545164,1692.3,0.02751667758457353,,,0.5109114436209536,5775.4,0.008846338671277378,4890.7,0.010446591359538586,2196.0,0.023265548434469655,,,0.5192657465236595,5023.6,0.010336526525273896,5017.1,0.010349918210194325,1415.3,0.03668944722134244,,,0.5360917755863641,2351.6,0.02279689469239514,1172.7,0.045714315305394736,,,0.5594597344366908,3068.2,0.01823413514232093,1433.9,0.0390166493086471,,,0.5612695780334398,2862.6,0.019606985888124075,1551.4,0.03617826337717157,,,0.5759277655325327,2444.6,0.0235591820965611,
2,76.740917,30.734954,0.8973857174637149,13081.1,0.006860170149786447,13081.1,0.006860170149786447,13081.1,0.006860170149786447,,,0.9000192843667492,6034.9,0.014913574116667206,5298.0,0.016987906462188545,7781.5,0.011566141288527265,,,0.9000192843667492,6129.5,0.014683404590370326,5401.7,0.016661778409884836,7718.1,0.011661150857941062,,,0.9000192843667492,6495.6,0.013855829859701168,6187.4,0.014546001298877545,7818.7,0.011511111621711399,,,0.9013225642894251,8378.2,0.010757949968840861,3807.9,0.02366980656764687,6210.5,0.014512882445687547,,,0.9073919149003555,7555.8,0.012009210340405457,4882.7,0.018583814588247396,7566.7,0.011991910805243443,,,0.9085554752241092,6763.4,0.01343341330135892,4399.9,0.020649457379124735,6048.2,0.01502191520161551,,,0.917046607167462,6393.4,0.01434364512102265,4637.2,0.019775869213479298,5076.4,0.01806490046425542,,,0.919566192428114,5799.4,0.01585622982425965,5157.0,0.01783141734396188,5281.9,0.017409761495448872,,,0.9229233623505707,5360.5,0.017217113372830346,4648.3,0.019855073088022947,2035.0,0.04535249937840642,,,0.9247294611683031,4216.8,0.021929649524955016,3881.8,0.023822182007530092,2569.6,0.03598729223102052,,,0.92769655426139,4372.6,0.021216131232250603,3487.9,0.026597567426284868,2952.0,0.031426035035954945,,,0.9348297916257831,2382.0,0.03924558319167855,3614.3,0.025864753662556594,3106.5,0.030092702128626525,,,0.9384103199836504,2473.2,0.037943163512196766,2458.6,0.038168482875768746,,,0.9404943168426654,2876.2,0.032699197442551474,3396.8,0.02768765652504314,,,0.9461401595164999,856.9,0.11041430266267942,3922.1,0.024123305359794494,,,0.948112972149736,4135.7,0.022925090604969802,
2,76.74202,30.744061,0.8591117576469165,11692.9,0.007347294149842353,11692.9,0.007347294149842353,11692.9,0.007347294149842353,,,0.8729574023078905,7423.8,0.011758902479968351,6687.0,0.013054544673364596,9084.6,0.009609200210332767,,,0.8834256825265936,7518.4,0.01175018198721262,5378.7,0.01642452047012463,9021.2,0.00979277349495182,,,0.890005330375703,7884.6,0.011287894507973809,5212.0,0.017076080782342726,9207.6,0.009665986037357214,,,0.9003595069297613,9681.3,0.009299985610710972,4435.0,0.020301229017581992,7599.4,0.011847770967836426,,,0.9035127013853533,8944.8,0.010100982709343455,6271.6,0.014406414653124453,8952.9,0.010091843998987516,,,0.9035127013853533,8152.3,0.011082917721199579,5788.8,0.015607944675672907,7437.1,0.012148723311308887,,,0.9098375400251928,7782.3,0.011691113681369167,6026.1,0.015098281475999282,6465.3,0.014072626792649881,,,0.9178707797468952,7188.3,0.012768954825854446,6545.9,0.01402207152182122,6670.8,0.013759530787115417,,,0.9179415669431175,6749.5,0.01360014174299011,6037.2,0.015204756624645821,3183.9,0.02883072857009069,,,0.9245959740652571,5605.7,0.01649385400690827,5270.8,0.017541852737065662,3630.3,0.02546885860852428,,,0.9289149093831496,4594.7,0.020217095988489992,4876.8,0.019047631836104608,3998.2,0.023233327732058166,,,0.9311812252118145,3718.1,0.025044544934558363,5003.2,0.018611713007911226,3337.8,0.027898053364845538,,,0.9336901266988967,3527.6,0.026468140568627303,2690.0,0.034709670137505456,,,0.9336901266988967,4265.1,0.021891400593160693,3628.2,0.025734251879689564,,,0.9380529842239416,1630.3,0.05753867289602783,4153.4,0.02258518284354846,,,0.942729566019134,4367.1,0.0215870844729714,
2,76.739919,30.725365,0.8461242105302316,11468.3,0.007377939280714941,11468.3,0.007377939280714941,11468.3,0.007377939280714941,,,0.8539373743513045,4413.7,0.019347426747429695,3722.8,0.022938040570304727,6168.6,0.013843293038149733,,,0.8545669058591782,4554.2,0.018764369282402577,3826.4,0.02233344412134586,6105.2,0.013997361361776489,,,0.8593348256897424,4920.3,0.017465090049178757,4423.5,0.01942658134259619,6243.4,0.01376389188086207,,,0.8593348256897424,6765.4,0.012701907140593941,3723.6,0.023078064928825397,4707.2,0.018255753434945243,,,0.8653602437590553,5980.5,0.014469697245365024,3423.9,0.0252741097508413,6036.9,0.014334513471468061,,,0.8653602437590553,5237.1,0.01652365323860639,2205.0,0.039245362528755344,4472.9,0.01934673799456852,,,0.8653602437590553,5059.3,0.017104347316013187,2956.5,0.029269752875327425,3501.1,0.024716810252750715,,,0.8774214849324621,4224.1,0.020771797185967708,3413.5,0.02570445246616265,3706.6,0.023671868691859443,,,0.8818531908677842,3785.3,0.023296784689926405,3073.0,0.02869681714506294,2739.4,0.0321914722518721,,,0.883739597838136,2633.1,0.03356270547408515,2306.5,0.03831517874867271,2861.5,0.03088378814740996,,,0.8892259554040786,2797.3,0.031788723247562954,2963.8,0.030002900175588047,3240.2,0.0274435514907746,,,0.8950638320148571,1313.8,0.06812786055829327,3230.2,0.027709238809202435,3405.3,0.026284434029743547,,,0.9030619356859411,2032.1,0.04443983739412141,3162.7,0.028553512368733713,,,0.9082001604607798,2849.6,0.03187114544008913,4101.2,0.02214474203795913,,,0.9093648509865877,1857.5,0.04895638497908951,4626.5,0.019655567945241276,,,0.9144414705450723,4434.6,0.02062060773339359,
2,76.739675,30.751624,0.9345438807155155,11498.4,0.008127599324388746,11498.4,0.008127599324388746,11498.4,0.008127599324388746,,,0.9403457825859043,8509.3,0.011050800683791903,7772.5,0.012098369669808998,10254.9,0.009169721621721366,,,0.9403457825859043,8604.0,0.010929169951021668,7876.1,0.011939231124362366,10191.5,0.009226765270920907,,,0.9440276064470203,8970.1,0.010524159222829402,6298.9,0.014987181991252764,10293.1,0.009171460555585978,,,0.9440276064470203,10851.6,0.008699432401185266,5521.9,0.017096064877071666,8684.9,0.010869757929820957,,,0.9472228125652866,10030.3,0.009443613975307684,7357.1,0.012874948180197177,10123.2,0.009356950495547717,,,0.9472746796236866,9237.8,0.010254331979732044,6291.3,0.015056898886139376,8522.6,0.011114855556094228,,,0.9496963730347923,8867.8,0.010709492467520607,7042.7,0.013484833558646433,7550.8,0.012577427200227689,,,0.9496963730347923,8273.8,0.011478357865005106,7631.4,0.012444589105993558,7756.4,0.012244035545288953,,,0.951923282919154,7835.0,0.01214962709533062,7122.7,0.013364640977707247,4269.4,0.022296418300443953,,,0.951923282919154,6719.3,0.014167000772686946,6356.3,0.014976059703273193,3981.6,0.023908059145046064,,,0.9533996599748066,6847.0,0.013924341463046686,5962.3,0.015990467772081355,4461.8,0.021368050113738997,,,0.9547846878513534,4805.1,0.019870235538310407,6088.7,0.015681256883264955,3689.1,0.02588123628666486,,,0.9557229575551793,4613.1,0.02071758595207516,3438.5,0.027794763924827083,,,0.9568150793518028,5350.7,0.017882054298536693,3979.5,0.02404360043602972,,,0.9568150793518028,2717.3,0.035211978042608574,4504.7,0.021240372929424885,,,0.958212217829,4718.4,0.02030799037447016,
