Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_73_0_0,fill_per_m_1_73_0_0,distance_from_233_1_0,fill_per_m_1_233_1_0,distance_from_281_2_0,fill_per_m_1_281_2_0,fill_per_m_1_233_1_1,fill_per_m_1_281_2_2,fill_ratio_2,distance_from_65_0_0,fill_per_m_2_65_0_0,distance_from_155_1_0,fill_per_m_2_155_1_0,distance_from_24_2_0,fill_per_m_2_24_2_0,fill_per_m_2_155_1_1,fill_per_m_2_24_2_2,fill_ratio_3,distance_from_178_0_0,fill_per_m_3_178_0_0,distance_from_237_1_0,fill_per_m_3_237_1_0,distance_from_13_2_0,fill_per_m_3_13_2_0,fill_per_m_3_237_1_1,fill_per_m_3_13_2_2,fill_ratio_4,distance_from_257_0_0,fill_per_m_4_257_0_0,distance_from_151_1_0,fill_per_m_4_151_1_0,distance_from_14_2_0,fill_per_m_4_14_2_0,fill_per_m_4_151_1_1,fill_per_m_4_14_2_2,fill_ratio_5,distance_from_111_0_0,fill_per_m_5_111_0_0,distance_from_89_1_0,fill_per_m_5_89_1_0,distance_from_229_2_0,fill_per_m_5_229_2_0,fill_per_m_5_89_1_1,fill_per_m_5_229_2_2,fill_ratio_6,distance_from_58_0_0,fill_per_m_6_58_0_0,distance_from_41_1_0,fill_per_m_6_41_1_0,distance_from_117_2_0,fill_per_m_6_117_2_0,fill_per_m_6_41_1_1,fill_per_m_6_117_2_2,fill_ratio_7,distance_from_171_0_0,fill_per_m_7_171_0_0,distance_from_296_1_0,fill_per_m_7_296_1_0,distance_from_33_2_0,fill_per_m_7_33_2_0,fill_per_m_7_296_1_1,fill_per_m_7_33_2_2,fill_ratio_8,distance_from_79_0_0,fill_per_m_8_79_0_0,distance_from_234_1_0,fill_per_m_8_234_1_0,distance_from_108_2_0,fill_per_m_8_108_2_0,fill_per_m_8_234_1_1,fill_per_m_8_108_2_2,fill_ratio_9,distance_from_135_0_0,fill_per_m_9_135_0_0,distance_from_275_1_0,fill_per_m_9_275_1_0,distance_from_182_2_0,fill_per_m_9_182_2_0,fill_per_m_9_275_1_1,fill_per_m_9_182_2_2,fill_ratio_10,distance_from_163_0_0,fill_per_m_10_163_0_0,distance_from_126_1_0,fill_per_m_10_126_1_0,distance_from_189_2_0,fill_per_m_10_189_2_0,fill_per_m_10_126_1_1,fill_per_m_10_189_2_2,fill_ratio_11,distance_from_174_0_0,fill_per_m_11_174_0_0,distance_from_127_1_0,fill_per_m_11_127_1_0,distance_from_110_2_0,fill_per_m_11_110_2_0,fill_per_m_11_127_1_1,fill_per_m_11_110_2_2,fill_ratio_12,distance_from_278_0_0,fill_per_m_12_278_0_0,distance_from_130_1_0,fill_per_m_12_130_1_0,distance_from_193_2_0,fill_per_m_12_193_2_0,fill_per_m_12_130_1_1,fill_per_m_12_193_2_2,fill_ratio_13,distance_from_170_0_0,fill_per_m_13_170_0_0,distance_from_4_1_0,fill_per_m_13_4_1_0,distance_from_195_2_0,fill_per_m_13_195_2_0,fill_per_m_13_4_1_1,fill_per_m_13_195_2_2,fill_ratio_14,distance_from_169_1_0,fill_per_m_14_169_1_0,distance_from_247_2_0,fill_per_m_14_247_2_0,fill_per_m_14_169_1_1,fill_per_m_14_247_2_2,fill_ratio_15,distance_from_102_1_0,fill_per_m_15_102_1_0,distance_from_225_2_0,fill_per_m_15_225_2_0,fill_per_m_15_102_1_1,fill_per_m_15_225_2_2
2,76.733378,30.717856,0.683870124909032,11159.2,0.006128307807988315,11159.2,0.006128307807988315,11159.2,0.006128307807988315,,,0.6934417512571589,4993.3,0.013887444200371676,4093.2,0.01694131122977521,5830.3,0.011893757632663137,,,0.7045821985551596,4670.0,0.015087413245292497,6446.8,0.01092917724382887,5590.3,0.012603656307446105,,,0.7045821985551596,5162.5,0.013648081327944981,6005.0,0.01173325892681365,5773.9,0.012202881909197591,,,0.7241482487426993,4753.8,0.015233039857434039,6915.2,0.010471833768259766,6264.1,0.01156029196121868,,,0.740214822338031,5813.9,0.012731812076885242,5438.8,0.01360989229863262,6093.1,0.012148410863731614,,,0.7440101945615266,6596.1,0.011279546922598607,4594.9,0.016192086760572086,4667.9,0.01593886318390554,,,0.746165961796188,6205.5,0.01202426817816756,5711.3,0.013064730653199585,5841.2,0.012774189580842771,,,0.7654286180985381,5765.2,0.013276705371861135,4162.5,0.018388675509874792,5037.8,0.015193707930019814,,,0.7777907087756079,5934.0,0.013107359433360428,2915.8,0.026675036311667732,4322.6,0.017993585082487572,,,0.7796407712940512,4189.0,0.018611620226642422,4201.8,0.01855492339697394,2079.6,0.03748993899278953,,,0.7934904347601608,3499.4,0.02267504242899242,5231.1,0.01516871087840341,2055.4,0.03860515883819017,,,0.8059593327403728,5017.4,0.016063286418072566,3665.0,0.021990704849669106,1546.7,0.052108316592769946,,,0.8112433588777815,4492.2,0.01805893234668496,2942.0,0.02757455332691304,780.3,0.1039655720719956,,,0.8112433588777815,2493.0,0.03254084873155963,1437.6,0.05643039502488743,,,0.0,1102.4,0.07483746851205189,1703.9,0.04841881876148014,,0.0
2,76.713972,30.720256,0.4237701199309234,14292.5,0.002964982472841864,14292.5,0.002964982472841864,14292.5,0.002964982472841864,,,0.4480704610329809,7179.1,0.006241318006894749,7044.7,0.006360390946853392,8781.8,0.00510226219035939,,,0.4710949898498378,6528.2,0.00721630755567902,5651.2,0.008336193903061966,8929.4,0.005275774294463657,,,0.5074714477572215,4843.9,0.010476505455464018,5686.3,0.008924457868160695,8992.8,0.005643086110635415,,,0.5212194204229511,4435.1,0.011752145846157946,6892.3,0.007562343781073823,6973.8,0.007473965706257006,,,0.5451881114067941,5703.3,0.00955916945289208,6240.2,0.008736708942129965,9044.6,0.006027774709846694,,,0.5597428246841475,6490.2,0.008624431060431844,4556.6,0.012284221232588936,6006.5,0.009318951547226296,,,0.5992573293670753,5886.8,0.010179678762096135,5392.6,0.011112586310259898,6276.3,0.009547939540287674,,,0.5992573293670753,5642.2,0.010620987015119552,3843.8,0.01559023178539662,5476.5,0.010942341447403914,,,0.6139465995424774,5854.8,0.01048620959797905,2597.1,0.023639698107214873,7274.1,0.008440172661119278,,,0.6139465995424774,3870.4,0.015862613671519157,2098.7,0.029253661768832016,3493.0,0.01757648438426789,,,0.6505276734597133,3180.7,0.020452342989270077,2591.5,0.025102360542531867,3392.5,0.019175465687832374,,,0.6584140261454079,3209.5,0.020514535788920638,1950.4,0.03375789715675799,2960.2,0.022242214247193023,,,0.6774017934859575,2453.8,0.02760623496152732,1274.1,0.05316708213530787,3812.9,0.017766051915496274,,,0.6866733476825719,1743.7,0.03938024589565704,2122.6,0.032350577013218314,,,0.6866733476825719,2017.4,0.034037540779348265,2249.0,0.03053238540162614,,
2,76.736815,30.711349,0.12324745813255145,10607.5,0.001161889777351416,10607.5,0.001161889777351416,10607.5,0.001161889777351416,,,0.12324745813255145,6270.9,0.0019653870757395503,5370.8,0.002294769087148124,5282.6,0.002333083294827385,,,0.12324745813255145,6004.9,0.0020524481362312686,7724.4,0.001595560278242342,5244.4,0.0023500773803018737,,,0.14174429691840534,6440.1,0.0022009642228910317,7282.5,0.0019463686497549653,5307.8,0.002670490540683623,,,0.1783827803953868,6031.4,0.0029575683986369137,8192.7,0.0021773381229068167,5904.6,0.003021081536351095,,,0.25427814250956327,7091.5,0.003585674998372182,6716.4,0.003785929106508893,4221.7,0.006023122024529533,,,0.26639694785720014,7959.6,0.003346863508935124,6026.1,0.004420719003289028,4120.2,0.006465631470734434,,,0.32674735083173123,7483.1,0.004366470457854783,6988.9,0.0046752328811648656,4237.4,0.007711033908333678,,,0.3856164299592466,7042.7,0.005475406164670462,5440.0,0.007088537315427326,3213.3,0.012000635793708853,,,0.3911716233967542,7211.5,0.0054242754405706755,4193.3,0.009328491245480987,2517.5,0.015538098248133236,,,0.42308973843991204,5466.6,0.0077395408195205795,5479.4,0.0077214610804086595,1479.2,0.028602605356943755,,,0.45183079032920176,4777.0,0.00945846326835256,4533.2,0.009967148820462405,1274.2,0.035459958431109856,,,0.5047851123068455,6294.9,0.008018953634002852,4942.5,0.010213153511519383,927.3,0.054436009091647315,,,0.5470962482105118,5769.7,0.009482230414241847,3178.7,0.017211320609384715,772.6,0.07081235415616255,,,0.5806511266067332,2703.7,0.021476166978833942,1648.3,0.03522727213533539,,,0.5806511266067332,4115.0,0.014110598459458888,1914.6,0.030327542390407042,,
2,76.748739,30.719108,0.9672711903702976,10716.4,0.009026083296352298,10716.4,0.009026083296352298,10716.4,0.009026083296352298,,,0.9672711903702976,3057.5,0.031636016038276295,3328.1,0.02906376582345175,5228.8,0.018498913524523746,,,0.9672711903702976,3684.8,0.026250303690031958,4795.0,0.020172496149536968,5353.4,0.018068352642625206,,,0.9681843512922879,4260.6,0.022724131608043183,5044.0,0.019194773023241234,5416.8,0.01787373267043804,,,0.9703708319374299,3853.0,0.025184812663831557,6036.1,0.016076122528411223,6013.5,0.01613653998399318,,,0.9703708319374299,4847.0,0.02002002954275696,5403.2,0.017959187739440146,5534.7,0.017532491949652736,,,0.972962624598164,5653.1,0.01721113414937227,3718.1,0.026168274780080256,4307.4,0.022588165125090865,,,0.973312435829229,5445.5,0.017873701879152125,4313.8,0.022562762201057743,5285.1,0.0184161593125812,,,0.975233931916516,4805.1,0.020295809284229586,3310.1,0.029462370681143046,4485.2,0.02174337670374824,,,0.9753143492507601,5017.8,0.0194370909412643,3379.0,0.02886399376297011,3458.5,0.028200501640906754,,,0.9769256511005372,4544.3,0.02149782477170383,4733.9,0.02063680371576369,3131.1,0.03120071703556377,,,0.977880157362421,5023.6,0.01946572492559959,5763.1,0.016967954006739793,3936.5,0.02484136053251419,,,0.9780676587621113,5480.6,0.01784599603623894,4190.0,0.023342903550408384,3104.4,0.03150585165449399,,,0.9783237142463447,4752.5,0.020585454271359174,4568.8,0.021413143806827715,2824.1,0.034641964315935865,,,0.9791451499052579,3763.6,0.02601618529878993,3088.6,0.03170190862867506,,,0.9791451499052579,3360.6,0.029136021838518655,3354.9,0.029185524155869263,,
2,76.742851,30.7107,0.9260595598182655,10370.2,0.008930006748358426,10370.2,0.008930006748358426,10370.2,0.008930006748358426,,,0.9285856692439175,5519.4,0.016824032852192587,4619.3,0.020102302713482942,4531.2,0.020493151245672615,,,0.9309149922850286,5767.6,0.016140422225622935,6972.9,0.013350470998939159,5007.1,0.018591899348625523,,,0.9375393593607315,5688.6,0.0164810209781094,6531.0,0.014355219099077193,5070.5,0.018490077100103176,,,0.9375393593607315,5279.9,0.017756763562960125,7441.3,0.012599134013690234,5667.3,0.016542963304584747,,,0.9381757006483009,6340.0,0.014797723984988975,5964.9,0.015728272069075778,4794.0,0.019569789333506487,,,0.9408821524288308,7722.3,0.012183962710964748,5788.8,0.016253492130127674,3368.7,0.027930125936676785,,,0.9451309477943599,6731.6,0.014040212546710437,6237.4,0.015152642892781606,4023.2,0.02349201997898091,,,0.9481281566032385,6291.3,0.01507046487376597,4688.5,0.020222419891292278,3738.7,0.025359835145992955,,,0.9509303631494952,6460.1,0.014720056394630037,3441.8,0.027628867544584088,3023.5,0.03145131017527684,,,0.9509303631494952,4715.1,0.020167766604091007,4727.9,0.020113165742708078,2051.7,0.04634841171465103,,,0.9535313107291864,4025.5,0.02368727638129888,5757.1,0.016562701893821304,2920.6,0.03264847328388641,,,0.9545618909589163,5543.5,0.01721948030953218,4191.0,0.022776470793579487,2573.7,0.03708908928619949,,,0.9562250541840271,5018.2,0.01905514037272383,3902.9,0.024500372906916066,2472.4,0.03867598504222727,,,0.9587255356364228,3766.6,0.025453340828238274,3129.7,0.030633144890450294,,,0.9587255356364228,3363.6,0.028502959199560675,3396.0,0.02823102283970621,,
2,76.732449,30.702766,0.20406438854660058,11252.2,0.0018135510259913669,11252.2,0.0018135510259913669,11252.2,0.0018135510259913669,,,0.24242986515324996,6022.4,0.004025469333708322,5307.1,0.004568028964090557,6057.5,0.004002143873763929,,,0.27815887006107565,6649.6,0.004183091765836677,7765.4,0.003582028872447983,5889.2,0.004723202982766347,,,0.31360269609180247,7213.3,0.004347562087973638,7995.3,0.003922338074766456,5952.6,0.005268331419746034,,,0.31360269609180247,6806.2,0.004607603304219718,9006.6,0.0034819209922923463,3838.4,0.00817014110285021,,,0.3793575718173642,7817.5,0.004852671209688061,8354.5,0.00454075733816942,3349.5,0.011325797038882347,,,0.38040725193843555,8604.4,0.004421078191837148,6670.8,0.005702573183702638,2871.1,0.013249529864457371,,,0.42213184998194636,8396.7,0.005027354198458279,7763.7,0.005437250923940214,3141.0,0.013439409423175624,,,0.42213184998194636,7756.4,0.00544236823760954,6262.8,0.00674030545414106,2341.1,0.018031346374864223,,,0.43953582791082285,7969.0,0.005515570685290787,4968.2,0.008846983372465337,1123.0,0.0391394325833324,,,0.45652157800338083,6205.4,0.007356843684587309,4245.2,0.010753829690082466,795.7,0.05737358024423536,,,0.45652157800338083,6684.7,0.00682935027754994,4738.0,0.009635322456804154,1300.9,0.03509274948138833,,,0.47673010489502626,7069.8,0.006743190824281114,4096.9,0.011636361758769467,1169.0,0.04078101838280806,,,0.5046455181820725,4858.9,0.010386003378996738,3420.6,0.014753128637726496,2017.1,0.02501836885539004,,,0.5213567513266969,2868.6,0.018174606125869654,1850.1,0.02817992277859018,,,0.5608873337004932,3221.3,0.017411831673563253,2125.6,0.026387247539541452,,
2,76.744236,30.729776,0.9571348325397961,10166.9,0.009414224911622974,10166.9,0.009414224911622974,10166.9,0.009414224911622974,,,0.9597078202610103,3037.8,0.031592198968365605,4099.5,0.02341036273352873,6727.6,0.014265233073622248,,,0.9597078202610103,3665.1,0.026185037795994934,4612.0,0.02080892932049025,6828.3,0.014054857288944692,,,0.9609295588641174,4077.7,0.023565479531699667,4861.1,0.019767738965750906,6891.7,0.013943287706431176,,,0.9626733756416421,3670.1,0.02623016745161282,5853.2,0.01644695851229485,7488.5,0.012855356555273314,,,0.9630143664591482,4664.1,0.020647378196418348,5220.3,0.018447490880967532,7009.7,0.013738310718848856,,,0.9656750691287201,5470.2,0.017653377739912986,3535.2,0.027315995392869434,5782.4,0.01670024676827477,,,0.9656750691287201,5262.5,0.01835012007845549,3562.1,0.027109712504666355,6760.0,0.014285134158708879,,,0.9678691249893807,4622.2,0.02093957693283243,3127.2,0.03095002318333911,5960.2,0.016238869920294295,,,0.9698800075106282,4834.8,0.020060395621548526,2699.8,0.035924142807268244,4933.5,0.01965906572434637,,,0.9703100777410308,3852.9,0.025183889479120425,4042.5,0.024002723011528285,4606.1,0.021065762309568414,,,0.9709013730217303,4332.2,0.022411277711595273,5071.8,0.019143132083712495,4136.6,0.02347099968625756,,,0.9735643013385599,4801.4,0.02027667558084225,3498.7,0.02782645843709263,3789.7,0.025689745925497002,,,0.9738335416996394,4061.1,0.02397955090245597,3877.4,0.025115632684263665,3330.9,0.02923634878560267,,,0.9744408091426536,3072.3,0.03171698106118066,3595.4,0.027102431138194737,,,0.9754592886159885,2669.3,0.03654363648207352,3861.7,0.025259841225781097,,
2,76.737358,30.730679,0.7486087085818324,12768.9,0.005862750186639666,12768.9,0.005862750186639666,12768.9,0.005862750186639666,,,0.7527882228020089,4106.9,0.018329840580535415,5168.6,0.014564644638819192,7068.0,0.010650653972863735,,,0.7527882228020089,3733.6,0.020162530072905745,3262.5,0.023073968515004102,7405.8,0.010164846779578287,,,0.7660936575926678,2710.4,0.028264966705750728,3493.8,0.021927232743507576,7469.2,0.010256702961397041,,,0.7703452234261796,2245.2,0.03431076177739977,4503.6,0.017105098663872893,8066.0,0.00955052347416538,,,0.7784401190344078,3314.6,0.023485190340747232,3853.0,0.02020348089889457,7587.2,0.010259912998661004,,,0.7784401190344078,4102.9,0.018972924493270805,2167.9,0.035907565802592724,6359.8,0.012240009419076193,,,0.7836318223996863,3895.2,0.020117884124042064,2705.1,0.028968682207670193,7337.5,0.010679820407491467,,,0.7887996716082046,3254.9,0.024234221377252896,1759.9,0.044820709790795187,6537.7,0.012065400241800703,,,0.7887996716082046,3467.5,0.02274836832323589,1469.5,0.0536780994629605,5510.9,0.014313445564394284,,,0.7894184768087185,1838.2,0.04294518968603626,2888.1,0.027333488342118295,5183.6,0.015229154965829123,,,0.7950802041756425,3177.8,0.02501983146125126,3917.4,0.020296119982019772,4714.0,0.016866359867960173,,,0.8115755681000839,3661.0,0.02216813898115498,2344.3,0.03461910029006884,4367.2,0.018583430300881203,,,0.8277608602605423,2906.7,0.028477684668543102,2723.0,0.030398856417941326,3908.4,0.021179021089462242,,,0.8440163445201978,2548.3,0.03312076068438558,3278.3,0.025745549355464654,,,0.8590159113116032,2171.8,0.03955317760896966,3404.7,0.02523029668727357,,
2,76.735379,30.734311,0.7151250198168879,12793.8,0.0055896216903256885,12793.8,0.0055896216903256885,12793.8,0.0055896216903256885,,,0.7151250198168879,4629.1,0.015448467732753404,5690.8,0.012566335485641523,7750.1,0.009227300548597925,,,0.7379674400266896,4255.8,0.017340275389508192,3100.3,0.023803097765593317,7430.7,0.009931331368870895,,,0.7485966666040893,2548.1,0.029378621977319937,2956.2,0.02532293710182293,7494.1,0.009989147017041263,,,0.7719205035879884,2140.6,0.03606094102531946,4341.4,0.017780451089233623,8090.9,0.00954060121356077,,,0.7748822758105802,3152.3,0.02458148893857121,3315.4,0.023372210768250596,7612.1,0.010179612404074832,,,0.7968861417669648,3565.3,0.022351166571311382,1630.3,0.048879724085564916,6384.7,0.012481183795119031,,,0.8169540745492864,3357.6,0.024331488996583467,2249.1,0.03632359941973618,7362.4,0.01109630113209397,,,0.8169540745492864,2717.3,0.03006492012472993,1040.4,0.07852307521619438,6562.6,0.01244863429965694,,,0.8323700876369322,2929.9,0.028409505021909698,660.5,0.12602120933185953,5535.8,0.015036130055943717,,,0.8368866987140358,1341.1,0.06240300490001013,2572.9,0.03252698117742764,5208.5,0.01606771044857513,,,0.845902034327928,2862.6,0.029550130452313562,3602.2,0.02348292805307668,4738.9,0.017850176925614133,,,0.845902034327928,3876.2,0.021822971836539088,2029.0,0.04169058818767511,4392.0,0.019260064533878143,,,0.845902034327928,2591.5,0.03264140591657064,2407.8,0.0351317399421849,3933.3,0.021506166179236976,,,0.8483827716707179,2573.2,0.032969950710038776,3303.2,0.02568366346787109,,,0.8498692957828384,1856.6,0.04577557340207037,3429.6,0.02478042033423252,,
2,76.739592,30.718233,0.000943415267631087,10536.4,8.953867237681628e-06,10536.4,8.953867237681628e-06,10536.4,8.953867237681628e-06,,,0.07750583821198138,3423.0,0.002264266380718124,4591.3,0.0016881022414562625,5413.3,0.0014317669113476325,,,0.12065279197010964,4050.3,0.0029788606268698527,5166.1,0.002335471476938302,5173.3,0.002332221057547593,,,0.19485324054587344,4613.9,0.004223178667632013,5395.9,0.0036111351312269214,5236.7,0.003720916618211344,,,0.19806963866967933,4206.4,0.0047087685115462,6407.2,0.003091360323849409,5833.5,0.0033953825091228135,,,0.2496681596673615,5218.1,0.004784656477786196,5755.1,0.004338207149612717,5354.7,0.00466259845868791,,,0.28853650067406983,6005.0,0.0048049375632651095,4071.5,0.0070867370913439715,4127.4,0.006990756909290833,,,0.2897437922863994,5797.4,0.004997823029054394,5086.8,0.005695993400298801,5105.0,0.005675686430683632,,,0.33747723565824067,5157.0,0.006544061191744051,3663.5,0.009211880323686111,4305.2,0.007838828292721376,,,0.39333750233024734,5369.7,0.0073251299389211185,2414.3,0.016291989493030994,3278.5,0.011997483676383935,,,0.43282951681691934,3606.1,0.01200270421832227,3795.7,0.011403154011563594,2951.1,0.014666718065023867,,,0.4877778264339073,4085.4,0.011939536555390103,4824.9,0.010109594529086765,2691.5,0.0181228989943863,,,0.5339613772461645,4710.6,0.011335315612579385,3251.8,0.01642048641509824,2344.7,0.022773121390632686,,,0.5565676482973704,3814.3,0.01459160654110506,3630.6,0.015329908232726557,1885.9,0.029512044556836012,,,0.5565676482973704,2825.4,0.019698720474883923,2150.4,0.025882052097161937,,,0.5772931148287404,2422.4,0.02383145289088261,2416.7,0.023887661473444798,,
