id,Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,distance_from_0_3_0,fill_per_m_0_0_3_0,distance_from_0_4_0,fill_per_m_0_0_4_0,distance_from_0_5_0,fill_per_m_0_0_5_0,fill_ratio_1,fill_ratio_1_1,distance_from_208_0_0,fill_per_m_1_208_0_0,distance_from_171_1_0,fill_per_m_1_171_1_0,distance_from_264_2_0,fill_per_m_1_264_2_0,distance_from_267_3_0,fill_per_m_1_267_3_0,distance_from_256_4_0,fill_per_m_1_256_4_0,fill_per_m_1_0_5_0,fill_ratio_2,fill_ratio_2_2,distance_from_66_0_0,fill_per_m_2_66_0_0,distance_from_155_1_0,fill_per_m_2_155_1_0,distance_from_265_2_0,fill_per_m_2_265_2_0,distance_from_106_3_0,fill_per_m_2_106_3_0,distance_from_201_4_0,fill_per_m_2_201_4_0,fill_per_m_2_0_5_0,fill_ratio_3,fill_ratio_3_3,distance_from_225_0_0,fill_per_m_3_225_0_0,distance_from_237_1_0,fill_per_m_3_237_1_0,distance_from_97_2_0,fill_per_m_3_97_2_0,distance_from_140_3_0,fill_per_m_3_140_3_0,distance_from_147_4_0,fill_per_m_3_147_4_0,fill_per_m_3_0_5_0,fill_ratio_4,fill_ratio_4_4,distance_from_73_3_0,fill_per_m_4_73_3_0,distance_from_187_4_0,fill_per_m_4_187_4_0,distance_from_245_5_0,fill_per_m_4_245_5_0,fill_ratio_5,fill_ratio_5_5,distance_from_234_3_0,fill_per_m_5_234_3_0,distance_from_127_4_0,fill_per_m_5_127_4_0,distance_from_102_5_0,fill_per_m_5_102_5_0,fill_ratio_6,fill_ratio_6_6,distance_from_172_4_0,fill_per_m_6_172_4_0,distance_from_233_5_0,fill_per_m_6_233_5_0,fill_ratio_7,fill_ratio_7_7,distance_from_294_4_0,fill_per_m_7_294_4_0,distance_from_288_5_0,fill_per_m_7_288_5_0,fill_ratio_8,fill_ratio_8_8,distance_from_254_4_0,fill_per_m_8_254_4_0,distance_from_213_5_0,fill_per_m_8_213_5_0
155,2,76.752629,30.749529,0.5251633836670602,0.5251633836670602,0.9355778484908915,56.132515804447564,0.9355778484908915,56.132515804447564,0.9355778484908915,56.132515804447564,0.9355778484908915,56.132515804447564,0.9355778484908915,56.132515804447564,0.9355778484908915,56.132515804447564,0.0,0.5693514519567745,0.7467940658788031,76.23941833104688,0.07542507348287134,0.0,0.2688129156442649,211.8021191772753,0.6801262431394312,83.71261331259247,0.373943277292709,152.2561004649663,60.855593457578266,0.0,0.0,0.6697476004265909,0.0,0.0,,0.3998855488021642,0.0,0.7102737291148241,0.0,0.3709606097127448,0.0,0.0,0.0,0.0,0.5287125107297999,0.0,0.038315139639131905,0.0,0.4454145821230698,0.0,0.6307301466189209,0.0,0.3347264009433554,0.0,0.0,0.0,0.0,0.31682172491828015,0.0,0.18931268587481467,0.0,0.6733025239957341,0.0,0.0,0.0,0.2030294885245333,0.0,0.4675158020687921,0.0,0.45945219494854034,0.0,0.0,0.0,0.1929196327157015,0.0,0.24806430076387506,0.0,0.0,0.0,0.7785369321876654,0.0,0.6747071523328103,0.0,0.0,0.0,0.28287654010560725,0.0,0.5772935759929942,0.0
229,2,76.752546,30.683652,0.6675498992914705,0.6675498992914705,0.6980586140878259,95.62949096527917,0.6980586140878259,95.62949096527917,0.6980586140878259,95.62949096527917,0.6980586140878259,95.62949096527917,0.6980586140878259,95.62949096527917,0.6980586140878259,95.62949096527917,0.0,0.6783003901306284,0.24500792667608048,0.0,0.9471728188646228,71.61316040970306,0.6594388086595688,102.8602474139184,0.2724610813198999,248.9531300561153,0.5606628953592127,120.98185839390108,97.16954657410595,0.0,0.0,0.365727305016763,0.0,0.892483085426178,0.0,0.6072526920378055,0.0,0.36305042752072636,0.0,0.6780729947242123,0.0,0.0,0.0,0.0,0.5323261112506823,0.0,0.9193731428620933,0.0,0.5098282120364195,0.0,0.3968016078591044,0.0,0.620134623547859,0.0,0.0,0.0,0.0,0.74147774033422,0.0,0.7646513561979678,0.0,0.29016832274999355,0.0,0.0,0.0,0.7597567420061855,0.0,0.862924813528194,0.0,0.6547954224528515,0.0,0.0,0.0,0.7565254303362123,0.0,0.7537619225004981,0.0,0.0,0.0,0.22390477593062644,0.0,0.2547451768558385,0.0,0.0,0.0,0.6572817132015975,0.0,0.9267886999384926,0.0
172,2,76.735219,30.742392,0.5502265421562618,0.5502265421562618,1.0,55.022654215626176,1.0,55.022654215626176,1.0,55.022654215626176,1.0,55.022654215626176,1.0,55.022654215626176,1.0,55.022654215626176,0.5897154967567203,0.5897154967567203,0.5929240041752247,99.45886700556717,0.1852419273376208,318.3488237422128,0.10966699215461799,537.7328995449136,0.52819118488838,111.64811409742514,0.37913734469174043,155.54139021472324,58.97154967567203,0.6042088546224461,0.6042088546224461,0.527871308798276,114.46139325093385,0.18729586854776253,322.5959330055196,0.32354624734839554,186.74574641931554,0.5672160678810735,106.52181573056721,0.22804639886864875,264.9499652789787,60.42088546224461,0.6337243374238392,0.6337243374238392,0.38119128590188217,166.2483799765975,0.2252348563924711,281.36157412491093,0.4173036129162598,151.86169441360875,0.4762197380383178,133.07393348170046,0.2819791912185596,224.74152602723265,63.37243374238392,0.6494616208004707,0.6494616208004707,0.3985066837267248,162.9738338958043,0.2564480285531499,253.25272510951163,0.5215748004983333,124.51936331662289,0.0,0.6727299968726062,0.14989561938112395,448.7989706771388,0.3315431496009966,0.0,0.3237061853934476,207.8211746417322,0.0,0.0,0.0,,0.47173305498501633,0.0,0.0,0.0,0.6237415401191959,0.0,0.522930064985353,0.0,0.0,0.0,0.15151183541533386,0.0,0.3731691302737466,0.0
33,2,76.746844,30.686661,0.38019561878585706,0.38019561878585706,0.8572543732037043,44.35038544802073,0.8572543732037043,44.35038544802073,0.8572543732037043,44.35038544802073,0.8572543732037043,44.35038544802073,0.8572543732037043,44.35038544802073,0.8572543732037043,44.35038544802073,0.0,0.4311733244662625,0.2507007770641876,171.98723095934722,0.9370453819678529,46.014134722138216,0.653088741439875,66.02063350772941,0.260493914771316,0.0,0.5519550793031259,78.1174665537353,50.2970107757975,0.0,0.0,0.3758826242770464,0.0,0.9584501295106979,0.0,0.5996522726466309,0.0,0.35296100486108645,0.0,0.6642568214881311,0.0,0.0,0.0,0.0,0.4092271936983288,0.0,0.9192509668949366,0.0,0.5809530568072951,0.0,0.3175850690132349,0.0,0.7426906291026505,0.0,0.0,0.0,0.0,0.829516020295923,0.0,0.7603519852393287,0.0,0.27862541248270234,0.0,0.0,0.0,0.7558102402157328,0.0,0.6415126139871553,0.0,0.6382837171344428,0.0,0.0,0.0,0.829516020295923,0.0,0.7496717879572792,0.0,0.0,0.0,0.28317602810204734,0.0,0.2386988610155058,0.0,0.0,0.0,0.6508799630983216,0.0,0.9637015221942306,0.0
294,2,76.756082,30.691572,0.6951445540475938,0.6951445540475938,0.7548995626351478,92.08437631372236,0.7548995626351478,92.08437631372236,0.7548995626351478,92.08437631372236,0.7548995626351478,92.08437631372236,0.7548995626351478,92.08437631372236,0.7548995626351478,92.08437631372236,0.7195438580589034,0.7195438580589034,0.14726573583945676,488.60235815024987,0.9403246480044617,76.52079094022528,0.6545698267174154,109.92621851626198,0.37805152490631394,190.32957431853123,0.49152177529035357,146.39104394385208,95.31650217774305,0.7195438580589034,0.7195438580589034,0.41313855757658774,174.1652636538322,0.87855542400908,81.90079286921194,0.5545238398090075,129.7588681321137,0.280598416876217,256.43190224281363,0.6363903212234475,113.06643644039005,95.31650217774305,0.7195438580589034,0.7195438580589034,0.5947770613387083,120.9770693643385,0.901049871334501,79.85616345444033,0.4463763294619532,161.1966877648322,0.31870884416308726,225.76839997910565,0.5709617134526384,126.02313624634833,95.31650217774305,0.7310398924516046,0.7310398924516046,0.7080124849564103,103.25240133252905,0.7341858849544535,99.5714991846998,0.488958249757835,149.50967548122253,0.7554194439453452,0.7554194439453452,0.7315342993845583,103.26507514150487,0.845180669843351,89.37964046022935,0.610109292290833,123.81706908755692,0.0,0.7791928043462821,0.7250080721700929,0.0,0.6380243241392132,122.12587747301414,0.0,0.0,0.0,,0.2424292828977623,0.0,0.0,0.0,0.5878301028345548,0.0,0.9173116249033787,0.0
254,2,76.737358,30.730679,0.8627970775432285,0.8627970775432285,1.0,86.27970775432286,1.0,86.27970775432286,1.0,86.27970775432286,1.0,86.27970775432286,1.0,86.27970775432286,1.0,86.27970775432286,0.8704500290393378,0.8704500290393378,0.5136464378294137,169.4648234528245,0.30505368512557857,285.3432269408605,0.07621643211239809,1142.0765901973284,0.3816147044772847,228.0965641068872,0.15966919625026432,545.1583959093781,87.04500290393378,0.8806199160851108,0.8806199160851108,0.3333959855586621,264.13632863919497,0.2555036064187205,344.660464260511,0.11694037857607155,753.0503379653878,0.37000054820697165,238.00503008782243,0.13967530484223387,630.4764590131299,88.06199160851108,0.8910456523831367,0.8910456523831367,0.2666400394709019,334.17548772916956,0.2736179310668891,325.65323804210414,0.33912083264807463,262.75167037815885,0.39393369828254593,226.19178208614207,0.21322118584999492,417.89733455942974,89.10456523831367,0.8910456523831367,0.8910456523831367,0.3216330302531933,277.037980732792,0.12763824605095192,698.1023948162372,0.3940746657895355,226.1108692683685,0.891411887171039,0.891411887171039,0.13782706419503638,646.761136774719,0.3067922843784508,290.558769747748,0.17008512871116543,524.0974880789336,0.8985154457145098,0.8985154457145098,0.1409596754614728,637.4272945599203,0.404780364792582,221.97604524985496,0.0,0.8985154457145098,0.47050254916241807,0.0,0.3767199993734778,238.51015268868895,0.0,0.0,0.0,,0.36452631001887403,0.0
213,2,76.704889,30.732946,0.2748060355481361,0.2748060355481361,1.0,27.48060355481361,1.0,27.48060355481361,1.0,27.48060355481361,1.0,27.48060355481361,1.0,27.48060355481361,1.0,27.48060355481361,0.3197381800820341,0.3197381800820341,0.6189023828956817,51.662134274885666,0.4070928427215209,78.54183285181378,0.2662976441059692,120.06797174472901,0.5056734150337828,63.23017397714553,0.39701018084969286,80.53651908818082,31.97381800820341,0.35935816982538615,0.35935816982538615,0.47765920234668896,75.23317211516027,0.4085902069922002,87.95075449085498,0.3564831577203243,100.80649310992624,0.506342319564537,70.97138752582251,0.17895957730143047,200.80410070487673,35.93581698253862,0.3970408675064535,0.3970408675064535,0.23726473277570836,167.3408697793216,0.3490208833221849,113.75848451450422,0.5784244536768272,68.64178458960609,0.6279602093855283,63.227074195507704,0.47751805735396097,83.14677558091722,39.70408675064535,0.40190080938771977,0.40190080938771977,0.5634753579252914,71.32535677647256,0.39959374789049606,100.57735175022206,0.32621676188839727,123.2005391326933,0.40190080938771977,0.40190080938771977,0.29409707093456394,136.6558354731598,0.11413720520640921,352.1207731176789,0.20154891287671908,199.4060913806811,0.4357131661565112,0.4357131661565112,0.2720477683749302,160.16053679073778,0.533791952280719,81.62602757401098,0.0,0.48424971657883736,0.5753315373144404,84.16881140207279,0.5018379532748707,0.0,0.0,0.0,0.28564064484851465,0.0,0.0,
