id,Ward,x,y,fill_ratio_0,fill_ratio_00,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_ratio_1,fill_ratio_11,distance_from_86_0_0,fill_per_m_1_86_0_0,distance_from_238_1_0,fill_per_m_1_238_1_0,distance_from_173_2_0,fill_per_m_1_173_2_0,fill_ratio_2,fill_ratio_22,distance_from_95_0_0,fill_per_m_2_95_0_0,distance_from_154_1_0,fill_per_m_2_154_1_0,distance_from_64_2_0,fill_per_m_2_64_2_0,fill_ratio_3,fill_ratio_33,distance_from_210_0_0,fill_per_m_3_210_0_0,distance_from_222_1_0,fill_per_m_3_222_1_0,distance_from_246_2_0,fill_per_m_3_246_2_0,fill_ratio_4,fill_ratio_44,distance_from_219_0_0,fill_per_m_4_219_0_0,distance_from_166_1_0,fill_per_m_4_166_1_0,distance_from_141_2_0,fill_per_m_4_141_2_0
30,1,76.68811,30.698177,0.6903948286293653,0.6903948286293653,1.0,69.03948286293652,1.0,69.03948286293652,1.0,69.03948286293652,0.6903948286293653,0.6903948286293653,0.4389319481252093,157.28971918727225,0.11299278994470528,611.007860738035,0.2706209344278671,255.1150856414573,0.0,0.6903948286293653,0.4980873080697383,138.60919911910335,0.12790062228594595,0.0,0.29507753600620523,233.97064987517274,0.0,0.0,0.28766181491253323,0.0,0.2509240270538668,0.0,0.16391564176543522,0.0,0.0,0.0,0.3233477691136979,0.0,0.31912868215232193,0.0,0.19444232249572507,0.0
280,1,76.717864,30.65906,0.9899602323899452,0.9899602323899452,1.0,98.99602323899452,1.0,98.99602323899452,1.0,98.99602323899452,0.0,0.9899602323899452,0.35671174565198815,0.0,0.4554867675959514,217.34116176742793,0.7601466555846415,130.23279456890464,0.0,0.0,0.5051461506792919,0.0,0.4181781461429115,0.0,0.8113518258154221,0.0,0.0,0.0,0.32282094502745906,0.0,0.2729207609312008,0.0,0.6498520238936747,0.0,0.0,0.0,0.38170067657316853,0.0,0.1457389872375463,0.0,0.5564212308815647,0.0
246,1,76.702706,30.711971,0.507610378684455,0.507610378684455,1.0,50.7610378684455,1.0,50.7610378684455,1.0,50.7610378684455,0.5364757271835177,0.5364757271835177,0.45003055067593367,119.2087351353693,0.31115226966063286,172.41581678598723,0.11914127141729677,450.2853803737676,0.0,0.5620644539899979,0.3936200005091779,142.79367239035722,0.2805824995544693,200.32056699276953,0.13852822118689376,0.0,0.0,0.0,0.34526719111993687,0.0,0.4189706968100002,0.0,0.0,,0.0,0.0,0.3394052801751572,0.0,0.4824651849588839,0.0,0.10129458489269075,0.0
243,1,76.708514,30.719551,0.4254364386164168,0.4254364386164168,1.0,42.54364386164168,1.0,42.54364386164168,1.0,42.54364386164168,0.4254364386164168,0.4254364386164168,0.4902615582856025,86.77744184229478,0.426386555755699,99.77717000537264,0.06631720266887949,641.5174668036176,0.461297760549164,0.461297760549164,0.43046813333603184,107.16188373206849,0.3939835522543126,117.08553768544142,0.08506547390151592,542.2855353550711,0.0,0.5146922364065037,0.4625473091946811,111.27342569619736,0.5406639815957957,95.19632413599385,0.09386279152920857,0.0,0.0,0.0,0.3929985765076538,0.0,0.607966160011334,0.0,0.20789734663725232,0.0
223,1,76.703089,30.729861,0.5567628930139298,0.5567628930139298,1.0,55.67628930139298,1.0,55.67628930139298,1.0,55.67628930139298,0.0,0.5851809352090344,0.5222529963667318,112.0493207851533,0.4407604572119448,132.7662056870141,0.2043944655888177,0.0,0.0,0.0,0.46758125505048953,0.0,0.4343945272741853,0.0,0.039891927235940365,0.0,0.0,0.0,0.49709153491700236,0.0,0.5685170220771931,0.0,0.17414396131093743,0.0,0.0,0.0,0.4333212018777026,0.0,0.6300543448088679,0.0,0.2640750587553127,0.0
91,1,76.726498,30.678517,0.5116774421156661,0.5116774421156661,1.0,51.167744211566614,1.0,51.167744211566614,1.0,51.167744211566614,0.5579354244597117,0.5579354244597117,0.2742495739939704,203.4407624902923,0.49712445930003935,112.23254338466776,0.5636469393105257,98.98668573312924,0.588538519024719,0.588538519024719,0.2796238039061476,210.47511363598178,0.4512714641499541,130.41784508429544,0.5468115087167388,107.63096782763506,0.0,0.588538519024719,0.0711020448289422,0.0,0.2807707432166732,209.61532967505048,0.4585135666535588,128.35792914921615,0.0,0.0,0.12468049547778216,0.0,0.29758159653952027,0.0,0.3462118233058068,0.0
25,1,76.700611,30.666119,0.5034172708548569,0.5034172708548569,1.0,50.34172708548569,1.0,50.34172708548569,1.0,50.34172708548569,0.5337810321528063,0.5337810321528063,0.31801740406793877,167.84648428825406,0.32517299224156004,164.15294163061313,0.5649179597399875,94.48823903536143,0.5798279880791953,0.5798279880791953,0.3839772488991403,151.0058186367962,0.28849732648353954,200.98210099436673,0.6291085657370519,92.16660202359186,0.0,0.6145264966354651,0.21945114279723213,280.0288432324427,0.05582931432166073,0.0,0.48082669322709165,127.80623565448099,0.0,0.0,0.2948403753407423,0.0,0.09171209897253092,0.0,0.391001782344307,0.0
92,1,76.709301,30.675397,0.5321134852653157,0.5321134852653157,1.0,53.211348526531566,1.0,53.211348526531566,1.0,53.211348526531566,0.5508687824969156,0.5508687824969156,0.37920276290395133,145.27024494187185,0.3233352197698547,170.37079440000878,0.508307576219291,108.37312058069013,0.5549820193063805,0.5549820193063805,0.3628197872680046,152.96354796008717,0.2827187903588583,196.3017805084463,0.553741674284968,100.22399343936215,0.0,0.5922306174265851,0.16520105060003193,358.4908299768831,0.14721460392088576,0.0,0.4151974228374907,142.63831730438886,0.0,0.0,0.20926385442514472,0.0,0.16210294138986836,0.0,0.31573868500863406,0.0
214,1,76.700597,30.661634,0.8170720709492799,0.8170720709492799,1.0,81.707207094928,1.0,81.707207094928,1.0,81.707207094928,0.8319729176121795,0.8319729176121795,0.4380939246475034,189.90743098790898,0.37990819000334924,218.99315137292643,0.5993327685508074,138.81652418637117,0.8328370105520974,0.8328370105520974,0.38373689014979867,217.0333454849713,0.31021008596515426,268.47515546146667,0.6426174386455727,129.60074851181213,0.0,0.8365176587785115,0.22959066401350223,364.3517746563579,0.10996841158198212,0.0,0.5358998102068023,156.09590502666936,0.0,0.0,0.34950187494664114,0.0,0.07446591931490566,0.0,0.4270872326312955,0.0
115,1,76.722183,30.687605,0.37728416310462265,0.37728416310462265,1.0,37.728416310462265,1.0,37.728416310462265,1.0,37.728416310462265,0.37728416310462265,0.37728416310462265,0.3267293731251067,115.47298594429041,0.4287398278146772,87.99839404416231,0.3918476184282195,96.28338807263552,0.40776143068787546,0.40776143068787546,0.25467656312242387,160.10952310985255,0.38323835228889414,106.39891030021319,0.4469989512791954,91.22201059330625,0.0,0.4276084617674707,0.07104473729137366,0.0,0.26717178697147315,160.05000625800653,0.39042493516629134,109.52386060724886,0.0,0.0,0.06711000186981228,0.0,0.3615404001398294,0.0,0.27898412285479685,0.0
