id,Ward,x,y,fill_ratio_0,fill_ratio_00,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,fill_ratio_1,fill_ratio_11,distance_from_74_0_0,fill_per_m_1_74_0_0,distance_from_139_1_0,fill_per_m_1_139_1_0,fill_ratio_2,fill_ratio_22,distance_from_123_0_0,fill_per_m_2_123_0_0,distance_from_88_1_0,fill_per_m_2_88_1_0,fill_ratio_3,fill_ratio_33,distance_from_145_0_0,fill_per_m_3_145_0_0,distance_from_231_1_0,fill_per_m_3_231_1_0,fill_ratio_4,fill_ratio_44,distance_from_98_1_0,fill_per_m_4_98_1_0
27,0,76.807766,30.733979,0.21233911067827616,0.21233911067827616,1.0,21.233911067827616,1.0,21.233911067827616,0.23102629340312586,0.23102629340312586,0.8503041734186967,27.169841172750147,0.2489971575060436,92.7827031107849,0.30445292282034997,0.30445292282034997,0.716866349653322,42.46996988596048,0.6284568180006906,48.44452539935932,0.32399523535194474,0.32399523535194474,0.6224131976728741,52.05468594871106,0.7369896129426453,43.96198123584124,0.32399523535194474,0.32399523535194474,0.8442339877268017,38.377421433166845
249,0,76.781403,30.706507,0.11586905952512971,0.11586905952512971,0.4967193572460046,23.32686613373607,0.4967193572460046,23.32686613373607,0.13008659689869814,0.13008659689869814,0.13224333937449723,98.36911069699212,0.6888768280981963,18.883868870699608,0.15973355364774558,0.15973355364774558,0.28853180333588546,55.36081353978045,0.8589178240179878,18.597070544015207,0.2412322060795019,0.2412322060795019,0.41529932836471833,58.08634630577836,0.7642007733982031,31.566600620777272,0.29535887523707416,0.29535887523707416,0.7938380128124364,37.20644142381979
159,0,76.796545,30.723682,0.1959828624191452,0.1959828624191452,1.0,19.59828624191452,1.0,19.59828624191452,0.2255478431610543,0.2255478431610543,0.6586214607149845,34.24544394836522,0.5150236185258685,43.79368926936416,0.2255478431610543,0.2255478431610543,0.5102440115157784,44.203917747318755,0.7416496631914359,30.411642363658096,0.27305391531408,0.27305391531408,0.4385079799871426,62.26885889786685,0.7655756491600749,35.66648385612209,0.3066776954065106,0.3066776954065106,0.8411968583167958,36.45730394430638
22,0,76.778147,30.738008,0.020584494295802447,0.020584494295802447,1.0,2.0584494295802447,1.0,2.0584494295802447,0.020584494295802447,0.020584494295802447,0.713566776150977,2.8847327235211924,0.42557479262929354,4.836868783657737,0.10829342786654864,0.10829342786654864,0.6017146356399266,17.997472797280064,0.3560318432333129,30.41678151119263,0.10829342786654864,0.10829342786654864,0.6981239213939765,15.512063768036214,0.38017035016422646,28.485500728756968,0.15574233705974047,0.15574233705974047,0.47058954517619556,33.09515450485163
156,0,76.775276,30.693654,0.0884925020519195,0.0884925020519195,0.4186982935903675,21.135147529045327,0.4186982935903675,21.135147529045327,0.1565357533438072,0.1565357533438072,0.1235223936829877,126.72661909835246,0.6742280340967959,23.217034212097754,0.1565357533438072,0.1565357533438072,0.25009811462928366,62.58973746197071,0.8139197186857349,19.23233333092987,0.20664855496778656,0.20664855496778656,0.3527574135413886,58.58092474746551,0.7858118396885448,26.29746009549708,0.23658044856646873,0.23658044856646873,0.7689832184738072,30.765359097953716
261,0,76.799059,30.741536,0.06355835028602363,0.06355835028602363,0.982006476784155,6.472294408297856,0.982006476784155,6.472294408297856,0.06500577223415253,0.06500577223415253,0.8638549023508736,7.525079970866336,0.1572664876156371,41.334789896896616,0.1288665113010795,0.1288665113010795,0.7465101628038064,17.262526047478268,0.3966643456348022,32.487545885891976,0.1288665113010795,0.1288665113010795,0.6750776440421321,19.089139218041836,0.47142367673552393,27.335604395910654,0.16784210090087523,0.16784210090087523,0.5532455762237917,30.33772127858496
60,0,76.812959,30.734825,0.19967378215835974,0.19967378215835974,0.9281492009936105,21.513112541022842,0.9281492009936105,21.513112541022842,0.21762264298021236,0.21762264298021236,0.8445690147580398,25.76730133091124,0.19892137458322817,109.40133680262683,0.23881194507402642,0.23881194507402642,0.711109044778895,33.58302736091343,0.5784062379617699,41.287926962124295,0.26570869458951746,0.26570869458951746,0.6166496194258843,43.08908758216678,0.7869183459305801,33.7657262616365,0.2684023102832349,0.2684023102832349,0.8941698436524488,30.016927118329335
107,0,76.814484,30.719424,0.12203823484477883,0.12203823484477883,0.6401701253941483,19.063406742018888,0.6401701253941483,19.063406742018888,0.14345959264284813,0.14345959264284813,0.5151059617217864,27.850501314976437,0.4717190975532253,30.412080703741534,0.21256824826703652,0.21256824826703652,0.3716115470166948,57.20173390023503,0.7571679988267215,28.07411942876933,0.21256824826703652,0.21256824826703652,0.2847033805089096,74.66305735009857,0.7848133753758159,27.08519693172228,0.23166114560910342,0.23166114560910342,0.8926205665957812,25.95292493568659
162,0,76.810006,30.737167,0.045227288910538066,0.045227288910538066,0.9209729691228319,4.910816107188703,0.9209729691228319,4.910816107188703,0.045227288910538066,0.045227288910538066,0.8537697211439153,5.297363889871933,0.14161235561570332,31.937389017998115,0.12194145553176058,0.12194145553176058,0.727732469105025,16.756357687561447,0.4823652314303691,25.279901532323276,0.19311278331577852,0.19311278331577852,0.6510084642140626,29.663636332119914,0.6673195864050239,28.93857564650746,0.19311278331577852,0.19311278331577852,0.7641179054334792,25.27264208083527
113,0,76.768841,30.702185,0.034388521115218396,0.034388521115218396,0.6175198746152539,5.568812038097427,0.6175198746152539,5.568812038097427,0.12772982005400427,0.12772982005400427,0.2624487791982174,48.66847559520743,0.7147119360990993,17.87151068878941,0.12772982005400427,0.12772982005400427,0.47557452272598527,26.858003099463584,0.9457673206563816,13.505416952380761,0.13264728651482918,0.13264728651482918,0.5914893215250109,22.42598161752617,0.7698321279528675,17.230676883746586,0.20988741185306103,0.20988741185306103,0.880714541986895,23.831491572689867
228,0,76.797529,30.689395,0.005522117123602399,0.005522117123602399,0.19744299239898655,2.79681596014483,0.19744299239898655,2.79681596014483,0.043819234507657616,0.043819234507657616,0.29062208294439257,15.07773740512415,0.7408571142819043,5.914667438960964,0.12284350776663383,0.12284350776663383,0.290505400720096,42.28613563194799,0.8891852246966262,13.815288913347137,0.15922966972468353,0.15922966972468353,0.1822492999066542,87.36915302623328,0.8206760901453527,19.402255242562486,0.18630913036690025,0.18630913036690025,0.8414705294039205,22.140897851630953
