Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0,fill_p_m_0,fill_ratio_1,fill_ratio_1_1,fill_p_m_1
2,76.754223,30.73939,0.9507143064099162,0.9507143064099162,1.0,0.9507143064099162,0.0,0.9507143064099162,0.0
2,76.756082,30.691572,0.713244787222995,0.713244787222995,0.7548995626351478,0.944820771564965,0.0,0.713244787222995,0.0
2,76.735219,30.742392,0.9394989415641891,0.9394989415641891,1.0,0.9394989415641891,0.0,0.9394989415641891,0.0
2,76.755438,30.729956,0.9093204020787821,0.9093204020787821,1.0,0.9093204020787821,0.0,0.9093204020787821,0.0
2,76.761424,30.727588,0.8324426408004217,0.8324426408004217,0.924111045481394,0.9008036911481566,0.0,0.8324426408004217,0.0
2,76.7473,30.693785,0.8083973481164611,0.8083973481164611,0.900461366616483,0.8977590578416975,0.0,0.8083973481164611,0.0
2,76.724239,30.739403,0.8948273504276488,0.8948273504276488,1.0,0.8948273504276488,0.0,0.8948273504276488,0.0
2,76.740917,30.734954,0.8661761457749352,0.8661761457749352,1.0,0.8661761457749352,0.0,0.8661761457749352,0.0
2,76.749047,30.743196,0.8631034258755935,0.8631034258755935,1.0,0.8631034258755935,0.0,0.8631034258755935,0.0
2,76.751598,30.701793,0.7722447692966574,0.7722447692966574,0.905459890802184,0.8528757343547202,0.0,0.7722447692966574,0.0
2,76.747066,30.750712,0.7751328233611146,0.7751328233611146,0.934209477590131,0.8297205733350431,0.0,0.7751328233611146,0.0
2,76.730468,30.707526,0.8287375091519293,0.8287375091519293,1.0,0.8287375091519293,0.8287375091519293,0.8287375091519293,0.8287375091519293
2,76.746844,30.686661,0.7080725777960455,0.7080725777960455,0.8572543732037043,0.8259772127494185,0.7080725777960455,0.7080725777960455,0.8259772127494185
2,76.739484,30.740651,0.8154614284548342,0.8154614284548342,1.0,0.8154614284548342,0.8154614284548342,0.8154614284548342,0.8154614284548342
2,76.746288,30.747585,0.7607850486168974,0.7607850486168974,0.969224927530863,0.7849416858840249,0.7607850486168974,0.7607850486168974,0.7849416858840249
2,76.750122,30.751839,0.7290071680409873,0.7290071680409873,0.933011161801035,0.7813488175572848,0.7290071680409873,0.7290071680409873,0.7813488175572848
2,76.732449,30.702766,0.7712703466859457,0.7712703466859457,1.0,0.7712703466859457,0.7712703466859457,0.7712703466859457,0.7712703466859457
2,76.733378,30.717856,0.7319939418114051,0.7319939418114051,1.0,0.7319939418114051,0.7319939418114051,0.7319939418114051,0.7319939418114051
2,76.714692,30.737373,0.7296061783380641,0.7296061783380641,1.0,0.7296061783380641,0.7296061783380641,0.7296061783380641,0.7296061783380641
2,76.752876,30.717853,0.7068573438476171,0.7068573438476171,1.0,0.7068573438476171,0.7068573438476171,0.7068573438476171,0.7068573438476171
2,76.720504,30.729951,0.6842330265121569,0.6842330265121569,1.0,0.6842330265121569,0.6842330265121569,0.6842330265121569,0.6842330265121569
2,76.713972,30.720256,0.662522284353982,0.662522284353982,1.0,0.662522284353982,0.0,0.662522284353982,0.0
2,76.748739,30.719108,0.6232981268275579,0.6232981268275579,1.0,0.6232981268275579,0.6232981268275579,0.6232981268275579,0.6232981268275579
2,76.746865,30.707631,0.6118528947223795,0.6118528947223795,1.0,0.6118528947223795,0.6118528947223795,0.6118528947223795,0.6118528947223795
2,76.756494,30.708804,0.6075448519014384,0.6075448519014384,1.0,0.6075448519014384,0.6075448519014384,0.6075448519014384,0.6075448519014384
2,76.750709,30.746168,0.5978999788110851,0.5978999788110851,0.9870426383061763,0.6057488862255404,0.5978999788110851,0.5978999788110851,0.6057488862255404
2,76.735551,30.722152,0.6011150117432088,0.6011150117432088,1.0,0.6011150117432088,0.6011150117432088,0.6011150117432088,0.6011150117432088
2,76.728869,30.724373,0.5924145688620425,0.5924145688620425,1.0,0.5924145688620425,0.5924145688620425,0.5924145688620425,0.5924145688620425
2,76.739592,30.718233,0.5612771975694962,0.5612771975694962,1.0,0.5612771975694962,0.5612771975694962,0.5612771975694962,0.5612771975694962
2,76.739919,30.725365,0.5467102793432796,0.5467102793432796,1.0,0.5467102793432796,0.5467102793432796,0.5467102793432796,0.5467102793432796
2,76.743005,30.717842,0.5426960831582485,0.5426960831582485,1.0,0.5426960831582485,0.5426960831582485,0.5426960831582485,0.5426960831582485
2,76.736815,30.711349,0.5247564316322378,0.5247564316322378,1.0,0.5247564316322378,0.5247564316322378,0.5247564316322378,0.5247564316322378
2,76.732014,30.741725,0.5200680211778108,0.5200680211778108,1.0,0.5200680211778108,0.5200680211778108,0.5200680211778108,0.5200680211778108
2,76.760074,30.707197,0.4722149251619493,0.4722149251619493,0.9372924540832962,0.5038074542313387,0.4722149251619493,0.4722149251619493,0.5038074542313387
2,76.751162,30.728939,0.4951769101112702,0.4951769101112702,1.0,0.4951769101112702,0.4951769101112702,0.4951769101112702,0.4951769101112702
2,76.743991,30.750429,0.45606998421703593,0.45606998421703593,1.0,0.45606998421703593,0.45606998421703593,0.45606998421703593,0.45606998421703593
2,76.735225,30.752778,0.4401524937396013,0.4401524937396013,1.0,0.4401524937396013,0.4401524937396013,0.4401524937396013,0.4401524937396013
2,76.723448,30.733899,0.43194501864211576,0.43194501864211576,1.0,0.43194501864211576,0.43194501864211576,0.43194501864211576,0.43194501864211576
2,76.757658,30.722922,0.3567533266935893,0.3567533266935893,0.8721176244310046,0.40906560846806156,0.3567533266935893,0.3567533266935893,0.40906560846806156
2,76.736267,30.703417,0.388677289689482,0.388677289689482,1.0,0.388677289689482,0.388677289689482,0.388677289689482,0.388677289689482
2,76.716595,30.726273,0.3745401188473625,0.3745401188473625,1.0,0.3745401188473625,0.3745401188473625,0.3745401188473625,0.3745401188473625
2,76.74777,30.729357,0.3663618432936917,0.3663618432936917,1.0,0.3663618432936917,0.3663618432936917,0.3663618432936917,0.3663618432936917
2,76.737358,30.730679,0.3584657285442726,0.3584657285442726,1.0,0.3584657285442726,0.3584657285442726,0.3584657285442726,0.3584657285442726
2,76.753596,30.742354,0.31171107608941095,0.31171107608941095,0.9237065851075411,0.3374568083793843,0.31171107608941095,0.31171107608941095,0.3374568083793843
2,76.735379,30.734311,0.3308980248526492,0.3308980248526492,1.0,0.3308980248526492,0.3308980248526492,0.3308980248526492,0.3308980248526492
2,76.764698,30.740955,0.3042422429595377,0.3042422429595377,0.926028043130663,0.32854538824868934,0.3042422429595377,0.3042422429595377,0.32854538824868934
2,76.745047,30.737274,0.32533033076326434,0.32533033076326434,1.0,0.32533033076326434,0.32533033076326434,0.32533033076326434,0.32533033076326434
2,76.730074,30.734448,0.32518332202674705,0.32518332202674705,1.0,0.32518332202674705,0.32518332202674705,0.32518332202674705,0.32518332202674705
2,76.742796,30.699565,0.3109823217156622,0.3109823217156622,1.0,0.3109823217156622,0.3109823217156622,0.3109823217156622,0.3109823217156622
2,76.717378,30.731993,0.3046137691733707,0.3046137691733707,1.0,0.3046137691733707,0.3046137691733707,0.3046137691733707,0.3046137691733707
2,76.739675,30.751624,0.29214464853521815,0.29214464853521815,1.0,0.29214464853521815,0.29214464853521815,0.29214464853521815,0.29214464853521815
2,76.742851,30.7107,0.2912291401980419,0.2912291401980419,1.0,0.2912291401980419,0.2912291401980419,0.2912291401980419,0.2912291401980419
2,76.752546,30.683652,0.1987156815341724,0.1987156815341724,0.6980586140878259,0.28466904859248837,0.1987156815341724,0.1987156815341724,0.28466904859248837
2,76.731578,30.712854,0.28093450968738076,0.28093450968738076,1.0,0.28093450968738076,0.28093450968738076,0.28093450968738076,0.28093450968738076
2,76.752629,30.749529,0.2587799816000169,0.2587799816000169,0.9355778484908915,0.27659909008901284,0.2587799816000169,0.2587799816000169,0.27659909008901284
2,76.721468,30.736991,0.2713490317738959,0.2713490317738959,1.0,0.2713490317738959,0.2713490317738959,0.2713490317738959,0.2713490317738959
2,76.756212,30.681968,0.15601864044243652,0.15601864044243652,0.6306659112118383,0.2473871469327449,0.15601864044243652,0.15601864044243652,0.2473871469327449
2,76.76223,30.718974,0.19967378215835974,0.19967378215835974,0.8502376506535393,0.23484467196304412,0.19967378215835974,0.19967378215835974,0.23484467196304412
2,76.736806,30.748459,0.21233911067827616,0.21233911067827616,1.0,0.21233911067827616,0.21233911067827616,0.21233911067827616,0.21233911067827616
2,76.763248,30.749912,0.18340450985343382,0.18340450985343382,0.9009066120152144,0.2035777153895908,0.18340450985343382,0.18340450985343382,0.2035777153895908
2,76.755728,30.720117,0.1959828624191452,0.1959828624191452,1.0,0.1959828624191452,0.1959828624191452,0.1959828624191452,0.1959828624191452
2,76.745708,30.691201,0.17052412368729153,0.17052412368729153,0.8729244841644945,0.19534808197126688,0.17052412368729153,0.17052412368729153,0.19534808197126688
2,76.744077,30.754541,0.18182496720710062,0.18182496720710062,0.9364091589985021,0.19417256384117818,0.18182496720710062,0.18182496720710062,0.19417256384117818
2,76.725031,30.72097,0.18485445552552704,0.18485445552552704,1.0,0.18485445552552704,0.18485445552552704,0.18485445552552704,0.18485445552552704
2,76.764624,30.706718,0.12203823484477883,0.12203823484477883,0.7436967398952389,0.16409677264683153,0.12203823484477883,0.12203823484477883,0.16409677264683153
2,76.760178,30.737124,0.13949386065204183,0.13949386065204183,0.8916237586436103,0.15644924139779315,0.13949386065204183,0.13949386065204183,0.15644924139779315
2,76.744586,30.725718,0.15599452033620265,0.15599452033620265,1.0,0.15599452033620265,0.15599452033620265,0.15599452033620265,0.15599452033620265
2,76.724063,30.726649,0.14092422497476265,0.14092422497476265,1.0,0.14092422497476265,0.14092422497476265,0.14092422497476265,0.14092422497476265
2,76.747891,30.715129,0.1195942459383017,0.1195942459383017,1.0,0.1195942459383017,0.1195942459383017,0.1195942459383017,0.1195942459383017
2,76.749401,30.722265,0.11586905952512971,0.11586905952512971,1.0,0.11586905952512971,0.11586905952512971,0.11586905952512971,0.11586905952512971
2,76.712239,30.733528,0.09767211400638387,0.09767211400638387,1.0,0.09767211400638387,0.09767211400638387,0.09767211400638387,0.09767211400638387
