Node,fill_ratio
0.0,0.0
281.0,0.322978733363808
294.0,0.7440494512285778
96.0,0.8271581484276234
140.0,0.4597396512381025
106.0,0.46364916558514013
292.0,0.29808516837157795
208.0,0.18310397166375403
13.0,0.07893303701360789
105.0,0.5556146445727886
288.0,0.2679130713091247
227.0,0.6014803549697905
267.0,0.5808061853461491
245.0,0.6582837834261573
189.0,0.33379365635930675
193.0,0.7207664143307841
200.0,0.10839584133928157
20.0,0.9960264099299029
258.0,0.9642575271676307
70.0,0.816717258974829
0.0,9.981752474617938
