Node,fill_ratio
0.0,0.0
208.0,0.053830524908459076
186.0,0.5307933201518452
70.0,0.276469381395141
189.0,0.42577728914078145
110.0,0.4592988689711993
225.0,0.22264771186572824
157.0,0.4799252637751494
4.0,0.7523056713302916
201.0,0.44495829879155413
278.0,0.6870694399041041
213.0,0.5107053626682195
127.0,0.6276256696004087
170.0,0.8383842342679297
192.0,0.7638284305059841
174.0,0.45680319371041395
163.0,0.4676408749108839
264.0,0.6839891137948974
275.0,0.6963968119219219
172.0,0.5100695414848466
0.0,9.888519003099757
