Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_0_1,fill_per_m_0_0_0_1,distance_from_0_0_2,fill_per_m_0_0_0_2,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_1_1,fill_per_m_0_0_1_1,fill_ratio_1,distance_from_80_0_0,fill_per_m_1_80_0_0,distance_from_277_0_1,fill_per_m_1_277_0_1,distance_from_112_0_2,fill_per_m_1_112_0_2,distance_from_63_1_0,fill_per_m_1_63_1_0,distance_from_259_1_1,fill_per_m_1_259_1_1,fill_ratio_2,distance_from_214_0_0,fill_per_m_2_214_0_0,distance_from_37_0_1,fill_per_m_2_37_0_1,distance_from_184_0_2,fill_per_m_2_184_0_2,distance_from_246_1_0,fill_per_m_2_246_1_0,distance_from_115_1_1,fill_per_m_2_115_1_1,fill_ratio_3,distance_from_71_0_1,fill_per_m_3_71_0_1,distance_from_18_0_2,fill_per_m_3_18_0_2,distance_from_181_1_0,fill_per_m_3_181_1_0,distance_from_100_1_1,fill_per_m_3_100_1_1,fill_ratio_4,distance_from_286_0_1,fill_per_m_4_286_0_1,distance_from_219_1_0,fill_per_m_4_219_1_0,fill_ratio_5,distance_from_263_1_0,fill_per_m_5_263_1_0,fill_ratio_6,distance_from_164_1_0,fill_per_m_6_164_1_0
1,76.708514,30.719551,0.17701048427674682,1.0,17.70104842767468,1.0,17.70104842767468,1.0,17.70104842767468,1.0,17.70104842767468,1.0,17.70104842767468,0.18934853136997115,0.5245468099603985,36.09754702049686,0.5359482415484358,35.32963011930304,0.21676887476640555,87.35042407449727,0.11837924264810054,159.9507879374065,0.23215068779642034,81.56276992640933,0.2238185265579017,0.64709533350874,34.58818430111251,0.3081894661566381,72.62367833303729,0.18416347898830848,121.53252522565057,0.09386279152920857,238.4528767059448,0.3351683566421772,66.77794073407962,0.27786317135813066,0.24355211938445762,114.08776571535867,0.14830631396439245,187.35761406951568,0.08003265262064266,347.1872570252182,0.4699751057499646,59.12295522860289,0.3281253835372026,0.4371808105136041,75.05484587754844,0.3929985765076538,83.49276642502349,0.3285544340482554,0.21622241561928662,151.95206894125042,0.0,0.08790571218468969,0.0
1,76.702839,30.705454,0.19228901880867078,1.0,19.228901880867078,1.0,19.228901880867078,1.0,19.228901880867078,1.0,19.228901880867078,1.0,19.228901880867078,0.25862287314538857,0.3338173103137819,77.47437450211554,0.3618605005040546,71.47032427831695,0.1245680663957241,207.61570812522945,0.1148166699424934,225.2485403686776,0.21788474584868217,118.69709930267373,0.25862287314538857,0.44898903760437736,57.601155370138855,0.21063777176152826,122.78086260719955,0.19045656570780048,135.79099895257443,0.0600617546173306,430.59493481857737,0.23609411555848617,109.54227831287116,0.3007290334691774,0.06973706735311087,431.23269286109763,0.2574926610914209,116.79130278684167,0.08477628216914677,354.7325098182046,0.46893565219596633,64.13012788874154,0.3007290334691774,0.2690383652145244,111.77923759289263,0.2697104380520032,111.50070262063551,0.35336432267590784,0.20292161475009668,174.1383356874453,0.0,0.14836324902834752,0.0
1,76.6847,30.693087,0.4505441353100935,1.0,45.05441353100935,1.0,45.05441353100935,1.0,45.05441353100935,1.0,45.05441353100935,1.0,45.05441353100935,0.4505441353100935,0.2441913943564397,184.50450987328662,0.2415774490455316,186.50090771725,0.25853025248732325,174.2713399980861,0.2634961664076009,170.9869792235038,0.34421992070838503,130.88845479451024,0.45524245168599403,0.33356037980800024,136.47977375131748,0.275209435818619,165.41673083695738,0.31109442222493905,146.33578076717419,0.22315175437064466,204.00576861692852,0.32575347410214767,139.75060525163946,0.49918047903342744,0.17254949904232963,289.29697379820794,0.3941585017261354,126.64460536747782,0.2405295422393769,207.53395794377687,0.582019083547281,85.7670294917187,0.5296171240819265,0.18182347427679876,291.2809394873098,0.3566201512478824,148.5101507104112,0.5615098428578905,0.3293629308789027,170.48361859044226,0.575699832442658,0.2781086446489804,207.0053712890829
1,76.679274,30.692858,0.3581627180328405,1.0,35.81627180328405,1.0,35.81627180328405,1.0,35.81627180328405,1.0,35.81627180328405,1.0,35.81627180328405,0.3904291869094832,0.23807313746243233,163.99548099839382,0.26608407242431276,146.7315135972824,0.2531568193523922,154.22424247083345,0.25799038945896846,151.3347794575806,0.33646515471386285,116.03852031617137,0.40624288223462784,0.3261018445673276,124.57546285076415,0.29535150921717673,137.5455582777845,0.30426022039721307,133.51823702233435,0.2187614967087576,185.70127209152744,0.3185118943180082,127.54402252527103,0.4353028378121452,0.16956548808304234,256.71664837774165,0.38501593266961365,113.06099329288882,0.2356563524091442,184.71933107764343,0.5676558316966737,76.68428887818577,0.479325751803031,0.17858173770807276,268.4069255651347,0.34852078038951556,137.53146979279816,0.5136096432015,0.32202104357570993,159.49567689688763,0.0,0.27219112411634533,0.0
1,76.680322,30.696429,0.3808908566310215,1.0,38.08908566310215,1.0,38.08908566310215,1.0,38.08908566310215,1.0,38.08908566310215,1.0,38.08908566310215,0.43144727457570514,0.2471252457473801,174.5864827654012,0.2737191730565653,157.6240603673549,0.2609263065919109,165.35215640425602,0.2748673944336468,156.96560716657024,0.3433630003864745,125.65339715988233,0.4645962614282005,0.3331074231111758,139.473403831394,0.3263525207660037,142.36024907597334,0.3114928558226026,149.15149825869244,0.22688294303141643,204.7735520443544,0.32559637498109634,142.69085810773362,0.47450834765149486,0.2009499431490391,236.13261104511233,0.3914090636674751,121.2308021703395,0.24360216649770072,194.78822970811862,0.5721503105798798,82.93421132124811,0.48662985370214323,0.1871208769050673,260.06176421940717,0.35529330054834574,136.9656711655125,0.48662985370214323,0.32906904451178187,147.8807751194355,0.5274330031342117,0.2797571371760475,188.53245656510455
1,76.711345,30.704868,0.17231987120162984,1.0,17.231987120162984,1.0,17.231987120162984,1.0,17.231987120162984,1.0,17.231987120162984,1.0,17.231987120162984,0.2320992810848825,0.3789181672413548,61.25314148293267,0.4125977324649156,56.25316448015588,0.07042413406552864,329.57349659268436,0.15623004554935932,148.5625125876015,0.16682275481390038,139.12927007098133,0.2320992810848825,0.5077973124459012,45.707071580771604,0.16656733784569974,139.34261307573308,0.24087239084472067,96.35777694194358,0.09360322392973194,247.9607767133317,0.26957132518837,86.0993953725223,0.2320992810848825,0.13931576632185375,166.59943609589453,0.29970343252025594,77.44298393018761,0.11347608303889434,204.53585889577244,0.3940019581967562,58.90815419982685,0.2947471654043887,0.3087210704808934,95.47361472453512,0.30718147375590654,95.9521294694359,0.2947471654043887,0.15007165864941183,196.40428316512376,0.2947471654043887,0.15939437798873327,184.91691433760784
1,76.683915,30.710755,0.13882717264941014,1.0,13.882717264941014,1.0,13.882717264941014,1.0,13.882717264941014,1.0,13.882717264941014,1.0,13.882717264941014,0.22040463983697173,0.32502530648970873,67.81153203649095,0.35188392756720277,62.63560866811084,0.2486840625351479,88.6283735234624,0.1649983129006861,133.57993543220965,0.335057923743111,65.78105581707001,0.22040463983697173,0.4115172646496457,53.559026259716724,0.2919131706219773,75.50349282540323,0.21413226858621076,102.92920412797835,0.1290855921718592,170.743021067397,0.3144921831065122,70.08270846666007,0.26688956290392984,0.16693847711168597,159.87300682357017,0.29154763243729614,91.54235301887778,0.173197615566303,154.09540254424573,0.5210156337869757,51.224866510061624,0.26688956290392984,0.264942076256889,100.7350612913415,0.34703632887189295,76.90536716184864,0.31211711918260704,0.3201046001574626,97.50472783867322,0.35604022601818974,0.19672140366662916,180.9870300750536
1,76.708931,30.698582,0.18188008439914483,1.0,18.188008439914483,1.0,18.188008439914483,1.0,18.188008439914483,1.0,18.188008439914483,1.0,18.188008439914483,0.21438294886139883,0.3102058863381899,69.10989065748294,0.3440591058528202,62.30991861994388,0.08009385050954551,267.6646802438957,0.2330716073682634,91.9815808034757,0.16235567631558304,132.04524395234967,0.23741313440096196,0.43974954180127374,53.9882619157454,0.17166228079558987,138.3024466997885,0.29538663414703725,80.37368890658156,0.19317087781605013,122.9031710603097,0.20029524400419332,118.53158849642558,0.29121937032628586,0.12574256719653695,231.59966972131795,0.36898369026479255,78.92472702988555,0.20349728646513054,143.10724992207037,0.46218523352089175,63.00923292330198,0.29121937032628586,0.23965397973228358,121.51660099765743,0.23549631658144526,123.66196403992122,0.29121937032628586,0.17482866576809797,166.5741536417001,0.34582435579619664,0.22794406053215238,151.71457198263641
1,76.683038,30.698,0.16893506307216455,1.0,16.893506307216455,1.0,16.893506307216455,1.0,16.893506307216455,1.0,16.893506307216455,1.0,16.893506307216455,0.22221859478068962,0.2948351192496457,75.37046310705288,0.3205652438597342,69.32086339276478,0.2878746249037006,77.19283867239979,0.20605649206169627,107.84352997436945,0.3681627419606829,60.358795025603364,0.22364898740549186,0.39271841783438116,56.94894286822322,0.32928202393073985,67.92019337579555,0.25313141434874664,88.35291659902948,0.17165268641679998,130.29157426784258,0.35091235272251226,63.733574971168004,0.2850368603759582,0.20955828875276775,136.01793661917063,0.32728869350659145,87.09034746115287,0.21391667878827056,133.24667435496258,0.548758478388527,51.94213330662183,0.3274298801182481,0.23727635640747982,137.99515681872055,0.3794762389626062,86.28468570610904,0.3274298801182481,0.35441414941358373,92.38623250793343,0.34587277526995247,0.23645208734019685,146.27605074694304
1,76.716714,30.6946,0.12915941515149498,1.0,12.915941515149498,1.0,12.915941515149498,1.0,12.915941515149498,1.0,12.915941515149498,1.0,12.915941515149498,0.2051075046440239,0.3255689368481838,62.9997157068052,0.35859545128815234,57.1974641360434,0.11045480161132099,185.69360648147827,0.3225633640152227,63.586732879665874,0.14501888919037384,141.435026698328,0.273126174724054,0.43205109473816034,63.216174672483824,0.13382452185649782,204.09277084279933,0.37273277535430277,73.27667240006804,0.2252161994809821,121.27288150385361,0.2158029123444164,126.56278442069912,0.34491717703157365,0.2178553289780357,158.32395684309765,0.4052583609887778,85.11044070504072,0.24116939046704655,143.0186377979436,0.4204462440775605,82.03597532148393,0.35936084985790334,0.294121739614424,122.18098884122062,0.2526907529933975,142.2136922704461,0.35936084985790334,0.182094578141415,197.34846228031185,0.35936084985790334,0.2658123047595194,135.1934592279381
