Ward,x,y,fill_ratio,distance_from_0,fill_p_m,fill_ratio_0,distance_from_0_0.531354631568148,fill_per_m_0,fill_ratio_1,distance_from_34,fill_per_m_1,fill_ratio_2,distance_from_242,fill_per_m_2,fill_ratio_3,distance_from_53,fill_per_m_3,fill_ratio_4,distance_from_179,fill_per_m_4,fill_ratio_5,distance_from_248,fill_per_m_5
1,76.714146,30.697422,0.9699098521619943,0.6586063442537702,147.267007162062,0.9699098521619943,1.0,0.9699098521619943,0.9728282318900527,0.33418498461813495,2.911047104649779,0.9728282318900527,0.24876162950934458,3.9106844323573986,0.9751841097657187,0.26214720407600806,3.719986689169379,0.9760961791538093,0.33048290862501767,2.95354511134897,0.0,0.23181550700563877,0.0
1,76.708514,30.719551,0.9148643902204485,0.7271804079710359,125.80982383354973,0.9148643902204485,1.0,0.9148643902204485,0.9172563874676027,0.37266489910745004,2.4613436619989564,0.9213060664231398,0.4581419039716111,2.010962233396203,0.9234845332519243,0.2011711766412327,4.590540994343639,0.9308745665975516,0.6041746780276198,1.540737472872037,0.9361358522095562,0.32881323915346056,2.84701386908771
1,76.733428,30.670581,0.9132405525564713,0.5077954061558688,179.84419344592303,0.9132405525564713,0.960961072479645,0.9503408397178498,0.9132405525564713,0.7655529044776397,1.1929163186698422,0.9218095056196153,0.41070251501675753,2.244470077282102,0.9218095056196153,0.6795465728370764,1.356506739149757,0.924247611379787,0.0835182382813588,11.066416514512115,0.9277440194970682,0.3472932700788206,2.671356169057092
1,76.705889,30.715948,0.8971102599525771,0.7375268595649487,121.63763913381585,0.8971102599525771,1.0,0.8971102599525771,0.9034907881308504,0.30840251170710936,2.929583105953747,0.9034907881308504,0.39754948914431676,2.272649853168014,0.9105660041312813,0.1414830779054917,6.435865105645525,0.9162971699293383,0.539438324819072,1.6986134054095343,0.924598899911357,0.30681939123031077,3.0134956470770016
1,76.707739,30.67142,0.8985541885270792,0.6795052934192839,132.2365251940183,0.8985541885270792,1.0,0.8985541885270792,0.8985541885270792,0.31690359471225693,2.8354181003940684,0.9057119531201793,0.12830213199142293,7.059212026038091,0.914314448910473,0.4235320448490712,2.158784583197939,0.918080429035553,0.30460836479939934,3.0139698548336233,0.9201012117103138,0.34475016063938085,2.668892771518583
1,76.733171,30.68394,0.8960912999234932,0.5289543657217988,169.40805445488817,0.8960912999234932,1.0,0.8960912999234932,0.8980460424398713,0.676231902876063,1.3280148993568874,0.9038364688330953,0.32566939649975424,2.7753190153799956,0.9098271354805401,0.5903209949824245,1.5412413639593288,0.9154141375520292,0.27861919292160153,3.2855386879596997,0.9188102118495377,0.29313399059552403,3.1344376337350193
1,76.70779,30.689305,0.8948273504276488,0.7031515222873066,127.25953397879779,0.8948273504276488,1.0,0.8948273504276488,0.8985436494330282,0.231334900822583,3.8841681313021836,0.8985436494330282,0.08897013165514307,10.099385408530935,0.9058061482891658,0.2827759909020505,3.2032639878642453,0.9072381289363619,0.27895261949779876,3.2523018804041772,0.9072381289363619,0.2867458783637645,3.1639099195192055
1,76.68913,30.720583,0.8661761457749352,0.8442292408677479,102.59963808936882,0.8661761457749352,1.0,0.8661761457749352,0.8661761457749352,0.2903954999244564,2.9827464475181693,0.8755092925926998,0.36510814360261734,2.397945123748326,0.8784664862486654,0.1414060411654638,6.212368856439049,0.8879553561443617,0.4288669618679033,2.070468082402355,0.8941747856897817,0.4353579024441268,2.0538843573754555
1,76.724498,30.659777,0.8511366715168569,0.5884673122773968,144.6361851812834,0.8511366715168569,1.0,0.8511366715168569,0.8591171804650273,0.7617630385487528,1.1278010837881363,0.8591171804650273,0.4431272509003601,1.938759529501843,0.871153998557283,0.6845404828598106,1.2726113653904814,0.8801092495673078,0.2038315326130452,4.3178267772637104,0.8874943453560391,0.4458616780045351,1.9905149716567747
1,76.698487,30.722642,0.877339353380981,0.8556108282067131,102.53953368259833,0.877339353380981,1.0,0.877339353380981,0.878292851464463,0.3188709104044586,2.7543837421558113,0.878292851464463,0.39581780443333375,2.2189321491534644,0.878292851464463,0.17322798527573594,5.070155668360623,0.8790007464343605,0.5180269027441717,1.69682451196643,0.8833008731883326,0.4087072692453242,2.1612066622141146
1,76.734448,30.696438,0.8607305832563434,0.523082055357686,164.54982051865107,0.8607305832563434,1.0,0.8607305832563434,0.8607305832563434,0.6851928271308524,1.256187381383618,0.8736045951533579,0.3787515006002401,2.3065376474255057,0.8736045951533579,0.5983174519807923,1.4601021452093679,0.8736045951533579,0.4663209033613446,1.8733978872836754,0.8806097636164039,0.11496473589435774,7.659825047792091
1,76.708249,30.663889,0.835302495589238,0.7452683012980896,112.08077602848921,0.835302495589238,1.0,0.835302495589238,0.8487054964740021,0.3891346419684822,2.181007304260366,0.8487054964740021,0.2002448753900233,4.238338158821549,0.8524459667398049,0.4863541214107982,1.7527269312883806,0.8524459667398049,0.2844306647181958,2.9970255407741613,0.8636746923313935,0.38804191845386204,2.2257252406458345
1,76.697373,30.717857,0.8287375091519293,0.8021173677135766,103.31873395463722,0.8287375091519293,1.0,0.8287375091519293,0.8315225273605589,0.30014311751538203,2.770420105728209,0.8460460040751672,0.36877836356741817,2.294185580441455,0.8460460040751672,0.14478721972819905,5.843374889464705,0.8482359899478851,0.4358784602023216,1.9460378692586908,0.8595535448777475,0.376325671857225,2.2840683194311957
