id,Ward,x,y,fill_ratio_0,fill_ratio_0_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,distance_from_0_3_0,fill_per_m_0_0_3_0,distance_from_0_4_0,fill_per_m_0_0_4_0,distance_from_0_5_0,fill_per_m_0_0_5_0,fill_ratio_1,fill_ratio_1_1,distance_from_253_0_0,fill_per_m_1_253_0_0,distance_from_69_1_0,fill_per_m_1_69_1_0,distance_from_289_2_0,fill_per_m_1_289_2_0,distance_from_185_3_0,fill_per_m_1_185_3_0,distance_from_226_4_0,fill_per_m_1_226_4_0,distance_from_92_5_0,fill_per_m_1_92_5_0,fill_ratio_2,fill_ratio_2_2,distance_from_252_0_0,fill_per_m_2_252_0_0,distance_from_235_1_0,fill_per_m_2_235_1_0,distance_from_259_2_0,fill_per_m_2_259_2_0,distance_from_15_3_0,fill_per_m_2_15_3_0,distance_from_266_4_0,fill_per_m_2_266_4_0,distance_from_5_5_0,fill_per_m_2_5_5_0,fill_ratio_3,fill_ratio_3_3,distance_from_274_0_0,fill_per_m_3_274_0_0,distance_from_207_1_0,fill_per_m_3_207_1_0,distance_from_270_2_0,fill_per_m_3_270_2_0,distance_from_243_3_0,fill_per_m_3_243_3_0,distance_from_209_4_0,fill_per_m_3_209_4_0,distance_from_242_5_0,fill_per_m_3_242_5_0,fill_ratio_4,fill_ratio_4_4,distance_from_120_0_0,fill_per_m_4_120_0_0,distance_from_146_1_0,fill_per_m_4_146_1_0,distance_from_241_3_0,fill_per_m_4_241_3_0,distance_from_188_4_0,fill_per_m_4_188_4_0,distance_from_286_5_0,fill_per_m_4_286_5_0,fill_ratio_5,fill_ratio_5_5,distance_from_34_3_0,fill_per_m_5_34_3_0,distance_from_284_5_0,fill_per_m_5_284_5_0,fill_ratio_6,fill_ratio_6_6,distance_from_128_5_0,fill_per_m_6_128_5_0,fill_ratio_7,fill_ratio_7_7,distance_from_115_5_0,fill_per_m_7_115_5_0
241,1,76.683038,30.698,0.7072386343133986,0.7072386343133986,1.0,70.72386343133986,1.0,70.72386343133986,1.0,70.72386343133986,1.0,70.72386343133986,1.0,70.72386343133986,1.0,70.72386343133986,0.7158208672993128,0.7158208672993128,0.5301720190282244,135.0167194057831,0.20835151573922928,343.564031564439,0.37562964998195225,190.56559228849628,0.20111087765799834,355.9334411123256,0.24579380343607063,291.22819912158326,0.3211416934688798,222.89876458183383,0.726742628625673,0.726742628625673,0.5727646415507033,126.88329130410172,0.20131559807993793,360.9966816069064,0.3681627419606829,197.39711431834235,0.3416783842171329,212.6978650671199,0.26619042231668094,273.01606958686256,0.23465808995846327,309.7027802256097,0.0,0.74370960284874,0.48213814318577297,154.25238873128956,0.20419245874614125,364.21991655105353,0.2645903705978375,281.0796179650607,0.2492632758499938,0.0,0.22227250443111965,334.5936128052263,0.25683793146175765,289.56377222632943,0.0,0.0,0.37145981822981483,0.0,0.18655956556171513,0.0,0.0,,0.23341899266777644,0.0,0.23727635640747982,0.0,0.0,0.0,0.09787791120521067,0.0,0.37320532919582583,0.0,0.0,0.0,0.4574854944806296,0.0,0.0,0.0,0.35091235272251226,0.0
242,1,76.705985,30.680949,0.15253904291426135,0.15253904291426135,1.0,15.253904291426135,1.0,15.253904291426135,1.0,15.253904291426135,1.0,15.253904291426135,1.0,15.253904291426135,1.0,15.253904291426135,0.21141185652169908,0.21141185652169908,0.3753919602248651,56.31763034963785,0.42883979773439923,49.29856268905258,0.17280149156755842,122.34376833434078,0.41934800418090906,50.41441819536951,0.309909884460013,68.21720349128687,0.08350518376225317,253.1721349462661,0.0,0.2695767223089427,0.43123393316195374,62.512873310389686,0.3022825503545298,89.18037842170237,0.2801774061414164,96.21643872770984,0.37353456312325206,72.16915084240617,0.15543518178479618,173.43352979261687,0.1985649312127461,0.0,0.0,0.0,0.31242407977626485,0.0,0.30846210344924996,0.0,0.4360504534026385,0.0,0.4795968812678324,0.0,0.10746772507697958,0.0,0.0,,0.0,0.0,0.16785078674538828,0.0,0.3180245204666799,0.0,0.33669030198593175,0.0,0.19113534280629396,0.0,0.11753156868838102,0.0,0.0,0.0,0.2615893104324981,0.0,0.21275318511822366,0.0,0.0,0.0,0.28520579677392016,0.0,0.0,0.0,0.1409220599451962,0.0
15,1,76.722244,30.707777,0.9650269106665126,0.9650269106665126,1.0,96.50269106665125,1.0,96.50269106665125,1.0,96.50269106665125,1.0,96.50269106665125,1.0,96.50269106665125,1.0,96.50269106665125,0.0,0.9662403131989582,0.6188133768175444,156.1440572225787,0.3169983499755982,304.80925634891696,0.31035951940134326,311.3293624963566,0.30729961499430625,0.0,0.1483162779167861,651.4728705240798,0.4352655919559374,221.98867336538106,0.0,0.0,0.5012510748398392,0.0,0.22956254986869526,0.0,0.17085111822076243,0.0,0.0,,0.4677393116377073,0.0,0.27524421135805527,0.0,0.0,0.0,0.48674945192851443,0.0,0.30528550070106675,0.0,0.20751574495115774,0.0,0.2552812400746772,0.0,0.35464679407230676,0.0,0.40972507339897285,0.0,0.0,0.0,0.42863450797511793,0.0,0.35225309670072585,0.0,0.49130444886861,0.0,0.4375740767997274,0.0,0.4261555980757462,0.0,0.0,0.0,0.4364353275647034,0.0,0.17809418308298927,0.0,0.0,0.0,0.2553974389762102,0.0,0.0,0.0,0.26939553331422506,0.0
246,1,76.702706,30.711971,0.6067150463828559,0.6067150463828559,1.0,60.67150463828559,1.0,60.67150463828559,1.0,60.67150463828559,1.0,60.67150463828559,1.0,60.67150463828559,1.0,60.67150463828559,0.6169177796812785,0.6169177796812785,0.5042389062858016,122.34632670958767,0.05709157565111128,1080.5758514203317,0.32166679396114967,191.7878348847499,0.049122941011736546,1255.8649115367161,0.08396980574861886,734.6900164663363,0.3642213396471397,169.37991065513978,0.6253642143333046,0.6253642143333046,0.5170001782122763,120.9601545004758,0.06029303189999745,1037.2081061880237,0.2455383283688485,254.69107755506113,0.19724916622113597,317.0427669297263,0.3642658927162097,171.67794922279754,0.24373074670943762,256.57994437559796,0.0,0.6374878112033906,0.4474973904630973,142.4562075197086,0.12602153822653325,505.8562370961208,0.12411848570482954,0.0,0.0885524071386746,719.8989071015017,0.30243259757122126,210.78673936703058,0.3411173909722753,186.88223704642581,0.0,0.0,0.32993457063570863,0.0,0.19225285776114462,0.0,0.20279284095827285,0.0,0.33762315741235777,0.0,0.3301000534636829,0.0,0.0,0.0,0.25781588125970617,0.0,0.25148934545176815,0.0,0.0,0.0,0.37004506224700223,0.0,0.0,0.0,0.3056658774408717,0.0
150,1,76.727591,30.703045,0.7624586857406905,0.7624586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,1.0,76.24586857406905,0.7666998591085276,0.7666998591085276,0.6010120768838237,127.5681285946491,0.3880506888926688,197.57724468840968,0.25950841979928563,295.4431535213865,0.40956795373362814,187.19722871852625,0.23228440210920223,330.06945457667206,0.4003912229971084,191.48767881809056,0.7666998591085276,0.7666998591085276,0.469084878380677,163.44586970171457,0.3785082497023303,202.55829554877133,0.10919374043204627,702.1463465533193,0.07697737710494983,996.0067333331198,0.45966150705902364,166.796620411828,0.2450416737540398,312.8854971330719,0.0,0.7802819041467254,0.4531638033679197,172.18539926350238,0.4115580881102229,189.59216856351793,0.3000085048477632,260.08659472593047,0.352457901003572,221.38300827559476,0.3366473890117367,231.78017403827897,0.3714577309066168,0.0,0.0,0.0,0.3545756080966151,0.0,0.43493791461132847,0.0,0.6157849974485456,0.0,0.5334155468617111,0.0,0.41401598911379484,0.0,0.0,0.0,0.5225463514203096,0.0,0.1142966490899813,0.0,0.0,0.0,0.1919374043204627,0.0,0.0,0.0,0.21687361796223847,0.0
100,1,76.746763,30.674927,0.5435528611139886,0.5435528611139886,0.704310696681423,77.17515347631458,0.704310696681423,77.17515347631458,0.704310696681423,77.17515347631458,0.704310696681423,77.17515347631458,0.704310696681423,77.17515347631458,0.704310696681423,77.17515347631458,0.5483048675520225,0.5483048675520225,0.2639870019779599,207.70146387654347,0.6662742143103828,82.294174947103,0.25766851904178834,212.79466719141544,0.5994945213651063,91.4611973940112,0.43588113403032874,125.79229169250331,0.46298389375529814,118.42849717830987,0.5483048675520225,0.5483048675520225,0.14961853630969202,366.4685413156954,0.5805233744623404,94.45009308364929,0.3222818749803774,170.13208316024807,0.4838388119682271,113.32387026198897,0.6034661392106998,90.8592598532827,0.5171109227339801,106.0323507871617,0.5842840692667461,0.5842840692667461,0.134925120090421,433.0432086146628,0.6110247715927286,95.62363040433225,0.4983830962921102,117.23593228055391,0.5467881699161722,106.85748182085257,0.535618975856331,109.08576723455529,0.44486044394210544,131.3409805756489,0.611667600864104,0.611667600864104,0.33808985589149476,180.9186493487726,0.6586135443157201,92.87200455308104,0.7995039402216572,76.50588947623237,0.7234780697623309,84.54542389447165,0.5613324542400553,108.96708291919333,0.6208342051389513,0.6208342051389513,0.801780163888104,77.43197363829951,0.24941132146557407,248.91981706798512,0.0,0.6208342051389513,0.28432388308059403,0.0,0.0,0.0,0.29185111927412016,0.0
300,1,76.736689,30.682809,0.5373956029379229,0.5373956029379229,0.936280631643216,57.396851411394536,0.936280631643216,57.396851411394536,0.936280631643216,57.396851411394536,0.936280631643216,57.396851411394536,0.936280631643216,57.396851411394536,0.936280631643216,57.396851411394536,0.5438773000575121,0.5438773000575121,0.4372658396469903,124.38138330142378,0.6183220936363889,87.96019188946289,0.2036004033339809,267.1297753597028,0.6067401178549293,89.63925147727785,0.4167938648831164,130.49071636647875,0.3850914439541532,141.23328591072593,0.5756243804097456,0.5756243804097456,0.30349031905938073,189.66811929744597,0.5171925734743152,111.29788205250249,0.25817075088576213,222.96266266989068,0.40330622854975534,142.72638002136176,0.6480448477784254,88.8247753813728,0.4308828018760581,133.59186718603866,0.5846680244905699,0.5846680244905699,0.28249104987095164,206.9686897187219,0.5748341797796465,101.71072720739971,0.48593418995550375,120.31835515506884,0.5176088585463325,112.95556767180689,0.5247319586675178,111.42222516334839,0.41777444749720166,139.9482491074292,0.6251988289436073,0.6251988289436073,0.2653216033450818,235.63811655791295,0.6710977899888065,93.16061508026054,0.8314600505092554,75.19288852912217,0.6680912866909038,93.5798507476807,0.6977030314804022,89.60815715778763,0.6251988289436073,0.6251988289436073,0.7663900683632596,81.57710476061006,0.19335053978297673,323.34992684548587,0.0,0.6307587494874918,0.2815012164774882,0.0,0.0,0.0,0.24819841071610285,0.0
38,1,76.706071,30.686267,0.5744731131799119,0.5744731131799119,1.0,57.44731131799119,1.0,57.44731131799119,1.0,57.44731131799119,1.0,57.44731131799119,1.0,57.44731131799119,1.0,57.44731131799119,0.5744731131799119,0.5744731131799119,0.40022801884589493,143.53645575251664,0.3314240189008393,173.33478577839344,0.20321836238513208,282.68760088283324,0.32231013310256723,178.236131656804,0.21586928750978693,266.12081774433375,0.11222373319047815,511.89984225961774,0.6111553457380737,0.6111553457380737,0.4545335915715443,134.45768521200196,0.2106633150643535,290.11000114157406,0.1936992623727696,315.51764227264835,0.2857240971964671,213.89702574432724,0.14624799109902337,417.8897372506575,0.05381794206123542,1135.5977622531268,0.6111553457380737,0.6111553457380737,0.33899946429307287,180.28209779402948,0.23735250889410858,257.488470876342,0.3407164736748121,179.37358271715823,0.3830716611035563,159.54073553168928,0.06486174640458235,942.2431242074864,0.05611186659523908,1089.173080173256,0.6312862862360039,0.6312862862360039,0.1812887185615582,348.2214951073445,0.27899342042004915,226.27282223557344,0.31566187277647284,199.9881330879107,0.2309583659565116,273.33337054994246,0.10938723369184489,577.1114826931289,0.6542559184936599,0.6542559184936599,0.2381011249845469,274.7806918325657,0.20012087746047444,326.930366684446,0.0,0.6717932617974611,0.2744261754646227,0.0,0.0,0.0,0.17191384733726184,0.0
197,1,76.703663,30.693716,0.25179905890695276,0.25179905890695276,1.0,25.179905890695274,1.0,25.179905890695274,1.0,25.179905890695274,1.0,25.179905890695274,1.0,25.179905890695274,1.0,25.179905890695274,0.3218927481676266,0.3218927481676266,0.4135477719322812,77.83689576263437,0.2560594240296587,125.710174264214,0.22227334253498965,144.8184224417083,0.24709781093930244,130.26936456620288,0.135170997446207,238.1374364687424,0.20365665819847575,158.0565796449054,0.37475693666178045,0.37475693666178045,0.466270595373834,80.37327259749628,0.13012342221599887,288.0011379040595,0.21303167903555975,175.916060164566,0.22045301487601102,169.99401748828626,0.17677181892740693,212.0003849797337,0.06983256986257526,536.6506451062465,0.0,0.3910009753508599,0.3541037386729612,110.41989469418617,0.15603475292219265,250.58582657277262,0.25637948164002855,152.50868472378286,0.29750021670567367,131.4288035419112,0.08045448180672521,0.0,0.14918018576677136,262.09980456932243,0.0,0.0,0.22205997079474307,0.0,0.21179812366225922,0.0,0.28801184213158365,0.0,0.18311962819974265,0.0,0.14098537736792624,0.0,0.0,0.0,0.20273649256866236,0.0,0.21927280243777214,0.0,0.0,0.0,0.3285324691777854,0.0,0.0,0.0,0.1966353943709868,0.0
154,1,76.688734,30.687228,0.8767656367617495,0.8767656367617495,1.0,87.67656367617495,1.0,87.67656367617495,1.0,87.67656367617495,1.0,87.67656367617495,1.0,87.67656367617495,1.0,87.67656367617495,0.8860077268640996,0.8860077268640996,0.4676955567221877,189.4411255633096,0.3192621581635088,277.5173017562371,0.29656851047582683,298.75313648187125,0.2956139932229275,299.7177898124553,0.2031570658139646,436.1195724668697,0.2324607454779745,381.1429430987729,0.8896017930948092,0.8896017930948092,0.5148666062139072,172.78296598735207,0.19864100606118454,447.84398283846684,0.28829403903975565,308.57446656125046,0.2873991791151625,309.53525888059016,0.15833054932467902,561.863643427748,0.136692836348017,650.8035218684777,0.0,0.8896722919735157,0.4145110485372023,214.63174386138655,0.1491671836968453,0.0,0.31160215720899154,285.51544698607864,0.34839283157543066,255.36469506287543,0.07123681573044431,1248.8939642389132,0.14797403713072113,601.2353986041308,0.0,0.0,0.303977950651458,0.0,0.20618765809192,0.0,0.20501240872428766,0.0,0.07770963585166801,0.0,0.12630649548990597,0.0,0.0,0.0,0.15851548704242827,0.0,0.2938779649692168,0.0,0.0,0.0,0.39924473822364337,0.0,0.0,0.0,0.28123061136830046,0.0
