Node,fill_ratio
0.0,0.0
33.0,0.17968310887024197
97.0,0.3529266737559033
186.0,0.20061004439506003
187.0,0.5015934088032447
233.0,0.5921367606455833
256.0,0.2863589642984198
68.0,0.42662745049297074
67.0,0.5719493115197315
7.0,0.3313330541745711
106.0,0.5849151742379672
293.0,0.7508255521473316
229.0,0.584175150015076
245.0,0.2689580728160702
99.0,0.8461847554405867
183.0,0.3004155374487942
267.0,0.5849727390626702
180.0,0.6080781355614236
127.0,0.5910717649963575
192.0,0.4559612929538134
236.0,0.7664677172123566
0.0,9.785244668848172
