Node,fill_ratio
0.0,0.0
58.0,0.07244688779455888
233.0,0.22158656647570496
160.0,0.17690496398135544
57.0,0.045348774270768034
96.0,0.3697380437967791
293.0,0.5545828605956277
227.0,0.29087664572344357
33.0,0.38020385583263616
288.0,0.21853754218237414
147.0,0.6684967167870272
140.0,0.2884471064360939
52.0,0.58945454779574
6.0,0.21658122455267
99.0,0.30265057328775613
187.0,0.2834697568893681
28.0,0.17788497599518158
105.0,0.6639837071487985
208.0,0.38506187003065173
106.0,0.7403542783812701
183.0,0.5156011743561333
117.0,0.3631355759303593
294.0,0.9071302433480039
169.0,0.252463931701953
213.0,0.3886826020103973
0.0,9.07362442530465
