Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,distance_from_233_0_0,fill_per_m_1_233_0_0,fill_ratio_2,distance_from_97_0_0,fill_per_m_2_97_0_0,fill_ratio_3,distance_from_52_0_0,fill_per_m_3_52_0_0
2,76.764742,30.727141,0.9595766443210334,0.8670011561212692,110.67766606147588,0.9634431439441222,0.17286819095082553,557.3281808786819,0.9641175311272756,0.1510590295316025,638.2389282631901,0.0,0.05239586490217867,0.0
2,76.751162,30.728939,0.7693048936413398,1.0,76.93048936413398,0.7693048936413398,0.23099644472132413,333.037547209627,0.7770219053747891,0.4069236635481896,190.95028748132043,0.0,0.15647522583001255,0.0
2,76.755438,30.729956,0.4161539981797615,1.0,41.615399817976154,0.4369029841333394,0.17757943345509686,246.03242370621467,0.4898723517145545,0.35060996622785856,139.72003049000338,0.0,0.09789326165368623,0.0
2,76.74777,30.729357,0.6921613416941319,1.0,69.2161341694132,0.695901623760411,0.2868213173676675,242.62548897938285,0.7089674176698297,0.2790921196223506,254.02631168130387,0.0,0.21445520169001112,0.0
2,76.737358,30.730679,0.8408715794259226,1.0,84.08715794259226,0.8428031823260077,0.404780364792582,208.2124667183098,0.8531303083179792,0.33912083264807463,251.57118825646492,0.8638737747182561,0.26676534392155943,323.8328345125192
2,76.744236,30.729776,0.6593539222057827,1.0,65.93539222057827,0.6593539222057827,0.4032202539613845,163.52202443405224,0.690231358530538,0.3191533309071595,216.26951427034413,0.0,0.22827017084853793,0.0
2,76.743005,30.717842,0.7373570773877997,1.0,73.73570773877996,0.7471317808718565,0.32106934643932533,232.7010626076841,0.7674280793061725,0.37126932264352985,206.70387573147542,0.7755202195442311,0.26413332967244174,293.6093754264079
2,76.740917,30.734954,0.6195879548978296,1.0,61.95879548978296,0.6491249510015614,0.29431775615200556,220.55242588432532,0.6665445341174101,0.2910993723769408,228.9749128192246,0.6665445341174101,0.24283890498505475,274.4801267154585
2,76.739484,30.740651,0.7869033862552951,1.0,78.6903386255295,0.8075415541508063,0.4597220372097154,175.65865648994833,0.8161971772622555,0.38527596465521063,211.84741643374582,0.8193909643924312,0.3032192176191111,270.23055162081096
2,76.744077,30.754541,0.9948663171697671,0.9364091589985021,106.24269397725514,0.9950476652388254,0.32051358870104857,310.45412747443055,0.9950596458101507,0.4612026535416221,215.75323519259626,0.9954688302766025,0.37762465225765035,263.6133060501044
2,76.735225,30.752778,0.8275378955668743,1.0,82.75378955668742,0.8408973927642525,0.3161931655568488,265.9442025836787,0.84914016101046,0.38505911608886173,220.52202519846338,0.8562481923474644,0.32629282656948605,262.4171059320304
2,76.729602,30.744926,0.8866042152404667,1.0,88.66042152404667,0.8866042152404667,0.3874726170814128,228.81725731193546,0.8920808786669213,0.40951025175008804,217.84091481336876,0.8920808786669213,0.34566399690408894,258.07746443273527
2,76.749047,30.743196,0.9017619921354235,1.0,90.17619921354235,0.9082486745125257,0.4191543477845136,216.68597243787974,0.9149420092058134,0.4594385267063165,199.14351018077875,0.9202235028434561,0.3758008070222409,244.87001774559647
2,76.74202,30.744061,0.7807615860684398,1.0,78.07615860684398,0.7871813699574927,0.33420280683149606,235.5400235625151,0.7871813699574927,0.3792899964935987,207.5407675484998,0.7922863379634308,0.3252914161585235,243.56201811895576
2,76.724239,30.739403,0.9758737549100538,1.0,97.58737549100537,0.9762938153597256,0.5434391625967928,179.65098626579683,0.9784421992014182,0.48304198303822043,202.55841801725947,0.9800565041019168,0.410755002370435,238.59879939284667
2,76.750709,30.746168,0.8015371118829896,0.9870426383061763,81.20592573979121,0.8120616411769136,0.36038637915894234,225.33083605214932,0.8135764527983307,0.43545711776758705,186.83273727829018,0.8318292743610762,0.35011220606888477,237.58933848693448
2,76.748739,30.719108,0.46147746462473416,1.0,46.147746462473414,0.47476167737930175,0.3105613825538427,152.87209036590096,0.47476167737930175,0.22428240827143445,211.6803012052236,0.5181452184757053,0.2184035683625098,237.24210293839127
2,76.75884,30.716926,0.8139702695060188,0.9136635944700461,89.08861800257539,0.8154989068215069,0.3998732718894009,203.93933882309142,0.816551572663847,0.1859216589861751,439.1912040353323,0.8327303986923557,0.35243087557603686,236.2819084256692
2,76.764624,30.706718,0.733614380561402,0.7436967398952389,98.64429157841177,0.7429299717089547,0.4804550074270972,154.63049822031144,0.7518591275797614,0.18347861777812527,409.7802439785982,0.7558848014644185,0.32473027910249397,232.77311975759432
2,76.732014,30.741725,0.760289823122135,1.0,76.0289823122135,0.7742510869637885,0.3656140903107652,211.7672998613619,0.7773066906587087,0.4180879070566016,185.91943884028086,0.780118521973921,0.3519930750300464,221.62894025893252
2,76.735379,30.734311,0.6372014768082804,1.0,63.72014768082804,0.6372014768082804,0.4448092044584096,143.25276330199227,0.663715553489536,0.37928527880692214,174.99111897443433,0.6660574769859509,0.3070627960418328,216.91246402094583
2,76.750122,30.751839,0.6881347060865421,0.933011161801035,73.75417725530781,0.6921295678454981,0.3853255675568459,179.62201995417558,0.7005020958162501,0.42331896784896406,165.47855140433543,0.7261312473736731,0.3444560650594154,210.8051856333034
2,76.733378,30.717856,0.5061418628402441,1.0,50.61418628402441,0.5329206884605356,0.3668004874901426,145.28898042286747,0.5766777275206479,0.35991827371137713,160.2246314348276,0.6121115426502994,0.3046186106530934,200.94358034722507
2,76.746288,30.747585,0.6802277792083533,0.969224927530863,70.18265418959655,0.71038472470941,0.4066421552738083,174.69529794103116,0.7122778284811798,0.44566898506163344,159.8221667551481,0.7270280423626138,0.3646609926187984,199.37093823539797
