Node,fill_ratio
0.0,0.0
239.0,1.0
83.0,1.0
232.0,1.0
224.0,1.0
255.0,1.0
230.0,1.0
262.0,1.0
2.0,1.0
113.0,1.0
206.0,1.0
0.0,10.0
