Ward,x,y,fill_ratio,distance_from_0,fill_p_m,fill_ratio_0,distance_from_0_0.21847043101946362,fill_per_m_0,fill_ratio_1,distance_from_249,fill_per_m_1,fill_ratio_2,distance_from_56,fill_per_m_2
0,76.778559,30.751855,0.9656320330745594,0.545683336767433,176.95831410115167,0.9656320330745594,1.0,0.9656320330745594,0.968237600831565,0.7506540442862152,1.2898586348818601,0.0,0.5525438052341524,0.0
0,76.801385,30.731702,0.9093204020787821,0.3543058703480215,256.64841544555566,0.9093204020787821,1.0,0.9093204020787821,0.9133229912889779,0.743564891098157,1.2283030065339802,0.0,0.43844588139183893,0.0
0,76.798519,30.718065,0.8870864242651173,0.33627684730030716,263.7964615723061,0.8870864242651173,0.8450888288888067,1.049696072105855,0.8969476332529787,0.34753609251519524,2.5808762098968514,0.0,0.40588822724414686,0.0
0,76.791314,30.765309,0.8670723185801037,0.5640410522081261,153.72503742159566,0.8670723185801037,0.9452684370632245,0.9172762832047352,0.8796574765906348,0.8483186713804161,1.0369422556257344,0.8902740913416357,0.6037079667845103,1.4746767316711813
0,76.781181,30.69936,0.8714605901877177,0.2367468283637006,368.0981055631895,0.8714605901877177,0.44935471255377396,1.93936007755439,0.87641065158665,0.09588990073933366,9.139759712225354,0.87984781037221,0.3473657746242807,2.532914508701598
0,76.771895,30.70311,0.8631034258755935,0.3605608375278408,239.3780289044699,0.8631034258755935,0.6911546201734095,1.248784860410891,0.8669766122971497,0.14183076604788505,6.112754210214447,0.0,0.3235249863642348,0.0
0,76.801226,30.728631,0.8492234104941779,0.3165503978649712,268.2743146816153,0.8492234104941779,0.8373997456329327,1.014119498988274,0.8632450841262603,0.5927142004308668,1.4564272013370596,0.8632450841262603,0.5598411503620838,1.5419464674362477
0,76.808706,30.702568,0.8530094554673601,0.19611161804962765,434.96120421152153,0.8530094554673601,0.40247475408515654,2.1194110855630917,0.8569884480700798,0.47633478650463645,1.799130511459587,0.8582694931713473,0.46297433625645623,1.8538165638104063
0,76.811415,30.726194,0.8093611554785136,0.3023773781139925,267.6659082523675,0.8093611554785136,0.7809637241361834,1.0363620363720996,0.8251174438211946,0.6128504998542884,1.3463600731620107,0.8251174438211946,0.5702646883671426,1.4469025711267167
0,76.786832,30.700819,0.8154614284548342,0.22557619285903513,361.50154771182986,0.8154614284548342,0.42064000292740045,1.9386207274146894,0.8154614284548342,0.12482618559718969,6.5327753512095885,0.8154614284548342,0.38755122950819665,2.104138411558277
0,76.775071,30.752306,0.7948113035416484,0.550549946526163,144.36679334122465,0.7948113035416484,1.0,0.7948113035416484,0.7999883608735883,0.7026278035696784,1.138566331718262,0.7999883608735883,0.4370850895092807,1.8302806022775617
0,76.801829,30.716223,0.7851759613930136,0.30429556804913704,258.0306924701003,0.7851759613930136,0.7981855617037704,0.9837010327736484,0.7851759613930136,0.5102560802985459,1.5387880550754336,0.7993488576459439,0.43406254021361473,1.8415522732105867
0,76.771048,30.761639,0.7607850486168974,0.5663026521060842,134.34248379157884,0.7607850486168974,0.986910614286325,0.7708753331901814,0.768529016234604,0.7749497712991066,0.9917146177696924,0.770136531896322,0.5702646090710897,1.3504897895571777
0,76.813526,30.722955,0.7464914051180241,0.2740215268988118,272.42071583437377,0.7464914051180241,0.7093455926241063,1.0523663118234132,0.7464914051180241,0.6339865130868775,1.1774562860704416,0.7701258232108746,0.5692823489072044,1.3528011621811387
0,76.800424,30.724398,0.7296061783380641,0.3513966973773291,207.63034592627784,0.7296061783380641,1.0,0.7296061783380641,0.7296061783380641,0.5410035181772491,1.3486163284043986,0.7550185100984925,0.38392807282068464,1.9665623942303572
0,76.813366,30.729052,0.7319939418114051,0.318257635965816,230.00043332503995,0.7319939418114051,0.8434704597462035,0.8678358955589965,0.7523767134358982,0.6595459746203454,1.140749458548343,0.7527138314246306,0.5813397129186603,1.2947916935617103
0,76.801279,30.691834,0.7024840839871093,0.08823673701665048,796.1356094282462,0.7024840839871093,0.15152485256950293,4.636098119052034,0.7153345437997304,0.31708508845829825,2.255970305250757,0.7370154327660798,0.4288458298230834,1.7186023076641066
0,76.792508,30.72101,0.690937738102466,0.31465673721288473,219.5846001018576,0.690937738102466,0.892940177365688,0.7737783063372056,0.7089155988871276,0.44669980091606454,1.5870067491262074,0.7357592521184544,0.3002408497960434,2.4505634480393423
0,76.780351,30.73344,0.7068573438476171,0.46330909840167195,152.56711907582653,0.7068573438476171,1.0,0.7068573438476171,0.7101279069248104,0.5222045743329098,1.359865351298317,0.7356979789829533,0.3310885218127912,2.222058242776964
0,76.770601,30.750721,0.7030189588951778,0.5567754785663125,126.26614963457799,0.7030189588951778,1.0,0.7030189588951778,0.7264812559124976,0.6748052726183343,1.0765791042112838,0.7350851228073365,0.4433792690233673,1.6579149594127631
0,76.782044,30.751951,0.7080725777960455,0.49890108811899647,141.92644487220642,0.7080725777960455,1.0,0.7080725777960455,0.7081461949353772,0.769162692364423,0.9206715327787418,0.7339530391692296,0.552475539603717,1.3284806051244982
0,76.767338,30.709891,0.6311386259972629,0.35703352662408383,176.7729299724227,0.6311386259972629,0.7488116061323181,0.8428536908731328,0.6650744543579572,0.2991151353019858,2.2234730906762703,0.692965615490444,0.31447679802448814,2.203550849676621
0,76.787096,30.696067,0.662522284353982,0.23368557383804786,283.5101343539215,0.662522284353982,0.42927435925164914,1.5433539648372017,0.662522284353982,0.13786453264121698,4.8056035273274444,0.6684599223755615,0.39699361955228724,1.6838052035431263
