Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,distance_from_46_0_0,fill_per_m_1_46_0_0,fill_ratio_2,distance_from_244_0_0,fill_per_m_2_244_0_0
0,76.775422,30.74005,0.9754103676847451,10255.7,0.009510909715424058,0.9776790164007064,7978.3,0.012254227296550724,0.0,660.7,0.0
0,76.778147,30.738008,0.8844787275967592,8981.5,0.009847784085027659,0.8909989398353404,6574.2,0.013552963704106058,0.0,911.2,0.0
0,76.782044,30.751951,0.9260595598182655,10169.5,0.009106244749675653,0.930514243384219,8820.5,0.010549450069545026,0.9316817434295421,1571.1,0.05930123756791689
0,76.778731,30.756758,0.9672711903702976,11290.8,0.008566896857355526,0.9694257522568387,10387.1,0.009332977946268339,0.9712535052872971,2243.4,0.043293817655669836
0,76.794879,30.751573,0.7379277689988003,9924.3,0.00743556491640519,0.7467418712262326,9523.4,0.007841126816328545,0.7467418712262326,1848.4,0.04039936546344042
0,76.795277,30.745213,0.9658323197183326,8973.0,0.010763761503603394,0.9673199679557062,8064.4,0.011994940329791507,0.9686067610201025,2446.2,0.03959638463821857
0,76.774891,30.736846,0.5456959688130258,8896.6,0.0061337586135492865,0.5835923805160841,6619.2,0.008816660329285776,0.0,1518.8,0.0
0,76.76597,30.7442,0.8450396488966425,10263.9,0.008233124337694664,0.8504168092695584,7986.5,0.010648178917793258,0.8570668815499752,2480.2,0.03455636164623721
0,76.772117,30.729533,0.8979552161850192,7716.3,0.01163712162804737,0.9001159722567048,5438.9,0.016549595915657668,0.9034338451976223,2639.8,0.03422357167958263
0,76.769145,30.746104,0.39505333785679597,10009.1,0.003946941661655852,0.4332115838830053,7731.7,0.005603057333872309,0.44969814703250655,1567.4,0.028690707351825093
0,76.799059,30.741536,0.8390996987996115,8884.9,0.009444109655703628,0.8486204426516284,7981.1,0.010632875701991309,0.8520769110428643,3089.2,0.02758244565074661
0,76.780351,30.73344,0.9192080310537252,9444.0,0.009733248952284257,0.9241944647368305,7166.6,0.012895856678715576,0.9302728570533381,3474.5,0.02677429434604513
0,76.782452,30.758257,0.7151250198168879,11100.9,0.006442045418091217,0.7206788931898586,10197.1,0.00706748872904903,0.7230034890863958,2972.1,0.02432635137062669
0,76.786322,30.7382,0.43369433132038004,9090.7,0.00477074737171373,0.45156315420698445,6813.3,0.006627671674621468,0.4744419803408796,2090.6,0.02269405818142541
0,76.771048,30.761639,0.9095484730121384,11543.4,0.007879381057679179,0.9125142338055214,10639.7,0.008576503414621853,0.9183000409039802,4068.6,0.022570418347932462
0,76.779344,30.723923,0.7621745871816447,6799.6,0.011209109170857766,0.7698341716329761,4522.2,0.017023443713966125,0.7781984883370242,3609.0,0.021562717881325136
0,76.766896,30.748096,0.59742924257342,10300.7,0.005799889741215839,0.59924690447045,8023.3,0.007468833328810464,0.6338866501658051,2944.4,0.02152855081394529
0,76.778559,30.751855,0.32783819885003407,11123.1,0.002947363584342801,0.3604806813222052,9285.7,0.0038821056174785434,0.42367312490456854,2036.3,0.020806026857760083
0,76.785954,30.75735,0.4890484004492832,10747.5,0.00455034566596216,0.4890484004492832,9843.8,0.004968085500002877,0.4975396495864769,2549.1,0.019518247600583617
0,76.803858,30.724407,0.7489631508603986,7153.9,0.010469298576446393,0.7489631508603986,4876.5,0.015358620954791315,0.7681754101032018,3970.1,0.019349019170882394
0,76.770566,30.75625,0.5689554832818507,11663.8,0.004877959869698132,0.5935641187894083,9386.4,0.0063236610286095665,0.5935641187894083,3072.3,0.019319861953240515
0,76.813526,30.722955,0.9571348325397961,5585.6,0.017135756812872317,0.9571348325397961,4727.6,0.02024568137193917,0.9571348325397961,4954.3,0.019319274822675175
0,76.791314,30.765309,0.7312505893473751,11497.3,0.006360194039882191,0.7519106231968322,11096.4,0.006776167254216072,0.7519106231968322,3948.1,0.01904487280455997
0,76.789598,30.725341,0.7416272874518889,8209.4,0.00903387930240808,0.7552863315298071,5932.0,0.012732406128284003,0.7765650089986271,4180.3,0.018576777001617754
0,76.80957,30.744244,0.7415661084668296,8550.0,0.00867328781832549,0.7623745437541013,7983.6,0.009549257775365765,0.7623745437541013,4147.9,0.018379771541119635
0,76.790582,30.732536,0.57356328002671,8599.1,0.006670038492710981,0.6150326045731265,6321.7,0.009728911599302822,0.6374880317798355,3527.1,0.018073999370016032
0,76.775071,30.752306,0.25217287749552997,11222.3,0.002247069473241047,0.25217287749552997,8944.9,0.002819180510632092,0.2551164656277255,1419.6,0.01797101054013282
0,76.804139,30.741704,0.5466772648973117,8683.7,0.0062954416308406745,0.5728252792732423,7716.3,0.007423574501681405,0.5931207075837127,3318.8,0.017871541146911914
0,76.77055,30.741327,0.25706269218920874,9844.2,0.0026113111496029002,0.25706269218920874,7566.8,0.0033972444387219,0.25706269218920874,1449.5,0.01773457690163565
0,76.811201,30.741305,0.7697466228570872,8281.5,0.009294772962109366,0.7850972851411847,7880.7,0.009962278543037861,0.7936930287940558,4517.4,0.017569686740028685
0,76.798519,30.718065,0.7486087085818324,6854.6,0.010921260300846619,0.7701764451800847,4577.2,0.016826366450670382,0.7701764451800847,4623.6,0.016657505951641245
0,76.796545,30.723682,0.6347441411040295,7155.4,0.008870840779048405,0.6537123414626939,4878.0,0.013401237012355348,0.6877505788014487,4220.1,0.016297020895273778
0,76.788734,30.715511,0.7493694366449569,5915.6,0.012667682680454338,0.7652925814747688,3638.2,0.02103492335426224,0.7652925814747688,4697.8,0.01629044619768336
