Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,fill_ratio_1,distance_from_202_0_0,fill_per_m_1_202_0_0,fill_ratio_2,distance_from_168_0_0,fill_per_m_2_168_0_0,fill_ratio_3,distance_from_284_0_0,fill_per_m_3_284_0_0
1,76.724219,30.700283,0.8297418037072016,1.0,82.97418037072016,0.8313010635689364,0.41507047493076504,200.2794980075612,0.8324454675411018,0.28416484106973094,292.94456851431136,0.0,0.07301285495804571,0.0
1,76.721516,30.695976,0.5541780025157934,1.0,55.417800251579344,0.5595531395005611,0.34911744873269607,160.27647473128346,0.6034711750627146,0.2235056126294078,270.00269387566726,0.0,0.05791916227043751,0.0
1,76.729384,30.700394,0.8684679758979128,1.0,86.84679758979128,0.8749852734724737,0.4142319856397983,211.23073635200407,0.8817358859298777,0.27888708436618515,316.1623235202023,0.0,0.08504145653474655,0.0
1,76.728938,30.692466,0.11775108289014113,1.0,11.775108289014113,0.16635041476033086,0.3753062483475809,44.323912935835104,0.23318644315294357,0.16315325636732175,142.92478639099286,0.2997395946002965,0.03358596985987486,892.4547835029032
1,76.720277,30.692391,0.47206694510999925,1.0,47.206694510999924,0.518002340765486,0.3189546071390452,162.40628891109506,0.5394947468374788,0.1977799124773188,272.77529860336426,0.5504337417355926,0.07893813945687145,697.2975871015137
1,76.718126,30.698031,0.7755276166950106,1.0,77.55276166950105,0.795122839922545,0.3917743621682941,202.954281010605,0.8143245110034143,0.2739284204906911,297.27638685489643,0.8312648620374083,0.13605593493041498,610.9728785168791
1,76.711345,30.704868,0.8349302367992991,1.0,83.4930236799299,0.8463975749933293,0.414917769926071,203.99164276433336,0.8561148006830979,0.30257687341251255,282.9412542431588,0.8664144624550275,0.1734565010713323,499.49956162134447
1,76.720789,30.68214,0.7998552559473152,1.0,79.98552559473153,0.8035605942131282,0.38833185805101794,206.9262610196557,0.8035605942131282,0.2040637321960248,393.7792304225933,0.8205925094028078,0.16778788122636196,489.065422010872
1,76.711957,30.701618,0.6680851365706462,1.0,66.80851365706462,0.6843298785672991,0.4063242022354781,168.41966951570058,0.694545286284879,0.2912636821682979,238.4592823637919,0.6997306215148184,0.1566427289048474,446.70482084097864
1,76.702839,30.705454,0.9844021807035521,1.0,98.44021807035521,0.9845313285695804,0.4560331217783301,215.8903118111987,0.9845313285695804,0.3794041376861673,259.4940937054191,0.9845313285695804,0.22381927580981606,439.8778099014838
1,76.705889,30.715948,0.9484533069621567,1.0,94.84533069621567,0.9499414277052834,0.447145061728395,212.44591722278645,0.951241967339796,0.3408564814814815,279.0740440684495,0.951241967339796,0.2177322796934866,436.88605505757357
1,76.722244,30.707777,0.7499604703991778,1.0,74.99604703991778,0.7672701210537495,0.44527419067465085,172.31407908265044,0.7702976165455669,0.32214983461023017,239.11159770656155,0.7757197519501875,0.17809418308298927,435.5671468442703
1,76.717915,30.684941,0.6334782198261473,1.0,63.347821982614725,0.6334782198261473,0.36983614036421697,171.28618614781504,0.6343793838650938,0.24943162376915182,254.32997399407944,0.6532021676791654,0.15486446412956698,421.7895766795573
1,76.698191,30.688447,0.8945522268940914,1.0,89.45522268940914,0.9008458018253387,0.4332844670741764,207.91093849000544,0.9062126871860758,0.35633974266678886,254.3114277414377,0.9117738138847569,0.2377976151520308,383.42428846556504
1,76.702706,30.711971,0.914298806560499,1.0,91.4298806560499,0.914298806560499,0.5264517935792662,173.6718950740617,0.914298806560499,0.34886962499045293,262.0746379354521,0.9164176063736672,0.25148934545176815,364.3961952851089
1,76.700787,30.725808,0.8617856210135173,1.0,86.17856210135173,0.8677955600706635,0.43862283901128063,197.84550253397663,0.8760043388976518,0.3488860533655529,251.08608683185147,0.8808535802658576,0.24389390124098062,361.162610374388
1,76.726498,30.678517,0.6589239419101514,1.0,65.89239419101514,0.6589239419101514,0.27641237383667583,238.38438661920785,0.6644070770744605,0.19168632848341854,346.6116140525555,0.679126700131065,0.1953974963953336,347.5616180654829
1,76.70779,30.689305,0.5596403313082179,1.0,55.96403313082179,0.5858976519221425,0.400512108505606,146.28712577710786,0.6140772878075906,0.31717935658519913,193.6056918769366,0.6413534258532141,0.1874358992248603,342.1721391182406
1,76.707991,30.713578,0.5902949425148077,1.0,59.02949425148078,0.6256132659026341,0.41904099157059954,149.29643602593268,0.6553698810212228,0.3147370079567238,208.22777889257173,0.6553698810212228,0.19261574013287466,340.24731341743944
1,76.696064,30.715001,0.9461154621336327,1.0,94.61154621336327,0.9499900077641884,0.5439341780805196,174.6516483146164,0.9499900077641884,0.3956944749627676,240.0816963273436,0.953858146265208,0.2821907273126785,338.01895453789854
1,76.719086,30.677919,0.6527461078518747,1.0,65.27461078518748,0.6772474803377905,0.2823079232848025,239.8967313625692,0.6880635257976355,0.2053386509396919,335.0871950550217,0.6880635257976355,0.20881870606622882,329.5028202978184
1,76.706071,30.686267,0.5648411332626164,1.0,56.48411332626164,0.6009121250978654,0.40987074353374264,146.61015321977848,0.6097227726589487,0.3278389033117676,185.98243420766804,0.6384628663237668,0.20012087746047444,319.0386102768656
1,76.716714,30.6946,0.4087341710980964,1.0,40.87341710980964,0.4334352933726814,0.391482818837706,110.7163003116025,0.48264841640492767,0.28090278502501165,171.82044541208538,0.48264841640492767,0.15152400631726884,318.5293394330753
1,76.698059,30.669402,0.8738900775625152,1.0,87.38900775625153,0.874837639545198,0.4421333572853779,197.86736855064484,0.8821242224434701,0.36669724829502076,240.5592696822667,0.8898655569417387,0.2868791982908505,310.18824726341944
1,76.707906,30.702046,0.52439026932758,1.0,52.439026932758004,0.5619978324741304,0.4620483855260778,121.6318139136559,0.5619978324741304,0.3189994574365966,176.175168757405,0.5827867677094424,0.1896467773125026,307.30117113939576
1,76.746763,30.674927,0.6718927435987284,0.704310696681423,95.3972084712838,0.6799428259225317,0.09290132177953596,731.8979029556796,0.7040340619763225,0.16080342846378448,437.8227931470269,0.71427255943276,0.24941132146557407,286.3833747544416
1,76.700611,30.666119,0.8980542894407137,1.0,89.80542894407138,0.9007279588757435,0.3814151289578528,236.15422947087032,0.9007279588757435,0.3159008702033969,285.1299391153301,0.9080057214867373,0.3188692598028937,284.7579983244585
1,76.704947,30.690631,0.5021950103312426,1.0,50.21950103312426,0.5021950103312426,0.3967451591614362,126.57873668646293,0.5021950103312426,0.3128957973517559,160.49912289703192,0.508273702779464,0.1823370824381819,278.75498279500283
1,76.681708,30.687691,0.8963358185211198,1.0,89.63358185211197,0.8968689200072928,0.5103703322055634,175.72904681419809,0.9058571732144817,0.44199426382949497,204.94772157584558,0.908198639682812,0.33553735094257536,270.6699081731271
