Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_228_0_0,fill_per_m_1_228_0_0,distance_from_119_1_0,fill_per_m_1_119_1_0,distance_from_129_2_0,fill_per_m_1_129_2_0,fill_per_m_1_119_1_1,fill_per_m_1_129_2_2,fill_ratio_2,distance_from_90_0_0,fill_per_m_2_90_0_0,distance_from_46_1_0,fill_per_m_2_46_1_0,distance_from_177_2_0,fill_per_m_2_177_2_0,fill_per_m_2_46_1_1,fill_per_m_2_177_2_2,fill_ratio_3,distance_from_123_0_0,fill_per_m_3_123_0_0,distance_from_249_1_0,fill_per_m_3_249_1_0,distance_from_159_2_0,fill_per_m_3_159_2_0,fill_per_m_3_249_1_1,fill_per_m_3_159_2_2,fill_ratio_4,distance_from_145_0_0,fill_per_m_4_145_0_0,distance_from_43_1_0,fill_per_m_4_43_1_0,distance_from_283_2_0,fill_per_m_4_283_2_0,fill_per_m_4_43_1_1,fill_per_m_4_283_2_2,fill_ratio_5,distance_from_104_0_0,fill_per_m_5_104_0_0,distance_from_190_1_0,fill_per_m_5_190_1_0,distance_from_9_2_0,fill_per_m_5_9_2_0,fill_per_m_5_190_1_1,fill_per_m_5_9_2_2,fill_ratio_6,distance_from_240_0_0,fill_per_m_6_240_0_0,distance_from_131_1_0,fill_per_m_6_131_1_0,distance_from_109_2_0,fill_per_m_6_109_2_0,fill_per_m_6_131_1_1,fill_per_m_6_109_2_2,fill_ratio_7,distance_from_26_0_0,fill_per_m_7_26_0_0,distance_from_59_1_0,fill_per_m_7_59_1_0,distance_from_16_2_0,fill_per_m_7_16_2_0,fill_per_m_7_59_1_1,fill_per_m_7_16_2_2,fill_ratio_8,distance_from_290_0_0,fill_per_m_8_290_0_0,distance_from_137_1_0,fill_per_m_8_137_1_0,distance_from_261_2_0,fill_per_m_8_261_2_0,fill_per_m_8_137_1_1,fill_per_m_8_261_2_2,fill_ratio_9,distance_from_132_0_0,fill_per_m_9_132_0_0,distance_from_133_1_0,fill_per_m_9_133_1_0,distance_from_21_2_0,fill_per_m_9_21_2_0,fill_per_m_9_133_1_1,fill_per_m_9_21_2_2,fill_ratio_10,distance_from_199_0_0,fill_per_m_10_199_0_0,distance_from_1_1_0,fill_per_m_10_1_1_0,distance_from_251_2_0,fill_per_m_10_251_2_0,fill_per_m_10_1_1_1,fill_per_m_10_251_2_2,fill_ratio_11,distance_from_87_0_0,fill_per_m_11_87_0_0,distance_from_231_1_0,fill_per_m_11_231_1_0,distance_from_139_2_0,fill_per_m_11_139_2_0,fill_per_m_11_231_1_1,fill_per_m_11_139_2_2,fill_ratio_12,distance_from_220_0_0,fill_per_m_12_220_0_0,distance_from_138_1_0,fill_per_m_12_138_1_0,distance_from_17_2_0,fill_per_m_12_17_2_0,fill_per_m_12_138_1_1,fill_per_m_12_17_2_2,fill_ratio_13,distance_from_285_0_0,fill_per_m_13_285_0_0,distance_from_98_1_0,fill_per_m_13_98_1_0,distance_from_48_2_0,fill_per_m_13_48_2_0,fill_per_m_13_98_1_1,fill_per_m_13_48_2_2,fill_ratio_14,distance_from_75_0_0,fill_per_m_14_75_0_0,distance_from_40_1_0,fill_per_m_14_40_1_0,distance_from_217_2_0,fill_per_m_14_217_2_0,fill_per_m_14_40_1_1,fill_per_m_14_217_2_2,fill_ratio_15,distance_from_93_1_0,fill_per_m_15_93_1_0,distance_from_35_2_0,fill_per_m_15_35_2_0,fill_per_m_15_93_1_1,fill_per_m_15_35_2_2,fill_ratio_16,distance_from_273_2_0,fill_per_m_16_273_2_0
0,76.80957,30.744244,0.6011150117432088,8550.0,0.007030584932669109,8550.0,0.007030584932669109,8550.0,0.007030584932669109,,,0.6246848442136751,8853.9,0.007055476617238449,8650.9,0.007221038784562012,5968.1,0.010467063960283424,,,0.6485208714651046,7061.8,0.009183506633791732,7983.6,0.008123163378239198,4610.3,0.014066782453747144,,,0.6703172379702411,6813.7,0.009837786195022399,7072.7,0.009477529627585522,3650.0,0.018364855834801127,,,0.6764005779016369,6102.6,0.011083809817153949,7298.2,0.009268046612885876,3156.2,0.02143085285791892,,,0.6764005779016369,5722.9,0.011819192680313076,4649.9,0.014546561816418353,3891.5,0.01738148729029004,,,0.6965980004899673,5016.0,0.013887519945972236,3914.2,0.01779668899110846,3337.1,0.020874351996942476,,,0.7146889478278733,4803.1,0.01487974324556793,5538.1,0.012904948408802176,2077.9,0.0343947710586589,,,0.7168610453902678,5408.2,0.013255076465187454,5703.0,0.012569893834653128,1661.4,0.04314801043639508,,,0.7186790505222734,5858.7,0.012266868938881893,5957.8,0.01206282605193651,1460.2,0.04921785033024746,,,0.7296809934436816,4253.8,0.017153627190833645,5338.0,0.01366955776402551,1499.6,0.048658375129613345,,,0.7399473249239082,3900.4,0.018971062581373915,5405.8,0.013688026285173484,765.1,0.0967124983562813,,,0.7607608100112847,4107.7,0.018520359568889762,5532.7,0.013750263162855112,1405.1,0.05414282328740195,,,0.7607608100112847,2493.1,0.03051465284229613,6048.1,0.012578509118752744,2378.8,0.03198086472218281,,,0.7792930858330528,3854.7,0.020216698727087788,6312.4,0.012345432574504989,4150.7,0.018774979782519886,,,0.7946458592882369,5819.8,0.01365417813822188,5306.6,0.014974670397019501,,,0.8138838964572653,3064.8,0.026555856710299704
0,76.778731,30.756758,0.14092422497476265,11290.8,0.0012481332144291162,11290.8,0.0012481332144291162,11290.8,0.0012481332144291162,,,0.14092422497476265,10363.1,0.001359865532270871,11086.1,0.0012711794497141703,8360.5,0.0016855956578525524,,,0.21192318379695285,9488.9,0.002233379883832192,10387.1,0.002040253620326683,6926.0,0.003059820730536426,,,0.229941993217843,9160.1,0.0025102563642082835,8556.7,0.00268727422041024,5804.5,0.003961443590625256,,,0.2418288177023964,8513.9,0.002840400024693694,8919.8,0.002711146188282208,3914.0,0.006178559471190506,,,0.2681338096307566,8134.2,0.003296375914420061,6947.0,0.0038597064866957914,4535.9,0.005911369510587902,,,0.31181471983934955,6525.3,0.0047785499492643945,5585.0,0.0055830746614028565,3675.0,0.008484754281342845,,,0.31181471983934955,7061.6,0.004415638379961334,3413.8,0.009133948088328242,4030.6,0.007736186171769701,,,0.31181471983934955,6931.0,0.0044988417232628706,2710.3,0.011504804628245933,3591.6,0.008681777476315558,,,0.33562145681567995,7238.7,0.0046364879994429935,3638.3,0.009224677921438032,4159.9,0.008068017423872689,,,0.4005428129107085,7421.9,0.005396769195363835,2427.7,0.016498859534156137,3616.9,0.011074202021363834,,,0.44055957139780894,5547.6,0.00794144443358946,954.7,0.0461463885406734,3812.7,0.011555054722317753,,,0.4896770044109596,5616.9,0.008717922776103539,1913.8,0.025586634152521666,3347.3,0.01462901456131687,,,0.5284763424161146,4642.4,0.011383688230572866,1568.4,0.0336952526406602,2303.5,0.022942320052794212,,,0.5741428794901396,6040.6,0.009504732634012178,1856.9,0.030919429128662808,428.4,0.13402027999302982,,,0.5741428794901396,1979.7,0.029001509293839454,1596.3,0.035967103895892985,,,0.6127363761010957,2543.3,0.02409217851221231
0,76.806562,30.739112,0.9699098521619943,7915.9,0.012252679444687204,7915.9,0.012252679444687204,7915.9,0.012252679444687204,,,0.9711950258122471,8322.1,0.011670071566218227,8119.1,0.011961855695979198,5436.4,0.01786467194857345,,,0.9727523238845444,6530.0,0.014896666521968522,7451.9,0.013053749028899267,4078.5,0.0238507373761075,,,0.9727523238845444,6282.0,0.01548475523534773,6541.0,0.014871614797195298,3118.2,0.031195956766228737,,,0.9752770598348434,5570.9,0.017506633754596986,6766.5,0.014413316483186927,2573.6,0.03789544062149687,,,0.9770839791206553,5191.2,0.01882192901681028,4118.2,0.02372599628771442,3324.1,0.02939394058905133,,,0.9783664520723735,4484.3,0.021817595880569397,3331.5,0.029367145492191913,2896.0,0.033783371963825054,,,0.9798640918961404,4271.4,0.02294011546322378,5175.1,0.018934205945704243,2524.5,0.03881418466611766,,,0.9803074507681879,4876.4,0.020103097587732505,5340.0,0.01835781743011588,1078.7,0.09087859931103995,,,0.9805384604968316,5326.9,0.01840729993986806,5594.7,0.017526202664965622,877.7,0.11171681217919922,,,0.9815403743238735,3722.1,0.026370607300284076,4941.1,0.019864815007263028,1181.8,0.08305469405346705,,,0.982654317838734,3368.6,0.029171000351443745,5006.9,0.01962600247336144,1287.0,0.07635231684838648,,,0.9835910053421367,3576.0,0.02750534131269957,5133.8,0.01915912200206741,2354.1,0.0417820400723052,,,0.9835910053421367,1961.4,0.05014739499042198,5814.3,0.01691675705316438,2726.6,0.036073901758312064,,,0.9842177298928058,3413.6,0.02883225128582159,6078.6,0.01619151992058707,4497.1,0.021885609167970596,,,0.9848356463250608,5586.0,0.017630426894469402,4907.7,0.020067152562810706,,,0.9856430278780483,4299.6,0.022924063351894317
0,76.811201,30.741305,0.4722149251619493,8281.5,0.005702045826987252,8281.5,0.005702045826987252,8281.5,0.005702045826987252,,,0.4722149251619493,8782.6,0.0053767099169033,8579.6,0.005503927049768629,5834.0,0.008094187952724534,,,0.49270195451722826,6982.4,0.007056341007636748,7880.7,0.006252007493207815,3968.5,0.012415319504024903,,,0.5198980184009071,6653.7,0.00781366786000131,6977.1,0.007451491571009547,3481.4,0.014933590463632651,,,0.5454448922720548,6007.4,0.009079550092753186,6524.9,0.008359436807798661,3049.0,0.017889304436603963,,,0.5801028412755516,5627.8,0.010307808402493896,4583.2,0.01265715747241123,4065.2,0.014269970512534477,,,0.5801028412755516,4920.9,0.011788551713620508,3702.7,0.015667022477531302,3417.6,0.01697398294930804,,,0.6220058110362674,4555.2,0.013654851840451954,5798.6,0.010726827355504214,2384.0,0.02609084777836692,,,0.6531782723231379,5300.9,0.012322025926222679,5916.5,0.011039943755989823,1820.0,0.03588891606171087,,,0.6639422994030427,4732.3,0.01403001287752346,6829.2,0.009722109462353464,1606.0,0.041341363599193194,,,0.6860124407413889,4895.3,0.014013695600706573,5644.1,0.012154505425867523,1564.7,0.04384306517168715,,,0.6860124407413889,3212.3,0.021355802407663944,5693.4,0.012049257750050743,1071.2,0.0640414899870602,,,0.6860124407413889,3674.6,0.018669037194290233,5838.0,0.011750812619756575,1711.2,0.04008955357301244,,,0.690478893949406,2385.9,0.028939976275175236,6271.3,0.011010139746932948,3391.1,0.02036150198901259,,,0.690478893949406,4158.3,0.016604835965404276,6559.7,0.010526074270917968,4510.6,0.015307916772699994,,,0.7078325072036183,6682.5,0.010592330822351191,4812.7,0.014707596717094736,,,0.7291847201057635,3366.6,0.0216593809809827
0,76.779187,30.743609,0.3584657285442726,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,,,0.3584657285442726,8560.8,0.004187292408936929,8357.9,0.004288944932869173,5562.2,0.006444675282159444,,,0.3584657285442726,6760.7,0.005302198419457639,7658.9,0.004680381367353962,4127.6,0.008684604335310412,,,0.41830345734772484,6431.9,0.006503575263106157,6530.2,0.006405676048937626,4220.1,0.009912169317023881,,,0.47568870829738735,6929.5,0.006864690212820367,6157.4,0.007725480045106496,3527.1,0.013486680510827234,,,0.5064254003433206,6549.8,0.007731921590633617,4148.7,0.012206845526148449,2951.5,0.017158238195606322,,,0.5336730469713821,5842.9,0.009133701534706775,4180.3,0.012766381526956966,2090.6,0.02552726714681824,,,0.5661956337919444,5477.2,0.010337318954793406,1449.5,0.03906144420779196,2446.2,0.02314592567214228,,,0.5661956337919444,4904.5,0.011544410924496776,1567.4,0.03612323808804034,3089.2,0.018328228466656236,,,0.5961049251878692,5654.3,0.01054250614908776,2480.2,0.024034550648652096,3318.8,0.01796145972001534,,,0.6338236771948305,4623.6,0.01370844530657562,865.2,0.07325747540393324,3114.5,0.020350736143677328,,,0.6432262271298733,3963.2,0.016229971415267292,1419.6,0.045310385117629845,3391.8,0.01896415552597067,,,0.657472771714911,4413.3,0.014897531817798723,2472.1,0.026595719093681934,3039.1,0.021633798549403147,,,0.6749218666731349,4140.1,0.016302066777931327,3072.3,0.021967967538102883,1848.4,0.0365138426029612,,,0.6999276291742385,3474.5,0.020144700796495565,3202.7,0.02185429884704276,2972.1,0.023549935371428906,,,0.7265199160602326,4068.6,0.017856754560788297,2036.3,0.03567843225753733,,,0.7339571994531381,3948.1,0.01859013701408622
0,76.782044,30.751951,0.15601864044243652,10169.5,0.001534182019198943,10169.5,0.001534182019198943,10169.5,0.001534182019198943,,,0.21049529902808387,9690.8,0.0021721147792554164,9487.8,0.0022185891252775552,6756.3,0.003115541036189688,,,0.21049529902808387,7898.7,0.002664935989822172,8820.5,0.0023864327308892224,5239.5,0.004017469205612824,,,0.21049529902808387,7650.6,0.002751356743629047,7822.0,0.002691067489492251,4328.8,0.004862670925616427,,,0.23604992690289892,6939.5,0.0034015408444830163,8135.1,0.0029016229290715406,3241.7,0.007281670941262267,,,0.29738392197716995,6559.9,0.004533360599661122,5279.2,0.005633124753318115,3414.6,0.008709187664065188,,,0.3492393504794202,5853.0,0.005966843507251327,4429.2,0.007884930698081374,2360.3,0.014796396664806175,,,0.3492393504794202,5640.1,0.0061920772766337505,2961.3,0.011793447150893869,2357.8,0.014812085438943936,,,0.38437947412297085,6196.3,0.0062033709491627394,3126.2,0.012295421729990751,2919.3,0.013166837054190073,,,0.3880948722913754,6646.8,0.005838822776243837,3381.0,0.011478700748044229,3660.8,0.010601367796420874,,,0.4185172510377836,5090.7,0.008221212230887376,1306.5,0.03203346735842201,2944.6,0.014213042553752074,,,0.4738397141176003,4579.2,0.010347652736670168,2829.0,0.016749371301435147,3368.4,0.014067204432893964,,,0.5231387137201777,4944.6,0.010580000681959667,2955.9,0.017698119480367324,2902.8,0.01802186556842282,,,0.5231387137201777,3970.1,0.013176965661322832,3636.4,0.014386170765597232,2318.9,0.02255977893484746,,,0.5371022630274077,2878.0,0.01866234409407254,3900.7,0.013769381470695202,2965.5,0.018111693239838397,,,0.5657829132436585,3408.1,0.016601124181909524,2729.8,0.02072616723729425,,,0.5686212234946648,3778.2,0.015050056203871284
0,76.803858,30.724407,0.9218742350231168,7153.9,0.012886317044173345,7153.9,0.012886317044173345,7153.9,0.012886317044173345,,,0.9281824230026414,5858.6,0.015843075530035187,5575.5,0.016647519020763005,2779.8,0.033390259119456124,,,0.9339950587128664,3978.3,0.02347724049752071,4876.5,0.019152979774692224,1534.5,0.060866409821627006,,,0.9384340128336542,3649.6,0.025713338799694604,4059.8,0.023115276930726986,1047.3,0.08960508095423034,,,0.9427687494303423,3136.3,0.030059903371180762,3470.7,0.027163648527108144,2794.6,0.03373537355722974,,,0.9460565308989354,2756.6,0.03431968841685175,2283.6,0.041428294399147636,3691.0,0.02563144218095192,,,0.9482613848118533,2240.2,0.04232931813283873,2839.5,0.03339536484634102,3904.1,0.02428886003974932,,,0.9482613848118533,1501.1,0.06317110018065773,5488.3,0.017277870830892137,4137.0,0.02292147413129933,,,0.9482613848118533,2395.3,0.03958841835310204,5606.2,0.01691451223309645,3148.5,0.030117877872379014,,,0.9502920921197285,1678.0,0.05663242503693257,6518.9,0.014577491480460333,3800.7,0.025003080804055267,,,0.9502920921197285,1240.9,0.07658087614793525,6201.6,0.015323337398731433,3251.5,0.029226267634006722,,,0.9526740049828399,358.3,0.26588724671583586,5227.9,0.01822288117566977,4103.2,0.023217830107790015,,,0.9548054302513628,716.2,0.1333154747628264,6510.8,0.014664947936526429,5106.6,0.01869747836625862,,,0.9553961701752083,1604.5,0.05954479091151189,7111.1,0.013435279635713296,5182.3,0.018435755748899295,,,0.959535778650836,3784.1,0.025357040740224514,7241.5,0.013250511339513027,5364.5,0.017886770037297713,,,0.962749436311607,7402.5,0.013005733688775509,5370.1,0.017927961049358617,,,0.9640433097812614,6445.7,0.014956378822800648
0,76.813366,30.729052,0.7319939418114051,6487.3,0.011283491465037921,6487.3,0.011283491465037921,6487.3,0.011283491465037921,,,0.7456822789408322,6853.9,0.010879678415804611,6650.9,0.011211749972798151,3968.2,0.018791448993015276,,,0.7615234875688071,5061.8,0.015044519490473885,5983.6,0.012726844835363444,3355.0,0.022698166544524803,,,0.7726999431104594,4813.8,0.01605176665234242,5072.7,0.015232518049765598,2589.9,0.02983512657285839,,,0.7785698395256352,4102.6,0.018977473785541734,5298.3,0.014694710369847597,4186.2,0.018598486444165,,,0.7840721385361606,3723.0,0.02106022397357402,3296.5,0.023784988276540596,4407.9,0.017787883993197685,,,0.7840721385361606,3016.1,0.02599622487769506,3536.6,0.022170223902509775,4508.6,0.01739058995111921,,,0.8043492265271266,2803.2,0.028693964987411766,6775.9,0.01187073638228319,4151.4,0.019375372802599766,,,0.8205063951266117,3408.2,0.024074479054240122,6940.8,0.011821496010929746,3549.4,0.023116763259328668,,,0.8223898247250403,3858.7,0.02131261369697153,7195.6,0.011429065327770308,3348.2,0.02456214756361748,,,0.8268072432798076,2253.8,0.03668503164787503,6527.9,0.012665746155422227,3387.5,0.024407593897558894,,,0.8433562215811978,2061.1,0.0409177731105331,6619.5,0.012740482235534372,3051.0,0.027641960720458793,,,0.8433562215811978,2107.7,0.040013105355657726,6746.5,0.012500648063161606,4054.3,0.02080152483982926,,,0.8433562215811978,1179.5,0.0715011633388044,7426.9,0.011355427184709607,4490.6,0.01878047970385244,,,0.8453627617522157,5026.3,0.016818788408018138,7691.2,0.010991298649784374,6261.2,0.013501609304162393,,,0.8581210979730365,7198.6,0.011920666490331959,6520.3,0.013160760976842116,,,0.8719118028662844,6063.6,0.014379441303289869
0,76.770598,30.733668,0.5142344384136116,8289.0,0.00620381757043807,8289.0,0.00620381757043807,8289.0,0.00620381757043807,,,0.5142344384136116,6913.5,0.007438120176663219,6710.5,0.007663131486679259,3989.6,0.012889373331000892,,,0.5315263652290557,6249.9,0.008504557916591557,6011.6,0.008841678841390905,3797.4,0.013997112899063984,,,0.5403393455763673,6001.9,0.009002804871396847,4927.0,0.010966903705629538,4140.3,0.013050729308899531,,,0.5715550072202236,7251.7,0.007881669225426087,4531.8,0.012612096897926287,3376.8,0.016925936011022966,,,0.588576582253787,6663.5,0.008832844334865865,3837.0,0.01533949914656729,2984.7,0.01971979033918943,,,0.616063169277121,5956.6,0.010342530458266812,2987.1,0.02062412270352921,2217.8,0.02777812107841649,,,0.6378686784613762,5373.1,0.01187152069496894,1998.5,0.031917371952032834,3592.6,0.01775507093640751,,,0.6378686784613762,3782.5,0.016863679536321906,1960.6,0.032534360831448346,4118.3,0.015488640421080935,,,0.6378686784613762,5204.7,0.012255628152657717,2215.4,0.02879248345496868,4909.2,0.012993332487194986,,,0.663387376048643,4932.9,0.013448222669193436,2913.5,0.022769431132611737,4143.6,0.016009927986500697,,,0.6694948198789653,4390.7,0.015248020130707298,3173.8,0.0210944237153874,4595.4,0.014568804018778896,,,0.681397514700917,5954.5,0.011443404395010784,3300.7,0.02064403049961878,4742.7,0.014367291093700153,,,0.7124890950661662,5184.2,0.013743472378885195,3615.3,0.01970760642453368,3552.0,0.020058814613349275,,,0.7292343816176796,2571.0,0.02836384214771216,3751.7,0.019437438537667714,4480.9,0.01627428377374366,,,0.7466263484401274,4938.7,0.015117872080509596,3712.2,0.020112772707292913,,,0.769593085186578,5611.6,0.013714325418536209
0,76.811415,30.726194,0.6375574713552131,6163.6,0.010343913806139481,6163.6,0.010343913806139481,6163.6,0.010343913806139481,,,0.6478813022594732,6642.2,0.009754016775458028,6439.3,0.010061362294961768,3693.6,0.017540646043412204,,,0.6478813022594732,4842.1,0.013380171872936806,5740.3,0.01128654081249191,2935.9,0.022067553467743216,,,0.6684228072463243,4513.3,0.01481006818173674,4836.8,0.013819525455803925,2261.9,0.029551386323282386,,,0.7009184522583557,3867.1,0.018125170082448235,4384.5,0.015986280129053614,3478.7,0.02014886170863701,,,0.7246662805136369,3487.4,0.020779557278019063,2895.0,0.025031650449521135,4600.2,0.015752929883779767,,,0.7246662805136369,2780.5,0.02606244490248649,3748.7,0.019331135607374206,3926.5,0.018455782007223656,,,0.7487497670117453,2414.8,0.03100669898176848,6397.5,0.011703786901316848,3916.4,0.019118317000606306,,,0.757169636032882,2700.8,0.028035013182497112,6515.4,0.011621230254978698,3334.5,0.02270714158143296,,,0.7811287996964622,2591.9,0.030137304668253487,7428.1,0.010515862733356607,3120.4,0.025032970122306823,,,0.7885048286696242,2755.0,0.028620864924487267,6224.0,0.012668779380938692,3079.1,0.02560828906724771,,,0.7885048286696242,2269.3,0.03474661034987107,6273.4,0.012569018852131608,2742.6,0.028750267216131564,,,0.798343702737004,3017.1,0.0264606311602865,6417.9,0.01243932910667047,3746.0,0.021311898097624238,,,0.798343702737004,1221.2,0.0653737064147563,7013.7,0.01138263260100951,4923.5,0.016214962988463574,,,0.8162291018696592,4693.3,0.017391368586488383,7302.2,0.01117785190585932,6036.0,0.013522682270869106,,,0.8162291018696592,7424.9,0.010993132592622922,5392.6,0.015136095795528302,,,0.8284276245494737,6183.0,0.01339847363010632
