Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_268_0_0,fill_per_m_1_268_0_0,distance_from_119_1_0,fill_per_m_1_119_1_0,distance_from_129_2_0,fill_per_m_1_129_2_0,fill_per_m_1_119_1_1,fill_per_m_1_129_2_2,fill_ratio_2,distance_from_228_0_0,fill_per_m_2_228_0_0,distance_from_46_1_0,fill_per_m_2_46_1_0,distance_from_199_2_0,fill_per_m_2_199_2_0,fill_per_m_2_46_1_1,fill_per_m_2_199_2_2,fill_ratio_3,distance_from_90_0_0,fill_per_m_3_90_0_0,distance_from_206_1_0,fill_per_m_3_206_1_0,distance_from_159_2_0,fill_per_m_3_159_2_0,fill_per_m_3_206_1_1,fill_per_m_3_159_2_2,fill_ratio_4,distance_from_123_0_0,fill_per_m_4_123_0_0,distance_from_239_1_0,fill_per_m_4_239_1_0,distance_from_177_2_0,fill_per_m_4_177_2_0,fill_per_m_4_239_1_1,fill_per_m_4_177_2_2,fill_ratio_5,distance_from_32_0_0,fill_per_m_5_32_0_0,distance_from_2_1_0,fill_per_m_5_2_1_0,distance_from_152_2_0,fill_per_m_5_152_2_0,fill_per_m_5_2_1_1,fill_per_m_5_152_2_2,fill_ratio_6,distance_from_85_0_0,fill_per_m_6_85_0_0,distance_from_11_1_0,fill_per_m_6_11_1_0,distance_from_220_2_0,fill_per_m_6_220_2_0,fill_per_m_6_11_1_1,fill_per_m_6_220_2_2,fill_ratio_7,distance_from_250_0_0,fill_per_m_7_250_0_0,distance_from_167_1_0,fill_per_m_7_167_1_0,distance_from_107_2_0,fill_per_m_7_107_2_0,fill_per_m_7_167_1_1,fill_per_m_7_107_2_2,fill_ratio_8,distance_from_145_0_0,fill_per_m_8_145_0_0,distance_from_190_1_0,fill_per_m_8_190_1_0,distance_from_218_2_0,fill_per_m_8_218_2_0,fill_per_m_8_190_1_1,fill_per_m_8_218_2_2,fill_ratio_9,distance_from_104_0_0,fill_per_m_9_104_0_0,distance_from_131_1_0,fill_per_m_9_131_1_0,distance_from_285_2_0,fill_per_m_9_285_2_0,fill_per_m_9_131_1_1,fill_per_m_9_285_2_2,fill_ratio_10,distance_from_240_0_0,fill_per_m_10_240_0_0,distance_from_283_1_0,fill_per_m_10_283_1_0,distance_from_44_2_0,fill_per_m_10_44_2_0,fill_per_m_10_283_1_1,fill_per_m_10_44_2_2,fill_ratio_11,distance_from_132_0_0,fill_per_m_11_132_0_0,distance_from_23_1_0,fill_per_m_11_23_1_0,distance_from_27_2_0,fill_per_m_11_27_2_0,fill_per_m_11_23_1_1,fill_per_m_11_27_2_2,fill_ratio_12,distance_from_87_0_0,fill_per_m_12_87_0_0,distance_from_251_1_0,fill_per_m_12_251_1_0,distance_from_276_2_0,fill_per_m_12_276_2_0,fill_per_m_12_251_1_1,fill_per_m_12_276_2_2,fill_ratio_13,distance_from_29_0_0,fill_per_m_13_29_0_0,distance_from_21_1_0,fill_per_m_13_21_1_0,distance_from_19_2_0,fill_per_m_13_19_2_0,fill_per_m_13_21_1_1,fill_per_m_13_19_2_2,fill_ratio_14,distance_from_139_0_0,fill_per_m_14_139_0_0,distance_from_273_2_0,fill_per_m_14_273_2_0,fill_per_m_14_273_2_2,fill_ratio_15,distance_from_16_0_0,fill_per_m_15_16_0_0,distance_from_88_2_0,fill_per_m_15_88_2_0,fill_per_m_15_88_2_2,fill_ratio_16,distance_from_261_0_0,fill_per_m_16_261_0_0,distance_from_211_2_0,fill_per_m_16_211_2_0
0,76.782452,30.758257,0.8021969807540397,11100.9,0.007226413901161525,11100.9,0.007226413901161525,11100.9,0.007226413901161525,,,0.8021969807540397,10886.6,0.007368664052633877,10896.1,0.007362239523811636,8155.3,0.009836510989835318,,,0.8121491678579654,11091.8,0.007322068265366897,10197.1,0.00796451116354616,7216.7,0.0112537471123639,,,0.8121491678579654,9298.9,0.008733819783608442,7988.3,0.01016673344588918,5614.5,0.014465209152337082,,,0.8167039964457337,8970.2,0.009104635308529728,6855.5,0.011913120800025288,6101.7,0.01338485989881072,,,0.8294733276346758,8865.1,0.009356615578331612,8098.9,0.010241802314322635,5364.5,0.015462267268798133,,,0.8294733276346758,9464.3,0.00876423325163695,7001.5,0.011847080306144052,6345.6,0.013071629595856591,,,0.83437151857671,8835.8,0.009443078369550125,7291.0,0.011443855693001097,6558.1,0.012722762973676978,,,0.8461008653395777,8323.9,0.010164716843541822,6741.9,0.012549887499660003,6310.4,0.013408038560781849,,,0.8586790072952898,7944.2,0.010808879525884165,5395.1,0.015915905308433387,5371.2,0.01598672563477975,,,0.8586790072952898,7254.0,0.011837317442725252,4642.7,0.018495250765616773,4563.2,0.018817474739114874,,,0.8645233242512601,7048.8,0.012264829818568553,4497.1,0.019224018239560162,5084.8,0.01700211068776078,,,0.8759309114104479,5357.6,0.01634931520476422,3830.4,0.022867870494215955,4510.6,0.01941938791758187,,,0.8759309114104479,4106.6,0.021329832742669065,3788.5,0.023120784252618397,4150.7,0.021103209372164887,,,0.8795639277316903,3441.4,0.025558317188693273,2211.9,0.03976508557040057,,0.8795639277316903,3840.7,0.022901135931775205,475.6,0.18493774763071705,,0.8828391834186278,4012.0,0.02200496469139152,428.4,0.20607824076065073
0,76.775071,30.752306,0.7068573438476171,11222.3,0.006298685152309394,11222.3,0.006298685152309394,11222.3,0.006298685152309394,,,0.7168554534547245,9517.4,0.007532051331820923,9643.9,0.0074332526618351965,6848.2,0.010467793777265916,,,0.7348377838335947,9846.8,0.007462706501945756,8944.9,0.008215159295616437,5909.5,0.012434855467190026,,,0.7398260461956093,8046.7,0.009194154699387442,6681.1,0.011073416745679743,5478.0,0.013505404275202798,,,0.7629952465556864,7717.9,0.009886047325771084,5455.2,0.013986567798718406,5413.6,0.014094045488319905,,,0.7774870025868534,8412.3,0.009242264334211256,6791.7,0.011447605203216478,5227.9,0.014871879771741111,,,0.7869485557288531,8631.5,0.009117170314879837,5694.3,0.013819934947734631,5671.1,0.013876471156016524,,,0.7971723751264792,8780.8,0.009078584811480495,5983.8,0.013322176127652649,6421.5,0.0124141146947984,,,0.8148495491646532,8187.3,0.009952604022872659,5434.7,0.01499345960521562,6212.2,0.013116923942639537,,,0.8283949621425948,7807.7,0.010609974283625073,5466.3,0.015154582846579858,5316.1,0.015582757324779345,,,0.8372428497429418,7198.9,0.011630149741529148,4882.0,0.01714958725405452,4426.6,0.018913903441533948,,,0.8423096051397131,6912.2,0.012185839604463313,5006.9,0.016822976395368654,5548.5,0.01518085257528545,,,0.8570845300478334,5221.0,0.01641609902409181,4290.5,0.019976332130237348,5693.4,0.015054001651874687,,,0.8573588173739953,3970.1,0.02159539601959637,4576.7,0.01873312249817544,5405.8,0.015859980342853887,,,0.8590919273746204,4649.6,0.018476684604581475,3417.8,0.02513581623777343,,0.8654132133113264,3704.1,0.02336365684812306,1991.1,0.04346407580288918,,0.866292955421804,4265.3,0.0203102467686166,954.7,0.09073980888465528
0,76.770601,30.750721,0.7751328233611146,11349.2,0.006829845481277222,11349.2,0.006829845481277222,11349.2,0.006829845481277222,,,0.7755058291868722,9290.8,0.00834702963347475,9770.8,0.0079369737297547,6975.1,0.011118203741693625,,,0.7865423190111646,9496.0,0.008282880360269215,9071.8,0.008670190249026264,6211.5,0.012662679208100533,,,0.7997795256343944,8173.6,0.00978491149107363,7313.9,0.01093506235571165,5418.9,0.014759075193016929,,,0.7997795256343944,7844.9,0.010194897648592006,5228.6,0.0152962461392035,5075.9,0.01575640823567041,,,0.8067010672149588,8539.2,0.009447033296034274,6918.6,0.011659888810091041,6510.8,0.012390198857513038,,,0.8178450691599487,8758.4,0.009337836467390719,5821.3,0.014049182642364225,6435.1,0.01270912758403053,,,0.8181706516944691,8780.2,0.009318360079434056,5587.6,0.014642613137920915,6548.4,0.012494207007734242,,,0.8287562192321274,8321.7,0.009958977363184534,5115.6,0.016200567269374605,6399.9,0.01294951826172483,,,0.8297897111361038,7934.6,0.010457864430924103,5593.2,0.014835688177360078,5460.7,0.015195665594815755,,,0.8302998924751555,7235.2,0.011475838849999384,4655.4,0.01783519982117875,4553.6,0.018233922445431205,,,0.8333789031864632,7039.1,0.011839282055752345,5133.8,0.01623317821470379,5675.5,0.014683797078432972,,,0.8408302409661348,5348.0,0.015722330608940443,4435.1,0.01895854075367263,5838.0,0.014402710533849518,,,0.8493507594293044,4097.0,0.020731041235765302,4703.6,0.018057461506703468,5532.7,0.015351469615726579,,,0.862712215695281,4859.0,0.017754933436824057,3666.7,0.023528301079861483,,0.8680873852554002,3831.1,0.02265895918288221,2118.0,0.04098618438410766,,0.88004443871271,4409.8,0.019956561266105264,1913.8,0.04598413829620179
0,76.778559,30.751855,0.3042422429595377,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,,,0.31984595413186695,9950.7,0.003214306070244977,9953.0,0.0032135632887759164,7283.9,0.0043911359866536746,,,0.3747231453578259,10156.0,0.003689672561617034,9285.7,0.004035486235370795,5555.9,0.006744598451336885,,,0.43536964775159326,8363.9,0.0052053425764487056,8005.1,0.005438653455317151,4794.0,0.009081552935994852,,,0.44876419244965865,8115.8,0.005529512709155704,5919.7,0.007580860389034219,5767.1,0.007781453285874333,,,0.44876419244965865,8313.1,0.005398277326745241,6692.5,0.006705479155019181,5370.1,0.008356719473560243,,,0.46988416005198475,8545.1,0.005498872570853293,5595.1,0.008398136942181278,5409.8,0.008685795409293961,,,0.5198598646811172,7900.0,0.006580504616216673,6278.7,0.008279737281302137,5682.5,0.009148435806090932,,,0.5568502168648077,7404.7,0.007520226570486417,5806.7,0.009589787949520515,5374.6,0.010360775069117844,,,0.5669741837725248,7025.0,0.008070806886441635,4956.8,0.011438310679723306,4435.3,0.012783220611289536,,,0.5669741837725248,6318.2,0.008973666293762858,3706.9,0.015295103287720867,3607.4,0.01571697576571838,,,0.5669741837725248,7174.4,0.007902740072654506,4907.7,0.011552747392312587,5449.3,0.010404532394482316,,,0.6025897155124251,5044.3,0.011945953165204788,3409.8,0.017672289152220806,4812.7,0.012520824391971766,,,0.6154926707595897,3870.9,0.015900505586803833,4477.5,0.013746346638963477,5306.6,0.011598625688003423,,,0.6349430775551874,3833.6,0.01656258027846378,2537.0,0.025027318784201318,,0.6672942679852033,3604.9,0.018510756691869492,1053.0,0.06337077568710384,,0.6822573703350759,3384.5,0.020158291338013768,1596.3,0.04273992171490797
0,76.764835,30.753958,0.5247564316322378,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,,,0.5592570083625512,10021.4,0.005580627540688439,10023.6,0.005579402693269396,7323.3,0.007636680299353449,,,0.601620808825895,10226.6,0.005882901539376675,9356.4,0.006430045838419638,6942.1,0.008666265378284596,,,0.6260579937869755,8434.5,0.007422585734625354,7951.6,0.007873358742730714,6149.5,0.010180632470720798,,,0.6396351660205493,8186.5,0.00781329220082513,5907.0,0.010828426714415935,5806.6,0.011015657459107726,,,0.666174026491152,8831.9,0.007542816681474563,7211.3,0.009237918634520155,7241.5,0.009199392756903292,,,0.666174026491152,9039.1,0.007369915439492338,6113.9,0.010896056960224275,7319.4,0.00910148409010509,,,0.68665129190762,9510.8,0.0072197006761536365,6318.2,0.010867830899743915,7592.1,0.00904428671787279,,,0.700623595605425,9052.3,0.007739730185758593,5846.2,0.011984256364910968,7284.1,0.009618533457879835,,,0.700623595605425,8672.7,0.008078494535789604,4996.3,0.014022848820235474,6344.9,0.011042311078274284,,,0.7208768101013042,7965.8,0.009049647368767785,5386.0,0.01338427051803387,5517.0,0.013066463840879177,,,0.7208768101013042,7213.9,0.009992886096304417,6078.6,0.01185925723194986,6620.2,0.010889048821807563,,,0.7321249213975921,6399.9,0.011439630641066144,5319.4,0.013763298894566909,6559.7,0.011160951284320809,,,0.7321249213975921,5041.8,0.014521102015105558,5648.4,0.012961633761730616,6312.4,0.011598202290691213,,,0.7321249213975921,5743.2,0.012747682849240704,3609.8,0.02028159237070176,,0.7533994886517592,4775.8,0.015775356770630244,2677.5,0.028138169510803335,,0.7533994886517592,5294.1,0.014230926666511007,1856.9,0.04057297046969461
0,76.769145,30.746104,0.9695846277645586,10009.1,0.009687031079363365,10009.1,0.009687031079363365,10009.1,0.009687031079363365,,,0.9723471522656014,8386.1,0.011594747883588335,8430.7,0.011533409470928882,5635.0,0.017255495159992928,,,0.9725641065023064,8591.4,0.011320205164493637,7731.7,0.012578916751843791,5306.8,0.01832675259105876,,,0.9725641065023064,6833.5,0.014232298331781757,6409.3,0.015174264061633974,4514.2,0.0215445506734816,,,0.9730497505817656,6504.8,0.014958949553895054,4323.9,0.02250398368560248,4171.3,0.02332725410739495,,,0.9730497505817656,7199.1,0.013516269402866545,5578.6,0.017442543838629143,5606.2,0.017356672087720123,,,0.973121255532967,7418.4,0.01311767032692989,4481.2,0.021715639907457087,6328.5,0.015376807387737489,,,0.9754599720622307,7875.5,0.012386006882892904,4682.9,0.020830254160076677,6742.8,0.014466689981346483,,,0.9767850976926521,7417.1,0.013169366702520554,4211.0,0.023196036516092425,6497.3,0.015033707812362858,,,0.9780417118469861,7054.0,0.013865065379174738,4253.2,0.022995431953517026,5558.1,0.017596691528525683,,,0.9783098443148033,6330.5,0.015453911133635626,3750.7,0.026083393614919972,4759.7,0.020554023243372552,,,0.9789763610327783,6046.2,0.016191597384022666,5340.0,0.01833289065604454,5884.0,0.016637939514493175,,,0.980564214297093,4890.3,0.020051207784739032,4517.6,0.021705423550050753,5916.5,0.016573383153842523,,,0.980564214297093,4303.2,0.02278686127293858,5378.8,0.018230166845710806,5703.0,0.017193831567545028,,,0.9814182324187419,4937.5,0.019876824960379583,3651.0,0.026880806146774634,,0.9814182324187419,4001.3,0.024527484378045684,2317.4,0.042349971192661685,,0.9814806924293594,4492.3,0.021848066523370197,2710.3,0.03621299090245948
0,76.771048,30.761639,0.3046137691733707,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,,,0.3211117440455164,10764.4,0.002983090037953963,10766.6,0.0029824804863700367,8066.3,0.00398090504996735,,,0.3463676149902552,10969.6,0.0031575227445873612,10639.7,0.0032554265156936302,7588.2,0.004564555691603479,,,0.3463676149902552,9741.5,0.003555588102348254,8694.6,0.003983709601249686,6826.3,0.005074016890412891,,,0.3966641651072942,8929.5,0.0044421766628287606,6649.9,0.005964964361979792,6549.5,0.006056403772918455,,,0.42396146242773125,9307.7,0.004554954096368934,8556.7,0.004954730940990466,7402.5,0.005727274061840341,,,0.4583419106127864,9906.9,0.00462649174426699,7459.3,0.006144570008081005,7442.1,0.006158771188411689,,,0.4583419106127864,9932.3,0.004614660356743014,7061.2,0.006490991766453101,7714.9,0.005940996132325583,,,0.4731949988712973,9437.0,0.00501425239876335,6589.2,0.007181372531890022,7406.9,0.006388570101814488,,,0.5060131900470277,9057.4,0.005586737806070481,5739.3,0.008816636001725432,6467.7,0.007823696059604307,,,0.5221681968699736,8350.5,0.006253136900424808,5739.2,0.00909827496637116,5005.7,0.010431472059251925,,,0.5553844144396316,7956.8,0.006979997165187406,5586.0,0.009942434916570562,6127.6,0.009063653215608583,,,0.5982060133697576,5800.2,0.010313541142887446,5442.1,0.010992190760363786,6682.5,0.008951829605233934,,,0.6255371564922337,4549.2,0.01375048704150694,5155.8,0.012132688554486864,5819.8,0.010748430469985802,,,0.6466951307012749,5865.9,0.011024653176857345,3732.5,0.017326058424682517,,0.6693888042989931,4283.2,0.015628240668168494,2243.0,0.029843459843914087,,0.6913344344830438,5416.8,0.012762783091180101,1979.7,0.034921171616055145
0,76.770566,30.75625,0.09767211400638387,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,,,0.09906680761809457,9891.0,0.0010015853565675317,9893.3,0.00100135250743528,7193.0,0.0013772668930640145,,,0.10004320761270134,10096.3,0.0009908898072828794,9386.4,0.0010658314967687437,6811.7,0.0014686966192389763,,,0.10004320761270134,8488.2,0.0011786151081819626,7821.2,0.0012791286198115552,6019.1,0.001662095788617922,,,0.1613755080022873,8056.1,0.0020031467832113217,5776.6,0.0027936071045647493,5676.2,0.0028430201191340563,,,0.23668854022914587,8853.8,0.002673298925084663,7233.2,0.0032722521184143376,7111.1,0.0033284377976564223,,,0.24367910483712532,9073.0,0.002685761102580462,6135.8,0.003971431676996077,7030.9,0.003465830901266201,,,0.24367910483712532,9380.4,0.0025977474823794863,6187.8,0.0039380572228760674,7303.6,0.0033364245692141586,,,0.24613912775603053,8922.0,0.0027587886993502638,5715.9,0.004306218229080819,6995.7,0.0035184345777553435,,,0.31054787692801417,8542.3,0.0036354129090293502,4865.9,0.0063821261622313274,6056.4,0.0051275985226869785,,,0.32692540746347365,7835.4,0.004172415032588938,5255.6,0.00622051540192316,5234.0,0.006246186615656737,,,0.34869072570435405,7083.5,0.004922576772843285,5814.3,0.005997123053580897,6355.9,0.005486095213964255,,,0.39954245190636933,6028.4,0.006627669894273262,5030.9,0.007941768906286535,6271.3,0.0063709669750509354,,,0.4391908271135115,4777.5,0.00919290061985372,5384.1,0.008157181833797877,6048.1,0.007261633027124411,,,0.48186788698407307,5454.7,0.00883399429820289,3321.3,0.014508411976758288,,0.48186788698407307,4511.5,0.010680879684895778,2471.3,0.0194985589359476,,0.5111594629193751,5005.6,0.010211752096039937,1568.4,0.03259114147662427
0,76.779187,30.743609,0.3584657285442726,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,,,0.368834764478574,8162.5,0.004518649488252055,8357.9,0.004413007627257732,5562.2,0.006631094971028981,,,0.3732126086588686,8560.8,0.00435955294667401,7658.9,0.004872927034676894,4623.6,0.0080719051963593,,,0.3732126086588686,6760.7,0.005520324946512471,5395.1,0.006917621705971504,4220.1,0.00884369111297999,,,0.38328391453711536,6431.9,0.005959108732056085,5153.2,0.007437784571472392,4127.6,0.009285878344246422,,,0.3902674869727531,7126.3,0.005476439203692703,5505.7,0.00708842630315406,3970.1,0.009830167677709707,,,0.3902674869727531,7345.5,0.005313014593598163,4408.3,0.008853015606305222,4413.3,0.008842985679032767,,,0.45070226069757935,7651.9,0.005890069926391868,4697.8,0.009593900564042303,5163.6,0.008728450319497625,,,0.4754968478990531,6929.5,0.006861921464738482,4148.7,0.011461345672115437,4954.3,0.009597659566418124,,,0.48596291234808164,6549.8,0.007419507654402907,4180.3,0.01162507265861497,4140.1,0.011737951072391527,,,0.521566455079529,5842.9,0.008926499770311474,3527.1,0.014787401975547306,3168.7,0.016459950613170356,,,0.5601278423563708,5654.3,0.009906227868283797,3749.0,0.01494072665661165,4290.7,0.013054462963068282,,,0.5601278423563708,3963.2,0.0141332216985358,3114.5,0.017984518939039035,4517.4,0.012399341266134742,,,0.5774797555357539,2712.2,0.0212919311089062,3318.8,0.01740025779003718,4147.9,0.013922219810886328,,,0.5774797555357539,3391.8,0.017025760821267583,3948.1,0.014626776311029457,,0.6060618953566647,2446.2,0.024775647753931186,2549.1,0.023775524512834517,,0.6429669018647266,3089.2,0.02081337892867819,2243.4,0.028660377189298678
0,76.77424,30.748268,0.3745401188473625,10920.9,0.003429571911173644,10920.9,0.003429571911173644,10920.9,0.003429571911173644,,,0.3745401188473625,9183.2,0.004078536009750004,9185.4,0.0040775591574385706,6485.1,0.005775394656171261,,,0.37567982093800273,9388.4,0.004001531900409045,8518.1,0.00441037110315684,6103.9,0.006154750584675417,,,0.37567982093800273,7596.3,0.0049455632470808515,7206.3,0.0052132137287929,5311.3,0.007073217873929221,,,0.43701170033950854,7348.3,0.005947112942306499,5121.0,0.008533718030453203,4968.3,0.008796000650916984,,,0.43701170033950854,7961.3,0.005489200260504045,4768.5,0.009164552801499602,6201.6,0.007046757293916223,,,0.45892858792098645,8200.8,0.005596144131316292,5328.3,0.008613039579621763,6241.2,0.007353210727440019,,,0.5011096751157502,8672.6,0.005778078951130574,5480.0,0.009144337137148725,6514.0,0.007692810486885941,,,0.5121236575006257,8214.1,0.006234689832125561,5008.0,0.010226111371817607,6206.0,0.008252073114737767,,,0.5544846189237667,7834.5,0.007077472958373433,4158.1,0.01333504771226682,5266.8,0.010527922437225007,,,0.5834980497173717,7127.6,0.008186458972408267,4547.8,0.012830336640075898,4438.9,0.013145104636675117,,,0.5949437746928953,6375.6,0.009331573102027969,4941.1,0.012040715117947324,5454.5,0.010907393430981672,,,0.6072849928941824,5561.7,0.01091905339903595,4241.2,0.01431870680218293,5644.1,0.010759642686950663,,,0.6403072817231155,3485.8,0.018369019499773806,4957.4,0.01291619158678169,5338.0,0.011995265674842926,,,0.646235550631318,4665.0,0.013852852103565232,3368.5,0.019184668268704706,,0.6670440557397588,3654.4,0.018253175780969754,1884.4,0.035398219897036655,,0.6847713188408214,4215.9,0.016242589217980063,2427.7,0.028206587257108433
