Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_228_0_0,fill_per_m_1_228_0_0,distance_from_119_1_0,fill_per_m_1_119_1_0,distance_from_129_2_0,fill_per_m_1_129_2_0,fill_per_m_1_119_1_1,fill_per_m_1_129_2_2,fill_ratio_2,distance_from_32_0_0,fill_per_m_2_32_0_0,distance_from_85_1_0,fill_per_m_2_85_1_0,distance_from_177_2_0,fill_per_m_2_177_2_0,fill_per_m_2_85_1_1,fill_per_m_2_177_2_2,fill_ratio_3,distance_from_250_0_0,fill_per_m_3_250_0_0,distance_from_43_1_0,fill_per_m_3_43_1_0,distance_from_199_2_0,fill_per_m_3_199_2_0,fill_per_m_3_43_1_1,fill_per_m_3_199_2_2,fill_ratio_4,distance_from_145_0_0,fill_per_m_4_145_0_0,distance_from_249_1_0,fill_per_m_4_249_1_0,distance_from_159_2_0,fill_per_m_4_159_2_0,fill_per_m_4_249_1_1,fill_per_m_4_159_2_2,fill_ratio_5,distance_from_104_0_0,fill_per_m_5_104_0_0,distance_from_232_1_0,fill_per_m_5_232_1_0,distance_from_131_2_0,fill_per_m_5_131_2_0,fill_per_m_5_232_1_1,fill_per_m_5_131_2_2,fill_ratio_6,distance_from_152_0_0,fill_per_m_6_152_0_0,distance_from_83_1_0,fill_per_m_6_83_1_0,distance_from_283_2_0,fill_per_m_6_283_2_0,fill_per_m_6_83_1_1,fill_per_m_6_283_2_2,fill_ratio_7,distance_from_285_0_0,fill_per_m_7_285_0_0,distance_from_109_1_0,fill_per_m_7_109_1_0,distance_from_9_2_0,fill_per_m_7_9_2_0,fill_per_m_7_109_1_1,fill_per_m_7_9_2_2,fill_ratio_8,distance_from_271_0_0,fill_per_m_8_271_0_0,distance_from_175_1_0,fill_per_m_8_175_1_0,distance_from_88_2_0,fill_per_m_8_88_2_0,fill_per_m_8_175_1_1,fill_per_m_8_88_2_2,fill_ratio_9,distance_from_3_0_0,fill_per_m_9_3_0_0,distance_from_244_1_0,fill_per_m_9_244_1_0,distance_from_217_2_0,fill_per_m_9_217_2_0,fill_per_m_9_244_1_1,fill_per_m_9_217_2_2,fill_ratio_10,distance_from_27_0_0,fill_per_m_10_27_0_0,distance_from_22_1_0,fill_per_m_10_22_1_0,distance_from_211_2_0,fill_per_m_10_211_2_0,fill_per_m_10_22_1_1,fill_per_m_10_211_2_2,fill_ratio_11,distance_from_23_0_0,fill_per_m_11_23_0_0,distance_from_282_1_0,fill_per_m_11_282_1_0,distance_from_231_2_0,fill_per_m_11_231_2_0,fill_per_m_11_282_1_1,fill_per_m_11_231_2_2,fill_ratio_12,distance_from_162_0_0,fill_per_m_12_162_0_0,distance_from_48_1_0,fill_per_m_12_48_1_0,distance_from_40_2_0,fill_per_m_12_40_2_0,fill_per_m_12_48_1_1,fill_per_m_12_40_2_2,fill_ratio_13,distance_from_276_0_0,fill_per_m_13_276_0_0,distance_from_137_1_0,fill_per_m_13_137_1_0,distance_from_98_2_0,fill_per_m_13_98_2_0,fill_per_m_13_137_1_1,fill_per_m_13_98_2_2,fill_ratio_14,distance_from_19_0_0,fill_per_m_14_19_0_0,distance_from_1_1_0,fill_per_m_14_1_1_0,distance_from_93_2_0,fill_per_m_14_93_2_0,fill_per_m_14_1_1_1,fill_per_m_14_93_2_2,fill_ratio_15,distance_from_35_1_0,fill_per_m_15_35_1_0,distance_from_273_2_0,fill_per_m_15_273_2_0,fill_per_m_15_35_1_1,fill_per_m_15_273_2_2,fill_ratio_16,distance_from_133_1_0,fill_per_m_16_133_1_0,fill_per_m_16_133_1_1,fill_ratio_17,distance_from_59_1_0,fill_per_m_17_59_1_0,fill_per_m_17_59_1_1,fill_ratio_18,distance_from_138_1_0,fill_per_m_18_138_1_0,fill_per_m_18_138_1_1
0,76.766896,30.748096,0.29214464853521815,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,,,0.30352753251066816,9085.4,0.0033408273990211566,8882.4,0.0034171792816206,7065.0,0.004296214189818374,,,0.31588570819931266,7490.7,0.0042170385704849035,8797.4,0.003590671200574177,5548.2,0.005693480916320837,,,0.31588570819931266,9252.5,0.003414057910827481,6521.8,0.004843535652723369,6683.8,0.0047261394446170245,,,0.3685278195029362,8794.0,0.004190673408038847,7098.9,0.005191336960697238,5891.1,0.006255670749145936,,,0.3970841244222941,8414.3,0.004719158152458245,5484.7,0.007239851303121303,4737.9,0.008381015311051185,,,0.4415813428276427,6983.1,0.00632357180661372,4100.0,0.01077027665433275,5127.6,0.008611852383720312,,,0.4415813428276427,6935.0,0.0063674310429364485,3968.7,0.011126599209505449,3745.8,0.011788705825928846,,,0.4846023304004278,7892.3,0.0061401914575019674,3983.2,0.012166156115696622,3254.5,0.014890223702578823,,,0.5201371942368166,7232.4,0.007191764756330078,2944.4,0.01766530343149085,3097.5,0.016792161234441213,,,0.5429129646107308,6175.5,0.008791400932891763,2863.5,0.018959768276959343,2434.0,0.02230538063314424,,,0.5865887139535546,5631.5,0.01041620729740841,3263.8,0.017972569212376818,2188.3,0.02680568084602452,,,0.609648109944587,7302.2,0.00834882788672711,3695.1,0.016498825740699493,2135.6,0.028546924046852735,,,0.6214865126505715,7136.8,0.00870819572708457,1585.7,0.03919319623198408,1363.1,0.0455936110814006,,,0.6506026462743832,5994.5,0.010853326320366724,1297.4,0.05014665070713606,2686.6,0.024216580297565075,,,0.6662769830052528,2096.1,0.03178650746649744,4186.8,0.015913752340815247,,,0.6673987462117749,1840.5,0.03626181723508693,,0.6673987462117749,2087.6,0.03196966594231534,,0.0,1504.8,0.04620141141577524,0.0
0,76.770598,30.733668,0.5142344384136116,8289.0,0.00620381757043807,8289.0,0.00620381757043807,8289.0,0.00620381757043807,,,0.5142344384136116,6913.5,0.007438120176663219,6710.5,0.007663131486679259,3989.6,0.012889373331000892,,,0.516469088337227,7161.5,0.007211744583358613,6625.5,0.007795171509127266,3797.4,0.013600597470301444,,,0.5202277983251724,7675.6,0.0067776825046272915,4531.8,0.011479495969044804,4932.9,0.010546084419411957,,,0.5376474775984049,7251.7,0.0074140888012246085,4927.0,0.010912268674617514,4140.3,0.012985713054571042,,,0.5447001587240183,6663.5,0.008174385213836847,3312.8,0.016442289263584226,2987.1,0.01823508281356561,,,0.5447001587240183,5232.3,0.0104103388323303,1928.1,0.028250617640372302,3376.8,0.016130660943023522,,,0.5901360829369899,5184.2,0.011383358723370818,2217.8,0.0266090757929926,2984.7,0.01977204016943043,,,0.5901360829369899,6141.5,0.00960898938267508,769.0,0.07674071299570741,4127.6,0.014297317640686837,,,0.5901360829369899,6471.2,0.009119422718151037,1887.8,0.03126051927836582,4480.9,0.013170034656809793,,,0.5951409277038276,5414.4,0.010991816779399892,2102.3,0.02830903903837833,4686.1,0.012700132897373671,,,0.6024866238165278,4870.4,0.012370372532369578,2207.2,0.027296421883677414,3173.8,0.01898313138246039,,,0.6203894709572181,5506.3,0.011266902837789769,3552.0,0.01746591979046222,3751.7,0.0165362228045211,,,0.6403965198515165,5574.4,0.01148816948642933,1960.6,0.032663292861956364,3615.3,0.017713509801441554,,,0.6509265021976999,5294.2,0.01229508711793472,2913.5,0.022341736818180878,4938.7,0.013180118294241398,,,0.6509265021976999,3712.2,0.017534790749358868,5611.6,0.011599659672779598,,,0.6706606831353775,2215.4,0.030272667831334185,,0.6962046308489628,1998.5,0.034836358811556806,,0.7222015324955208,3300.7,0.0218802536581792,
0,76.782044,30.751951,0.15601864044243652,10169.5,0.001534182019198943,10169.5,0.001534182019198943,10169.5,0.001534182019198943,,,0.21049529902808387,9690.8,0.0021721147792554164,9487.8,0.0022185891252775552,6756.3,0.003115541036189688,,,0.21049529902808387,7480.7,0.0028138449480407434,8079.9,0.0026051720816852174,5239.5,0.004017469205612824,,,0.21049529902808387,7434.8,0.00283121669753166,8135.1,0.0025874949174329,5090.7,0.004134898914257054,,,0.2226823079644611,6939.5,0.0032089099785929977,7822.0,0.002846871745902085,4328.8,0.0051442041204135345,,,0.26781246761054606,6559.9,0.004082569362498606,6191.9,0.004325206602344128,4429.2,0.00604652008512928,,,0.2715778015581614,4904.9,0.00553686724618568,4807.2,0.005649396770639071,3241.7,0.008377635239478095,,,0.2715778015581614,3970.1,0.006840578362211567,2360.3,0.011506071328143092,3414.6,0.007953429437069098,,,0.2715778015581614,4927.4,0.005511584234244458,3674.5,0.00739087771283607,2612.2,0.010396516406024096,,,0.32486840633756464,5824.8,0.005577331519323662,1571.1,0.02067776757288299,2965.5,0.01095492855631646,,,0.35967792318363784,4157.9,0.0086504707468587,2640.8,0.013620036473176228,3155.5,0.01139844472139559,,,0.4205983795808173,3644.5,0.011540633271527432,2042.6,0.020591323782474167,2829.0,0.014867387047748933,,,0.4643588701298701,4350.4,0.010673935043441296,2318.9,0.02002496313467032,3900.7,0.011904500990331739,,,0.5166306821989328,4347.5,0.011883396945346356,3126.2,0.01652583590937665,3636.4,0.014207201688453767,,,0.5225036859363794,4041.3,0.012929099199177972,1306.5,0.0399926280854481,3408.1,0.015331231065296777,,,0.5505901273755517,2729.8,0.020169614161314076,3778.2,0.01457281582170218,,,0.5662000793766455,3381.0,0.01674652704456213,,0.60338450874125,2961.3,0.020375663010882044,,0.6346555517788564,2955.9,0.021470805906115102,
0,76.781129,30.727619,0.770967179954561,7370.2,0.010460600525827807,7370.2,0.010460600525827807,7370.2,0.010460600525827807,,,0.770967179954561,5994.8,0.01286059885158072,5791.8,0.013311357090275235,3035.6,0.02539752206992229,,,0.7816309026646054,6242.8,0.012520518079461225,5903.9,0.01323923004564111,2422.7,0.032262801942650986,,,0.7995777865929303,6954.1,0.011497933400338365,3613.1,0.02212996558614293,2918.7,0.027394997313630393,,,0.818148660867977,5656.0,0.014465146054950088,4049.9,0.02020170031032808,2862.2,0.028584608373557998,,,0.8250034457949046,5276.3,0.015636022322364242,2668.3,0.030918691518753684,2475.4,0.03332808620000422,,,0.8281871253898693,3771.5,0.02195909122073099,2198.9,0.037663701186496396,2134.1,0.03880732512018506,,,0.8431854587339562,3883.2,0.021713675801760306,2650.6,0.03181111668052351,1676.6,0.05029139083466279,,,0.8518237033214654,4455.6,0.01911804702669596,2273.6,0.03746585605741843,5700.3,0.014943488997446894,,,0.8537902362159654,5163.1,0.016536387755727477,3368.1,0.025349313744127713,6123.4,0.013943074700590611,,,0.8546249017903645,4106.2,0.02081303642760617,2444.8,0.03495684316878127,5394.6,0.015842229299491424,,,0.8583577936653948,3562.2,0.024096283017949437,2740.9,0.03131664028842332,4723.0,0.01817399520782119,,,0.8583577936653948,4176.7,0.02055109999917147,4937.3,0.017385165853105844,5227.0,0.016421614571750426,,,0.8602092042806257,4037.7,0.021304435799604376,3591.7,0.02394991798537255,5096.6,0.016878099208896633,,,0.8683509369642042,4144.9,0.020949864579705282,4388.8,0.019785611943223754,5970.0,0.014545241825196049,,,0.876807092329144,5187.5,0.01690230539429675,7087.9,0.012370477748404237,,,0.8883480806360666,4418.8,0.020103830918712467,,0.897200452402197,3473.8,0.025827636950952762,,0.9038092493534817,4496.4,0.020100730570089,
0,76.805606,30.74516,0.9394989415641891,8484.7,0.011072859872054273,8484.7,0.011072859872054273,8484.7,0.011072859872054273,,,0.9394989415641891,8889.1,0.010569112076185317,8782.8,0.010697032171564752,6037.1,0.015562090102270776,,,0.9428218210177781,6751.8,0.01396400694655911,7351.0,0.012825762767212326,4645.5,0.02029537877554145,,,0.9428218210177781,6633.1,0.014213894272930877,6728.0,0.01401340399848065,4289.0,0.02198232270967074,,,0.9466387946031903,6137.8,0.015423096135475094,7107.9,0.013318122013579122,3685.2,0.025687582617040877,,,0.9493213712024793,5830.9,0.016280872098689385,6589.9,0.014405702229206504,3463.7,0.027407725010898155,,,0.9526607073882657,4103.2,0.02321750602915446,5006.3,0.019029237308756282,3191.4,0.02985087132256269,,,0.9526607073882657,2528.3,0.03767989191900746,2438.5,0.03906748851294918,3299.5,0.02887288096342675,,,0.9526607073882657,2742.6,0.03473567809335178,3895.1,0.024457926815441598,3101.6,0.030715137586673515,,,0.9527157182021673,3051.0,0.031226342779487617,3391.8,0.02808879409759323,3441.4,0.027683957639395802,,,0.9563730303259689,1874.6,0.05101744533905734,3822.3,0.02502087827554009,3812.7,0.025083878362471973,,,0.9597099842115161,1287.0,0.07456954034277515,3863.3,0.024841715223035125,4649.6,0.020640699935726,,,0.9618688347982488,1192.9,0.08063281371433052,2412.0,0.03987847573790418,5743.2,0.01674795993171488,,,0.9630366155390336,1071.2,0.08990259667093294,4937.5,0.019504539048891822,5454.7,0.017655171055035727,,,0.9630366155390336,765.1,0.1258706856017558,4665.0,0.020643871715734913,5865.9,0.016417542330060753,,,0.9659722376684204,3833.6,0.025197522894105293,2931.2,0.032954838894255614,,,0.969056019216208,5850.2,0.016564493850059963,,0.969056019216208,4819.5,0.020106982450797967,,0.9698614503680876,4859.0,0.019960103938425344,
0,76.804139,30.741704,0.7080725777960455,8683.7,0.008154042375900198,8683.7,0.008154042375900198,8683.7,0.008154042375900198,,,0.72656704733125,8586.5,0.008461736997976475,8383.5,0.00866663144666607,5697.4,0.012752607282817602,,,0.7499581586690363,6376.5,0.011761282187234944,6975.6,0.010751163465064457,4180.7,0.017938578675079205,,,0.7747864332688857,6330.5,0.012238945316624054,7030.9,0.011019733366551732,3986.5,0.019435254816728604,,,0.7861240731812124,5835.3,0.01347187073811479,6763.2,0.011623552063833873,3224.5,0.02437972005523996,,,0.7977493603757881,5455.6,0.014622577908493806,6125.1,0.013024266711984915,3370.4,0.023669278435075602,,,0.8026675334926342,3800.7,0.021118939497793414,4980.2,0.016117174681591788,2612.4,0.030725292202290394,,,0.8221574299034737,2012.6,0.04085051326162545,2508.0,0.03278139672661379,3340.4,0.02461254430318147,,,0.8269063292890096,3120.4,0.026500010552782005,4266.3,0.01938228275763565,3435.1,0.024072263668859995,,,0.8389360258637387,3348.2,0.025056329546136395,3318.8,0.02527829413835539,3788.5,0.022144279420977662,,,0.8443639329529954,2269.6,0.03720320465954333,4351.2,0.01940531193585667,4159.9,0.020297697852183837,,,0.854440974755336,877.7,0.09735000282047805,3790.3,0.02254283235509949,4576.7,0.018669368207558632,,,0.8595001919824388,1570.7,0.05472083733255483,2017.9,0.04259379513268441,5648.4,0.015216701932979939,,,0.8653187070549062,1606.0,0.05388036781163799,5378.8,0.01608757914506779,5384.1,0.01607174285497866,,,0.8778182575189364,1460.2,0.060116303076218076,4957.4,0.017707230756423456,5155.8,0.01702583997670461,,,0.8863174412429792,4477.5,0.019794917727369722,3567.4,0.02484491341713795,,,0.8894090353149365,5633.6,0.01578757872967439,,0.8916431460799494,5213.9,0.017101270566753285,,0.8957650467515388,4703.6,0.019044243701665506,
0,76.800424,30.724398,0.9488855372533332,7162.8,0.013247410750730625,7162.8,0.013247410750730625,7162.8,0.013247410750730625,,,0.9488855372533332,5673.8,0.016723986345188995,5470.8,0.017344548096317417,2770.5,0.03424961332803946,,,0.9530225433163638,3686.4,0.025852391040482956,4572.0,0.02084476253972799,1114.6,0.08550354775851102,,,0.954399972949026,3637.2,0.02623996406436341,3479.6,0.02742843927316433,1056.2,0.09036167136423272,,,0.9578434008776175,3142.0,0.030485149614182607,3875.1,0.02471790149615797,627.5,0.1526443666737239,,,0.9617619796282803,2762.3,0.034817434008915765,3986.2,0.024127288636502944,1486.0,0.06472153294941321,,,0.9635670701746735,358.3,0.2689274546956945,4801.6,0.020067624753721123,2077.8,0.046374389747553826,,,0.9642415636751469,1597.6,0.06035563117646137,2495.6,0.0386376648371192,2849.5,0.033838973984037436,,,0.9660147377649323,2269.3,0.04256884227580894,3777.7,0.025571504824759308,5004.3,0.01930369357882086,,,0.9677102222370336,2061.1,0.04695115337620852,3963.2,0.024417395595403558,5357.6,0.01806238282509022,,,0.9682514609613089,2325.5,0.04163627009078946,3617.7,0.02676428285820574,5547.6,0.017453519737567758,,,0.9712181588289283,3368.6,0.028831507416402315,4434.7,0.021900425256024723,5221.0,0.018602148225032145,,,0.9735076102720268,2217.0,0.04391103339070937,4856.5,0.0200454568160615,6399.9,0.015211294086970528,,,0.9735076102720268,3212.3,0.030305625572705747,4890.3,0.01990690980659728,6028.4,0.01614868970658926,,,0.9738469665155497,3900.4,0.024967874231246787,5561.7,0.017509879470585427,5800.2,0.01678988597833781,,,0.9754673805844692,5044.3,0.019338012818120833,6438.8,0.015149831965342442,,,0.9767735479811908,5145.1,0.018984539619855603,,0.978247457788512,4646.7,0.021052520235619085,,0.9802885093055663,5348.0,0.018330002043858755,
0,76.790682,30.718419,0.8287375091519293,6236.5,0.01328850331358822,6236.5,0.01328850331358822,6236.5,0.01328850331358822,,,0.8436623602870772,4602.8,0.01832932911026065,4658.1,0.01811172710519476,1806.5,0.04670148686892207,,,0.8517658037314538,3545.4,0.024024533303194387,3764.6,0.02262566550845917,626.9,0.13586948536153357,,,0.8611317918633088,4250.5,0.02025954103901444,2479.3,0.03473285975328959,1681.8,0.051202984413325534,,,0.8736876816408645,3779.9,0.02311404221383805,2894.3,0.030186493509341272,1114.1,0.07842093902170941,,,0.8736876816408645,3400.3,0.025694429363316895,2755.8,0.03170359538576328,1444.3,0.060492119479392405,,,0.8745176626991065,2283.6,0.038295571146396326,3662.6,0.02387696343305593,2811.5,0.03110502090340055,,,0.8745176626991065,2968.5,0.029459917894529442,3269.8,0.026745295207630634,2295.8,0.03809206649965617,,,0.8777771138900061,2895.0,0.03032045298411075,3195.7,0.02746744418718923,6319.6,0.013889757482910407,,,0.8855557480806988,3296.5,0.0268635142751615,4148.7,0.021345379229172966,6741.9,0.013135106543862988,,,0.8962434108574093,3075.1,0.029145179371643504,3064.0,0.029250764061925894,6947.0,0.012901157490390232,,,0.9005342552791347,4118.2,0.021867181178163633,4468.1,0.020154747102328386,5434.7,0.016570082162384946,,,0.9089096021496261,3506.7,0.025919228965968752,5556.5,0.016357592048045103,5846.2,0.015547015191913144,,,0.9106824263528653,4583.2,0.019870012793525602,4211.0,0.02162627466998018,5715.9,0.015932441546438275,,,0.9140065319089296,4649.9,0.019656477169593532,5008.0,0.018250929151536133,6589.2,0.013871282278712583,,,0.9188278425028409,5806.7,0.015823580389943356,7797.5,0.011783620936233932,,,0.9188278425028409,5123.7,0.017932896978801276,,0.9220420202599591,4093.0,0.022527290990959178,,0.9236997528584562,5115.6,0.018056528126875755,
0,76.779344,30.723923,0.6842330265121569,6799.6,0.010062842321785942,6799.6,0.010062842321785942,6799.6,0.010062842321785942,,,0.7129130635055514,5411.2,0.01317476832321022,5208.2,0.013688281239306314,2401.6,0.029684921032043284,,,0.7357592314608663,4030.9,0.018252976542729078,5333.3,0.01379557181221507,2272.2,0.03238091855738343,,,0.754281693662763,4714.0,0.01600088446463222,3042.4,0.024792324929751607,3407.7,0.022134627275369398,,,0.7627753716042164,4290.1,0.0177798972425868,3424.6,0.022273415044215865,2615.1,0.029168114856189687,,,0.7821471214619014,5138.3,0.01522190454940158,2786.6,0.028068151922123787,1882.2,0.041554942166714556,,,0.7917492647791866,3707.1,0.021357645188400276,2208.5,0.03585009122839876,2271.9,0.034849652923948524,,,0.8061659751328848,3659.0,0.022032412548042765,2763.5,0.029171918767247507,1831.7,0.04401190015465878,,,0.8140831881588246,4616.3,0.017634971474098836,2569.3,0.03168501880507627,5855.5,0.013902880849779262,,,0.817196970932078,4967.8,0.01644987662410077,3609.0,0.022643307590248768,6202.2,0.013175920978557253,,,0.8343184066914557,3911.0,0.021332610756621215,2599.9,0.03209040373443039,6407.4,0.013021169377461306,,,0.8461837051668845,3717.3,0.02276339561420613,3928.5,0.021539613215397338,4895.0,0.017286694691866892,,,0.861449718665384,4466.3,0.01928777105580422,5092.4,0.016916379676878958,5382.1,0.016005828926727188,,,0.861449718665384,4501.5,0.01913694809875339,3681.9,0.023396879835557292,5251.8,0.01640294220391835,,,0.872696811917267,4300.0,0.020295274695750397,4543.9,0.01920589827939143,6125.1,0.014247878596549721,,,0.880080190434857,5342.6,0.016472881938285798,7332.9,0.012001802703362341,,,0.8888441815295273,3936.7,0.022578407842343266,,0.8888441815295273,3628.9,0.024493487875927342,,0.8945426373973889,5022.0,0.017812477845427895,
0,76.79506,30.736182,0.18182496720710062,8166.3,0.0022265281364522564,8166.3,0.0022265281364522564,8166.3,0.0022265281364522564,,,0.2548099891605834,7510.9,0.0033925360364348268,7307.9,0.003486774438081849,4621.8,0.005513219723064247,,,0.3155033668974646,5300.8,0.005951995300661496,5900.0,0.0053475146931773665,3105.0,0.010161139030514158,,,0.37934831754293025,5254.8,0.007219081935429136,5955.2,0.006370034886199124,2910.8,0.013032441855947857,,,0.39439729014564107,4759.6,0.008286353688243571,5687.5,0.006934457848714568,2148.8,0.018354304269622163,,,0.4456586703093267,4379.9,0.010175087794454822,5049.4,0.00882597279497221,2294.7,0.019421217166049016,,,0.4779790737266132,2725.0,0.017540516467031676,3904.5,0.012241748590769963,1536.8,0.031102230200846775,,,0.5035280810128443,1790.2,0.028126917719408128,1859.2,0.027083050829004102,2049.3,0.02457073542247813,,,0.5035280810128443,2747.5,0.018326772739320995,3190.6,0.015781611014005024,3753.3,0.013415609757089608,,,0.5035280810128443,3821.5,0.013176189480906562,2712.2,0.018565300531407872,4106.6,0.012261434788215172,,,0.5108929043778788,2750.5,0.01857454660526736,2572.2,0.019862098762844213,4296.6,0.011890632229620602,,,0.5579903411022725,2208.8,0.025262148727918893,3183.7,0.017526473634521863,3970.1,0.014054818294306756,,,0.5893175413117672,2170.4,0.027152485316612934,3406.2,0.017301319397327437,5041.8,0.011688633847272149,,,0.5893175413117672,2205.7,0.026717937222277156,4303.2,0.013694867570918553,4777.5,0.012335270357127517,,,0.5893175413117672,2791.5,0.02111114244355247,3485.8,0.016906235048246232,4549.2,0.012954311556136622,,,0.6232008733429696,3870.9,0.016099637638352052,4979.2,0.012516084377871337,,,0.6232008733429696,4557.9,0.01367298258722152,,0.6596421197426121,4138.2,0.015940315106631197,,0.684825339556406,4097.0,0.016715287760712863,
