Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_145_0_0,fill_per_m_1_145_0_0,distance_from_74_1_0,fill_per_m_1_74_1_0,distance_from_206_2_0,fill_per_m_1_206_2_0,fill_per_m_1_74_1_1,fill_per_m_1_206_2_2,fill_ratio_2,distance_from_250_0_0,fill_per_m_2_250_0_0,distance_from_46_1_0,fill_per_m_2_46_1_0,distance_from_262_2_0,fill_per_m_2_262_2_0,fill_per_m_2_46_1_1,fill_per_m_2_262_2_2,fill_ratio_3,distance_from_104_0_0,fill_per_m_3_104_0_0,distance_from_149_1_0,fill_per_m_3_149_1_0,distance_from_255_2_0,fill_per_m_3_255_2_0,fill_per_m_3_149_1_1,fill_per_m_3_255_2_2,fill_ratio_4,distance_from_107_0_0,fill_per_m_4_107_0_0,distance_from_156_1_0,fill_per_m_4_156_1_0,distance_from_295_2_0,fill_per_m_4_295_2_0,fill_per_m_4_156_1_1,fill_per_m_4_295_2_2,fill_ratio_5,distance_from_3_0_0,fill_per_m_5_3_0_0,distance_from_203_1_0,fill_per_m_5_203_1_0,distance_from_75_2_0,fill_per_m_5_75_2_0,fill_per_m_5_203_1_1,fill_per_m_5_75_2_2,fill_ratio_6,distance_from_271_0_0,fill_per_m_6_271_0_0,distance_from_113_1_0,fill_per_m_6_113_1_0,distance_from_17_2_0,fill_per_m_6_17_2_0,fill_per_m_6_113_1_1,fill_per_m_6_17_2_2,fill_ratio_7,distance_from_23_0_0,fill_per_m_7_23_0_0,distance_from_81_1_0,fill_per_m_7_81_1_0,distance_from_48_2_0,fill_per_m_7_48_2_0,fill_per_m_7_81_1_1,fill_per_m_7_48_2_2,fill_ratio_8,distance_from_21_0_0,fill_per_m_8_21_0_0,distance_from_230_1_0,fill_per_m_8_230_1_0,distance_from_273_2_0,fill_per_m_8_273_2_0,fill_per_m_8_230_1_1,fill_per_m_8_273_2_2,fill_ratio_9,distance_from_251_0_0,fill_per_m_9_251_0_0,distance_from_190_1_0,fill_per_m_9_190_1_0,distance_from_88_2_0,fill_per_m_9_88_2_0,fill_per_m_9_190_1_1,fill_per_m_9_88_2_2,fill_ratio_10,distance_from_139_0_0,fill_per_m_10_139_0_0,distance_from_177_1_0,fill_per_m_10_177_1_0,distance_from_217_2_0,fill_per_m_10_217_2_0,fill_per_m_10_177_1_1,fill_per_m_10_217_2_2,fill_ratio_11,distance_from_19_0_0,fill_per_m_11_19_0_0,distance_from_159_1_0,fill_per_m_11_159_1_0,distance_from_211_2_0,fill_per_m_11_211_2_0,fill_per_m_11_159_1_1,fill_per_m_11_211_2_2,fill_ratio_12,distance_from_276_0_0,fill_per_m_12_276_0_0,distance_from_87_1_0,fill_per_m_12_87_1_0,distance_from_138_2_0,fill_per_m_12_138_2_0,fill_per_m_12_87_1_1,fill_per_m_12_138_2_2,fill_ratio_13,distance_from_261_0_0,fill_per_m_13_261_0_0,distance_from_220_1_0,fill_per_m_13_220_1_0,distance_from_1_2_0,fill_per_m_13_1_2_0,fill_per_m_13_220_1_1,fill_per_m_13_1_2_2,fill_ratio_14,distance_from_16_0_0,fill_per_m_14_16_0_0,distance_from_152_1_0,fill_per_m_14_152_1_0,distance_from_231_2_0,fill_per_m_14_231_2_0,fill_per_m_14_152_1_1,fill_per_m_14_231_2_2
0,76.769145,30.746104,0.9695846277645586,10009.1,0.009687031079363365,10009.1,0.009687031079363365,10009.1,0.009687031079363365,,,0.9714386403765033,7417.1,0.01309728384916616,7566.5,0.012838678918608383,6409.3,0.015156704170135635,,,0.973512455946699,7875.5,0.012361278089603188,7731.7,0.0125911824818177,6615.7,0.014715184424122906,,,0.9738271754258462,7054.0,0.01380531861958954,7526.3,0.01293898961542652,6220.2,0.01565588205243957,,,0.9741429135750128,6742.8,0.014447157168757977,8292.1,0.011747843291506528,3591.7,0.02712205678578425,,,0.9764110985945978,6940.8,0.014067702550060481,8105.7,0.012045981205751483,3547.4,0.02752469692153684,,,0.977375257600903,6515.4,0.01500100159009275,6940.4,0.014082405302301065,4594.2,0.02127411208917555,,,0.9789716032530397,5340.0,0.018332801559045687,6982.9,0.014019556391370917,3403.5,0.028763672785457314,,,0.9791316942448446,5378.8,0.018203534138559616,6111.5,0.01602113546993119,3651.0,0.026818178423578327,,,0.9805623528477461,4517.6,0.021705382345664645,4211.0,0.023285736234807553,2317.4,0.042313038441690945,,,0.9817149097906281,4937.5,0.019882833616012723,4171.3,0.02353498692950946,2520.3,0.03895230368569726,,,0.9828476534766902,5703.0,0.017233870830732776,4514.2,0.021772355090086622,2710.3,0.036263426686222566,,,0.9828476534766902,5916.5,0.016611977579256153,4890.3,0.02009790101786578,1340.1,0.0733413665753817,,,0.9840398019858192,4492.3,0.02190503310076841,6328.5,0.01554933715708018,1005.9,0.09782680206639022,,,0.0,4001.3,0.024593002323890216,5606.2,0.01755270596813919,1213.1,0.08111778105562767,,0.0
0,76.779187,30.743609,0.3584657285442726,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,,,0.368834764478574,6929.5,0.005322675005102446,7493.6,0.004921996963790087,5395.1,0.006836476886036847,,,0.42825675025523097,7651.9,0.005596737414958781,7658.9,0.005591622168395344,6392.1,0.006699781765855211,,,0.48158487167546427,6549.8,0.00735266529780244,7393.2,0.0065138894075023575,5996.6,0.008030965408322453,,,0.5327273146051766,5163.6,0.010316974874219084,8725.4,0.006105477280184022,3368.1,0.015816849695827816,,,0.5626863922204614,5361.6,0.010494747691369391,7951.4,0.007076570065906147,3474.5,0.016194744343659844,,,0.5626863922204614,5097.3,0.011038910643290788,6867.6,0.008193348363627196,3039.1,0.01851490218224018,,,0.5626863922204614,3749.0,0.015008972851972828,6910.0,0.008143073693494375,1848.4,0.030441808711342853,,,0.5843717128922241,3318.8,0.017607921926365677,5995.2,0.009747326409331201,3948.1,0.014801340211550471,,,0.6253802012515182,3114.5,0.02007963401032327,4148.7,0.015074124454685039,2549.1,0.0245333726119618,,,0.634223118958852,3391.8,0.018698718054096702,4127.6,0.015365421042708884,2972.1,0.021339225428446282,,,0.6537410664845891,4147.9,0.015760772113228117,4220.1,0.01549112737813296,2243.4,0.029140637714388386,,,0.6652715552120014,4517.4,0.01472686844671717,3963.2,0.01678622212383936,2472.1,0.026911191101169105,,,0.6652715552120014,3089.2,0.021535399301178346,4413.3,0.015074242748328947,865.2,0.07689222783310233,,,0.6910196420090802,2446.2,0.02824869765387459,3970.1,0.017405597894488305,1419.6,0.048677066920898855,,
0,76.764835,30.753958,0.5247564316322378,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,,,0.5592570083625512,9052.3,0.006178065335467795,9191.1,0.0060847668762449665,7951.6,0.0070332638508294075,,,0.5794541833507252,9510.8,0.006092591405041902,9356.4,0.006193131795890783,8183.2,0.007081021890589564,,,0.6052511028027143,8672.7,0.00697880824659811,9076.3,0.006668478375579414,7762.6,0.0077970152114332095,,,0.6112852004646685,7592.1,0.008051595743795109,9927.3,0.006157617886682869,5227.0,0.011694761822549617,,,0.6112852004646685,7691.2,0.007947852096742621,10953.5,0.005580729451450847,4580.2,0.013346255632170395,,,0.6112852004646685,7302.2,0.008371247027808996,9458.4,0.006462881676231377,5188.1,0.011782448304093376,,,0.6452861489997342,6078.6,0.010615703434997107,8401.2,0.007680880695611747,4693.7,0.013747920595686436,,,0.6644401783520194,5648.4,0.011763334366404992,7661.5,0.008672455502865228,3609.8,0.018406564860990068,,,0.6845744571632231,5319.4,0.012869392359349235,5846.2,0.011709733795683061,2677.5,0.025567673470148388,,,0.7151650901230661,5743.2,0.0124523800341807,5806.6,0.01231641735478707,2520.4,0.02837506309010736,,,0.7288138628159985,6312.4,0.01154574904657497,6149.5,0.011851595460053637,1856.9,0.03924895593817645,,,0.7434582373314919,6559.7,0.011333723147880115,6399.9,0.011616716469499397,1259.5,0.05902804583814941,,,0.7434582373314919,5294.1,0.014043146848973231,7319.4,0.010157365867851079,1906.6,0.038993928319075416,,,0.7683040191443651,4775.8,0.016087441248468635,7241.5,0.010609735816396673,1611.2,0.04768520476318055,,
0,76.77055,30.741327,0.7851759613930136,9844.2,0.007976026100577127,9844.2,0.007976026100577127,9844.2,0.007976026100577127,,,0.7930768271832416,7299.2,0.010865256838876063,7437.9,0.010662644391336825,6291.3,0.012605929254418667,,,0.7963138721047988,7757.6,0.010264951429627703,7566.8,0.010523786436866293,6497.8,0.012255130538102108,,,0.807595115565586,6919.5,0.011671292948415147,6732.0,0.011996362382138831,6102.3,0.013234274217353884,,,0.807595115565586,6687.4,0.01207636922519344,8174.1,0.009879927032524511,3473.8,0.023248175357406472,,,0.8249033697466891,6775.9,0.012174078273685992,7311.3,0.011282581343217883,2827.0,0.029179461257399685,,,0.8249033697466891,6397.5,0.012894151930389825,7114.1,0.011595329974932726,4429.3,0.018623786371360914,,,0.8249033697466891,5175.1,0.015939853717738574,6056.9,0.013619233762265997,3238.6,0.025470986529571082,,,0.833318278770176,5213.9,0.01598262871881271,5317.2,0.01567212590781193,4339.3,0.01920397941534754,,,0.8335119719295262,4399.6,0.018945176196234342,4093.0,0.02036432865696375,2855.3,0.02919174769479656,,,0.846389373475633,4819.5,0.017561767267883246,4053.4,0.020880973342764914,3208.6,0.026378774963399396,,,0.8525157152002093,5538.1,0.015393649721027235,4396.3,0.01939166379000999,3413.8,0.024972632116708925,,,0.8608087095737046,5798.6,0.014845112778493163,4646.7,0.018525162148916537,2028.4,0.04243781845660149,,,0.8650300354881205,4374.4,0.019774827073155647,6210.5,0.013928508743066104,1507.7,0.05737414840406715,,,0.8666683875432405,3836.4,0.022590668010198114,5488.3,0.01579119923370152,1901.4,0.04558053999911857,,
0,76.778559,30.751855,0.3042422429595377,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,,,0.31984595413186695,7404.7,0.004319499157722352,9120.5,0.003506890566656071,8005.1,0.003995527278008606,,,0.32788298269048494,7900.0,0.004150417502411202,9285.7,0.003531052938286666,8211.5,0.003992973058399622,,,0.32788298269048494,7025.0,0.004667373419081636,9122.1,0.0035943804901336857,7816.0,0.004195022808220125,,,0.36630204428076285,5682.5,0.006446142442248356,9856.7,0.0037162746586663162,5187.5,0.007061244227099042,,,0.4171787031926328,6520.3,0.006398151974489406,9701.5,0.004300146402026829,3343.2,0.01247842495790359,,,0.4507793111816358,5392.6,0.008359220249631639,9504.2,0.004742948498365309,4197.8,0.010738465653000042,,,0.4665550708668105,4907.7,0.009506593126450486,8447.0,0.005523322728386533,2784.1,0.016757841703488038,,,0.5106078466650126,4477.5,0.011403860338693748,7707.3,0.006624989901327476,2537.0,0.020126442517343815,,,0.5257967174040998,3409.8,0.015420162983286405,5806.7,0.009055000558046736,1053.0,0.04993321152935421,,,0.5257967174040998,3833.6,0.013715481985707947,5767.1,0.00911717704572662,1406.4,0.03738600095307877,,,0.5438062837685234,5306.6,0.010247734590293659,4794.0,0.011343476924666737,1596.3,0.03406667191433461,,,0.5681194830926589,4812.7,0.011804589587812641,5044.3,0.011262602999279562,1605.2,0.03539244225595931,,,0.5901204322955959,3384.5,0.017435970816829544,5409.8,0.010908359501194053,831.4,0.07097912344185661,,,0.6057753577346063,3604.9,0.016804220858681416,5370.1,0.011280522853105273,1478.3,0.04097783655107937,,
0,76.770566,30.75625,0.09767211400638387,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,,,0.09906680761809457,8922.0,0.0011103654743117525,9221.1,0.0010743491299096046,7821.2,0.001266644602082731,,,0.10004320761270134,9380.4,0.0010665132362447374,9386.4,0.0010658314967687437,8052.8,0.0012423406468892975,,,0.146855675210471,8542.3,0.001719158484371551,8946.0,0.001641579199759345,7632.2,0.001924159157391984,,,0.21594965393776563,7303.6,0.002956756311103642,9797.0,0.002204242665487043,5096.6,0.004237131694419134,,,0.29410961415180026,7426.9,0.00396005889606431,10823.1,0.002717424898151179,5202.0,0.0056537795876932,,,0.2977397128840958,7013.7,0.00424511617098102,9328.0,0.003191892290781473,4923.8,0.006046949772210403,,,0.3255662162802925,5814.3,0.00559940519547138,8601.5,0.00378499350439217,3913.7,0.008318629845933324,,,0.3547243358503794,5384.1,0.006588368266755435,7531.2,0.004710063945325836,3321.3,0.010680285907637954,,,0.3957916310462973,5030.9,0.007867213243083688,5715.9,0.006924397401044407,2471.3,0.016015523451070175,,,0.39924086666693925,5454.7,0.007319208511319399,5676.2,0.00703359407115569,2231.9,0.0178879370342282,,,0.4110024079674332,6048.1,0.006795562374422268,6019.1,0.00682830336707204,1568.4,0.026205203262396913,,,0.4438557169380973,6271.3,0.007077571108671205,6028.4,0.007362744956175724,971.0,0.04571119638909344,,,0.45176683425455216,5005.6,0.009025228429250283,7030.9,0.006425448153928404,1642.3,0.027508179641633816,,,0.48369717602563594,4511.5,0.01072142693174412,7111.1,0.00680200216598889,1322.8,0.036566160872817964,,
0,76.766896,30.748096,0.29214464853521815,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,,,0.3391109763321669,8794.0,0.0038561630240182727,8026.2,0.004225050164862163,6729.2,0.0050393951187684555,,,0.3842501442963322,9252.5,0.004152933199636122,8023.3,0.004789178321841788,6960.8,0.005520200900705842,,,0.4341599539432363,8414.3,0.00515978695724227,7853.9,0.00552795367834116,6540.2,0.006638328398875208,,,0.45029178028166505,8182.2,0.005503309382338064,8762.4,0.005138909206172567,4968.7,0.009062567276785982,,,0.5009112154752327,7232.4,0.006925933514120246,10486.6,0.004776678956718409,4321.9,0.011590069540600956,,,0.5458301364761929,7892.3,0.006915983128824208,8236.0,0.006627369311269948,4885.7,0.011171994524350512,,,0.5458301364761929,5631.5,0.009692446710045157,7178.8,0.007603361794118696,3695.1,0.014771728409953533,,,0.5461201635248044,5670.4,0.009631069475254028,6439.2,0.008481180325580887,4186.8,0.01304385601234366,,,0.5496866830687231,5894.5,0.009325416626833881,5587.9,0.009837088764450387,3254.5,0.01689005017879008,,,0.5496866830687231,6320.3,0.008697161259255464,5548.2,0.009907477795838707,3097.5,0.017746139889224317,,,0.5496866830687231,5994.5,0.009169850414024908,5891.1,0.009330798714479862,2434.0,0.022583676379158715,,,0.5496866830687231,7136.8,0.007702144981906781,6141.5,0.00895036527019007,1504.8,0.03652888643465731,,,0.5808556300317119,5869.2,0.009896674675112656,7705.4,0.007538293015699535,1297.4,0.04477074379772714,,,0.6133239688258698,4292.9,0.014286938172933679,6983.1,0.008782975595736419,2188.3,0.028027417119493206,,
0,76.771048,30.761639,0.3046137691733707,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,,,0.3211117440455164,9437.0,0.0034026888210820856,10474.4,0.00306568150963794,8694.6,0.0036932319375878866,,,0.3211117440455164,9932.3,0.0032330048835165714,10639.7,0.0030180526146932375,8926.2,0.003597407004610208,,,0.37331739655980073,9057.4,0.004121683888972561,9819.3,0.003801873825627089,8505.5,0.00438912934642056,,,0.43155977300392934,7714.9,0.005593847917716748,10670.3,0.00404449521572898,5970.0,0.007228806917988766,,,0.43467264484419654,7198.6,0.006038294180037736,11696.5,0.0037162625130953406,6293.2,0.006907020988435081,,,0.4876341927205732,7424.9,0.006567552326907746,10201.4,0.004780071291396996,4695.5,0.010385138807806905,,,0.5073257760036698,5586.0,0.009082094092439487,9925.0,0.005111594720439998,3685.4,0.013765826667489819,,,0.520125628772895,5155.8,0.01008816534335884,8404.5,0.006188656419452615,3732.5,0.013935046986547758,,,0.5205945066990587,5442.1,0.009566059181181138,6589.2,0.007900724013523019,2243.0,0.023209741716409216,,,0.5287327939220814,5865.9,0.009013668728107903,6549.5,0.008072872645577241,2643.2,0.02000351066593831,,,0.5647792336863539,5819.8,0.009704444030488228,6826.3,0.008273577687566527,1979.7,0.028528526225506584,,,0.6080462431476774,6682.5,0.009099083324319902,5800.2,0.01048319442687627,1844.4,0.03296715696962033,,,0.6080462431476774,5416.8,0.011225192791826861,7442.1,0.00817035840888563,2680.3,0.02268575320477847,,,0.6130670040501809,4283.2,0.01431329389358846,7402.5,0.008281891307668774,2196.1,0.02791616975776062,,
0,76.76597,30.7442,0.18485445552552704,10263.9,0.0018010157496227267,10263.9,0.0018010157496227267,10263.9,0.0018010157496227267,,,0.2496431448035193,8632.3,0.0028919655804770378,7821.3,0.003191836968323927,5938.0,0.004204162088304468,,,0.31075734572872765,9056.2,0.003431432010431833,7986.5,0.0038910329396948306,6169.6,0.005036912372418433,,,0.31075734572872765,7308.8,0.0042518244544758055,7062.7,0.0043999794091314605,5749.0,0.005405415650177903,,,0.33817925063902504,6997.6,0.004832789108251759,7971.1,0.004242566905935505,4418.8,0.007653192057550128,,,0.33817925063902504,7195.6,0.004699806140405596,7642.1,0.00442521362765503,3802.1,0.008894538561295733,,,0.341287555771578,7428.1,0.0045945471354933015,7195.2,0.004743267119351484,4849.0,0.007038308017561929,,,0.34509772485755685,5594.7,0.006168297225187353,7237.6,0.004768123754525766,3658.3,0.00943328116495522,,,0.37465916377788505,5633.6,0.006650439572882082,5647.9,0.006633601228383737,4563.7,0.008209548475532683,,,0.4356840032892894,5430.3,0.008023203198521064,5123.7,0.008503308220412776,2572.2,0.01693818533898178,,,0.4624681828611328,5850.2,0.007905168761087362,5084.0,0.009096541755726452,3433.1,0.013470862569139635,,,0.5009635601871746,5957.8,0.008408532682989939,5427.0,0.009230948225302646,3638.3,0.013769165824345836,,,0.5009635601871746,6829.2,0.007335611201709931,5145.1,0.009736711826537377,2252.8,0.02223737394296762,,,0.5272648497655956,5405.0,0.009755131355515182,7241.2,0.007281456799502785,1260.6,0.04182649926745959,,,0.5523340956287122,4256.1,0.012977469881551471,6518.9,0.008472811296824805,2125.9,0.025981188937801034,,
0,76.770598,30.733668,0.5142344384136116,8289.0,0.00620381757043807,8289.0,0.00620381757043807,8289.0,0.00620381757043807,,,0.5591528698914552,7251.7,0.007710645364417381,5854.3,0.009551148213987243,4557.4,0.012269119890539677,,,0.5833653697829333,7675.6,0.007600257566612816,6011.6,0.009703995105844255,4788.9,0.012181615188935525,,,0.5833653697829333,6663.5,0.008754639000269128,5690.1,0.01025228677497642,4368.3,0.013354517084058633,,,0.6197616804849594,6431.4,0.009636497193223239,6590.5,0.009403864357559508,1788.0,0.034662286380590566,,,0.6197616804849594,6471.2,0.009577229578516495,6269.5,0.009885344612568138,2571.0,0.02410586077343288,,,0.6453096172569924,6141.5,0.010507361674786166,6072.2,0.010627278700586154,4742.7,0.013606376478735582,,,0.6675093824433915,4870.4,0.01370543245818396,5015.0,0.013310256878233132,3552.0,0.018792493875095483,,,0.6953392902884665,4909.2,0.014164004120599417,4275.4,0.016263724804426876,5611.6,0.012391105750382539,,,0.7163445789703266,4143.6,0.017287976131149883,3837.0,0.01866939220668039,4127.6,0.017354990284192424,,,0.737233021333381,4595.4,0.016042847659254494,3797.4,0.019414152349854663,4480.9,0.0164527889784057,,,0.7617869144854734,5294.2,0.014389084554521427,4140.3,0.018399316824516905,4686.1,0.016256309393428935,,,0.7617869144854734,5574.4,0.013665810033106227,4390.7,0.01735001057884787,3300.7,0.023079556290649665,,,0.7690822764812308,4118.3,0.018674751146862317,5954.5,0.012915984154525668,2913.5,0.02639719500536231,,,0.7878274796299397,3592.6,0.02192917329037298,5232.3,0.01505700131165911,3173.8,0.024822845788327545,,
