Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_268_0_0,fill_per_m_1_268_0_0,distance_from_74_1_0,fill_per_m_1_74_1_0,distance_from_129_2_0,fill_per_m_1_129_2_0,fill_per_m_1_74_1_1,fill_per_m_1_129_2_2,fill_ratio_2,distance_from_228_0_0,fill_per_m_2_228_0_0,distance_from_249_1_0,fill_per_m_2_249_1_0,distance_from_56_2_0,fill_per_m_2_56_2_0,fill_per_m_2_249_1_1,fill_per_m_2_56_2_2,fill_ratio_3,distance_from_119_0_0,fill_per_m_3_119_0_0,distance_from_43_1_0,fill_per_m_3_43_1_0,distance_from_11_2_0,fill_per_m_3_11_2_0,fill_per_m_3_43_1_1,fill_per_m_3_11_2_2,fill_ratio_4,distance_from_85_0_0,fill_per_m_4_85_0_0,distance_from_262_1_0,fill_per_m_4_262_1_0,distance_from_167_2_0,fill_per_m_4_167_2_0,fill_per_m_4_262_1_1,fill_per_m_4_167_2_2,fill_ratio_5,distance_from_90_0_0,fill_per_m_5_90_0_0,distance_from_206_1_0,fill_per_m_5_206_1_0,distance_from_103_2_0,fill_per_m_5_103_2_0,fill_per_m_5_206_1_1,fill_per_m_5_103_2_2,fill_ratio_6,distance_from_123_0_0,fill_per_m_6_123_0_0,distance_from_55_1_0,fill_per_m_6_55_1_0,distance_from_9_2_0,fill_per_m_6_9_2_0,fill_per_m_6_55_1_1,fill_per_m_6_9_2_2,fill_ratio_7,distance_from_250_0_0,fill_per_m_7_250_0_0,distance_from_232_1_0,fill_per_m_7_232_1_0,distance_from_283_2_0,fill_per_m_7_283_2_0,fill_per_m_7_232_1_1,fill_per_m_7_283_2_2,fill_ratio_8,distance_from_145_0_0,fill_per_m_8_145_0_0,distance_from_230_1_0,fill_per_m_8_230_1_0,distance_from_23_2_0,fill_per_m_8_23_2_0,fill_per_m_8_230_1_1,fill_per_m_8_23_2_2,fill_ratio_9,distance_from_32_0_0,fill_per_m_9_32_0_0,distance_from_255_1_0,fill_per_m_9_255_1_0,distance_from_21_2_0,fill_per_m_9_21_2_0,fill_per_m_9_255_1_1,fill_per_m_9_21_2_2,fill_ratio_10,distance_from_290_0_0,fill_per_m_10_290_0_0,distance_from_239_1_0,fill_per_m_10_239_1_0,distance_from_19_2_0,fill_per_m_10_19_2_0,fill_per_m_10_239_1_1,fill_per_m_10_19_2_2,fill_ratio_11,distance_from_26_0_0,fill_per_m_11_26_0_0,distance_from_2_1_0,fill_per_m_11_2_1_0,distance_from_17_2_0,fill_per_m_11_17_2_0,fill_per_m_11_2_1_1,fill_per_m_11_17_2_2,fill_ratio_12,distance_from_199_0_0,fill_per_m_12_199_0_0,distance_from_83_1_0,fill_per_m_12_83_1_0,distance_from_273_2_0,fill_per_m_12_273_2_0,fill_per_m_12_83_1_1,fill_per_m_12_273_2_2,fill_ratio_13,distance_from_152_0_0,fill_per_m_13_152_0_0,distance_from_244_1_0,fill_per_m_13_244_1_0,distance_from_217_2_0,fill_per_m_13_217_2_0,fill_per_m_13_244_1_1,fill_per_m_13_217_2_2,fill_ratio_14,distance_from_220_0_0,fill_per_m_14_220_0_0,distance_from_282_1_0,fill_per_m_14_282_1_0,distance_from_88_2_0,fill_per_m_14_88_2_0,fill_per_m_14_282_1_1,fill_per_m_14_88_2_2,fill_ratio_15,distance_from_87_0_0,fill_per_m_15_87_0_0,distance_from_1_1_0,fill_per_m_15_1_1_0,fill_per_m_15_1_1_1
0,76.769145,30.746104,0.9695846277645586,10009.1,0.009687031079363365,10009.1,0.009687031079363365,10009.1,0.009687031079363365,,,0.969741202302707,8386.1,0.011563673248622208,7566.5,0.012816245322179436,5635.0,0.01720924937538078,,,0.9705607081327912,8591.4,0.011296886515967029,6753.8,0.014370587049258065,3692.0,0.026288209862751658,,,0.970800193182427,8430.7,0.011515060353024386,6230.3,0.015581917294230247,4481.2,0.021663844353798693,,,0.9722701618881863,7418.4,0.013106197588269523,6615.7,0.01469640645567644,4682.9,0.020762138031736453,,,0.9722701618881863,6833.5,0.014227996808197647,6409.3,0.01516967784138964,3681.9,0.026406750913609448,,,0.9728856870997593,6504.8,0.014956427362866795,5802.1,0.01676782004963305,3454.3,0.028164481576578738,,,0.9728856870997593,7875.5,0.012353319625417553,5123.7,0.01898795181411401,3750.7,0.025938776417728942,,,0.9746710340072259,7417.1,0.01314086413837249,6111.5,0.015948147492550534,5340.0,0.018252266554442433,,,0.974751038446039,7199.1,0.01353990135497547,6220.2,0.015670734678081718,5378.8,0.01812209114386181,,,0.974751038446039,5128.1,0.019008034914413507,4323.9,0.022543329828304058,5703.0,0.017091899674663142,,,0.975795206982548,5842.7,0.01670110063810478,5578.6,0.017491757913859176,4594.2,0.021239719798496974,,,0.9774653495388823,5306.8,0.018419110377984514,3490.7,0.02800198669432728,3651.0,0.026772537648284918,,,0.9774653495388823,5606.2,0.017435434867448224,1567.4,0.06236221446592333,2520.3,0.038783690415382384,,,0.9777388895892772,6328.5,0.015449773083499681,1886.9,0.05181720756740035,2317.4,0.0421912008970949,,,0.0,4890.3,0.02001385491008706,1005.9,0.09729968651635226,0.0
0,76.775071,30.752306,0.7068573438476171,11222.3,0.006298685152309394,11222.3,0.006298685152309394,11222.3,0.006298685152309394,,,0.7168554534547245,9517.4,0.007532051331820923,8779.6,0.00816501268229446,6848.2,0.010467793777265916,,,0.7274624053445797,9846.8,0.007387805229562698,7885.1,0.00922578540975485,4905.1,0.014830735466036974,,,0.7274624053445797,9643.9,0.007543238786637975,7443.4,0.009773254229848989,5694.3,0.012775273612991581,,,0.7410468291416681,8631.5,0.008585377155090865,7747.0,0.009565597381459507,5983.8,0.012384217873954143,,,0.7449968760259024,8046.7,0.009258414953035437,6681.1,0.011150811633202652,4895.0,0.015219548029129774,,,0.7485504994492359,7717.9,0.009698888291494265,7015.3,0.01067025643164563,4209.4,0.01778283126928389,,,0.7705448293219719,8780.8,0.008775337433058172,6255.0,0.012318862179408023,4882.0,0.015783384459688077,,,0.7705448293219719,8187.3,0.009411464454972603,7281.2,0.010582662601246661,5006.9,0.01538965885721648,,,0.791076860176163,8412.3,0.009403811801483104,7351.5,0.010760754406259444,4576.7,0.01728487469522064,,,0.791076860176163,6259.4,0.012638221877115427,5455.2,0.014501335609623169,5405.8,0.014633853641943154,,,0.8079159095935275,6735.1,0.011995603771191632,6791.7,0.011895635990893704,4297.0,0.01880185966007744,,,0.8079159095935275,5909.5,0.013671476598587489,4703.8,0.017175813376281466,3417.8,0.023638478248976757,,,0.8137413426798685,5227.9,0.015565357843108486,1419.6,0.05732187536488226,1324.0,0.0614608264863949,,,0.8280687897494581,5671.1,0.01460155507308032,3018.2,0.027435848842007095,1991.1,0.04158850834962875,,,0.8348003384626483,5221.0,0.01598928056814113,930.6,0.08970560267167937,
0,76.770601,30.750721,0.7751328233611146,11349.2,0.006829845481277222,11349.2,0.006829845481277222,11349.2,0.006829845481277222,,,0.7755058291868722,9290.8,0.00834702963347475,8906.6,0.00870709169814376,6975.1,0.011118203741693625,,,0.7865423190111646,9496.0,0.008282880360269215,7658.5,0.010270187621742699,5032.0,0.01563080920133475,,,0.7990149568103337,9770.8,0.008177579694705998,7570.3,0.01055460096443118,5821.3,0.013725713445627844,,,0.8055971637575317,8758.4,0.009197994653789867,7520.4,0.01071215844579453,5587.6,0.014417588298330798,,,0.8232577003284637,8173.6,0.010072155480185764,7313.9,0.011256069953492168,5022.0,0.01639302469789852,,,0.8257340928183882,7844.9,0.010525744022465401,7142.2,0.011561340942824174,4336.3,0.019042365445619266,,,0.838364306711943,8780.2,0.009548350911276997,6028.3,0.013907143086972162,4655.4,0.018008426917385037,,,0.8400934956844625,8321.7,0.010095214868169512,7016.2,0.011973625262741405,5133.8,0.01636397007449574,,,0.8540208584789628,8539.2,0.01000118112327809,7124.9,0.01198642589340149,4703.6,0.018156749266072,,,0.8561863597916557,6032.8,0.014192188698310166,5228.6,0.01637505947656458,5532.7,0.015475018703194747,,,0.8663834121890979,6862.1,0.012625630815480652,6918.6,0.012522524964430634,4423.9,0.019584154528562984,,,0.8770119431426018,6211.5,0.014119165147590788,4830.8,0.018154590195052615,3666.7,0.023918290101251856,,,0.8787614404870048,6510.8,0.013496981023637722,2472.1,0.03554716396937846,2577.3,0.03409620302203875,,,0.8881529888584678,6435.1,0.013801696770189551,2791.5,0.03181633490447673,2118.0,0.04193356887905892,,,0.8980648237915935,5348.0,0.016792535972168912,1057.6,0.08491535777151982,
0,76.778559,30.751855,0.3042422429595377,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,,,0.31984595413186695,9950.7,0.003214306070244977,9120.5,0.003506890566656071,7283.9,0.0043911359866536746,,,0.3747231453578259,10156.0,0.003689672561617034,8349.6,0.004487917329666402,6146.0,0.006097024818708525,,,0.3747231453578259,9953.0,0.003764926608638862,8600.3,0.004357093884606653,5595.1,0.0066973449153335226,,,0.39960013511513587,8545.1,0.004676365813333206,8211.5,0.004866347623639236,6278.7,0.006364376942920284,,,0.43186535985450075,8363.9,0.005163444802717641,8005.1,0.00539487776360696,5342.6,0.008083430536714347,,,0.4539825922138967,8115.8,0.0055938119743450644,7539.8,0.00602114899883149,4568.2,0.009937887837964553,,,0.496549261554618,7900.0,0.006285433690564785,6719.5,0.007389675743055555,3706.9,0.013395269944013003,,,0.5322022376521055,7404.7,0.007187357187355402,7707.3,0.006905170911371109,4907.7,0.010844229224526877,,,0.5428892993313603,8313.1,0.006530527713264129,7816.0,0.006945871281107476,4477.5,0.012124830805837193,,,0.5745499727636989,6723.9,0.008544891696243236,5919.7,0.009705727870731606,5306.6,0.01082708274156143,,,0.5745499727636989,6635.9,0.008658207217765472,6692.5,0.008584982783170696,4197.8,0.013686930600879004,,,0.5745499727636989,5555.9,0.010341258351728774,5334.8,0.010769850280492219,2537.0,0.022646825887414224,,,0.6039979789312672,5370.1,0.011247425167711348,2036.3,0.02966154195998955,1406.4,0.042946386442780655,,,0.6191228658541482,5409.8,0.011444468665276871,2507.8,0.024687888422288386,1053.0,0.05879609362337589,,,0.6191228658541482,5044.3,0.012273712226753924,831.4,0.07446750852226945,
0,76.77055,30.741327,0.7851759613930136,9844.2,0.007976026100577127,9844.2,0.007976026100577127,9844.2,0.007976026100577127,,,0.7987857024973307,8268.2,0.00966093832390763,7437.9,0.010739398250814488,5570.2,0.014340341504745445,,,0.8098369282481883,8473.4,0.009557402320770746,6635.9,0.012203874805952294,3527.1,0.022960418707952377,,,0.8246153927217091,8270.5,0.009970562755839539,6065.4,0.013595400018493572,4316.3,0.019104682082378636,,,0.8246153927217091,7285.9,0.011317961991266818,6497.8,0.012690685966353367,4565.0,0.01806386402457194,,,0.8315832002648678,6681.3,0.012446428094306015,6291.3,0.013217986747808367,3628.9,0.0229155722192639,,,0.8356786284841387,6433.3,0.012989890545818455,5637.2,0.014824356568582607,3289.4,0.025405199382383982,,,0.8356786284841387,7757.6,0.01077238615659661,4362.7,0.019155078930115265,3632.8,0.023003705915110622,,,0.8356786284841387,7299.2,0.01144890711974105,5317.2,0.015716516747237997,5175.1,0.016148067254432543,,,0.8490679465077782,7034.2,0.012070568742824745,6102.3,0.013913900439306131,5213.9,0.016284699486138556,,,0.8568499432443683,5010.2,0.0171021105593463,4206.0,0.020372086144659254,5538.1,0.0154719117250387,,,0.8649710208881723,5677.8,0.015234263638877246,5413.7,0.01597744649478494,4429.3,0.01952839096218753,,,0.8649710208881723,5188.9,0.016669641366921166,2978.0,0.029045366718877513,4339.3,0.019933422922779533,,,0.869106332264584,5488.3,0.01583561999643941,1449.5,0.05995904327454874,3208.6,0.027086777169624883,,,0.869106332264584,6210.5,0.013994144308261557,1769.0,0.049129809624905825,2855.3,0.030438354367827686,,,0.8795018724242377,4646.7,0.018927451146496174,1507.7,0.05833401024237167,
0,76.766896,30.748096,0.29214464853521815,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,,,0.3391109763321669,8880.1,0.003818774296822861,8026.2,0.004225050164862163,7065.0,0.004799872276463792,,,0.38067711872728943,9085.4,0.004189987438387847,7098.9,0.005362480366356611,5927.1,0.006422653890221008,,,0.440746136671532,8882.4,0.004962016309460642,6521.8,0.006758044353882855,4772.7,0.009234733728739121,,,0.449732304547565,8797.4,0.00511210476444819,6960.8,0.006460928406901003,6059.8,0.007421570093857306,,,0.4527456606269448,8176.2,0.005537360395133984,6729.2,0.006728075560645319,5123.8,0.008836130618426653,,,0.48575342154769413,7928.1,0.0061269840383912175,6264.0,0.007754684252038541,3745.8,0.012967948677123555,,,0.49697705305454637,9252.5,0.005371273202426872,5484.7,0.009061152899056402,5127.6,0.009692196213716872,,,0.518724485623299,8794.0,0.0058986182126825,6439.2,0.00805572874927474,5631.5,0.009211124667021202,,,0.5421466701348329,7490.7,0.00723759688860631,6540.2,0.008289450936283797,5670.4,0.009560995170267228,,,0.5681076984528771,6505.0,0.00873340043740011,4684.6,0.012127133553619883,5994.5,0.009477149027489817,,,0.5849906274788974,6134.3,0.009536387647798402,5870.1,0.009965599009878832,4885.7,0.011973527385613063,,,0.5849906274788974,6683.8,0.008752365831995233,4100.0,0.014268064084851156,4186.8,0.013972261093887871,,,0.5857871249550562,6983.1,0.008388640073249076,2944.4,0.019894957375188704,3097.5,0.018911610168040556,,,0.6039878453640996,7705.4,0.007838500861267417,3263.8,0.018505663501565645,3254.5,0.018558544948966034,,,0.6172240890389703,6141.5,0.010050054368459991,1297.4,0.047573923927776346,
0,76.76597,30.7442,0.18485445552552704,10263.9,0.0018010157496227267,10263.9,0.0018010157496227267,10263.9,0.0018010157496227267,,,0.2496431448035193,8088.9,0.0030862434299289065,7821.3,0.003191836968323927,5889.8,0.004238567435286755,,,0.2496431448035193,8294.1,0.0030098882917196476,6307.6,0.003957815092959593,3946.7,0.006325364096676193,,,0.2496431448035193,8685.5,0.0028742518542803444,6485.0,0.0038495473369856486,4736.0,0.0052711812669662015,,,0.3193795092532087,7673.2,0.0041622727056926535,6169.6,0.005176664763569902,5561.6,0.005742583235996992,,,0.3501583889385011,7088.3,0.004939948773873864,5938.0,0.005896907863565191,3936.7,0.008894718646036049,,,0.3981188843701068,6759.6,0.005889681110866128,6056.9,0.0065729809699698995,3709.1,0.01073357106495125,,,0.4548601295657266,9056.2,0.0050226378565593355,4693.5,0.009691277928320583,4663.5,0.009753621305151209,,,0.4548601295657266,8632.3,0.005269280835533133,5647.9,0.008053615141304319,5594.7,0.008130196964372113,,,0.5045966931675729,7453.9,0.006769566175660701,5749.0,0.00877712111963077,5633.6,0.008956913752619514,,,0.5207980241358021,6040.9,0.008621199227529045,3893.3,0.013376776106023221,5957.8,0.008741448590684516,,,0.5207980241358021,6097.5,0.00854117300755723,5833.3,0.008928017145283152,4849.0,0.010740318089003963,,,0.5541002176289057,6219.6,0.008908936549438962,3745.5,0.014793758313413582,4563.7,0.012141468931544707,,,0.5589933523397587,6518.9,0.008574964370365533,2480.2,0.022538236930076557,3433.1,0.01628246635226934,,,0.5716020318063252,7241.2,0.007893747332021285,2799.6,0.020417275032373384,2572.2,0.02222230121321535,,,0.5956205963358413,5145.1,0.011576462971289989,1260.6,0.04724897638710466,
0,76.782044,30.751951,0.15601864044243652,10169.5,0.001534182019198943,10169.5,0.001534182019198943,10169.5,0.001534182019198943,,,0.17971530446033876,9485.6,0.0018946118796948927,8655.3,0.0020763613561671896,6756.3,0.0026599663197362277,,,0.24130810898362764,9690.8,0.0024900741835929712,7822.0,0.003084992444178313,5618.4,0.00429496135881439,,,0.29965056060273704,9487.8,0.0031582723139477755,8135.1,0.003683428115238129,5599.5,0.005351380669751532,,,0.3116186632055954,8079.9,0.0038567143554449363,7684.0,0.004055422477948925,5751.2,0.005418324231562029,,,0.3116186632055954,7898.7,0.003945189248934577,7477.5,0.004167417762696027,4815.1,0.006471696604548096,,,0.33207196758472823,7650.6,0.0043404696047986855,7012.2,0.004735631721638406,3414.6,0.009725062015601483,,,0.33593544209939047,7434.8,0.004518419353572261,6191.9,0.005425401606928253,3241.7,0.01036294049725115,,,0.35059596963083617,6939.5,0.0050521791142133605,7154.4,0.004900424488857712,3644.5,0.009619864717542493,,,0.4147343303590904,7480.7,0.005544057780142104,7288.4,0.005690334371866122,3660.8,0.011329062782973404,,,0.44383226247768576,6196.3,0.007162859488367021,5392.1,0.008231157850887145,4041.3,0.010982413146207551,,,0.4570062387647341,5640.1,0.008102803829094061,7167.5,0.006376089832783176,2902.8,0.01574363506837309,,,0.47656142100980575,5090.7,0.009361412399273298,4807.2,0.009913492698656302,3778.2,0.012613451405690692,,,0.5276424181642001,4904.9,0.010757455160435485,1571.1,0.033584266957176506,2965.5,0.01779269661656382,,,0.5333816277941225,4944.6,0.010787154224692036,2042.6,0.026112877107320204,2612.2,0.0204188663882598,,,0.5333816277941225,4579.2,0.011647921641206378,1306.5,0.040825229834988326,
0,76.764835,30.753958,0.5247564316322378,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,,,0.5592570083625512,10021.4,0.005580627540688439,9191.1,0.0060847668762449665,7323.3,0.007636680299353449,,,0.5592570083625512,10226.6,0.005468650464108806,8321.2,0.006720869686614324,6185.5,0.009041419583906736,,,0.5592570083625512,10023.6,0.005579402693269396,8671.0,0.006449740610800959,6113.9,0.009147303821824878,,,0.5718223781177021,9039.1,0.006326098595188703,8183.2,0.006987760021968204,6318.2,0.009050400084164826,,,0.5718223781177021,8434.5,0.0067795646228905335,7951.6,0.007191287012899316,5382.1,0.010624521620142734,,,0.5718223781177021,8186.5,0.006984943237252819,7486.3,0.007638250913237541,5087.1,0.011240635688657625,,,0.5980872811044778,9510.8,0.00628850655154643,6707.1,0.008917226239425053,5386.0,0.011104479782853283,,,0.6381629829980503,9052.3,0.007049733029153368,7661.5,0.008329478339725253,6078.6,0.010498519116211797,,,0.6453831675189963,8831.9,0.007307410268673743,7762.6,0.008314007774701726,5648.4,0.011425946595832383,,,0.6453831675189963,6763.4,0.009542288900833846,5907.0,0.01092573501809711,6312.4,0.01022405372788474,,,0.6715139508560484,7475.5,0.008982863365073217,7211.3,0.009311968034280204,5188.1,0.01294335018322793,,,0.700354182433333,6942.1,0.010088506106701617,5322.3,0.013158863319116415,3609.8,0.01940146773874821,,,0.716146759467867,7241.5,0.009889480901303142,3202.7,0.022360719376397012,2520.4,0.028414012040464492,,,0.743637627261784,7319.4,0.010159816750850944,3522.2,0.021112873410419168,2677.5,0.027773580850113312,,,0.7587169201422727,6399.9,0.011855137113740413,1906.6,0.03979423686889084,
0,76.770566,30.75625,0.09767211400638387,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,,,0.09906680761809457,9891.0,0.0010015853565675317,9221.1,0.0010743491299096046,7193.0,0.0013772668930640145,,,0.10004320761270134,10096.3,0.0009908898072828794,8190.9,0.0012213945672966506,5346.6,0.0018711556430759987,,,0.146855675210471,9893.3,0.0014843952494159787,7848.9,0.0018710351158821108,6135.8,0.002393423436397389,,,0.146855675210471,9073.0,0.00161860107142589,8052.8,0.001823659785546282,6187.8,0.002373309984331604,,,0.2234726672493948,8488.2,0.0026327450725642043,7821.2,0.002857268286828042,5251.8,0.004255163320183457,,,0.27741774700777944,8056.1,0.0034435737764896097,7420.8,0.003738380592493794,5108.9,0.005430087631540634,,,0.27741774700777944,9380.4,0.0029574191613127316,6576.7,0.004218190688457425,5255.6,0.0052785171437662575,,,0.3331231913461612,8922.0,0.003733727766713306,7531.2,0.004423241865123237,5814.3,0.0057293774202597245,,,0.34896440479038693,8853.8,0.0039414082630100855,7632.2,0.004572264940520256,5384.1,0.006481387878947028,,,0.3747566571991495,6633.0,0.005649881760879685,5776.6,0.0064874953640402565,6048.1,0.006196270848682222,,,0.4306653463568505,7497.4,0.005744195939350315,7233.2,0.005954008548869802,4923.8,0.00874660519023621,,,0.45336261404055844,6811.7,0.0066556456397163484,5109.4,0.008873108663259062,3321.3,0.01365015548250861,,,0.4826246671340434,7111.1,0.0067869199861349625,3072.3,0.01570890431058306,2231.9,0.021623937772034738,,,0.489252025075536,7030.9,0.006958597406811874,3391.8,0.014424554073811427,2471.3,0.01979735463422231,,,0.531391256621745,6028.4,0.008814797568538004,1642.3,0.03235652783424131,
