Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_268_0_0,fill_per_m_1_268_0_0,distance_from_74_1_0,fill_per_m_1_74_1_0,distance_from_206_2_0,fill_per_m_1_206_2_0,fill_per_m_1_74_1_1,fill_per_m_1_206_2_2,fill_ratio_2,distance_from_228_0_0,fill_per_m_2_228_0_0,distance_from_149_1_0,fill_per_m_2_149_1_0,distance_from_262_2_0,fill_per_m_2_262_2_0,fill_per_m_2_149_1_1,fill_per_m_2_262_2_2,fill_ratio_3,distance_from_119_0_0,fill_per_m_3_119_0_0,distance_from_156_1_0,fill_per_m_3_156_1_0,distance_from_255_2_0,fill_per_m_3_255_2_0,fill_per_m_3_156_1_1,fill_per_m_3_255_2_2,fill_ratio_4,distance_from_123_0_0,fill_per_m_4_123_0_0,distance_from_203_1_0,fill_per_m_4_203_1_0,distance_from_56_2_0,fill_per_m_4_56_2_0,fill_per_m_4_203_1_1,fill_per_m_4_56_2_2,fill_ratio_5,distance_from_90_0_0,fill_per_m_5_90_0_0,distance_from_152_1_0,fill_per_m_5_152_1_0,distance_from_11_2_0,fill_per_m_5_11_2_0,fill_per_m_5_152_1_1,fill_per_m_5_11_2_2,fill_ratio_6,distance_from_116_0_0,fill_per_m_6_116_0_0,distance_from_220_1_0,fill_per_m_6_220_1_0,distance_from_167_2_0,fill_per_m_6_167_2_0,fill_per_m_6_220_1_1,fill_per_m_6_167_2_2,fill_ratio_7,distance_from_46_0_0,fill_per_m_7_46_0_0,distance_from_87_1_0,fill_per_m_7_87_1_0,distance_from_230_2_0,fill_per_m_7_230_2_0,fill_per_m_7_87_1_1,fill_per_m_7_230_2_2,fill_ratio_8,distance_from_221_0_0,fill_per_m_8_221_0_0,distance_from_26_1_0,fill_per_m_8_26_1_0,distance_from_113_2_0,fill_per_m_8_113_2_0,fill_per_m_8_26_1_1,fill_per_m_8_113_2_2,fill_ratio_9,distance_from_81_0_0,fill_per_m_9_81_0_0,distance_from_190_1_0,fill_per_m_9_190_1_0,distance_from_239_2_0,fill_per_m_9_239_2_0,fill_per_m_9_190_1_1,fill_per_m_9_239_2_2,fill_ratio_10,distance_from_249_0_0,fill_per_m_10_249_0_0,distance_from_177_1_0,fill_per_m_10_177_1_0,distance_from_224_2_0,fill_per_m_10_224_2_0,fill_per_m_10_177_1_1,fill_per_m_10_224_2_2,fill_ratio_11,distance_from_43_0_0,fill_per_m_11_43_0_0,distance_from_159_1_0,fill_per_m_11_159_1_0,distance_from_83_2_0,fill_per_m_11_83_2_0,fill_per_m_11_159_1_1,fill_per_m_11_83_2_2,fill_ratio_12,distance_from_232_0_0,fill_per_m_12_232_0_0,distance_from_199_1_0,fill_per_m_12_199_1_0,distance_from_22_2_0,fill_per_m_12_22_2_0,fill_per_m_12_199_1_1,fill_per_m_12_22_2_2,fill_ratio_13,distance_from_55_0_0,fill_per_m_13_55_0_0,distance_from_269_1_0,fill_per_m_13_269_1_0,distance_from_59_2_0,fill_per_m_13_59_2_0,fill_per_m_13_269_1_1,fill_per_m_13_59_2_2,fill_ratio_14,distance_from_2_0_0,fill_per_m_14_2_0_0,distance_from_131_1_0,fill_per_m_14_131_1_0,distance_from_133_2_0,fill_per_m_14_133_2_0,fill_per_m_14_131_1_1,fill_per_m_14_133_2_2,fill_ratio_15,distance_from_103_0_0,fill_per_m_15_103_0_0,distance_from_1_2_0,fill_per_m_15_1_2_0,fill_per_m_15_1_2_2,fill_ratio_16,distance_from_137_2_0,fill_per_m_16_137_2_0,fill_per_m_16_137_2_2,fill_ratio_17,distance_from_231_2_0,fill_per_m_17_231_2_0,fill_per_m_17_231_2_2
0,76.770601,30.750721,0.7751328233611146,11349.2,0.006829845481277222,11349.2,0.006829845481277222,11349.2,0.006829845481277222,,,0.7884200661441727,9290.8,0.008486029902098558,8906.6,0.008852087958863906,7313.9,0.010779749055143941,,,0.8065198955223043,9496.0,0.008493259219906322,8430.9,0.009566237240654075,7520.4,0.010724428162362432,,,0.8065198955223043,9770.8,0.008254389564030625,9196.7,0.008769666244656282,7124.9,0.011319736354507493,,,0.8168152327946167,7844.9,0.010412054108970373,9010.3,0.009065350019362471,5032.0,0.01623241718590256,,,0.8285600807820542,8173.6,0.010137027512749024,6510.8,0.012725933537845643,5821.3,0.014233248256953846,,,0.8331662832609188,8428.5,0.009885107471803035,6435.1,0.012947215789357099,5587.6,0.01491098652840072,,,0.8459655706290264,9071.8,0.00932522289544552,5348.0,0.01581835397586063,7016.2,0.012057318357929172,,,0.8460639350396203,7548.3,0.011208668641145957,6862.1,0.012329519171093692,8280.5,0.010217546465063948,,,0.8558608918632703,8322.9,0.010283205275363999,5115.6,0.016730410740934988,5228.6,0.016368834714135146,,,0.8693610427795883,7658.5,0.011351583766789687,5075.9,0.017127229511605592,3598.2,0.024160998354165644,,,0.8778195849279624,7570.3,0.011595571971097082,5418.9,0.01619922096602562,4830.8,0.018171308787943246,,,0.8778195849279624,6028.3,0.014561643994624725,6211.5,0.014132167510713393,3541.4,0.02478736050510991,,,0.8778195849279624,7142.2,0.01229060492464454,6176.4,0.014212479517647212,2028.4,0.04327645360520421,,,0.8793026892234448,6918.6,0.012709257497520377,5593.2,0.015720923428867998,2252.8,0.03903154692930774,,,0.8847172988976435,5022.0,0.0176168319175158,1057.6,0.08365329982012515,,0.887852408796859,1340.1,0.06625269821631663,,0.8952180394663566,818.5,0.10937300421091711,
0,76.782452,30.758257,0.8021969807540397,11100.9,0.007226413901161525,11100.9,0.007226413901161525,11100.9,0.007226413901161525,,,0.8039829396664182,10886.6,0.007385069164536386,10031.9,0.008014263894839644,7988.3,0.010064506085980973,,,0.811794312322977,11091.8,0.007318869005237897,9986.4,0.008128998561273103,9147.4,0.008874590728764207,,,0.8148548556127109,10896.1,0.007478408381097006,11263.7,0.007234344448207169,8751.9,0.009310605189875466,,,0.8247991224363461,8970.2,0.009194879962947829,10544.6,0.007822004840736928,6212.3,0.013276872051194342,,,0.8370045060062136,9298.9,0.009001113099465673,5364.5,0.015602656463905556,7001.5,0.011954645518906142,,,0.8464014647784138,9608.8,0.008808607368021125,6345.6,0.013338399281051655,7291.0,0.011608852897797475,,,0.8497538125266628,10197.1,0.008333288999094475,5357.6,0.015860717719252328,8643.2,0.009831472284879012,,,0.8585007017367712,9175.3,0.009356649937732513,6871.7,0.012493279708613171,9460.7,0.009074388805656782,,,0.8700654078289507,9503.2,0.009155499282651641,6741.9,0.01290534430693055,6855.5,0.012691494534737812,,,0.8788156246868337,9285.4,0.00946448860239552,6101.7,0.014402799624478976,5225.2,0.016818794011460494,,,0.8810143739691685,8750.6,0.010068045322254113,5614.5,0.015691769061700393,6011.0,0.014656702278641964,,,0.8852994795591178,7655.3,0.011564530189007848,7216.7,0.01226737261572627,3551.0,0.024930990694427422,,,0.89004956937363,8322.5,0.010694497679466867,7803.4,0.011405920103719278,3208.6,0.027739499138989904,,,0.8989750131506288,8098.9,0.011099964355043634,5395.1,0.016662805381746932,3433.1,0.02618551784540587,,,0.9054641059313879,6202.2,0.014599079454570764,2237.8,0.04046224443343408,,0.9087477471210524,2520.3,0.036057126021547134,,0.9123610668914515,1324.0,0.06890944613983772,
0,76.778731,30.756758,0.14092422497476265,11290.8,0.0012481332144291162,11290.8,0.0012481332144291162,11290.8,0.0012481332144291162,,,0.14092422497476265,10157.8,0.0013873498688176833,10221.8,0.0013786634934626254,8157.5,0.0017275418323599466,,,0.21785645613211027,10363.1,0.0021022324992725177,10181.2,0.002139791538640929,8418.6,0.002587799113060488,,,0.23573960554974777,11086.1,0.002126443073305741,12740.2,0.001850360320479645,8023.1,0.002938260841192902,,,0.2614649373923606,9160.1,0.0028543895524324034,12015.4,0.002176081839908456,6417.5,0.004074249121813176,,,0.2920863827098981,9488.9,0.003078190124354753,5554.5,0.005258554014040834,7206.7,0.004052983788833976,,,0.350071751173443,9778.0,0.0035801979052305483,5616.9,0.0062324725591241265,7496.2,0.004669989476980911,,,0.350071751173443,10387.1,0.003370254942894966,5547.6,0.0063103279106900825,7914.4,0.004423225401463699,,,0.4062488355411493,8446.6,0.004809613756317918,7061.6,0.005752929018085834,9655.6,0.004207390897936423,,,0.4497775066150514,9672.4,0.004650112760173808,6947.0,0.006474413511084661,6126.8,0.007341148831609509,,,0.4677716067725402,8556.7,0.005466729075140418,6926.0,0.006753849361428534,4496.4,0.0104032471926995,,,0.494210949482467,8919.8,0.005540605725268135,5804.5,0.00851427253824562,6180.2,0.007996682137834813,,,0.5430611768683149,6926.6,0.007840227194703243,7421.9,0.007317010157349398,3741.0,0.014516470913347098,,,0.5574733424433864,8491.7,0.006564920362746993,7074.7,0.00787981599846476,3413.8,0.016329994212999778,,,0.5918332117701754,8304.1,0.007127000057443617,5585.0,0.010596834588543876,3638.3,0.016266751278623957,,,0.6008378589885,6407.4,0.009377249102420639,2427.7,0.024749263046855048,,0.6300094650962799,2710.3,0.023245008489697815,,0.6374838536173968,954.7,0.06677321185895012,
0,76.779187,30.743609,0.3584657285442726,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,,,0.368834764478574,8162.5,0.004518649488252055,7493.6,0.004921996963790087,5395.1,0.006836476886036847,,,0.4295017713382633,8560.8,0.005017075172159884,7393.2,0.005809416373671256,6392.1,0.006719259262812898,,,0.4295017713382633,8357.9,0.005138871861810542,8725.4,0.00492243073484612,5996.6,0.007162421561189062,,,0.43866861522061446,6431.9,0.00682020266516293,7951.4,0.005516872691860735,3619.1,0.012120931038672999,,,0.4800075414802166,6760.7,0.007099968072540072,3970.1,0.012090565514224242,4408.3,0.01088872221673245,,,0.5268078321090399,7015.6,0.007509091625934202,4413.3,0.011936823513222302,4697.8,0.01121392635082464,,,0.5268078321090399,7658.9,0.006878374598297926,3963.2,0.013292486680183688,5995.2,0.008787160263361354,,,0.5279712657391293,6484.1,0.008142552794360502,5477.2,0.00963943740851401,6867.6,0.007687856976806007,,,0.5541860211395006,6910.0,0.008020058193046319,4148.7,0.013358064481391776,5153.2,0.010754211385925262,,,0.5555407187384324,6530.2,0.008507254276108425,4127.6,0.0134591704316899,2639.8,0.021044803346406255,,,0.5970725952243218,6157.4,0.009696829753212748,4220.1,0.014148304429381335,3417.9,0.017468989590810783,,,0.6370624754050568,5212.6,0.012221587603212538,4623.6,0.013778494580090336,911.2,0.06991467025955407,,,0.6370624754050568,5729.3,0.011119377156110812,5048.1,0.012619846583963408,1449.5,0.04395049847568519,,,0.664980469918807,5505.7,0.012078036760426595,4180.3,0.015907481996957323,2480.2,0.02681156640266136,,,0.6846863946253812,3609.0,0.01897163742381217,865.2,0.0791361991014079,,0.6867474785064923,1567.4,0.04381443655139034,,0.7110437153067528,1419.6,0.05008761026393018,
0,76.785954,30.75735,0.9656320330745594,10747.5,0.008984713031631165,10747.5,0.008984713031631165,10747.5,0.008984713031631165,,,0.966130007291729,10463.6,0.009233246753428351,9678.5,0.009982228726473412,8517.9,0.0113423497257743,,,0.9673356864947552,10668.8,0.0090669586691545,9634.9,0.010039914129827555,8724.4,0.011087704443798486,,,0.9673356864947552,10465.8,0.00924282602853824,10369.5,0.009328662775396646,8328.8,0.01161434644240173,,,0.9693551732630931,8628.6,0.011234211497381881,10214.3,0.00949017723449569,5858.9,0.01654500287192294,,,0.9705726532814928,8876.7,0.010933935508482802,5882.9,0.01649820077311348,6648.2,0.014599029109856696,,,0.9718239438040336,9283.8,0.010467954326935452,5922.6,0.01640873845615158,6791.5,0.014309415354546617,,,0.974285621350678,9843.8,0.009897454452047766,5004.3,0.019468969113575884,8220.1,0.011852478940045472,,,0.9756741602025891,8752.3,0.011147631596295709,6518.3,0.01496823036992144,10017.0,0.009740183290432157,,,0.9776244310935732,9149.8,0.010684653556291649,6319.6,0.015469720094524545,6432.5,0.015198203359402616,,,0.9787593978349277,8862.4,0.011043954209186312,6279.9,0.015585588908022863,4802.1,0.020381903705356565,,,0.9794121002243595,8397.2,0.011663555711717708,5306.8,0.01845579445662847,5657.7,0.017311135270946843,,,0.9811456699315969,7232.3,0.01356616387499961,6068.7,0.01616731210855038,3197.7,0.03068285548774422,,,0.9817230906166924,7969.1,0.01231912123849233,7380.4,0.013301759940066831,2855.3,0.03438248487432817,,,0.9834931887793766,7745.5,0.01269760749828128,5469.6,0.017981080678283176,2572.2,0.03823548669541158,,,0.9849560154246416,5855.5,0.016821040311239717,1884.4,0.05226894584083218,,0.9863196585313057,2317.4,0.04256147659149502,,0.9863196585313057,1991.1,0.049536419995545464,
0,76.764835,30.753958,0.5247564316322378,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,,,0.5592570083625512,10021.4,0.005580627540688439,9191.1,0.0060847668762449665,7951.6,0.0070332638508294075,,,0.6007514099967056,10226.6,0.005874400191624837,9076.3,0.006618902085615346,8183.2,0.007341277373114498,,,0.6252419252031015,10023.6,0.006237698284080584,9927.3,0.00629820721850958,7762.6,0.008054542617204306,,,0.6309704448746847,8186.5,0.007707450618392288,10953.5,0.005760445929380424,6185.5,0.010200799367467216,,,0.6309704448746847,8434.5,0.007480828085537787,7241.5,0.008713256160666778,6113.9,0.010320261124236325,,,0.6309704448746847,8742.6,0.007217194483044914,7319.4,0.008620521420808873,6318.2,0.009986553842465965,,,0.6536071380816076,9356.4,0.0069856690402463305,6399.9,0.010212771107073668,7661.5,0.008531059689115808,,,0.6648167650773324,8211.1,0.008096561545680022,7475.5,0.008893274899034612,9458.4,0.007028850176322977,,,0.6648167650773324,8401.2,0.007913354819279773,5846.2,0.011371775941249572,5907.0,0.011254727697263118,,,0.6648167650773324,8321.2,0.007989433796535744,5806.6,0.011449329471245348,4328.8,0.015357992170516825,,,0.6918322840930531,8671.0,0.007978690855645867,6149.5,0.011250220084446753,5322.3,0.012998746483532555,,,0.7224073910177402,6707.1,0.010770786047885677,6942.1,0.01040617955687386,4204.7,0.0171809496757852,,,0.7314201547796547,7486.3,0.009770115474662446,6907.0,0.010589549077452652,2345.9,0.031178658714337983,,,0.7314201547796547,7211.3,0.010142694864721405,4996.3,0.014639236130329537,2098.9,0.03484778478153579,,,0.7501030561915123,5382.1,0.013936995897354419,1906.6,0.03934244499063843,,0.7501030561915123,1844.1,0.04067583407578289,,0.7699162458116734,1611.2,0.04778526848384269,
0,76.778559,30.751855,0.3042422429595377,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,11123.1,0.0027352288746800594,,,0.31984595413186695,9950.7,0.003214306070244977,9120.5,0.003506890566656071,8005.1,0.003995527278008606,,,0.36262375631758287,10156.0,0.00357053718311917,9122.1,0.00397522233167344,8211.5,0.004416047693083881,,,0.38906336593820195,9953.0,0.003909005987523379,9856.7,0.003947196992281412,7816.0,0.004977781038103914,,,0.41336982199056654,8115.8,0.0050933958696686285,9701.5,0.00426088565675995,6146.0,0.006725835047031672,,,0.4604676281372204,8363.9,0.005505417665649044,5370.1,0.008574656489399087,5595.1,0.008229837324394924,,,0.46300159408231784,8771.0,0.005278777722977059,5409.8,0.008558571371997446,6278.7,0.007374163347226621,,,0.46300159408231784,9285.7,0.004986178684238321,5044.3,0.00917870852412263,7707.3,0.006007312471064028,,,0.4776755871223037,8239.5,0.005797385607407048,6635.9,0.007198354211520723,9504.2,0.005025942079525932,,,0.5292629349730386,8447.0,0.006265691191820037,5806.7,0.009114693973737898,5919.7,0.00894070535623492,,,0.5602301517660986,8349.6,0.00670966455597991,5767.1,0.009714243757973653,4289.3,0.013061109079945413,,,0.5783059445447694,8600.3,0.006724253160294053,4794.0,0.012063119410612628,5334.8,0.01084025538998218,,,0.6194468467591803,6719.5,0.009218644940236331,5555.9,0.011149351981842371,3685.9,0.016805850586266047,,,0.6344587659280334,7539.8,0.008414795696544118,6867.6,0.009238435056322929,2306.5,0.027507425359984107,,,0.6391411936486404,6692.5,0.009550111223737624,4956.8,0.01289423002034862,2059.4,0.03103531094729729,,,0.6678005037458488,5342.6,0.0124995414918925,831.4,0.08032240843707587,,0.6827408386565978,1804.6,0.03783336133528748,,0.7028735472161256,1478.3,0.047546069621600864,
0,76.770566,30.75625,0.09767211400638387,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,,,0.09906680761809457,9891.0,0.0010015853565675317,9221.1,0.0010743491299096046,7821.2,0.001266644602082731,,,0.09906680761809457,10096.3,0.000981218937809837,8946.0,0.0011073866266274822,8052.8,0.0012302156717923524,,,0.14960357136045516,9893.3,0.001512170573625132,9797.0,0.0015270345142436987,7632.2,0.001960163142481266,,,0.21847500500057634,8056.1,0.002711920221950774,10823.1,0.0020185991536674,5346.6,0.00408624181724042,,,0.21847500500057634,8488.2,0.002573867309919374,7111.1,0.0030723095583042896,6135.8,0.003560660468082016,,,0.2256323729404398,8612.2,0.002619915619010703,7030.9,0.0032091534930156853,6187.8,0.003646407009606642,,,0.2256323729404398,9386.4,0.0024038222634922848,6028.4,0.0037428235176902628,7531.2,0.0029959684106176943,,,0.22815109498343522,8080.8,0.0028233726237926345,7497.4,0.003043069530549727,9328.0,0.002445873659770961,,,0.29409671486141375,8601.5,0.0034191328821881507,5715.9,0.005145238980062874,5776.6,0.0050911732656132285,,,0.3215251588768086,8190.9,0.003925394753651108,5676.2,0.005664443798259551,4198.4,0.00765827836501545,,,0.3607672560391742,7848.9,0.004596405305701107,6019.1,0.0059937076313597406,5109.4,0.007060853643073046,,,0.4017309723933466,6576.7,0.00610839740893376,6811.7,0.005897660971465957,4226.6,0.009504825921387086,,,0.42286491005986765,7420.8,0.005698373626291878,6776.7,0.006239982735842928,2342.9,0.018048781854106775,,,0.4664410292054231,7233.2,0.0064486123597498075,4865.9,0.009585914819569311,1968.5,0.023695251674138842,,,0.5025345828416259,5251.8,0.00956880655854423,1642.3,0.030599438765245443,,0.5355558241555024,1713.7,0.031251433982348274,,0.5355558241555024,1322.8,0.040486530401837195,
0,76.766896,30.748096,0.29214464853521815,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,10300.7,0.0028361630620755687,,,0.3391109763321669,8880.1,0.003818774296822861,8026.2,0.004225050164862163,6729.2,0.0050393951187684555,,,0.3601917256200345,9085.4,0.003964511475774699,7853.9,0.0045861511557319865,6960.8,0.005174573692966821,,,0.3601917256200345,8882.4,0.004055117148743971,8762.4,0.004110651483840437,6540.2,0.005507350319868421,,,0.4230451223872418,7928.1,0.00533602152328101,10486.6,0.004034149508775406,5927.1,0.007137472328579605,,,0.4571590470538064,8176.2,0.0055913388500013015,6983.1,0.006546649010522638,4772.7,0.0095786252447002,,,0.4571590470538064,7520.2,0.006079080969306753,7705.4,0.005932969697274721,6059.8,0.007544127645364639,,,0.4994780849071097,8023.3,0.006225344744769729,6141.5,0.008132835380723109,6439.2,0.007756834465571961,,,0.5392600446545528,6988.8,0.007716060620629475,6134.3,0.008790897814820807,8236.0,0.006547596462537066,,,0.5792648281915065,7178.8,0.008069103864037256,5587.9,0.01036641364719316,4684.6,0.012365299666812673,,,0.5792648281915065,7098.9,0.00815992376553419,5548.2,0.01044059024893671,4070.4,0.014231152422157686,,,0.6192937130557558,6521.8,0.009495748306537394,5891.1,0.010512361240782803,4100.0,0.015104724708676971,,,0.6462760692826707,5484.7,0.011783252853987835,6683.8,0.009669290961469085,2863.5,0.022569445408858763,,,0.6731693397545851,6264.0,0.010746636969262214,6648.7,0.010124826503746373,2087.6,0.03224608831934207,,,0.6827396617135235,5870.1,0.01163080120804626,4737.9,0.014410174586072386,1840.5,0.037095336143087396,,,0.6951612192586982,5123.8,0.013567298084599286,1297.4,0.053581102147271326,,0.6961858921483179,1585.7,0.04390401035178899,,0.6961858921483179,2188.3,0.03181400594746232,
0,76.771048,30.761639,0.3046137691733707,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,,,0.3211117440455164,10764.4,0.002983090037953963,10474.4,0.00306568150963794,8694.6,0.0036932319375878866,,,0.375659120797682,10969.6,0.0034245471192904204,9819.3,0.003825722004599941,8926.2,0.004208499930515582,,,0.3791788735121327,10766.6,0.0035218070097536146,10670.3,0.0035535914970725537,8505.5,0.00445804330741441,,,0.3791788735121327,8929.5,0.0042463617617126675,11696.5,0.0032418148464252784,6670.1,0.005684755453623374,,,0.4072672745194451,9741.5,0.004180745003535853,7402.5,0.005501753117452822,7459.3,0.005459859162648574,,,0.41031545077810255,9485.6,0.0043256668084054,7442.1,0.005513436406096432,7061.2,0.0058108459012363705,,,0.42351362970856243,10639.7,0.00398050348890065,5800.2,0.007301707349894184,8404.5,0.005039129391499345,,,0.43579882544010756,8954.1,0.004867031029808775,7314.2,0.0059582568898869,10201.4,0.004271951158077397,,,0.4709466732559156,9925.0,0.0047450546423769835,6589.2,0.007147251157286402,6649.9,0.0070820113574026015,,,0.5131552697609654,9064.2,0.005661340987190985,6549.5,0.007835029693273767,5071.8,0.010117813592037646,,,0.5131552697609654,9172.4,0.0055945583463539025,6826.3,0.007517326659551519,6432.8,0.007977168103484724,,,0.5283358738805726,7450.0,0.007091756696383524,7588.2,0.006962598163999006,3993.6,0.013229564149653759,,,0.5631179792900701,8744.3,0.006439829137724806,7650.0,0.007361019337125099,3666.4,0.015358880081007805,,,0.594834736296989,8556.7,0.00695168390030022,5739.3,0.010364238431463575,2841.8,0.020931618562072946,,,0.594834736296989,6125.1,0.009711428977436922,2680.3,0.02219284170790542,,0.6177399544642687,2587.1,0.0238776991405152,,0.6553360507588177,2196.1,0.029840902088193517,
