Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_268_0_0,fill_per_m_1_268_0_0,distance_from_46_1_0,fill_per_m_1_46_1_0,distance_from_206_2_0,fill_per_m_1_206_2_0,fill_per_m_1_46_1_1,fill_per_m_1_206_2_2,fill_ratio_2,distance_from_74_0_0,fill_per_m_2_74_0_0,distance_from_132_1_0,fill_per_m_2_132_1_0,distance_from_262_2_0,fill_per_m_2_262_2_0,fill_per_m_2_132_1_1,fill_per_m_2_262_2_2,fill_ratio_3,distance_from_221_0_0,fill_per_m_3_221_0_0,distance_from_199_1_0,fill_per_m_3_199_1_0,distance_from_55_2_0,fill_per_m_3_55_2_0,fill_per_m_3_199_1_1,fill_per_m_3_55_2_2,fill_ratio_4,distance_from_116_0_0,fill_per_m_4_116_0_0,distance_from_159_1_0,fill_per_m_4_159_1_0,distance_from_203_2_0,fill_per_m_4_203_2_0,fill_per_m_4_159_1_1,fill_per_m_4_203_2_2,fill_ratio_5,distance_from_81_0_0,fill_per_m_5_81_0_0,distance_from_87_1_0,fill_per_m_5_87_1_0,distance_from_113_2_0,fill_per_m_5_113_2_0,fill_per_m_5_87_1_1,fill_per_m_5_113_2_2,fill_ratio_6,distance_from_149_0_0,fill_per_m_6_149_0_0,distance_from_220_1_0,fill_per_m_6_220_1_0,distance_from_156_2_0,fill_per_m_6_156_2_0,fill_per_m_6_220_1_1,fill_per_m_6_156_2_2,fill_ratio_7,distance_from_249_0_0,fill_per_m_7_249_0_0,distance_from_152_1_0,fill_per_m_7_152_1_0,distance_from_255_2_0,fill_per_m_7_255_2_0,fill_per_m_7_152_1_1,fill_per_m_7_255_2_2,fill_ratio_8,distance_from_230_0_0,fill_per_m_8_230_0_0,distance_from_3_1_0,fill_per_m_8_3_1_0,distance_from_83_2_0,fill_per_m_8_83_2_0,fill_per_m_8_3_1_1,fill_per_m_8_83_2_2,fill_ratio_9,distance_from_232_0_0,fill_per_m_9_232_0_0,distance_from_285_1_0,fill_per_m_9_285_1_0,distance_from_224_2_0,fill_per_m_9_224_2_0,fill_per_m_9_285_1_1,fill_per_m_9_224_2_2,fill_ratio_10,distance_from_2_0_0,fill_per_m_10_2_0_0,distance_from_44_1_0,fill_per_m_10_44_1_0,distance_from_137_2_0,fill_per_m_10_137_2_0,fill_per_m_10_44_1_1,fill_per_m_10_137_2_2,fill_ratio_11,distance_from_239_0_0,fill_per_m_11_239_0_0,distance_from_27_1_0,fill_per_m_11_27_1_0,distance_from_59_2_0,fill_per_m_11_59_2_0,fill_per_m_11_27_1_1,fill_per_m_11_59_2_2,fill_ratio_12,distance_from_56_0_0,fill_per_m_12_56_0_0,distance_from_23_1_0,fill_per_m_12_23_1_0,distance_from_133_2_0,fill_per_m_12_133_2_0,fill_per_m_12_23_1_1,fill_per_m_12_133_2_2,fill_ratio_13,distance_from_11_0_0,fill_per_m_13_11_0_0,distance_from_261_1_0,fill_per_m_13_261_1_0,distance_from_1_2_0,fill_per_m_13_1_2_0,fill_per_m_13_261_1_1,fill_per_m_13_1_2_2,fill_ratio_14,distance_from_22_0_0,fill_per_m_14_22_0_0,distance_from_251_1_0,fill_per_m_14_251_1_0,distance_from_35_2_0,fill_per_m_14_35_2_0,fill_per_m_14_251_1_1,fill_per_m_14_35_2_2,fill_ratio_15,distance_from_88_2_0,fill_per_m_15_88_2_0,fill_per_m_15_88_2_2,fill_ratio_16,distance_from_211_2_0,fill_per_m_16_211_2_0,fill_per_m_16_211_2_2,fill_ratio_17,distance_from_217_2_0,fill_per_m_17_217_2_0,fill_per_m_17_217_2_2
0,76.775071,30.752306,0.7068573438476171,11222.3,0.006298685152309394,11222.3,0.006298685152309394,11222.3,0.006298685152309394,,,0.7168554534547245,9517.4,0.007532051331820923,8944.9,0.008014124847172406,6681.1,0.010729602213029658,,,0.7410773533694398,8779.6,0.008440901104485851,6912.2,0.010721295005489422,7747.0,0.009565991394984378,,,0.7459482362257285,7770.1,0.00960023984537816,5909.5,0.01262286549159368,7015.3,0.010633162319868408,,,0.7573148263183205,8301.6,0.00912251645849379,5478.0,0.013824659114974817,9237.4,0.008198354800250293,,,0.7670428958881036,8196.0,0.009358746899562025,5221.0,0.014691493887916176,8153.6,0.009407413852630784,,,0.770306931855551,8679.2,0.008875321825232175,5671.1,0.01358302501905364,10011.4,0.007694297819041802,,,0.7728444456551197,7885.1,0.009801327131616841,5227.9,0.014783076295551171,7351.5,0.010512744958921575,,,0.7728444456551197,7281.2,0.010614245531713449,6619.5,0.01167526921451952,4703.8,0.016430214840238096,,,0.7885060253816948,6255.0,0.012606011596829654,5316.1,0.014832415217578578,3925.8,0.020085231682248073,,,0.7885060253816948,6791.7,0.01160984768734919,4426.6,0.017812904382182596,1213.1,0.06499926019138529,,,0.8012685995309001,5455.2,0.014688161745323731,5548.5,0.014441175083912773,1901.4,0.04214098030561166,,,0.8171741964983097,4905.1,0.01665968474645389,5006.9,0.016320961003780977,2125.9,0.03843897626879485,,,0.8171741964983097,5694.3,0.01435074015240345,4265.3,0.01915865698774552,930.6,0.0878115405650451,,,0.8171741964983097,3414.5,0.02393247024449582,4290.5,0.01904612974008413,1478.3,0.05527796769927009,,,0.8171741964983097,1991.1,0.04104134380484706,,0.8183692585261624,954.7,0.08572004383850029,,0.8183692585261624,1324.0,0.06181036695816936,
0,76.791314,30.765309,0.8872127425763265,11497.3,0.007716705161875628,11497.3,0.007716705161875628,11497.3,0.007716705161875628,,,0.89435815043364,11870.0,0.007534609523451054,11096.4,0.008059894654425219,9118.9,0.00980774161832721,,,0.8985680281539089,10931.2,0.008220213957789711,7948.1,0.01130544442261558,9257.0,0.009706903188440195,,,0.9048581553740138,10208.0,0.008864206067535402,8111.1,0.011155800759132715,9453.1,0.009572078528461708,,,0.9133307961919496,10739.4,0.008504486248691264,6695.7,0.01364055731576907,11675.2,0.007822827841852384,,,0.9184116034708919,10633.8,0.008636720678129097,6438.8,0.014263707577046838,10591.4,0.008671295612203221,,,0.9235800506900648,11117.0,0.008307817313034675,6888.9,0.013406785563588743,12163.0,0.0075933573188363464,,,0.9257751296082689,10318.1,0.008972341124899632,6445.7,0.014362677903226475,9224.8,0.010035720336573899,,,0.9303838669913195,9719.0,0.009572835343052984,6063.6,0.015343753990885273,7141.7,0.013027484590382115,,,0.9360735780174602,8936.4,0.010474839734316507,5436.1,0.017219579809375475,6363.7,0.014709580558754501,,,0.939369598947008,9154.6,0.010261175790826558,5644.4,0.016642505827847213,3651.0,0.02572910432613005,,,0.940556608725942,8802.1,0.010685593309845854,4887.2,0.01924530628429248,4339.3,0.021675307278269353,,,0.9429302779484832,7342.9,0.01284138797952421,4299.6,0.021930651175655482,4563.7,0.020661530730514344,,,0.9436762384354644,8057.2,0.011712210674123324,3622.9,0.026047537564808976,3368.5,0.02801473173327785,,,0.9469566619285292,4691.0,0.020186669407983995,3526.1,0.026855638295242033,2537.0,0.037325843986146204,,,0.9516573401666012,1798.7,0.05290806361075228,,0.9529720174768034,2543.3,0.037469901996492874,,0.9554331311517731,2211.9,0.043195132291322984,
0,76.770601,30.750721,0.7751328233611146,11349.2,0.006829845481277222,11349.2,0.006829845481277222,11349.2,0.006829845481277222,,,0.7884200661441727,9290.8,0.008486029902098558,9071.8,0.008690888976213902,7313.9,0.010779749055143941,,,0.7893933897397882,8906.6,0.008863016075043093,7039.1,0.011214407946183292,7520.4,0.01049669418833823,,,0.7953106602365799,7548.3,0.010536288438940953,6211.5,0.012803842231933994,7142.2,0.011135373697692307,,,0.8062024560343969,8428.5,0.00956519494612798,5418.9,0.01487760349949984,9010.3,0.008947565075906428,,,0.8129019594843777,8322.9,0.009767051862744689,5348.0,0.015200111433888887,8280.5,0.009817063697655668,,,0.8245796632492316,8430.9,0.009780446491468664,6435.1,0.012813781654507802,9196.7,0.008966038505651284,,,0.8329976575404512,7658.5,0.010876772965207955,6510.8,0.012794090703760693,7124.9,0.011691359282803286,,,0.8329976575404512,7016.2,0.01187249020182508,6746.5,0.012347108241909897,4830.8,0.017243472251810284,,,0.8388532094245849,6028.3,0.013915253212756247,5460.7,0.015361642452883054,3598.2,0.023313134606875244,,,0.8388532094245849,6918.6,0.012124609161168226,4553.6,0.018421758815543414,1340.1,0.062596314411207,,,0.8488360975297752,5228.6,0.016234481458321064,5675.5,0.0149561465514893,2028.4,0.04184756939113465,,,0.8569991283689787,5032.0,0.017030984268063966,5133.8,0.016693270644921477,2252.8,0.038041509604446855,,,0.8569991283689787,5821.3,0.014721782563499198,4409.8,0.019433968170188644,1057.6,0.08103244405909407,,,0.8679990864309398,3541.4,0.024510054962188395,4435.1,0.019571127740771115,1605.2,0.0540742017462584,,,0.873920787743219,2118.0,0.04126160470931157,,0.8795910722488843,1913.8,0.04596044896273823,,0.888930131380982,2577.3,0.03449075122729143,
0,76.764835,30.753958,0.5247564316322378,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,11641.9,0.0045074810093905454,,,0.5592570083625512,10021.4,0.005580627540688439,9356.4,0.005977266986902561,7951.6,0.0070332638508294075,,,0.5794541833507252,9191.1,0.006304513968412107,7213.9,0.008032467643725658,8183.2,0.007081021890589564,,,0.6052511028027143,8211.1,0.007371133012662303,6942.1,0.008718559265967277,7486.3,0.008084782907480522,,,0.6277825134339332,8742.6,0.007180730142451138,6149.5,0.010208675720529038,10953.5,0.0057313417029619135,,,0.6277825134339332,8401.2,0.007472533845568885,6399.9,0.009809255042015238,9458.4,0.0066373013769129375,,,0.6612827811070638,9076.3,0.007285818903155074,7319.4,0.009034658320450637,9927.3,0.006661255135908695,,,0.6686754160980863,8321.2,0.008035805125439676,7241.5,0.00923393518053009,7762.6,0.008614065082550774,,,0.6793974182186993,7661.5,0.008867681501255619,7691.2,0.008833438451980176,5322.3,0.012765109411696058,,,0.7028523671665899,6707.1,0.010479228983712632,6344.9,0.011077438055234756,4328.8,0.016236656051713868,,,0.7311352290607357,7211.3,0.010138743764102667,5517.0,0.013252405819480437,1844.1,0.039647265824019076,,,0.7403101809615585,5907.0,0.012532760808558634,6620.2,0.01118259540439199,2345.9,0.03155761886532071,,,0.7547952484335051,6185.5,0.012202655378441597,6078.6,0.01241725476974147,2098.9,0.03596146783712921,,,0.7582832705444486,6113.9,0.012402611598888575,5294.1,0.014323176187537985,1906.6,0.03977149221359743,,,0.7816932645279004,4204.7,0.018590940246103183,5319.4,0.014695139762527738,2341.5,0.03338429487627164,,,0.7968790771975875,2677.5,0.029762057038191878,,0.8039343468934831,1856.9,0.04329443410487819,,0.8039343468934831,2520.4,0.03189709359202837,
0,76.801987,30.752503,0.8661761457749352,9488.0,0.009129175229499738,9488.0,0.009129175229499738,9488.0,0.009129175229499738,,,0.8783309099270553,9687.2,0.00906692243297398,9022.2,0.009735218792833846,7886.8,0.011136720975897137,,,0.878506034193511,8856.9,0.009918888484610993,6897.2,0.012737140204626676,7973.2,0.011018236519760085,,,0.8856051004968137,8001.2,0.011068403495685818,5292.4,0.016733525442083248,7421.5,0.011932966388153523,,,0.8856051004968137,8532.6,0.010379076723352948,4688.5,0.018888879183039643,9471.1,0.009350604475687235,,,0.8929395023998756,8362.6,0.01067777368760763,4938.9,0.01807972427868302,9273.8,0.009628625831912223,,,0.8960920674741513,8891.7,0.010077848639451974,5146.3,0.017412355818241285,9593.1,0.00934100621774141,,,0.9058497257795795,8111.3,0.011167750246934269,5106.6,0.01773880323071279,7697.8,0.01176764433707786,,,0.9068569514277628,7674.1,0.011817111471413752,4054.3,0.022367781156494654,5326.9,0.017024103163711782,,,0.9075888555054872,6711.6,0.013522689902638522,3531.7,0.025698356471543084,4756.3,0.019081825273962683,,,0.9156126497818818,7145.2,0.012814373982280157,3620.3,0.02529107117592138,4594.2,0.019929751638628746,,,0.9182396929653093,5915.6,0.015522342500596885,2895.2,0.03171593302588109,4429.3,0.020731034090382437,,,0.9251241830334741,6027.8,0.015347625718064205,2354.1,0.039298423305444724,4849.0,0.019078659167528853,,,0.9308844162742482,6047.9,0.01539186190701315,1721.9,0.0540614679292786,4199.4,0.02216708139911055,,,0.9372989205289938,4108.8,0.022811986967703313,1540.4,0.06084776165469967,4197.8,0.022328336760421976,,,0.9409354814837364,2622.5,0.035879331991753534,,0.9411340185947787,3347.3,0.02811621362276398,,0.9434649376428552,2975.9,0.03170351616797793,
0,76.794879,30.751573,0.13949386065204183,9924.3,0.0014055788383265505,9924.3,0.0014055788383265505,9924.3,0.0014055788383265505,,,0.19503714799275582,9762.9,0.0019977378442138692,9523.4,0.0020479781169829665,7754.8,0.0025150506524056816,,,0.19503714799275582,8932.6,0.002183430893499718,6924.2,0.0028167463099384163,7961.3,0.002449815331575946,,,0.2134420444736563,7989.3,0.002671598819341573,5368.1,0.003976119008097023,7289.6,0.002928035070150026,,,0.2553332899939274,8520.8,0.0029965882310807367,4606.1,0.005543372701285847,9425.9,0.002708847855312781,,,0.25630839058462257,8171.4,0.0031366521108331814,4856.5,0.005277635963855092,9228.6,0.002777326903155653,,,0.29315766402469573,8846.6,0.003313789071786853,5222.0,0.005613896285421213,9668.8,0.0030319963596795443,,,0.3089780405940601,8099.4,0.0038148262907630208,5182.3,0.005962179738611429,7565.8,0.004083877985065163,,,0.3622504329575375,7431.8,0.004874329677299409,4490.6,0.008066860396328718,5084.5,0.007124602870636985,,,0.3622504329575375,6469.3,0.005599530597708214,4247.5,0.0085285563968814,4129.1,0.008773108739375104,,,0.41778269655286926,7581.6,0.005510481910848228,4071.4,0.01026140139885222,3403.5,0.012275090246889064,,,0.4337823794516525,5669.5,0.007651157587999867,3314.2,0.013088599947246772,3238.6,0.013394132632978832,,,0.4864743202645882,5895.8,0.008251201198558095,2726.6,0.017841792718572152,3658.3,0.013297824679894711,,,0.5031472628695824,6484.2,0.007759588890990137,2899.4,0.017353495994674156,3615.5,0.013916395045487,,,0.511962859845253,3231.7,0.015841905493865552,2717.9,0.0188367070107529,2784.1,0.018388810022817177,,,0.5282749311639087,1578.8,0.03346053529034131,,0.571033858171359,2303.5,0.024789835388381115,,0.0,1932.1,0.03131629233824784,0.0
0,76.805606,30.74516,0.9394989415641891,8484.7,0.011072859872054273,8484.7,0.011072859872054273,8484.7,0.011072859872054273,,,0.940842717326223,8683.8,0.010834458616345645,8083.8,0.011638619428068767,6883.4,0.013668284820382704,,,0.940842717326223,7918.6,0.011881427491301782,4935.5,0.019062764002152222,6969.8,0.013498848135186418,,,0.9465408801305671,6997.8,0.01352626368473759,4289.0,0.02206903427676771,6453.7,0.014666638984312365,,,0.9465408801305671,7601.7,0.01245170001618805,3685.2,0.02568492565208312,8467.7,0.011178252419553917,,,0.9506169171582173,7496.1,0.01268148660180917,3426.2,0.027745517399982992,7569.8,0.012558018932577046,,,0.9520645710230533,7888.4,0.01206917208842165,4142.9,0.02298063122506103,8589.8,0.01108366400874355,,,0.9526425135620682,7107.9,0.013402587452863267,4103.2,0.02321706262336879,6694.4,0.014230439076871238,,,0.9526425135620682,6975.3,0.013657369769932018,3051.0,0.03122394341403042,5006.3,0.019028873890139787,,,0.9550051224581799,6589.9,0.014491951660240367,2528.3,0.03777261885291223,4457.2,0.021426122284352957,,,0.9581852578904908,6142.0,0.015600541483075395,2631.8,0.036407981529390177,4937.5,0.019406283704111207,,,0.9611798234659102,4912.2,0.019567196438783237,1874.6,0.0512738623421482,4819.5,0.019943558947316323,,,0.9641117965713765,4272.5,0.02256551893672034,1287.0,0.07491156150515746,5850.2,0.01647998011301112,,,0.9660329284608739,5044.6,0.019149841978766874,1422.9,0.06789183557951183,4665.0,0.020708101360361712,,,0.9692362809056234,3822.3,0.025357409960118867,567.7,0.17073036478873055,3833.6,0.025282665925125822,,,0.9710458098367309,3101.6,0.031307899465976625,,0.9725873908048763,3812.7,0.0255091507541867,,0.9725873908048763,3441.4,0.028261387540096362,
0,76.771048,30.761639,0.3046137691733707,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,11543.4,0.0026388565688910607,,,0.3211117440455164,10764.4,0.002983090037953963,10639.7,0.0030180526146932375,8694.6,0.0036932319375878866,,,0.3211117440455164,10474.4,0.00306568150963794,7956.8,0.004035689523998547,8926.2,0.003597407004610208,,,0.37331739655980073,8954.1,0.004169234167139084,7588.2,0.004919709503700492,8744.3,0.004269265653737872,,,0.40913936939944584,9485.6,0.0043132682107557335,6826.3,0.005993574401937299,11696.5,0.0034979640866878627,,,0.4358591471717494,9925.0,0.004391527931201505,5800.2,0.007514553759728102,10201.4,0.004272542466443326,,,0.4578209031425432,9819.3,0.0046624596778033385,7442.1,0.0061517703758689505,10670.3,0.004290609478107862,,,0.4578209031425432,9064.2,0.005050869388832364,7402.5,0.00618467954262132,8505.5,0.005382645384075518,,,0.47268827821794185,8404.5,0.005624228427841535,7198.6,0.006566391773649624,6432.8,0.007348095358443319,,,0.49581698340724406,7450.0,0.006655261522244887,6467.7,0.0076660479522433645,5071.8,0.009775956926677789,,,0.528984426419858,8556.7,0.006182107896967965,5005.7,0.010567641417181573,2587.1,0.02044700345637424,,,0.528984426419858,6649.9,0.007954772649511391,6127.6,0.008632815889089658,3666.4,0.0144278972948903,,,0.5532737305618525,6670.1,0.008294834118856575,5586.0,0.009904649669922171,2841.8,0.01946912979667297,,,0.5717739945029116,7459.3,0.007665250016796637,5416.8,0.0105555677614627,2680.3,0.02133246257892443,,,0.590590458856146,3993.6,0.014788422948120643,5442.1,0.010852252969554877,1848.9,0.031942801603988644,,,0.6159570374908518,2243.0,0.02746130349936923,,0.6159570374908518,1979.7,0.031113655477640643,,0.6464060534832744,2643.2,0.024455434832145673,
0,76.770566,30.75625,0.09767211400638387,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,11663.8,0.0008373953086162647,,,0.09906680761809457,9891.0,0.0010015853565675317,9386.4,0.0010554292126704016,7821.2,0.001266644602082731,,,0.10004320761270134,9221.1,0.0010849378882421983,7083.5,0.0014123414641448626,8052.8,0.0012423406468892975,,,0.146855675210471,8080.8,0.0018173407980703767,6811.7,0.0021559328098781656,7420.8,0.0019789736310164806,,,0.146855675210471,8612.2,0.001705205118442105,6019.1,0.0024398278016725256,10823.1,0.0013568725708019975,,,0.2234726672493948,8601.5,0.002598066235533277,6028.4,0.003706997996970918,9328.0,0.0023957189885226715,,,0.23058426556220496,8946.0,0.0025775124699553426,7030.9,0.0032795839161729647,9797.0,0.0023536211652771762,,,0.23058426556220496,8190.9,0.002815127343298111,7111.1,0.0032425963010252272,7632.2,0.0030212031335945726,,,0.23308688099037667,7531.2,0.0030949500875076573,7426.9,0.00313841415651721,5109.4,0.00456192275003673,,,0.2513043902121054,6576.7,0.0038211320299254246,6056.4,0.0041494021235734995,4198.4,0.005985718135768516,,,0.27560598879667464,7233.2,0.0038102912790559454,5234.0,0.005265685685836351,1713.7,0.016082510871020285,,,0.316701746234839,5776.6,0.005482493962449174,6355.9,0.004982799386945028,2342.9,0.013517510189715266,,,0.316701746234839,5346.6,0.0059234232266269955,5814.3,0.005446945397293551,1968.5,0.016088480885691592,,,0.3175299566496843,6135.8,0.005175037593299721,5005.6,0.006343494419244132,1642.3,0.019334467311068887,,,0.37805992415911377,4226.6,0.008944776514435095,5030.9,0.007514757283172271,2077.2,0.018200458509489398,,,0.42207343758150523,2471.3,0.01707900447462895,,0.47824820746214625,1568.4,0.03049274467368951,,0.5113576588491339,2231.9,0.022911315867607595,
0,76.804139,30.741704,0.7080725777960455,8683.7,0.008154042375900198,8683.7,0.008154042375900198,8683.7,0.008154042375900198,,,0.7150098693597035,8381.3,0.00853101391621471,7716.3,0.00926622693985075,6418.6,0.011139654587600153,,,0.7251547393790234,7551.0,0.00960342655779398,5588.0,0.012976999630977513,6625.1,0.010945566699053952,,,0.7251547393790234,6653.1,0.01089950157639331,3986.5,0.018190260614047996,5953.4,0.012180514317516435,,,0.7261629598249113,7184.6,0.010107214873826117,3224.5,0.02252017242440413,8123.0,0.008939590789423997,,,0.7510397011110111,6894.4,0.010893474430131864,3474.9,0.021613275234136555,7925.8,0.009475885098173197,,,0.7510397011110111,7543.7,0.009955853243249482,3840.4,0.019556288436387126,8287.2,0.009062647228388492,,,0.7701396436826536,6763.2,0.011387207885064077,3800.7,0.020263100052165486,6229.6,0.012362585778904802,,,0.7761114980542467,6510.5,0.011920920022336945,3348.2,0.023179962309726024,4980.2,0.015583942372881547,,,0.7882305006161751,6125.1,0.012868859293989895,2012.6,0.03916478687350567,4828.4,0.016324879890153573,,,0.7882305006161751,5656.2,0.013935690050142766,2038.0,0.038676668332491414,5378.8,0.014654393184654106,,,0.8055784220823369,4333.3,0.018590414282009943,2269.6,0.03549429071564756,5213.9,0.015450592111132491,,,0.812580250942958,4559.6,0.01782130561766291,877.7,0.09258063699931161,5633.6,0.014423818711711126,,,0.812580250942958,4558.8,0.01782443298549965,681.9,0.11916413710851416,4957.4,0.016391258541633882,,,0.8267312278242753,4351.2,0.019000074182392794,373.0,0.22164376081079765,4477.5,0.01846412569121776,,,0.8280664071654333,3435.1,0.02410603496740803,,0.8394791817285032,4159.9,0.020180273125039144,,0.8394791817285032,3788.5,0.02215861638454542,
