Ward,x,y,fill_ratio_0,distance_from_0_0_0,fill_per_m_0_0_0_0,distance_from_0_1_0,fill_per_m_0_0_1_0,distance_from_0_2_0,fill_per_m_0_0_2_0,fill_per_m_0_0_1_1,fill_per_m_0_0_2_2,fill_ratio_1,distance_from_268_0_0,fill_per_m_1_268_0_0,distance_from_119_1_0,fill_per_m_1_119_1_0,distance_from_129_2_0,fill_per_m_1_129_2_0,fill_per_m_1_119_1_1,fill_per_m_1_129_2_2,fill_ratio_2,distance_from_228_0_0,fill_per_m_2_228_0_0,distance_from_46_1_0,fill_per_m_2_46_1_0,distance_from_59_2_0,fill_per_m_2_59_2_0,fill_per_m_2_46_1_1,fill_per_m_2_59_2_2,fill_ratio_3,distance_from_90_0_0,fill_per_m_3_90_0_0,distance_from_149_1_0,fill_per_m_3_149_1_0,distance_from_133_2_0,fill_per_m_3_133_2_0,fill_per_m_3_149_1_1,fill_per_m_3_133_2_2,fill_ratio_4,distance_from_123_0_0,fill_per_m_4_123_0_0,distance_from_203_1_0,fill_per_m_4_203_1_0,distance_from_137_2_0,fill_per_m_4_137_2_0,fill_per_m_4_203_1_1,fill_per_m_4_137_2_2,fill_ratio_5,distance_from_290_0_0,fill_per_m_5_290_0_0,distance_from_156_1_0,fill_per_m_5_156_1_0,distance_from_49_2_0,fill_per_m_5_49_2_0,fill_per_m_5_156_1_1,fill_per_m_5_49_2_2,fill_ratio_6,distance_from_167_0_0,fill_per_m_6_167_0_0,distance_from_74_1_0,fill_per_m_6_74_1_0,distance_from_40_2_0,fill_per_m_6_40_2_0,fill_per_m_6_74_1_1,fill_per_m_6_40_2_2,fill_ratio_7,distance_from_269_0_0,fill_per_m_7_269_0_0,distance_from_116_1_0,fill_per_m_7_116_1_0,distance_from_93_2_0,fill_per_m_7_93_2_0,fill_per_m_7_116_1_1,fill_per_m_7_93_2_2,fill_ratio_8,distance_from_221_0_0,fill_per_m_8_221_0_0,distance_from_206_1_0,fill_per_m_8_206_1_0,distance_from_98_2_0,fill_per_m_8_98_2_0,fill_per_m_8_206_1_1,fill_per_m_8_98_2_2,fill_ratio_9,distance_from_249_0_0,fill_per_m_9_249_0_0,distance_from_230_1_0,fill_per_m_9_230_1_0,distance_from_138_2_0,fill_per_m_9_138_2_0,fill_per_m_9_230_1_1,fill_per_m_9_138_2_2,fill_ratio_10,distance_from_262_0_0,fill_per_m_10_262_0_0,distance_from_255_1_0,fill_per_m_10_255_1_0,distance_from_1_2_0,fill_per_m_10_1_2_0,fill_per_m_10_255_1_1,fill_per_m_10_1_2_2,fill_ratio_11,distance_from_232_0_0,fill_per_m_11_232_0_0,distance_from_113_1_0,fill_per_m_11_113_1_0,distance_from_35_2_0,fill_per_m_11_35_2_0,fill_per_m_11_113_1_1,fill_per_m_11_35_2_2,fill_ratio_12,distance_from_55_0_0,fill_per_m_12_55_0_0,distance_from_81_1_0,fill_per_m_12_81_1_0,distance_from_231_2_0,fill_per_m_12_231_2_0,fill_per_m_12_81_1_1,fill_per_m_12_231_2_2,fill_ratio_13,distance_from_11_0_0,fill_per_m_13_11_0_0,distance_from_177_1_0,fill_per_m_13_177_1_0,distance_from_211_2_0,fill_per_m_13_211_2_0,fill_per_m_13_177_1_1,fill_per_m_13_211_2_2,fill_ratio_14,distance_from_190_0_0,fill_per_m_14_190_0_0,distance_from_75_1_0,fill_per_m_14_75_1_0,distance_from_88_2_0,fill_per_m_14_88_2_0,fill_per_m_14_75_1_1,fill_per_m_14_88_2_2,fill_ratio_15,distance_from_131_0_0,fill_per_m_15_131_0_0,distance_from_283_1_0,fill_per_m_15_283_1_0,distance_from_217_2_0,fill_per_m_15_217_2_0,fill_per_m_15_283_1_1,fill_per_m_15_217_2_2,fill_ratio_16,distance_from_9_1_0,fill_per_m_16_9_1_0,distance_from_48_2_0,fill_per_m_16_48_2_0,fill_per_m_16_9_1_1
0,76.801987,30.752503,0.8661761457749352,9488.0,0.009129175229499738,9488.0,0.009129175229499738,9488.0,0.009129175229499738,,,0.8681151847990047,9687.2,0.0089614665207594,9689.5,0.008959339334320705,7006.7,0.012389786701285979,,,0.8743688175812377,9892.4,0.00883879359489343,9022.2,0.009691303868028172,4429.3,0.01974056436866407,,,0.879025238700262,8100.3,0.010851761523650506,8891.7,0.009885907517125656,4849.0,0.01812796945143869,,,0.8830023034584056,7852.3,0.011245142231682508,9471.1,0.00932312301061551,4594.2,0.01921993608154642,,,0.8865283551649863,6446.7,0.01375166139520974,9593.1,0.009241312559704227,4885.7,0.01814537026761746,,,0.891166329034464,6160.5,0.014465811687922474,8856.9,0.010061831216728923,5188.1,0.01717712320569118,,,0.891166329034464,6590.4,0.013522188775104152,8532.6,0.010444252971362351,4695.5,0.018979157257682122,,,0.891166329034464,8001.2,0.011137908426666801,7886.8,0.011299466564823045,4923.8,0.018099157744718795,,,0.8954379804918698,8111.3,0.011039389253163733,7674.1,0.011668312642418913,4423.9,0.02024091820547187,,,0.9055786251953596,7973.2,0.011357781382573616,7697.8,0.011764122544043227,4199.4,0.021564476477481536,,,0.9055786251953596,6711.6,0.013492738321642522,9273.8,0.009764914330645039,4197.8,0.021572695821510304,,,0.9108879090357059,7421.5,0.012273636179151195,8362.6,0.010892400796830005,4297.0,0.021198229207254036,,,0.9154274761379968,6047.9,0.015136286581094211,5648.8,0.016205698133019343,3347.3,0.027348235178740975,,,0.9186576360668357,5688.5,0.01614938272069677,3397.6,0.027038428186568042,2622.5,0.035029843129335964,,,0.9186576360668357,4952.7,0.018548622692003063,3761.4,0.024423290159696808,2975.9,0.03086990947501044,,,0.9208697394262636,3430.6,0.026842818732182815,1205.3,0.076401704092447,
0,76.804139,30.741704,0.7080725777960455,8683.7,0.008154042375900198,8683.7,0.008154042375900198,8683.7,0.008154042375900198,,,0.7188091759825281,8381.3,0.008576344671859117,8383.5,0.00857409406551593,5697.4,0.012616442166295646,,,0.7201027280642359,8586.5,0.008386452315428124,7716.3,0.009332228244939102,5213.9,0.013811210956562955,,,0.7356049583896224,6794.4,0.010826636029518758,7543.7,0.009751248835314533,5633.6,0.013057458079906673,,,0.7429254661199087,6546.4,0.011348610933030502,8123.0,0.009145949355163224,5378.8,0.013812104300585794,,,0.7531387106236378,5137.5,0.014659634270046476,8287.2,0.009087975560184836,5670.4,0.013281932678887517,,,0.7531387106236378,4692.3,0.01605052342398478,7551.0,0.009974026097518709,5648.4,0.013333664588620455,,,0.7703273851227944,5281.1,0.014586494956027993,7184.6,0.010721924465144814,5155.8,0.014940986561208626,,,0.7854502205864639,6653.1,0.011805778067163635,6418.6,0.012237095637467107,5384.1,0.014588328979522367,,,0.8005215910340612,6763.2,0.011836432325438566,6510.5,0.012295854251348761,4703.6,0.017019338188495218,,,0.8099894522281295,6625.1,0.012226071338215717,6229.6,0.013002270647042017,4957.4,0.016338997301571984,,,0.8178473213592692,6125.1,0.0133523913300888,7925.8,0.010318798371890146,4477.5,0.01826571348652751,,,0.8251209677281234,5953.4,0.01385965948412879,6894.4,0.01196798804432762,4576.7,0.018028731787709997,,,0.8285245073806771,4558.8,0.018174179770568503,4180.7,0.019817841686336667,4159.9,0.019916933276777737,,,0.842444369811301,4220.3,0.019961717645932776,3025.6,0.027843877902277266,3435.1,0.02452459520279762,,,0.8486130776224489,3370.4,0.025178408426965608,2612.4,0.0324840406378215,3788.5,0.022399711696514422,,,0.8496026357645807,3340.4,0.02543415865658546,2017.9,0.04210330718888848,
0,76.805606,30.74516,0.9394989415641891,8484.7,0.011072859872054273,8484.7,0.011072859872054273,8484.7,0.011072859872054273,,,0.9415415490855799,8683.8,0.01084250615036712,8782.8,0.010720289077350958,6037.1,0.01559592435251329,,,0.9424560558035984,8889.1,0.010602378821293475,8083.8,0.011658577102397366,4819.5,0.019555058736458106,,,0.9424560558035984,7185.6,0.013115899240197038,7888.4,0.011947366459657199,5850.2,0.016109809165560124,,,0.9434746439465382,6856.9,0.013759492539581128,8467.7,0.011142041451002494,4937.5,0.019108347219170395,,,0.9463162888510694,5443.4,0.017384654606515587,8589.8,0.011016744148304612,6320.3,0.014972648273833038,,,0.9509099850535673,5157.1,0.018438851002570575,7918.6,0.012008561930815639,5743.2,0.016557145581793553,,,0.9536980290392256,5587.0,0.01706994861355335,7601.7,0.01254585196783911,5865.9,0.016258341073649835,,,0.9536980290392256,6997.8,0.01362854081338743,6883.4,0.013855042988046977,5454.7,0.017483968486612017,,,0.9564762424387144,7107.9,0.013456523620741914,6975.3,0.013712331260859238,4859.0,0.019684631455828657,,,0.9572150926292287,6969.8,0.013733752656162711,6694.4,0.014298743615995887,4665.0,0.02051908022785056,,,0.9613032919114296,6589.9,0.01458752472589007,7569.8,0.012699190096322619,3833.6,0.025075732781495972,,,0.9651502839774829,6453.7,0.014954991461913057,7496.1,0.012875365643167552,4649.6,0.02075770569462928,,,0.9651502839774829,5044.6,0.01913234516071607,4645.5,0.020776025917069917,3812.7,0.025314089332428017,,,0.9655733121976675,4685.1,0.02060944936495843,3919.2,0.02463700020916686,3101.6,0.03113145835045356,,,0.9671177300113355,3463.7,0.02792152120597441,3191.4,0.030303870715401877,3441.4,0.028102450456539068,,,0.9685965767037473,3299.5,0.029355859272730635,2412.0,0.04015740367760146,
0,76.806562,30.739112,0.9699098521619943,7915.9,0.012252679444687204,7915.9,0.012252679444687204,7915.9,0.012252679444687204,,,0.9702410000298838,8116.9,0.011953344257412114,8119.1,0.011950105307606554,5436.4,0.01784712309671628,,,0.9724017752277392,8322.1,0.011684572105931665,7451.9,0.01304904487751767,5175.1,0.01879000937620025,,,0.9724017752277392,6530.0,0.01489129824238498,7321.4,0.013281637053401525,5594.7,0.017380767069328815,,,0.9728209996956456,6282.0,0.015485848451060897,7900.8,0.012312942989262424,5340.0,0.01821762171714692,,,0.9731387168840447,4876.4,0.019956088854155625,8022.8,0.012129664417460795,5631.5,0.017280275537317674,,,0.9735581627967592,4590.2,0.021209493329196097,7286.6,0.013360938747794022,6078.6,0.016016157713893975,,,0.9735581627967592,5020.1,0.01939320258155732,6962.3,0.013983283725159203,5586.0,0.01742853853914714,,,0.9757387707813197,6430.8,0.015172898718375936,6316.5,0.015447459364859015,5814.3,0.016781706667721302,,,0.9774248822655344,6541.0,0.014943049721228166,6408.3,0.015252483221221452,5133.8,0.019039013640296355,,,0.9781856709040169,6402.9,0.0152772286136597,6127.5,0.01596386243825405,4941.1,0.019796921149218126,,,0.9795980935536065,6023.0,0.0162642884534884,7703.5,0.012716273038925249,4907.7,0.019960431435369044,,,0.9806912841826072,5851.2,0.016760515521305155,6792.3,0.014438279878430093,5006.9,0.019586795905302826,,,0.9812826205957889,4542.5,0.021602259121536353,4078.5,0.024059890170302533,4868.5,0.020155748600098364,,,0.9818307067116734,4118.2,0.023841258479716222,3413.6,0.028762324429097534,4143.8,0.023693969465506864,,,0.9830945957237116,3331.5,0.02950906785903382,2573.6,0.03819919939865215,4497.1,0.021860634536116866,,,0.9831514208737396,3324.1,0.029576469446579212,2726.6,0.03605777968435926,
0,76.779187,30.743609,0.3584657285442726,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,9936.3,0.0036076379391148878,,,0.368834764478574,8162.5,0.004518649488252055,8357.9,0.004413007627257732,5562.2,0.006631094971028981,,,0.3732126086588686,8560.8,0.00435955294667401,7658.9,0.004872927034676894,1449.5,0.02574767910720032,,,0.37682031916283487,6760.7,0.005573687919340229,7393.2,0.00509685006712702,2480.2,0.015193142454755055,,,0.38433810152783343,6431.9,0.005975498709989793,7951.4,0.004833590330354824,1567.4,0.02452074145258603,,,0.43329967982908507,4904.5,0.008834737074708636,8725.4,0.004965957776481136,2944.4,0.014716060312086844,,,0.4711600859086865,4697.8,0.010029377281039774,7493.6,0.006287499811955356,3202.7,0.014711339991528603,,,0.4711600859086865,5048.1,0.009333414272868733,7015.6,0.006715891526151527,4068.6,0.011580398316587685,,,0.4711600859086865,6484.1,0.007266391417601309,5395.1,0.008733111265939213,3072.3,0.015335744748516959,,,0.49754328272992543,6530.2,0.0076191124732768595,5995.2,0.008299027267312608,2472.1,0.020126341277857913,,,0.5094037968222399,6392.1,0.007969271394725362,5996.6,0.008494877044028949,865.2,0.058876999170392956,,,0.5397957579879993,5212.6,0.010355595249740997,6867.6,0.007860034917409274,2036.3,0.02650865579669004,,,0.5551206472867487,5729.3,0.009689153077806167,6910.0,0.008033583897058593,1419.6,0.03910401854654472,,,0.5551206472867487,4408.3,0.012592624079276563,4127.6,0.013448993296025504,2243.4,0.024744612966334522,,,0.5895825047787445,4148.7,0.014211259063772857,3474.5,0.016968844575586256,2549.1,0.023129045732954552,,,0.615011535173351,4180.3,0.014712138726248141,3527.1,0.017436747899785974,2972.1,0.020692827804358906,,,0.6499083315357953,2951.5,0.0220195944955377,1848.4,0.03516058924127869,
0,76.80957,30.744244,0.6011150117432088,8550.0,0.007030584932669109,8550.0,0.007030584932669109,8550.0,0.007030584932669109,,,0.6085549551262608,8648.6,0.007036456248713789,8650.9,0.007034585478115119,5968.1,0.010196795548436869,,,0.6232189803005336,8853.9,0.007038920479116926,7983.6,0.0078062400458506626,5538.1,0.011253299512477808,,,0.6232189803005336,7061.8,0.00882521425557979,7853.2,0.00793586029007963,5957.8,0.010460555579249615,,,0.6232189803005336,6813.7,0.009146557381459905,8432.5,0.007390678687228385,5703.0,0.01092791478696359,,,0.646257415333196,5408.2,0.011949584248607596,8554.6,0.007554501850854464,5994.5,0.010780839358298374,,,0.6779015370192921,5121.9,0.013235352838190753,7818.3,0.008670702544278068,6312.4,0.010739204375820483,,,0.7026125538874436,5551.8,0.012655581142826534,7494.1,0.00937554281217816,5819.8,0.012072795523685412,,,0.7026125538874436,6962.6,0.010091238242717427,6848.2,0.010259813584408218,6048.1,0.011617078981621395,,,0.7268444298479885,7072.7,0.010276760358109188,6940.1,0.010473111768533428,5532.7,0.01313724636882514,,,0.7268444298479885,6934.6,0.010481418248319852,6659.2,0.010914891125780701,5338.0,0.013616418693293152,,,0.7488605652951992,6554.7,0.011424787790367206,8235.3,0.009093300369084298,5306.6,0.01411187135444916,,,0.7565334855619221,6383.0,0.011852318432742004,7324.0,0.010329512364308057,5405.8,0.013994847859001852,,,0.7675960521504199,5109.9,0.01502174312903227,4610.3,0.01664959009501377,4522.1,0.016974327240671806,,,0.7704197921025691,4649.9,0.016568523884439863,3854.7,0.019986504581486736,3797.4,0.020288086377589117,,,0.7851663148800839,3914.2,0.020059432703492,3156.2,0.024876950601358718,4150.7,0.018916479506591272,,,0.7851663148800839,3891.5,0.020176443913146186,2378.8,0.033006823393311076,
0,76.791314,30.765309,0.8872127425763265,11497.3,0.007716705161875628,11497.3,0.007716705161875628,11497.3,0.007716705161875628,,,0.8882310961301116,11870.0,0.007482991542797908,11795.4,0.00753031771817922,9049.7,0.009815033604761613,,,0.8882310961301116,11998.4,0.007402912856131748,11096.4,0.008004678058921017,4339.3,0.020469455813843514,,,0.897416935926244,10198.2,0.008799758152676394,11117.0,0.008072474012109778,4563.7,0.019664240329693976,,,0.9069221556984332,9869.5,0.00918913983178918,11675.2,0.007767936786508437,3651.0,0.024840376765226872,,,0.9069221556984332,8351.1,0.010859912534856882,12163.0,0.00745640183917153,4186.8,0.021661463544913374,,,0.9086155035188646,8346.7,0.010885925018496704,10931.2,0.008312129533069238,3609.8,0.025170799033710025,,,0.9086155035188646,8804.0,0.010320485046784013,10739.4,0.008460579767201748,3732.5,0.02434334905609818,,,0.9093112215449842,10208.0,0.008907829364664815,9118.9,0.009971720509545935,3321.3,0.027378171846716173,,,0.9098935245519081,10318.1,0.008818421265076983,9719.0,0.009362007660787201,3666.7,0.02481505235093976,,,0.9098935245519081,9257.0,0.00982924840177064,9224.8,0.009863558283669112,3368.5,0.027011830920347576,,,0.9134871760634107,8936.4,0.010222093640206468,10591.4,0.008624801027847222,2537.0,0.03600658951767484,,,0.9134871760634107,9453.1,0.00966336097220394,10633.8,0.008590411480970216,3417.8,0.02672734437542895,,,0.9147178155222433,8057.2,0.011352800172792575,7182.9,0.0127346589194092,2543.3,0.035965785220864355,,,0.9212779185620925,7797.5,0.011815042238693075,6931.8,0.013290601554604757,1798.7,0.05121909815767457,,,0.9212779185620925,6476.3,0.014225374342789749,5691.0,0.016188331023758436,2211.9,0.041650975114701956,,,0.9284121432512179,5416.4,0.017140760343608633,2821.8,0.03290141552382231,
0,76.80233,30.744275,0.6232981268275579,8987.9,0.00693485827420819,8987.9,0.00693485827420819,8987.9,0.00693485827420819,,,0.6455571746818968,9020.4,0.007156635788677851,8783.1,0.007349992311164587,6016.9,0.010729066042013277,,,0.6516961906940252,8986.1,0.0072522695128479,8084.2,0.008061356605403443,4399.6,0.014812623663379059,,,0.6852455986636792,7185.9,0.009535974598361781,7933.9,0.008636932639227608,5430.3,0.01261892710648913,,,0.6969063711562701,6857.2,0.010163133219918774,8492.1,0.008206525725748285,4517.6,0.015426473595631974,,,0.6969063711562701,5441.7,0.012806776763810392,9150.7,0.0076158804370842674,5894.5,0.011822993827403004,,,0.7058314407192485,5152.5,0.013698814958161058,7918.9,0.008913251091935099,5319.4,0.013269004788495856,,,0.7151062911627257,5585.4,0.012803134800779277,7549.4,0.009472359275740135,5442.1,0.013140263706339935,,,0.7151062911627257,7017.9,0.010189747519382232,5928.9,0.012061365365628123,5030.9,0.014214281563193976,,,0.7250954318477673,7128.0,0.010172494835125804,6324.6,0.011464684436134574,4435.1,0.01634902103329727,,,0.7250954318477673,6929.4,0.010464043522494982,6533.8,0.01109760678085903,4241.2,0.017096468731674228,,,0.7250954318477673,5755.4,0.012598523679462199,8004.2,0.009058936956195088,3409.8,0.021265042871950475,,,0.7250954318477673,6272.1,0.011560648456621662,7443.8,0.009740931135277242,4290.5,0.016900021718861843,,,0.7256230363049573,4863.0,0.014921304468537063,3988.7,0.01819196821783933,3616.9,0.020062015436007555,,,0.7256230363049573,4603.4,0.01576276309477685,3737.7,0.019413624322576914,3407.4,0.021295504968743245,,,0.7474139815380085,3282.1,0.022772431721702832,2916.7,0.025625329363253287,3830.4,0.01951268748793882,,,0.756187388319915,2847.8,0.02655338817051461,2717.9,0.027822487520509035,
0,76.786322,30.7382,0.4951769101112702,9090.7,0.005447071293863731,9090.7,0.005447071293863731,9090.7,0.005447071293863731,,,0.49987695280336686,7445.0,0.006714263973181556,7447.2,0.006712280492042202,4746.9,0.010530597922925844,,,0.5198070930122768,7650.2,0.0067946863220867005,6813.3,0.007629299942939203,2473.8,0.021012494664575825,,,0.5246629321932549,5915.1,0.00886989116317991,6559.9,0.007998032472953168,3032.5,0.017301333295738,,,0.5551260843958705,5610.1,0.00989511923844264,7139.2,0.007775746363680392,2777.7,0.01998509862101273,,,0.5914544634076563,4187.0,0.014125972376586011,7350.9,0.008046014275907117,3968.7,0.014902977383215067,,,0.5914544634076563,3741.8,0.01580668297096735,6648.1,0.008896593965308227,4227.0,0.013992298637512569,,,0.5914544634076563,4330.6,0.013657563926653495,6234.0,0.009487559567014057,4857.9,0.012175105774257526,,,0.5914544634076563,5702.6,0.010371663160797816,5468.1,0.01081645294357558,4096.6,0.014437691339346196,,,0.6126053415223274,5812.7,0.010539084100716146,5145.1,0.011906577938666446,3475.4,0.01762690169541139,,,0.6399855133778412,5674.6,0.011278072699006821,5279.1,0.012123004174534317,3388.8,0.018885313780035443,,,0.6733600999504261,4182.6,0.0160990795187306,6941.9,0.009699939497117881,2825.5,0.023831537779169215,,,0.6915795319203316,4940.1,0.013999302279717648,6120.9,0.011298657581733595,3348.4,0.020654029743170817,,,0.6915795319203316,3562.8,0.019411124169763434,3230.2,0.021409805334664467,3675.0,0.01881849066449882,,,0.6955302669256594,3269.8,0.02127133974327664,2628.9,0.026457083454131367,3338.3,0.020834864060319907,,,0.7134392456468093,2419.9,0.029482178835770458,1417.4,0.0503343619053767,3485.0,0.020471714365762103,,,0.0,921.9,0.07904288240388457,2637.7,0.02762620210340114,0.0
0,76.775422,30.74005,0.1195942459383017,10255.7,0.0011661246520305948,10255.7,0.0011661246520305948,10255.7,0.0011661246520305948,,,0.1195942459383017,8751.9,0.0013664946575977985,8677.3,0.0013782426093174342,5881.6,0.002033362451344901,,,0.19235603680315239,8880.3,0.002166098406620862,7978.3,0.002410990271149899,1769.0,0.010873716043140328,,,0.19235603680315239,7080.1,0.0027168548015303793,7712.7,0.002494016839798675,2799.6,0.006870840005827704,,,0.21538157599636965,6751.4,0.003190176496672833,8270.9,0.0026040887448327225,1886.9,0.011414572897152453,,,0.2866602807682501,4277.3,0.006701897944222993,9044.9,0.003169302930582429,3263.8,0.008783022267548566,,,0.3458490592973842,5017.3,0.00689313095285082,7813.1,0.00442652800165599,3522.2,0.00981912041614287,,,0.39409807494038157,5636.0,0.006992513749829339,7335.1,0.005372770309067109,4540.1,0.008680383140027345,,,0.4469046578011852,6803.6,0.0065686498001232465,5714.6,0.007820401389444322,3391.8,0.013176032130467162,,,0.4486516727592932,6913.7,0.006489313576801035,6314.6,0.007104989591728584,2791.5,0.016072064222077492,,,0.49652366456950636,5852.6,0.008483813425990267,5820.4,0.008530748137061136,1525.9,0.03253972505206805,,,0.5206493381448783,5532.1,0.009411423114999337,7187.0,0.007244320831290919,2507.8,0.02076119858620617,,,0.5537247682546941,6048.7,0.009154442578648206,7229.5,0.007659240172276009,3018.2,0.01834619204342635,,,0.5537247682546941,4727.8,0.011712102209372098,4447.1,0.012451367593593443,2714.9,0.020395770313996614,,,0.5969460236210602,4468.1,0.01336017599474184,3794.0,0.01573394896207328,3020.6,0.01976249829904854,,,0.6203225007968828,4499.8,0.013785557153581998,2899.9,0.021391168688467972,3443.6,0.018013779207715262,,,0.6203225007968828,3700.9,0.01676139589821078,2319.9,0.026739191378804376,
